study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB7967	observational	False	69	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA355241	observational	False			True	abstract	False	1968	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable		False		False	human	True		False
PRJDB4948	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA778615	observational	False	68	1.0	False	europepmc_fulltext	True	34247	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	United Kingdom	True		False	human	True	2019-08-28	True
PRJEB43945	observational	False			False	local_pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False	human	True		False
PRJNA595034	observational	False			False	none	False	0	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Hong Kong	True		False		False		False
PRJNA903550	observational	False	37	0.5522	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	partial	amr	gradeable	carbapenem	gradeable	ast_result	partial	mixed	gradeable	Netherlands	True		False	human	True	2022-05-02	True
PRJNA990326	observational	False	66	1.0	False	europepmc_fulltext	True	33913	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Peru	True		False	human	True		False
PRJEB26075	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False	respiratory	True	human	True		False
PRJNA980932	observational	False			False	europepmc_fulltext	True	17173	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Japan	True		False	human	True		False
PRJEB78367	observational	False			False	europepmc_fulltext	True	51571	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Tanzania	True		False	human	True	2020-12-31	True
PRJEB19918	observational	False	0	0.0	True	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable	adult	partial	United Kingdom	True	stool	False	human	True		False
PRJNA445400	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB51676	observational	False	63	1.0	False	europepmc_fulltext	True	34180	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Spain	True		False	human	True		False
PRJNA738476	observational	False	63	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	France	True	rectal swab	False	human	True		False
PRJNA253300	observational	False	63	1.0161	False	europepmc_fulltext	True	34525	False	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	Nepal	True	blood	False	human	True	2012-01-01	True
PRJEB49334	observational	False	62	1.0	False	europepmc_fulltext	True	43547	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Singapore	True	stool	True	human	True	2017-06-15	True
PRJEB46655	observational	False	71	1.1639	False	europepmc_fulltext	True	36028	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	South Africa	True	blood	True	human	True	2017-10-01	True
PRJNA826066	observational	False	60	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	USA	True	blood culture	True	human	True	2017-12-31	True
PRJNA736690	observational	False	60	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Canada	True		False	human	True		False
PRJEB66360	experimental_evolution	True	60	1.0	False	europepmc_fulltext	True	31783	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJEB59403	observational	False	57	0.9661	False	local_pdf	True	10000	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Germany	True		False		False	2020-05-17	True
PRJEB30771	observational	False	59	1.0	True	abstract	False	2015	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA799063	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	USA	True	wastewater	True	wastewater	True		False
PRJEB51966	observational	False	59	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Malaysia	True	upper respiratory tract swab	True	human	True	2016-12-06	True
PRJEB28660	observational	False	59	1.0	False	pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Switzerland	True		False	human	True		False
PRJNA592157	observational	False	58	1.0	False	europepmc_fulltext	True	25232	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Peru	True		False	human	True	2016-11-15	True
PRJNA796567	observational	False			False	pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Qatar	True	blood	True	human	True		False
PRJNA329105	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA769451	observational	False	57	1.0179	False	europepmc_fulltext	True	34554	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	China	True	respiratory	False	human	True		False
PRJNA1135353	observational	False			False	europepmc_fulltext	True	40073	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	retail food	True	food	True		False
PRJDB6962	observational	False	1	0.0182	False	europepmc_fulltext	True	23877	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Japan	True	wastewater treatment plant effluent	True	wastewater	True	2017-08-23	True
PRJEB59975	observational	False	54	1.0	False	europepmc_fulltext	True	48163	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	Iran	True	urine	False	human	True	2018-12-31	True
PRJNA918858	experimental_evolution	True	54	1.0	False	europepmc_fulltext	True	25892	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	partial		not_gradeable		not_gradeable	Spain	True		False	human	False		False
PRJEB37933	observational	False	52	0.9811	False	europepmc_fulltext	True	47377	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Germany	True		False	human	True	2019-10-15	True
PRJEB18059	observational	False	53	1.0	False	europepmc_fulltext	True	42446	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Germany	True		False	human	True	2015-10-15	True
PRJNA970254	observational	False	52	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True	urine	True	human	True		False
PRJEB50837	observational	False	51	0.9808	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJEB51225	observational	False	51	1.0	False	europepmc_fulltext	True	47825	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	United Kingdom	True		False	human	True		False
PRJNA945449	observational	False			False	abstract	False	1778	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Cambodia	True	blood	True	human	True	2021-12-31	True
PRJNA925003	observational	False	49	0.9608	False	europepmc_fulltext	True	36650	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	India	True		False	human	True		False
PRJNA701073	experimental_evolution	True	50	1.0	False	europepmc_fulltext	True	30571	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True	urine	True	human	True		False
PRJEB2655	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA643814	observational	False	51	1.02	False	local_pdf	True	27530	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	mixed	gradeable	Italy	True	blood	True	human	True	2018-12-30	True
PRJNA803387	experimental_evolution	True	49	0.98	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	partial	amr	partial	third_gen_cephalosporin	partial	ast_result	partial		not_gradeable	Spain	False	stool	False	human	False		False
PRJEB28115	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Cambodia	True	blood	True	human	True		False
PRJDB8311	observational	False	12	0.24	False	local_pdf	True	47427	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Japan	True		False	human	True	2017-07-01	True
PRJNA415530	experimental_evolution	True	50	1.0	False	pdf	True	49119	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False		False		False
