id,species,species__colour,species_abbv,species_abbv__colour,species_gp__autocolour,S_SC_STc__autocolour,SC__autocolour,ST__autocolour,plate_type__autocolour,group_summary__autocolour,group_summary_l2__autocolour,virulence_score__autocolour,resistance_score__autocolour,num_resistance_classes__autocolour,num_resistance_genes__autocolour,Yersiniabactin__autocolour,YbST__autocolour,Colibactin__autocolour,CbST__autocolour,Aerobactin__autocolour,AbST__autocolour,Salmochelin__autocolour,SmST__autocolour,rmpA__autocolour,rmpA2__autocolour,wzi__autocolour,K_locus__autocolour,K_locus_problems__autocolour,K_locus_confidence__autocolour,K_locus_identity__autocolour,K_locus_missing_genes__autocolour,O_locus__autocolour,O_locus_problems__autocolour,O_locus_confidence__autocolour,O_locus_identity__autocolour,O_locus_missing_genes__autocolour,Chr_ST__autocolour,iucA__autocolour,iucB__autocolour,iucC__autocolour,iucD__autocolour,iutA__autocolour,iroB__autocolour,iroC__autocolour,iroD__autocolour,iroN__autocolour,AGly__autocolour,Col__autocolour,Fcyn__autocolour,Flq__autocolour,Gly__autocolour,MLS__autocolour,Ntmdz__autocolour,Phe__autocolour,Rif__autocolour,Sul__autocolour,Tet__autocolour,Tgc__autocolour,Tmt__autocolour,Omp__autocolour,Bla__autocolour,Bla_Carb__autocolour,Bla_ESBL__autocolour,Bla_ESBL_inhR__autocolour,Bla_broad__autocolour,Bla_broad_inhR__autocolour,Amikacin_int__autocolour,Amoxicillin_clavulanic_acid_int__autocolour,Ampicillin_int__autocolour,Aztreonam_int__autocolour,Cefalexin_int__autocolour,Cefepime_int__autocolour,Cefixime_int__autocolour,Cefotaxime_int__autocolour,Cefoxitin_int__autocolour,Ceftazidime_int__autocolour,Ceftriaxone_int__autocolour,Cefuroxime_int__autocolour,Ciprofloxacin_int__autocolour,Colistin_int__autocolour,Ertapenem_int__autocolour,Fosfomycin_G6P_int__autocolour,Gentamicin_int__autocolour,Imipenem_int__autocolour,Levofloxacin_int__autocolour,Mecillinam_int__autocolour,Meropenem_int__autocolour,Nalidixic_acid_int__autocolour,Nitrofurantoin_int__autocolour,Norfloxacin_int__autocolour,Piperacillin_int__autocolour,Piperacillin_tazobactam_int__autocolour,Temocillin_int__autocolour,Ticarcillin_clavulanic_acid_int__autocolour,Tigecycline_int__autocolour,Tobramycin_int__autocolour,Trimethoprim_int__autocolour,Trimethoprim_sulfamethoxazole_int__autocolour,SAMPLE_DATE__autocolour,year,month,day,GROUP__autocolour,ENVIRONMENTAL_GROUP__autocolour,place_sampling__autocolour,ORIGIN__autocolour,specific_group__autocolour,ASSOCIATED_GROUP__autocolour,ASSOCIATED_SPECIES__autocolour,GENERAL_ISOLATION_SOURCE__autocolour,TYPE__autocolour,IN_OUT__autocolour,SAMPLE_TYPE__autocolour,SAMPLE_DESCRIPTION__autocolour
SPARK_100_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC81_ST3827,SC81,ST3827,SCAI,cow,other mammals,0,0,1,0,-,0,-,0,-,0,-,0,-,-,wzi113,KL111,none,Perfect,100.00%,NA,O3b,none,Very high,99.22%,NA,ST3827,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,-,S,S,R,S,S,S,S,NA,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,R,S,R,S,ND,S,I,S,S,S,2017-07-26,2017,07,26,ANIMAL,NA,Pavia_province_2,farm,farm_1,NA,NA,bedding,environment,NA,bedding,bull_bedding
SPARK_1010_C1,Klebsiella michiganensis,#F4D503,K.mic,#F4D503,K.oxy SPEC,K.mic_SC12_NA,SC12,NA,SCAI,human - hospital carriage,human,0,0,1,2,-,0,-,0,-,0,-,0,-,-,-,KL152,none,Very high,98.26%,NA,O2v1,-+*,Good,72.11%,"O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC",NA,-,-,-,-,-,-,-,-,-,Aph3''Ia*?,-,-,-,-,-,-,-,-,-,-,-,-,-,OXY1-3*,-,-,-,-,-,S,S,R,S,S,S,S,ND,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,ND,S,S,S,ND,S,S,S,S,S,2018-01-03,2018,01,03,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1011_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC6_ST37,SC6,ST423,SCAI,human - hospital carriage,human,1,0,1,0,ybt 9; ICEKp3,183-1LV,-,0,-,0,-,0,-,-,wzi8,KL8,none,Very high,99.85%,NA,O2v2,none,Very high,98.44%,NA,ST423,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,-,S,S,R,S,S,S,S,ND,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,ND,S,S,S,ND,S,S,S,S,S,2018-01-04,2018,01,04,HUMAN,NA,NA,hospital,hospital_4,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1012_C1,Klebsiella variicola subsp. variicola,#04FDF8,K.var,#04FDF8,K.pne SPEC,K.var_SC41_ST2462-2LV,SC41,ST2462-2LV,SCAI,other mammals,other mammals,0,0,0,0,-,0,-,0,-,0,-,0,-,-,wzi458,KL39,+*,Good,91.84%,NA,O5,none,Very high,99.56%,NA,ST2462-2LV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LEN-2^,-,-,-,-,-,S,S,R,S,S,S,S,NA,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,S,S,S,S,ND,S,I,S,S,S,2017-12-30,2017,12,30,ANIMAL,NA,Pavia_province_144,domesticated_animal,Pavia_province_144,mammal,rabbit,rabbit,companion animal,NA,rectal_swab,rabbit_369408B
SPARK_1013_C1,Klebsiella ornithinolytica,#8F9D04,K.orn,#8F9D04,K.orn SPEC,K.orn_SC3_NA,SC3,NA,SCAI,poultry,birds,1,0,4,6,ybt unknown,0,-,0,-,0,-,0,-,-,-,KL17,?-+*,None,75.03%,"KL17_02_cpsACP,KL17_05_wzb,KL17_07_wzy,KL17_08_wctR,KL17_09_wctS,KL17_10_wctT,KL17_11_wctU,KL17_12_wcaJ,KL17_13_wcmZ,KL17_14_wzx",O12,-+*,Good,75.21%,"O12_05_wbbL,O12_08_wbbB",NA,-,-,-,-,-,-,-,-,-,-,-,-,Qnr-S1,-,-,-,-,-,SulI,TetA,-,DfrA1,-,LAP-2;ORN1a*,-,-,-,-,-,S,S,R,S,S,S,S,NA,ND,S,S,S,R,S,S,S,S,S,R,ND,S,ND,S,R,S,S,ND,S,I,S,R,R,2017-12-28,2017,12,28,ANIMAL,NA,Pavia_province_61,farm,farm_21,bird,duck,duck,livestock,NA,rectal_swab,duck_364824
SPARK_1013_C2,Klebsiella ornithinolytica,#8F9D04,K.orn,#8F9D04,K.orn SPEC,K.orn_SC3_NA,SC3,NA,SCAI,poultry,birds,1,0,4,6,ybt unknown,0,-,0,-,0,-,0,-,-,-,KL17,?-+*,None,75.03%,"KL17_02_cpsACP,KL17_05_wzb,KL17_07_wzy,KL17_08_wctR,KL17_09_wctS,KL17_10_wctT,KL17_11_wctU,KL17_12_wcaJ,KL17_13_wcmZ,KL17_14_wzx",O12,-+*,Good,75.21%,"O12_05_wbbL,O12_08_wbbB",NA,-,-,-,-,-,-,-,-,-,-,-,-,Qnr-S1,-,-,-,-,-,SulI,TetA,-,DfrA1,-,LAP-2;ORN1a*,-,-,-,-,-,S,S,R,S,S,S,S,NA,ND,S,S,S,R,S,S,S,S,S,R,ND,S,ND,S,R,S,S,ND,S,I,S,R,R,2017-12-28,2017,12,28,ANIMAL,NA,Pavia_province_61,farm,farm_21,bird,duck,duck,livestock,NA,rectal_swab,duck_364824
SPARK_1014_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC4_ST45,SC4,ST45,SCAI,human - hospital carriage,human,1,2,9,13,ybt 10; ICEKp4,78,-,0,-,0,-,0,-,-,wzi101,KL24,none,Very high,99.01%,NA,O2v1,none,Very high,98.76%,NA,ST45,-,-,-,-,-,-,-,-,-,Aac3-IIa^;StrA^;StrB,-,-,QnrB1?,-,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,OXA-1;OXA-9*;TEM-1D^,KPC-2,CTX-M-15,-,SHV-1?,-,S,R,R,R,R,R,R,ND,ND,R,R,R,R,S,R,S,R,I,R,R,I,ND,S,R,R,R,ND,R,I,R,R,R,2018-01-02,2018,01,02,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1014_C2,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC1_ST307,SC1,ST307,SCAI,human - hospital carriage,human,0,1,9,17,-,0,-,0,-,0,-,0,-,-,wzi173,KL102,none,Very high,99.27%,NA,O2v2,none,Very high,98.45%,NA,ST307,-,-,-,-,-,-,-,-,-,Aac3-IIa^;AadA2^;Aph3-Ia^;StrA*;StrB,-,-,GyrA-83I;ParC-80I;QnrB1?,-,MphA,-,CatB4,-,SulI;SulII,TetA,-,DfrA12;DfrA14,-,OXA-1;OXA-9;TEM-1D^,-,CTX-M-15,-,SHV-1?,-,S,R,R,R,R,R,R,ND,ND,R,R,R,R,S,S,S,R,S,R,R,S,ND,S,R,R,R,ND,R,R,R,R,R,2018-01-02,2018,01,02,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1015_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC65_ST1106,SC65,ST1106,SCAI,human - hospital carriage,human,0,0,1,0,-,0,-,0,-,0,-,0,-,-,wzi162,KL122,none,Very high,99.93%,NA,O2v2,none,Very high,98.48%,NA,ST1106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,-,S,S,R,S,S,S,S,ND,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,ND,S,S,S,ND,S,I,S,S,S,2018-01-04,2018,01,04,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1015_C2,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC65_ST1106,SC65,ST1106,SCAI,human - hospital carriage,human,0,0,1,0,-,0,-,0,-,0,-,0,-,-,wzi162,KL122,none,Very high,99.93%,NA,O2v2,none,Very high,98.48%,NA,ST1106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,-,S,S,R,S,S,S,S,ND,ND,S,S,S,S,S,I,S,S,S,S,ND,S,ND,ND,S,S,S,ND,S,I,S,S,S,2018-01-04,2018,01,04,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1016_C1,Klebsiella michiganensis,#F4D503,K.mic,#F4D503,K.oxy SPEC,K.mic_SC34_NA,SC34,NA,SCAI,cow,other mammals,0,0,6,10,-,0,-,0,-,0,-,0,-,-,-,KL66,?-+,Good,99.80%,KL66_20_ugd,O1v1,-+*,Good,72.44%,"O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC",NA,-,-,-,-,-,-,-,-,-,Aph3''Ia;StrA^;StrB,-,-,Qnr-S1,-,-,-,FloR*,-,SulII,TetA,-,DfrA14,-,LAP-2;OXY1-1*,-,-,-,-,-,S,S,R,S,S,S,S,NA,ND,S,S,S,R,S,S,S,S,S,R,ND,S,ND,S,R,S,S,ND,S,S,S,R,R,2018-01-08,2018,01,08,ANIMAL,NA,Pavia_province_167,farm,farm_25,mammal,cattle,cow,livestock,NA,rectal_swab,Cow_8242
SPARK_1018_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC3_ST512,SC3,ST512,SCAI,human - hospital carriage,human,0,2,6,6,-,0,-,0,-,0,-,0,-,-,wzi154,KL107,none,Very high,100.00%,NA,O2v2,-,High,98.36%,O1/O2v2_08_gmlC,ST512,-,-,-,-,-,-,-,-,-,Aac6-Ib;AadA2^,-,-,GyrA-83I;ParC-80I,-,-,-,-,-,SulI;SulIII,-,-,DfrA12,OmpK35-25%,-,KPC-3,-,-,SHV-11,-,R,R,R,R,R,R,R,ND,ND,R,R,R,R,S,R,R,S,R,R,R,R,ND,R,R,R,R,ND,R,I,R,R,R,2018-01-10,2018,01,10,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1018_C2,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC3_ST512,SC3,ST512,SCAI,human - hospital carriage,human,0,0,5,5,-,0,-,0,-,0,-,0,-,-,wzi154,KL107,none,Very high,100.00%,NA,OL102,-*,None,88.02%,"OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt",ST512,-,-,-,-,-,-,-,-,-,Aac6-Ib;AadA2^,-,-,GyrA-83I;ParC-80I,-,-,-,-,-,SulI;SulIII,-,-,DfrA12,OmpK35-25%,-,-,-,-,SHV-11,-,R,S,R,S,S,S,S,ND,ND,S,S,S,R,S,S,R,I,S,R,ND,S,ND,R,R,S,S,ND,S,I,R,R,R,2018-01-10,2018,01,10,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1019_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC20_ST111,SC20,ST111,SCAI,human - hospital carriage,human,1,0,1,0,ybt unknown,0,-,0,-,0,-,0,-,-,wzi323,KL62,none,Very high,99.93%,NA,O1v1,none,Very high,98.87%,NA,ST111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,-,S,S,R,S,S,S,S,ND,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,S,S,S,S,ND,S,I,S,S,S,2018-01-18,2018,01,18,HUMAN,NA,NA,hospital,hospital_4,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_101_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC65_ST1106,SC65,ST1106,SCAI,surface - farm,surface,0,0,1,0,-,0,-,0,-,0,-,0,-,-,wzi162,KL122,none,Very high,99.94%,NA,O2v2,none,Very high,98.48%,NA,ST1106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,-,S,S,R,S,S,S,S,NA,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,S,S,S,S,ND,S,I,S,S,S,2017-07-26,2017,07,26,ENVIRONMENTAL,surface,Pavia_province_2,farm,farm_1,environment,NA,surface,environment,NA,swab,bull_fodder
SPARK_101_C2,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC65_ST1106,SC65,ST1106,SCAI,surface - farm,surface,0,0,1,0,-,0,-,0,-,0,-,0,-,-,wzi162,KL122,none,Very high,99.94%,NA,O2v2,none,Very high,98.48%,NA,ST1106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,-,S,S,R,S,S,S,S,NA,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,S,S,S,S,ND,S,I,S,S,S,2017-07-26,2017,07,26,ENVIRONMENTAL,surface,Pavia_province_2,farm,farm_1,environment,NA,surface,environment,NA,swab,bull_fodder
