Accession,Sample_id,Country,Year,Species,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,ybt_context,Colibactin,Aerobactin,iuc,Salmochelin,iro,rmpA,rmpA2,peg-344_id,peg-344-cov,peg-344,AGly,Col,Fcyn,Flq,Gly,MLS,Ntmdz,Phe,Rif,Sul,Tet,Tmt,Bla,Bla_Carb,Bla_ESBL,Bla_broad,Bla_broad_inhR,Kaptive_best_match_Klocus,Kaptive_Klocus_match_confidence,wzi,wzi_predicted_Klocus,final_KLocus_call,Kaptive_best_match_Olocus,Kaptive_Olocus_match_confidence,Final_OLocus_call,Predicted_O_type,100_SNV_cluster,multi_country_100_SNV_cluster,25_SNV_cluster,isolation_source
ERS1867323,COMRU-KPN-BC-2014-7,Cambodia,2014,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1484,0,1,6,7,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*,-,-,QnrB1?,-,-,-,-,-,SulII,-,DfrA14,OKP-B-15?;AmpH*;OXA-1,-,CTX-M-15,-,TEM-30*,KL111,Very high,347*,na,KL111,O12,Very high,O12,O12,not_tested,na,not_tested,blood
ERS1867324,COMRU-KPN-BC-2014-8,Cambodia,2014,Klebsiella pneumoniae,ST36,0,1,8,9,0,na,0,0,none,none,0,-,-,-,-,0,AadA1-pm*?;Aac3-IId*,-,-,Qnr-S1,-,-,-,CatA1*,-,SulI*,TetD,DfrA15b*,AmpH*;LAP-2,-,CTX-M-14,SHV-11,-,KL102,Very high,173,na,KL102,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867325,COMRU-KPN-BC-2014-9,Cambodia,2014,Klebsiella pneumoniae,ST17,0,1,6,8,0,na,0,0,none,none,0,-,-,-,-,0,AadA1-pm*?;Aac3-IId*,-,-,Qnr-S1,-,-,-,CatA1*,-,SulI*,TetD,DfrA15b*,AmpH*;LAP-2,-,CTX-M-14,SHV-11,-,KL122,Very high,360*,na,KL122,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867326,COMRU-KPN-BC-2014-10,Cambodia,2014,Klebsiella pneumoniae,ST667,0,1,10,10,0,na,0,0,none,none,0,-,-,-,-,0,AadA16*,-,-,QnrB4,-,MphA,-,-,Arr3,SulI;SulI,TetB*,DfrA27,SHV-36*;AmpH*;DHA-1,-,CTX-M-15,TEM-135*,-,KL135,Very high,32*,na,KL135,O3b,Very high,O3b,O3b,not_tested,na,not_tested,blood
ERS1867327,COMRU-KPN-BC-2014-11,Cambodia,2014,Klebsiella pneumoniae,ST17-1LV,0,1,2,6,0,na,0,0,none,none,0,-,-,-,-,0,AadA1-pm*?;Aac3-IId*,-,-,Qnr-S1,-,-,-,-,-,SulI*,-,DfrA15b*,LAP-2;AmpH*,-,CTX-M-14,SHV-11,-,KL122,Very high,360*,na,KL122,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867328,COMRU-KPN-BC-2014-12,Cambodia,2014,Klebsiella pneumoniae,ST20,0,1,8,3,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,CatA1*,-,-,TetD,-,SHV-187;AmpH*,-,CTX-M-27,-,-,KL23,Very high,82,na,KL23,O1v2,Very high,O1v2,O1,33,no,singleton,blood
ERS1867329,COMRU-KPN-BC-2014-13,Cambodia,2014,Klebsiella pneumoniae,ST252,0,1,10,17,0,na,0,0,none,none,0,-,-,-,-,0,AadA16*?;StrB;StrA*;Aac3-IId*;Aph3-Ia,-,-,QnrB17*,-,MphA,-,CatA2*,Arr3,SulI;SulI;SulII*,TetA,DfrA27,AmpH*,-,CTX-M-15,SHV-1?;TEM-135*,-,KL8,Good,334*,na,KL8,O1v2,Good,O1v2,O1,not_tested,na,not_tested,blood
ERS1867330,COMRU-KPN-BC-2014-14,Cambodia,2014,Klebsiella pneumoniae,ST48,1,2,10,8,1, ICEKp3,0,0,none,none,0,-,-,-,-,0,StrB;StrA*,-,-,Qnr-S1;GyrA-83Y,-,-,-,-,-,SulII*,-,-,AmpH*;LAP-2,OXA-48,CTX-M-27,SHV-1?,-,KL62,Good,62*,na,KL62,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867331,COMRU-KPN-BC-2014-15,Cambodia,2014,Klebsiella pneumoniae,ST20,0,1,8,8,0,na,0,0,none,none,0,-,-,-,-,0,StrB*;StrA*,-,-,Qnr-S1,-,-,-,CatA1*,-,SulII,TetD,DfrA14,SHV-187;AmpH*;LAP-2,-,CTX-M-14,-,-,KL23,Very high,82,na,KL23,O1v2,Very high,O1v2,O1,33,no,singleton,blood
ERS1867332,COMRU-KPN-BC-2014-16,Cambodia,2014,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1901-1LV,0,1,5,6,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*,-,-,-,-,-,-,-,-,SulII*,-,-,AmpH*,-,CTX-M-15,OKP-B-6*?,TEM-30*,KL60,Very high,227*,na,KL60,O3/O3a,Very high,O3/O3a,O3/O3a,not_tested,na,not_tested,blood
ERS1867333,COMRU-KPN-BC-2014-17,Cambodia,2014,Klebsiella pneumoniae,ST20,0,1,6,14,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;AadA16*?,-,-,QnrB17*,-,MphA,-,-,Arr3,SulI?;SulII*,-,DfrA27;DfrA14,SHV-187;AmpH*;LAP-2,-,CTX-M-15;CTX-M-27,TEM-135*,-,KL23,Very high,82,na,KL23,O1v2,Very high,O1v2,O1,33,no,singleton,blood
ERS1867334,COMRU-KPN-BC-2014-18,Cambodia,2014,Klebsiella pneumoniae,ST25,3,0,7,11,0,na,0,1,iuc 3,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;Aph3-Ia,-,-,-,-,MphA,-,CatB3*,Arr3,SulI;SulII*,TetA,-,AmpH*;OXA-1,-,-,SHV-11,-,KL2,Very high,72,na,KL2,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867335,COMRU-KPN-BC-2014-19,Cambodia,2014,Klebsiella pneumoniae,ST1777,0,0,5,7,0,na,0,0,none,none,0,-,-,-,-,0,AadA2*;Aph3-Ia*,-,-,-,-,-,-,FloR*,-,SulII,TetA,DfrA12;DfrA14,SHV-36*;AmpH*,-,-,-,-,KL111,Very high,113,na,KL111,O3b,Very high,O3b,O3b,not_tested,na,not_tested,blood
ERS1867336,COMRU-KPN-BC-2014-20,Cambodia,2014,Klebsiella pneumoniae,ST950,0,0,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-1,-,KL7,Good,7,na,KL7,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867337,COMRU-KPN-BC-2014-21,Cambodia,2014,Klebsiella pneumoniae,ST17,1,0,5,5,1,unknown,0,0,none,none,0,-,-,-,-,0,-,-,-,QnrB4,-,-,-,CatA1*;CatB3*,Arr3,SulI,-,-,AmpH*;DHA-1;OXA-1,-,-,SHV-11,-,KL25,High,141,na,KL25,O5,High,O5,O5,28,yes,singleton,blood
ERS1867338,COMRU-KPN-BC-2015-1,Cambodia,2015,Klebsiella pneumoniae,ST14,1,1,8,7,1, ICEKp3,0,0,none,none,0,-,-,-,-,0,StrB;StrA*,-,-,QnrB1?,-,-,-,-,Arr2*,SulII,-,DfrA14,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,-,KL2,Very high,2,na,KL2,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867339,COMRU-KPN-BC-2015-2,Cambodia,2015,Klebsiella pneumoniae,ST520,0,1,5,16,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;Aph3-Ia;AadA16*?,-,-,QnrB17*,-,MphA,-,CatA1*,Arr3,SulI;SulII*,TetA;TetD,DfrA27,AmpH*;SHV-132,-,CTX-M-15,TEM-135*,-,KL2,Very high,114,na,KL2,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867340,COMRU-KPN-BC-2015-4,Cambodia,2015,Klebsiella pneumoniae,ST29-1LV,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;SHV-187,-,-,-,-,KL24,High,24,na,KL24,O2v1,Very high,O2v1,O2,not_tested,na,not_tested,blood
ERS1867341,COMRU-KPN-BC-2015-3,Cambodia,2015,Klebsiella pneumoniae,ST35,3,0,2,2,0,na,0,1,iuc 3,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,TetA,-,AmpH*,-,-,SHV-33,-,KL62,Very high,323,na,KL62,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867342,COMRU-KPN-BC-2015-5,Cambodia,2015,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1224,0,1,6,8,0,na,0,0,none,none,0,-,-,-,-,0,Aac3-IId*;Aph3-Ia,-,-,QnrB17*?,-,-,-,-,-,SulI,TetA,-,AmpH*,-,CTX-M-15,OKP-B-2*;TEM-135*,-,KL60,Good,60,na,KL60,O5,Good,O5,O5,not_tested,na,not_tested,blood
ERS1867343,COMRU-KPN-BC-2015-6,Cambodia,2015,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1355-3LV,0,0,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,OKP-B-7,-,KL16,Good,60*,na,KL16,O5,Good,O5,O5,not_tested,na,not_tested,blood
ERS1867344,COMRU-KPN-BC-2015-7,Cambodia,2015,Klebsiella pneumoniae,ST65,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL2,Very high,72,na,KL2,O1v2,Very high,O1v2,O1,86,yes,singleton,blood
ERS1867345,COMRU-KPN-BC-2015-8,Cambodia,2015,Klebsiella variicola,ST1872-2LV,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;LEN-7,-,-,-,-,KL105,None,49*,unknown,KL105,O3/O3a,Very high,O3/O3a,O3/O3a,not_tested,na,not_tested,blood
ERS1867346,COMRU-KPN-BC-2016-9,Cambodia,2016,Klebsiella pneumoniae,ST2459,0,1,7,11,0,na,0,0,none,none,0,-,-,-,-,0,AadA16*?,-,-,QnrB17*,-,MphA,-,-,Arr3,SulI,TetA;TetD,DfrA27,AmpH*,-,CTX-M-15,SHV-1;TEM-135*,-,KL15,Very high,50,na,KL15,O4,Very high,O4,O4,not_tested,na,not_tested,blood
ERS1867347,COMRU-KPN-BC-2016-10,Cambodia,2016,Klebsiella pneumoniae,ST1540,1,0,1,1,1, ICEKp11,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL7,Very high,331,na,KL7,O2v1,Very high,O2v1,O2,not_tested,na,not_tested,blood
ERS1867348,COMRU-KPN-BC-2016-11,Cambodia,2016,Klebsiella pneumoniae,ST966,0,1,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,SHV-41,-,-,KL102,Very high,173,na,KL102,O2v1,Very high,O2v1,O2,not_tested,na,not_tested,blood
ERS1867349,COMRU-KPN-BC-2016-13,Cambodia,2016,Klebsiella pneumoniae,ST76,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,SHV-132;AmpH*,-,-,-,-,KL35,Good,23,na,KL35,O5,Good,O5,O5,not_tested,na,not_tested,blood
ERS1867350,COMRU-KPN-BC-2016-12,Cambodia,2016,Klebsiella pneumoniae,ST2313-1LV,0,1,1,6,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA;Aac3-IId*,-,-,Qnr-S1,-,-,-,-,-,SulI?,-,-,AmpH*;LAP-2;SHV-133,-,CTX-M-14,-,-,KL122,Very high,162,na,KL122,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867351,COMRU-KPN-BC-2016-14,Cambodia,2016,Klebsiella variicola,ST209-1LV,1,0,0,0,1, plasmid,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,LEN-24*;AmpH*,-,-,-,-,KL158,Good,166*,na,KL158,OL103,Good,OL103,OL103,not_tested,na,not_tested,blood
ERS1867352,COMRU-KPN-BC-2016-16,Cambodia,2016,Klebsiella pneumoniae,ST585-1LV,0,0,5,5,0,na,0,0,none,none,0,-,-,-,-,0,AadA2*,-,-,-,-,MphA,-,-,-,SulI;SulII,-,DfrA12,AmpH*,-,-,SHV-11,-,KL52,Very high,50,na,KL52,OL101,High,OL101,OL101,not_tested,na,not_tested,blood
ERS1867353,COMRU-KPN-BC-2016-15,Cambodia,2016,Klebsiella pneumoniae,ST36,0,0,4,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL102,Good,173,na,KL102,O1v2,Good,O1v2,O1,singleton,no,singleton,blood
ERS1867354,COMRU-KPN-BC-2016-17,Cambodia,2016,Klebsiella pneumoniae,ST36,0,1,9,16,0,na,0,0,none,none,0,-,-,-,-,0,AadA16*?;StrB;StrA*;Aac3-IId*;Aph3-Ia,-,-,QnrB17*,-,MphA,-,CatA2*,Arr3,SulI;SulI;SulII*,TetA,DfrA27,AmpH*,-,CTX-M-15,SHV-11,-,KL27,Very high,27,na,KL27,O2v2,Very high,O2v2,O2,singleton,no,singleton,blood
ERS1867355,COMRU-KPN-BC-2016-18,Cambodia,2016,Klebsiella pneumoniae,ST14,0,1,10,10,0,na,0,0,none,none,0,-,-,-,-,0,AadA16*?,-,-,QnrB17*,-,MphA,-,-,Arr3,SulI;SulI,TetA,DfrA27,AmpH*;SHV-28,-,CTX-M-15,TEM-135*,-,KL157,Very high,88,na,KL157,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867356,COMRU-KPN-BC-2016-19,Cambodia,2016,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1929-1LV,0,0,1,1,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,OKP-B-7,-,KL130,Good,51*,na,KL130,O12,Good,O12,O12,not_tested,na,not_tested,blood
ERS1867357,COMRU-KPN-BC-2016-20,Cambodia,2016,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867358,COMRU-KPN-BC-2017-1,Cambodia,2017,Klebsiella pneumoniae,ST500,0,0,5,5,0,na,0,0,none,none,0,-,-,-,-,0,StrB*;StrA*,-,-,Qnr-S1,-,-,-,-,-,SulII,TetA,-,AmpH*,-,-,SHV-11,-,KL34,Very high,34,na,KL34,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867359,COMRU-KPN-BC-2017-2,Cambodia,2017,Klebsiella pneumoniae,ST15,1,1,7,18,1,unknown,0,0,none,none,0,-,-,-,-,0,Aac3-IId*;AadA16*?,-,-,QnrB17*;GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,CatA1*,Arr3,SulII;SulI,TetA;TetD,DfrA27;DfrA5,AmpH*;SHV-28,-,CTX-M-15;CTX-M-27,TEM-135*,-,KL24,High,24,na,KL24,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867360,COMRU-KPN-BC-2017-3,Cambodia,2017,Klebsiella pneumoniae,ST15,1,1,7,15,1, ICEKp2,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;AadA16*?,-,-,ParC-80I;GyrA-83F;GyrA-87A,-,-,-,FloR*,Arr3,SulII;SulI,TetD*,DfrA27;DfrA14,AmpH*;SHV-28,-,CTX-M-15,-,TEM-30*,KL10,Very high,10,na,KL10,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867361,COMRU-KPN-BC-2017-4,Cambodia,2017,Klebsiella pneumoniae,ST540,0,1,5,8,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IIa*,-,-,-,-,-,-,-,-,SulII,-,DfrA14,AmpH*;OXA-1,-,SHV-42;CTX-M-15,-,TEM-30*,KL21,Very high,21,na,KL21,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867363,15B03097,Thailand,2015,Klebsiella pneumoniae,ST37,0,1,8,15,0,na,0,0,none,none,0,-,-,-,-,0,AadA16*;StrB;StrA*;Aac3-IId*;Aph3-Ia,-,-,QnrB17*,-,MphA,-,-,Arr3,SulI;SulI;SulII*,TetA,DfrA27,AmpH*,-,CTX-M-15,TEM-135*;SHV-11,-,KL15,Good,50,na,KL15,O4,Very high,O4,O4,not_tested,na,not_tested,blood
ERS1867364,15B02285,Thailand,2015,Klebsiella variicola,ST146-2LV,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,LEN-24*;AmpH*,-,-,-,-,KL31,None,393,unknown,KL31,O3/O3a,Good,O3/O3a,O3/O3a,not_tested,na,not_tested,blood
ERS1867365,15B01325,Thailand,2015,Klebsiella pneumoniae,ST500,0,0,1,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL34,Very high,34,na,KL34,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867367,16B03772,Thailand,2016,Klebsiella pneumoniae,ST889,1,0,0,0,1, ICEKp5,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*;SHV-108,-,-,-,-,KL54,Very high,117*,na,KL54,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867368,17B00553,Thailand,2017,Klebsiella pneumoniae,ST290-1LV,0,1,10,12,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA;AadA16*?,-,-,QnrB17*,-,MphA,-,-,Arr3,SulI;SulI,TetA,DfrA27,SHV-132;AmpH*,-,CTX-M-15,TEM-135*,-,KL142,Good,267,na,KL142,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867369,V26,Hong Kong,2016,Klebsiella variicola,ST616,0,0,2,2,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,Qnr-S1,-,-,-,-,-,-,-,DfrA14,LEN-24*;AmpH*,-,-,-,-,KL54,Good,304,na,KL54,O5,Good,O5,O5,not_tested,na,not_tested,blood
ERS1867370,A1516677,Laos,2015,Klebsiella pneumoniae,ST15,1,1,8,19,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;Aph3-Ia*;AadA16*,-,-,QnrB2*;GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulII;SulI;SulI,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,135,blood
ERS1867371,1690090,Laos,2015,Klebsiella pneumoniae,ST15,1,1,9,19,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,AadA16*;StrB;StrA*;Aac3-IId*;Aph3-Ia*,-,-,QnrB2*;GyrA-83F;GyrA-87A;ParC-80I,-,MphA,-,FloR*,Arr3,SulI;SulI;SulII,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,135,blood
ERS1867372,1675481,Laos,2015,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,49,no,singleton,blood
ERS1867374,1675479,Laos,2015,Klebsiella pneumoniae,ST945-2LV,3,0,3,4,0,na,0,1,iuc 3,none,0,-,-,-,-,0,StrB;StrA*,-,-,-,-,-,-,-,-,SulII,TetA,-,SHV-132;AmpH*,-,-,-,-,KL125,High,86,na,KL125,O3/O3a,Very high,O3/O3a,O3/O3a,not_tested,na,not_tested,blood
ERS1867375,A1616888,Laos,2016,Klebsiella pneumoniae,ST15,1,1,7,18,1, ICEKp4,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*;AadA16*;Aph3-Ia*,-,-,QnrB2*;ParC-80I;GyrA-83F;GyrA-87A,-,MphA,-,FloR*,Arr3,SulII;SulI,TetA,DfrA27,AmpH*;SHV-28;OXA-1,-,CTX-M-15,-,TEM-30*,KL24,Perfect,24,na,KL24,O1v1,Very high,O1v1,O1,105,no,135,blood
ERS1867376,1675487,Laos,2015,Klebsiella pneumoniae,ST592,3,0,1,1,0,na,0,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_5,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,-,SHV-26,KL57,Good,206,na,KL57,O3b,Good,O3b,O3b,82,yes,singleton,blood
ERS1867377,1675474,Laos,2015,Klebsiella pneumoniae,ST7-1LV,3,0,5,5,0,na,0,1,iuc 3,none,0,-,-,-,-,0,-,-,-,Qnr-S1,-,-,-,CatA2*,-,SulII,TetA*,-,SHV-108*;AmpH*,-,-,-,TEM-30*,KL54,Very high,117*,na,KL54,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867378,16113738,Laos,2015,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1308,0,0,0,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,OKP-B-15*?;AmpH*,-,-,-,-,KL144,Very high,438,na,KL144,O4,Very high,O4,O4,not_tested,na,not_tested,blood
ERS1867379,16112935,Laos,2016,Klebsiella pneumoniae,ST23,5,0,1,0,1, ICEKp10,1,1,iuc 1,iro 1,1,rmpA_2(KpVP-1),rmpA2_3,100,100,1,-,-,-,-,-,-,-,-,-,-,-,-,AmpH,-,-,SHV-11,-,KL1,Very high,1,na,KL1,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
