study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA430813	observational	False			False	europepmc_fulltext	True	49428	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True		False		False		False
PRJNA606985	observational	False	18	1.0	False	pdf	True	48075	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Australia	True		False	human	True	2018-02-14	True
PRJEB12817	observational	False	18	1.0	False	europepmc_fulltext	True	36418	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True		False	pig	True		False
PRJNA529495	observational	False	18	1.0	False	local_pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Australia	True		False	human	True		False
PRJEB3980	observational	False	18	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Laos	True	faeces	True	human	True	2011-04-30	True
PRJEB67696	observational	False	19	1.0556	True	none	False	0	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable	Vietnam	True		False	human	True		False
PRJNA590288	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable		not_gradeable	adult	gradeable		False	urine	False	human	True		False
PRJNA351911	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False		False		False
PRJNA1136496	observational	False	17	0.9444	False	europepmc_fulltext	True	35368	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	United Kingdom	True	stool	True	human	True	2021-08-31	True
PRJEB10820	other	False	18	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA557813	observational	False	18	1.0	False	europepmc_fulltext	True	34181	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Singapore	True		False	human	True	2014-05-12	True
PRJEB48744	observational	False			True	abstract	False	1627	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJEB71325	observational	False	14	0.7778	False	europepmc_fulltext	True	33099	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable		False	intraoperatively obtained hip tissue	False	human	True	2022-08-15	True
PRJEB25682	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA530687	observational	False	18	1.0	True	abstract	False	1623	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	India	True	urine	True	human	True		False
PRJNA917066	observational	False	17	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	mixed	gradeable	Egypt	True	blood	False	human	True	2020-09-30	True
PRJNA1031934	experimental_evolution	True	17	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJNA833742	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA522420	observational	False	9	0.5294	False	europepmc_fulltext	True	34053	False	claude-sonnet-4-6	hospital	partial	amr	partial	carbapenem	partial	pcr_gene_presence	partial	adult	partial	Russia	True		False	human	True		False
PRJNA751707	observational	False	46	2.7059	False	europepmc_fulltext	True	33369	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Singapore	True		False	human	True		False
PRJNA827103	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB67440	observational	False			True	none	False	0	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False		False	companion animals	True	2017-12-31	True
PRJNA296699	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True	2015-07-02	True
PRJNA524761	observational	False	4	0.2353	False	europepmc_fulltext	True	5838	False	claude-sonnet-4-6	mixed	partial	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	South Africa	True		False		False		False
PRJNA635420	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJEB41835	observational	False	17	1.0	False	europepmc_fulltext	True	48607	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	human	True	2006-09-30	True
PRJNA391054	observational	False	17	1.0	False	europepmc_fulltext	True	35900	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Cambodia	True	faeces	True	human	True	2012-05-16	True
PRJNA701733	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Sweden	True		False		False		False
PRJNA800400	observational	False	16	1.0	False	local_pdf	True	50000	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Spain	False	feces	True	Larus spp. (gull)	True		False
PRJNA962867	experimental_evolution	True	16	1.0	False	europepmc_fulltext	True	36505	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True	rectal swab	True	human	True		False
PRJEB18733	observational	False	12	0.75	False	local_pdf	True	9203	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Greece	True		False	human	True	2014-11-30	True
PRJNA550014	observational	False	16	1.0	False	europepmc_fulltext	True	29749	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	partial		not_gradeable	Australia	True		False	human	False		False
PRJNA951736	observational	False	16	1.0	False	europepmc_fulltext	True	32216	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Mozambique	True	blood	False	human	True	2017-11-14	True
PRJNA777533	experimental_evolution	True	16	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True		False		False	2015-07-02	True
PRJNA560785	observational	False	16	1.0	False	pdf	True	48860	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Laos	True	stool	True	human	True	2015-09-29	True
PRJNA949542	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	human	False		False
PRJNA1057737	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB52158	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	partial	Kenya	True		False		False	2022-12-31	True
PRJNA857878	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA1076266	observational	False	16	1.0	False	europepmc_fulltext	True	14112	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Mexico	True		False	human	True	2021-12-31	True
PRJNA1027607	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJNA716986	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	South Africa	False		False	livestock	True		False
PRJNA865026	observational	False	15	1.0	False	europepmc_fulltext	True	21932	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Peru	True		False	human	True	2018-07-02	True
PRJEB8770	observational	False	15	1.0	False	europepmc_fulltext	True	26486	False	claude-sonnet-4-6		partial	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	wastewater	True	wastewater	True	2014-12-31	True
PRJEB45397	observational	False			False	europepmc_fulltext	True	47767	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Australia	True	intestinal mucosal biopsy	True	human	True		False
PRJEB70314	observational	False	1	0.0667	False	europepmc_fulltext	True	22346	False	claude-sonnet-4-6	hospital	partial	amr	partial	carbapenem	partial		not_gradeable		not_gradeable	Spain	False		False	human	False	2019-07-02	True
PRJNA692086	observational	False	1	0.0667	False	europepmc_fulltext	True	26694	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	China	True	blood	True	human	True	2018-07-02	True
PRJNA451051	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB35018	observational	False	15	1.0	False	europepmc_fulltext	True	21898	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False	human	True	2017-10-31	True
PRJNA869900	experimental_evolution	True	15	1.0	False	pdf	True	31958	False	claude-sonnet-4-6	hospital	partial	amr	partial	carbapenem	partial	pcr_gene_presence	partial		not_gradeable	Switzerland	True		False	human	False		False
PRJNA1101444	observational	False	15	1.0	False	local_pdf	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False	human	True	2018-07-02	True
PRJNA1000742	observational	False	15	1.0	False	europepmc_fulltext	True	42574	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Thailand	True		False	human	True		False
PRJEB27707	observational	False	16	1.0667	False	local_pdf	True	24079	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	Nigeria	True	urine	False	human	True	2017-02-14	True
PRJNA391004	observational	False	15	1.0	False	europepmc_fulltext	True	48627	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	France	True	equine genital tract	False	horse	True		False
PRJNA952961	experimental_evolution	True	15	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB23845	observational	False	15	1.0	False	europepmc_fulltext	True	40820	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable		False	feces	True	human	True		False
PRJNA984017	experimental_evolution	True	15	1.0	False	europepmc_fulltext	True	29783	False	claude-sonnet-4-6		not_gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJNA590644	observational	False	15	1.0	True	abstract	False	2450	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJNA523709	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable	Tanzania	True		False	human	True		False
PRJDB4867	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA762527	observational	False	14	1.0	False	europepmc_fulltext	True	39954	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	mixed	gradeable	China	True		False	human	True	2017-12-31	True
PRJNA1070647	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False	food	True	food	True		False
PRJNA830444	observational	False	14	1.0	False	europepmc_fulltext	True	31419	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	USA	True		False	human	True		False
PRJNA803478	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	skin	False	human	True		False
PRJNA438157	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA720499	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA741866	experimental_evolution	True	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
