study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA1085970	False	39325028	PMC11541224	10.1099/mgen.0.001299	europepmc_accession	high	True	1	45.0	1.0	False	False	False	2	Genomic study substantiates the intensive care unit as a reservoir for carbapenem-resistant <i>Klebsiella pneumoniae</i> in a teaching hospital in China.
PRJNA449293	False	32153554	PMC7047997	10.3389/fmicb.2020.00294	europepmc_accession	high	True	1	45.0	1.0	False	False	False	2	Genomic Epidemiology of Carbapenem- and Colistin-Resistant <i>Klebsiella pneumoniae</i> Isolates From Serbia: Predominance of ST101 Strains Carrying a Novel OXA-48 Plasmid.
PRJNA323522	True					high		0			False	False	True	1	
PRJEB8766	False	30840764	PMC6938978	10.1093/cid/ciz174	europepmc_accession	medium	False	1	44.0	1.0	False	False	False	1	A One Health Study of the Genetic Relatedness of Klebsiella pneumoniae and Their Mobile Elements in the East of England.
PRJDB6565	False	36288954		10.3412/jsb.77.129	web_search	medium	False	1	230.0	5.2273	False	False	False	4	[Regional dissemination of carbapenem-resistant Enterobacteriaceae accompanying with enhanced resistance in Northern Osaka, Japan].
PRJNA847410	False	37868700	PMC10590067	10.2147/idr.s426565	europepmc_accession	medium	True	1	44.0	1.0	False	False	False	1	Genomic Characteristics of Carbapenem-Resistant <i>Klebsiella pneumoniae</i> Isolated from Neonatal Patients in Southwest China During 2017-2021.
PRJNA431029	False	30143706	PMC6109088	10.1038/s41598-018-31081-6	europepmc_accession	medium	True	1	44.0	1.0	False	False	False	1	No association between resistance mutations, empiric antibiotic, and mortality in ceftriaxone-resistant Escherichia coli and Klebsiella pneumoniae bacteremia.
PRJNA529592	False	31481386	PMC6722418	10.1128/mbio.01945-19	europepmc_accession	medium	True	1	44.0	1.0	False	False	False	11	Evolution of Outbreak-Causing Carbapenem-Resistant Klebsiella pneumoniae ST258 at a Tertiary Care Hospital over 8 Years.
PRJNA943144	False	39819786	PMC11748015	10.1017/s0950268824001754	europepmc_accession	high	False	1	42.0	1.0	False	False	False	1	Antimicrobial resistance profiles and molecular epidemiology of &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; isolates from Scottish bovine mastitis cases.
PRJNA1092272	False	39234218	PMC11369815	10.1093/jacamr/dlae140	published_version,web_search	high	False	2	42.0	1.0	False	False	False	2	Genomic epidemiology and longitudinal sampling of ward wastewater environments and patients reveals complexity of the transmission dynamics of <i>bla</i> <sub>KPC</sub>-carbapenemase-producing Enterobacterales in a hospital setting.
PRJEB3255	False	26411565	PMC4584482	10.1186/s13073-015-0222-7	europepmc_accession	high	True	1	42.0	1.0	False	False	False	5	The Murray collection of pre-antibiotic era Enterobacteriacae: a unique research resource.
PRJEB59013	True					high		0			False	False	False	1	
PRJEB60478	False	33897984	PMC8060595	10.1016/j.csbj.2021.03.027	web_search	high	False	1	171.0	4.1707	False	False	False	2	AMR-Diag: Neural network based genotype-to-phenotype prediction of resistance towards β-lactams in &lt;i&gt;Escherichia coli&lt;/i&gt; and &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt;.
PRJNA261540	False	25988236	PMC4451916	10.3201/eid2106.141504	europepmc_accession	high	False	1	78.0	1.9024	False	False	False	3	KPC and NDM-1 genes in related Enterobacteriaceae strains and plasmids from Pakistan and the United States.
PRJEB36919	True					high		0			False	False	False	1	
PRJNA496461	False	30373801	PMC6325187	10.1128/aac.01923-18	europepmc_accession,ncbi_bioproject	high		2	40.0	1.0	False	False	False	5	Applying Rapid Whole-Genome Sequencing To Predict Phenotypic Antimicrobial Susceptibility Testing Results among Carbapenem-Resistant Klebsiella pneumoniae Clinical Isolates.
PRJNA278293	True					low		0			False	False	False	0	
PRJNA1000963	False	33900910	PMC8084501	10.3201/eid2705.203662	europepmc_title	medium	False	1	40.0	1.0	False	False	False	6	Characteristics and Clinical Implications of Carbapenemase-Producing Klebsiella pneumoniae Colonization and Infection, Italy.
PRJNA682246	False	35545083	PMC10365138	10.1016/j.chom.2022.04.008	europepmc_accession	high		1	976.0	25.0256	False	False	False	4	Persisting uropathogenic Escherichia coli lineages show signatures of niche-specific within-host adaptation mediated by mobile genetic elements.
PRJEB25746	True					high		0			False	False	True	2	
PRJNA646592	False	35590448	PMC9790207	10.1111/1462-2920.16047	europepmc_accession,ncbi_bioproject	high	False	2	39.0	1.0	False	False	False	1	Transmission of Klebsiella strains and plasmids within and between grey-headed flying fox colonies.
PRJEB37523	False	32373647	PMC7192099	10.1093/ofid/ofaa109	europepmc_accession	high	True	1	39.0	1.0	False	False	False	1	High Carriage Rates of Multidrug-Resistant Gram-Negative Bacteria in Neonatal Intensive Care Units From Ghana.
PRJDB17160	False			10.1016/j.jgar.2024.04.008	web_search	high		1	39.0	1.0	False	False	False	1	Multidrug-resistant Klebsiella pneumoniae clinical isolates producing NDM- and OXA-type carbapenemase in Nepal
PRJNA924056	False	37553339	PMC10409761	10.1038/s41467-023-39915-2	europepmc_accession,ncbi_bioproject	high	True	2	270.0	7.1053	True	False	False	2	Genomic dissection of endemic carbapenem resistance reveals metallo-beta-lactamase dissemination through clonal, plasmid and integron transfer.
PRJEB60743	False	37315739		10.1016/j.jgar.2023.06.002	europepmc_accession	high		1	38.0	1.0	False	False	False	3	Genotypic characterisation of carbapenemase-producing organisms obtained in Denmark from patients associated with the war in Ukraine.
PRJEB20875	False	29980372	PMC6171784	10.1016/j.ijmm.2018.06.012	europepmc_accession	high	True	1	38.0	1.0	False	False	False	3	Predictors of the extended-spectrum-beta lactamases producing Enterobacteriaceae neonatal sepsis at a tertiary hospital, Tanzania.
PRJNA597144	True					low		0			False	False	False	0	
PRJNA295003	False	29141051	PMC5687771	10.1371/journal.pone.0187832	europepmc_accession,ncbi_bioproject	high	True	2	59.0	1.5526	False	False	False	5	Molecular and epidemiological characterization of carbapenemase-producing Enterobacteriaceae in Norway, 2007 to 2014.
PRJEB6688	False	25341126	PMC4214299	10.3201/eid2011.140206	web_search	high	False	1	38.0	1.0	False	False	False	3	Genomic definition of hypervirulent and multidrug-resistant Klebsiella pneumoniae clonal groups.
PRJNA431724	False	32003322	PMC7067035	10.1099/mgen.0.000308	europepmc_accession	high	True	1	38.0	1.0	False	False	False	1	Population structure of KPC carbapenemase-producing <i>Klebsiella pneumoniae</i> in a long-term acute-care rehabilitation facility: identification of a new lineage of clonal group 101, associated with local hyperendemicity.
PRJNA1102315	False	39678907	PMC11635258	10.21037/jtd-24-1148	europepmc_accession,europepmc_title	high	True	2	38.0	1.0	False	False	False	1	A single-center retrospective study of the molecular epidemiological characteristics of different <i>Klebsiella pneumoniae</i> infections in northern China.
PRJEB27508	False	32082262	PMC7005014	10.3389/fmicb.2019.02961	europepmc_accession	medium	True	1	37.0	1.0	False	False	False	1	Core/Whole Genome Multilocus Sequence Typing and Core Genome SNP-Based Typing of OXA-48-Producing <i>Klebsiella pneumoniae</i> Clinical Isolates From Spain.
PRJNA868296	False	37439570	PMC10469867	10.1128/msystems.00206-23	europepmc_accession	high	False	1	37.0	1.0	False	False	False	2	Intensive care unit sinks are persistently colonized with multidrug resistant bacteria and mobilizable, resistance-conferring plasmids.
PRJEB32863	False	32282829	PMC7153892	10.1371/journal.pone.0231503	europepmc_accession	high	True	1	37.0	1.0	False	False	False	1	Whole genome sequencing characterization of Slovenian carbapenem-resistant Klebsiella pneumoniae, including OXA-48 and NDM-1 producing outbreak isolates.
PRJNA730821	False	37270610	PMC10239441	10.1038/s43856-023-00309-6	web_search	high	False	1	37.0	1.0	False	False	False	2	Acquisition and carriage of genetically diverse multi-drug resistant gram-negative bacilli in hospitalised newborns in The Gambia.
PRJEB67940	False	38459544	PMC10924313	10.1186/s13756-024-01386-5	europepmc_accession	high	True	1	36.0	1.0	False	False	False	1	Uncovering the spread of drug-resistant bacteria through next-generation sequencing based surveillance: transmission of extended-spectrum β-lactamase-producing Enterobacterales by a contaminated duodenoscope.
PRJNA884340	False	36445082	PMC9765435	10.1128/mbio.02906-22	europepmc_accession,europepmc_title	high	True	2	60.0	1.6667	False	False	False	3	Within-Host Genotypic and Phenotypic Diversity of Contemporaneous Carbapenem-Resistant Klebsiella pneumoniae from Blood Cultures of Patients with Bacteremia.
PRJNA768294	False	35277433	PMC9104693	10.1101/gr.276289.121	europepmc_accession,europepmc_title	high	True	2	37.0	1.0278	False	False	False	2	A curated collection of <i>Klebsiella</i> metabolic models reveals variable substrate usage and gene essentiality.
PRJEB56212	False	36838490	PMC9960421	10.3390/microorganisms11020525	europepmc_accession	high	True	1	37.0	1.0278	False	False	False	1	Genomic Characterization of Multidrug-Resistant Extended Spectrum β-Lactamase-Producing <i>Klebsiella pneumoniae</i> from Clinical Samples of a Tertiary Hospital in South Kivu Province, Eastern Democratic Republic of Congo.
PRJNA1045567	True					low		0			False	False	False	0	
PRJNA527021	True					low		0			False	False	False	0	
PRJNA497126	False	31594927	PMC6783542	10.1038/s41467-019-12563-1	europepmc_accession,ncbi_bioproject	high	True	2	35.0	1.0	True	False	False	5	Spatiotemporal dynamics of multidrug resistant bacteria on intensive care unit surfaces.
PRJNA744405	False	35046672	PMC8760991	10.2147/idr.s343673	europepmc_accession	high	True	1	35.0	1.0	False	False	False	1	The Genomic Characterization of KPC-Producing <i>Klebsiella pneumoniae</i> from the ICU of a Teaching Hospital in Shanghai, China.
PRJNA761884	False	35241674	PMC8894482	10.1038/s41467-022-28819-2	europepmc_accession	high	True	1	35.0	1.0	False	False	False	1	Role of mobile genetic elements in the global dissemination of the carbapenem resistance gene bla<sub>NDM</sub>.
PRJNA1114318	False	39633714	PMC11616059	10.1016/j.lanwpc.2024.101234	europepmc_accession	high	True	1	34.0	1.0	False	False	False	1	Successful management of a multi-species outbreak of carbapenem-resistant organisms in Fiji: a prospective genomics-enhanced investigation and response.
PRJEB42370	False	40511474	PMC12164281	10.2807/1560-7917.es.2025.30.23.2400590	europepmc_accession	low	True	1	34.0	1.0	False	False	False	1	Beyond patient contact: combined short- and long read sequencing reveals continuous occurrence of genomically related carbapenemase-producing Enterobacterales and plasmid mobility in a hospital, Germany, 2018 to 2021.
PRJNA842739	True					low		0			False	False	False	0	
PRJDB9036	False			10.2147/IDR.S339543	web_search	medium		1	34.0	1.0	False	False	False	3	Comprehensive Genomic Survey of Antimicrobial-Resistance Bacteria in the Sewage Tank Replacement with Hospital Relocation
PRJNA739636	True					low		0			False	False	False	0	
PRJEB25080	False	30161223	PMC6117087	10.1371/journal.pone.0203338	europepmc_accession,europepmc_title	high	True	2	34.0	1.0	False	False	False	1	Extended-spectrum beta-lactamase producing Enterobacteriaceae (ESBL-E) isolated from bean sprouts in the Netherlands.
PRJEB21292	False	28515215	PMC5527415	10.1128/jcm.00535-17	ncbi_bioproject	high	False	1	33.0	1.0	False	False	False	1	Outbreak of NDM-1-Producing Klebsiella pneumoniae in a Dutch Hospital, with Interspecies Transfer of the Resistance Plasmid and Unexpected Occurrence in Unrelated Health Care Centers.
PRJNA979006	True					low		0			False	False	False	0	
PRJNA1055729	False	38780286	PMC11237601	10.1128/jcm.01725-23	europepmc_accession	high	False	1	33.0	1.0	False	False	False	1	Core genome multilocus sequence typing (cgMLST) applicable to the monophyletic &lt;i&gt;Klebsiella oxytoca&lt;/i&gt; species complex.
PRJNA631924	False	33754440		10.1111/1462-2920.15476	ncbi_bioproject	high		1	33.0	1.0	True	False	False	2	The evolutionary trade-offs in phage-resistant Klebsiella pneumoniae entail cross-phage sensitization and loss of multidrug resistance.
PRJNA667445	True					high		0			False	False	False	2	
PRJNA796569	False	39996143	PMC11849422	10.2147/idr.s488794	europepmc_accession	medium	False	1			False	False	False	1	Genomic Characterization and Antimicrobial Resistance of ESBL-Producing, <i>Escherichia coli</i> Isolates in Suzhou, China.
PRJNA967113	True					low		0			False	False	False	0	
PRJNA858403	False	36916927	PMC10100809	10.1128/spectrum.04088-22	europepmc_accession	high	True	1	32.0	1.0	False	False	False	1	Association between Intestinal Colonization and Extraintestinal Infection with Carbapenem-Resistant &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; in Children.
PRJEB5132	True					low		0			False	False	False	0	
PRJNA589105	False	32606821	PMC7293908	10.2147/idr.s243836	europepmc_secondary	high	True	1	32.0	1.0	False	False	False	1	Phenotypic and Genomic Characterization of Virulence Heterogeneity in Multidrug-Resistant ST11 <i>Klebsiella pneumoniae</i> During Inter-Host Transmission and Evolution.
PRJNA814816	False	35797348		10.1111/jam.15701	ncbi_bioproject	high		1	32.0	1.0	False	False	False	1	PCR-based ORF typing of Klebsiella pneumoniae for rapid identification of global clones and transmission events.
PRJEB43549	False	40511474	PMC12164281	10.2807/1560-7917.es.2025.30.23.2400590	europepmc_accession	medium	True	1	32.0	1.0	False	False	False	1	Beyond patient contact: combined short- and long read sequencing reveals continuous occurrence of genomically related carbapenemase-producing Enterobacterales and plasmid mobility in a hospital, Germany, 2018 to 2021.
PRJNA741123	False	35664456	PMC9160058	10.1038/s43856-022-00124-5	europepmc_accession	high	True	1	31.0	1.0	False	False	False	2	Antibiotic-resistant organisms establish reservoirs in new hospital built environments and are related to patient blood infection isolates.
PRJNA939143	False	37866269		10.1016/j.jiph.2023.10.013	web_search	high		1	31.0	1.0	False	False	False	2	Whole-genome sequencing of carbapenem-resistant Enterobacterales isolates in southeast Louisiana reveals persistent genetic clusters spanning multiple locations.
PRJNA857525	True					low	False	1	31.0	1.0	True	False	False	2	
PRJEB14854	False	42089880	PMC13148723	10.1099/mgen.0.001654	europepmc_accession	low	True	1	31.0	1.0	False	False	False	1	Whole-genome sequencing to investigate the prevalence and transmission of multidrug-resistant Gram-negative pathogens in an adult intensive care unit in the UK.
PRJNA339159	False	27510832	PMC5035412	10.1128/jcm.00927-16	europepmc_title	high	False	1	31.0	1.0	False	False	False	1	KlebSeq, a Diagnostic Tool for Surveillance, Detection, and Monitoring of Klebsiella pneumoniae.
PRJEB73547	True					low		0			False	False	False	0	
PRJNA563817	True					low		0			False	False	True	10	
PRJNA770840	False	36581824	PMC9798552	10.1186/s12864-022-08550-4	europepmc_accession,europepmc_title	high	False	2	31.0	1.0	False	False	False	1	Identification of highly variable sequence fragments in unmapped reads for rapid bacterial genotyping.
PRJNA715470	False	31961309	PMC6986821	10.3201/eid2602.191221	ncbi_bioproject	high	False	1	31.0	1.0	False	False	False	1	New Delhi Metallo-β-Lactamase-5-Producing Escherichia coli in Companion Animals, United States.
PRJEB19808	False	29097338		10.1016/j.ijantimicag.2017.10.011	web_search	high		1	29.0	0.9667	False	False	False	2	Expansion of KPC-producing Klebsiella pneumoniae with various mgrB mutations giving rise to colistin resistance: the role of ISL3 on plasmids.
PRJEB64632	False	38449514	PMC10915899	10.1093/jacamr/dlae021	europepmc_accession,ncbi_bioproject	high	False	2	30.0	1.0	False	False	False	1	Carbapenem- and cefiderocol-resistant <i>Enterobacterales</i> in surface water in Kumasi, Ashanti Region, Ghana.
PRJNA551371	False	35611261	PMC9123598	10.1093/jacamr/dlac056	europepmc_accession	high	True	1	30.0	1.0	False	False	False	2	Comparative genomic analysis of ESBL-producing <i>Escherichia coli</i> from faecal carriage and febrile urinary tract infection in children: a prospective multicentre study.
PRJNA552385	False	32251388	PMC8049106	10.1038/s41559-020-1170-1	europepmc_accession	high		1	30.0	1.0	False	False	False	1	Coevolution of host-plasmid pairs facilitates the emergence of novel multidrug resistance.
PRJNA658789	True					low		0			False	False	False	0	
PRJEB76256	False	39868417	PMC11760810	10.1016/j.infpip.2024.100430	europepmc_accession	high	True	1	30.0	1.0	False	False	False	1	Hospital toilets and drainage systems as a reservoir for a long-term polyclonal outbreak of clinical infections with multidrug-resistant <i>Klebsiella oxytoca</i> species complex.
PRJNA799652	False	38908534		10.1016/j.ijantimicag.2024.107252	web_search	high		1	30.0	1.0	False	False	False	2	Rapid inference of antibiotic resistance and susceptibility for Klebsiella pneumoniae by clinical shotgun metagenomic sequencing.
PRJNA296771	False	29553324	PMC5875285	10.3201/eid2404.171377	europepmc_accession	high	True	1	30.0	1.0	False	False	False	3	Phenotypic and Genotypic Characterization of Enterobacteriaceae Producing Oxacillinase-48-Like Carbapenemases, United States.
PRJEB8776	False	30840764	PMC6938978	10.1093/cid/ciz174	europepmc_accession	medium	False	1	30.0	1.0	True	False	False	4	A One Health Study of the Genetic Relatedness of Klebsiella pneumoniae and Their Mobile Elements in the East of England.
PRJEB43550	False	40511474	PMC12164281	10.2807/1560-7917.es.2025.30.23.2400590	europepmc_accession	medium	True	1	30.0	1.0	False	False	False	1	Beyond patient contact: combined short- and long read sequencing reveals continuous occurrence of genomically related carbapenemase-producing Enterobacterales and plasmid mobility in a hospital, Germany, 2018 to 2021.
PRJNA816413	False	35453187	PMC9027467	10.3390/antibiotics11040435	europepmc_accession	high	True	1	29.0	1.0	False	False	False	1	Genetic Characterization of Carbapenem-Resistant <i>Klebsiella</i> spp. from Municipal and Slaughterhouse Wastewater.
PRJEB44852	False	34855011		10.1007/s10096-021-04384-2	ncbi_bioproject	high	True	1	39.0	1.3448	False	False	False	1	Diversity of carbapenem-resistant Klebsiella pneumoniae ST14 and emergence of a subgroup with KL64 capsular locus in the Arabian Peninsula.
PRJNA508406	False	33923801	PMC8072773	10.3390/ph14040370	europepmc_accession	medium	True	1	29.0	1.0	False	False	False	1	In Vitro Activity of a Novel Siderophore-Cephalosporin LCB10-0200 (GT-1), and LCB10-0200/Avibactam, against Carbapenem-Resistant <i>Escherichia coli</i>, <i>Klebsiella pneumoniae</i>, <i>Acinetobacter baumannii</i>, and <i>Pseudomonas aeruginosa</i> Strains at a Tertiary Hospital in Korea.
PRJNA707214	False	33507909	PMC7842938	10.1371/journal.pone.0245250	europepmc_title	high	False	1	29.0	1.0	True	False	False	2	A One Health approach to assessing occupational exposure to antimicrobial resistance in Thailand: The FarmResist project.
PRJNA925315	False	37214917	PMC10193520	10.1101/2023.04.24.23289028	web_search	high	False	1	29.0	1.0	False	False	False	1	WITHDRAWN: Evaluation of Fourier Transform Infrared spectroscopy (IR Biotyper) as a complement to Whole genome sequencing (WGS) to characterise <i>Enterobacter cloacae</i> , <i>Citrobacter freundii</i> and <i>Klebsiella pneumoniae</i> isolates recovered from hospital sinks.
PRJNA1122997	False	41618131	PMC12951928	10.1186/s12866-026-04741-1	europepmc_accession	high	True	1	399.0	13.7586	False	False	False	1	Ambler class C-type β-lactamases and porin alterations in Enterobacter cloacae complex and Klebsiella aerogenes in the Netherlands, 2012-2023.
PRJEB59858	False	36962870	PMC10021837	10.1371/journal.pgph.0000875	web_search	medium	False	1	28.0	1.0	False	False	False	2	Clinical and laboratory factors associated with neonatal sepsis mortality at a major Vietnamese children's hospital.
PRJEB35248	False	34477846	PMC8598304	10.1093/jac/dkab328	europepmc_accession,ncbi_bioproject	high	True	2	28.0	1.0	False	False	False	1	Rapid high-resolution detection of colistin resistance in Gram-negative bacteria using flow cytometry: a comparison with broth microdilution, a commercial screening test and WGS.
PRJNA767190	False	34787440	PMC8597650	10.1128/spectrum.01608-21	ncbi_bioproject	medium	False	1	28.0	1.0	False	False	False	1	Comparison of sCIM and Other Phenotypic Detection Methods for Carbapenemase-Producing <i>Enterobacterales</i>.
PRJNA984451	False	37772074	PMC10532110	10.1093/jacamr/dlad106	europepmc_accession	medium	True	1	28.0	1.0	False	False	False	2	Analysis of the stepwise acquisition of &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;CTX-M-2&lt;/sub&gt; and subsequent acquisition of either &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;IMP-1&lt;/sub&gt; or &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;IMP-6&lt;/sub&gt; in highly conserved IncN-pST5 plasmids.
PRJEB44864	False	35913212	PMC9430602	10.1128/spectrum.01009-22	europepmc_accession,europepmc_secondary,web_search	high	True	3	28.0	1.0	False	False	False	2	Hypervariable-Locus Melting Typing: a Novel Approach for More Effective High-Resolution Melting-Based Typing, Suitable for Large Microbiological Surveillance Programs.
PRJDB14712	False	37811969	PMC10715227	10.1128/spectrum.02188-23	europepmc_accession	high	True	1	28.0	1.0	False	False	False	1	Municipal wastewater monitoring revealed the predominance of &lt;i&gt;bla&lt;/i&gt; &lt;sub&gt;GES&lt;/sub&gt; genes with diverse variants among carbapenemase-producing organisms: high occurrence and persistence of &lt;i&gt;Aeromonas caviae&lt;/i&gt; harboring the new &lt;i&gt;bla&lt;/i&gt; &lt;sub&gt;GES&lt;/sub&gt; variant &lt;i&gt;bla&lt;/i&gt; &lt;sub&gt;GES-48&lt;/sub&gt;.
PRJEB32657	False	41224788	PMC12612273	10.1038/s41467-025-65266-1	europepmc_accession	high	True	1	27.0	1.0	False	False	False	1	Circulation of Salmonella spp. between humans, animals and the environment in animal-owning households in Malawi.
PRJNA436373	False			10.1101/298513	europepmc_title	high	True	1	27.0	1.0	False	False	False	1	Diverse Mechanisms of Resistance in Carbapenem-Resistant Enterobacteriaceae at a Health Care System in Silicon Valley, California
PRJEB40571	False	34279213	PMC8477410	10.1099/mgen.0.000567	europepmc_accession,europepmc_title,ncbi_bioproject,published_version	high	True	4	30.0	1.1111	False	False	False	1	Harmonization of whole-genome sequencing for outbreak surveillance of <i>Enterobacteriaceae</i> and <i>Enterococci</i>.
PRJNA850834	False	38481664	PMC10933102	10.3389/fcimb.2024.1328123	europepmc_accession	high	True	1	27.0	1.0	False	False	False	1	Molecular epidemiology of multidrug-resistant &lt;i&gt;Klebsiella pneumoniae, Enterobacter cloacae&lt;/i&gt;, and &lt;i&gt;Escherichia coli&lt;/i&gt; outbreak among neonates in Tembisa hospital, South Africa.
PRJNA351910	False	27406977	PMC4942785	10.1038/srep29316	ncbi_bioproject	high	False	1	27.0	1.0	False	False	False	4	Differential host susceptibility and bacterial virulence factors driving Klebsiella liver abscess in an ethnically diverse population.
