sr_sample_accession,sr_run_accession,refseq_sample,refseq_gcf_accession,duplicate_removed,in_bakrep_sheet,in_assembly_scan,bakrep_FINAL,bakrep_instrument_platform,bakrep_gtdbtk_species,bakrep_checkm2_completeness,bakrep_checkm2_contamination,bakrep_study_accession,kleborate_species,kleborate_species_match,kleborate_contig_count,kleborate_N50
SAMN31157668,SRR21812747,GCF_030662235.2_ASM3066223v2_genomic,GCF_030662235.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.15,PRJNA561493,Klebsiella pneumoniae,strong,192,185541
SAMN11056344,SRR8984904,GCF_008693445.1_ASM869344v1_genomic,GCF_008693445.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,1.61,PRJNA231221,Klebsiella pneumoniae,strong,115,355359
SAMN16357456,SRR13674019,GCF_016904415.1_ASM1690441v1_genomic,GCF_016904415.1,False,True,True,False,PACBIO_SMRT || PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.2,PRJNA231221,Klebsiella pneumoniae,strong,143,258650
SAMN15329710,SRR12070039,GCF_013377665.2_ASM1337766v2_genomic,GCF_013377665.2,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.07,PRJNA641131,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,49,1270330
SAMN36467616,SRR32280974,GCF_030520265.1_ASM3052026v1_genomic,GCF_030520265.1,False,False,False,,,,,,,,,,
SAMN15329711,SRR12070038,GCF_013377595.2_ASM1337759v2_genomic,GCF_013377595.2,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.07,PRJNA641131,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,47,2952168
SAMN11056346,SRR8984908,GCF_008693425.1_ASM869342v1_genomic,GCF_008693425.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,1.21,PRJNA231221,Klebsiella pneumoniae,strong,87,609011
SAMN16357452,SRR13674001,GCF_016904595.1_ASM1690459v1_genomic,GCF_016904595.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.13,PRJNA231221,Klebsiella pneumoniae,strong,81,430318
SAMN07312480,SRR5884789,GCF_002636095.1_ASM263609v1_genomic,GCF_002636095.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.11,PRJNA231221,Klebsiella pneumoniae,strong,107,286798
SAMN16357245,SRR12931584,GCF_016727425.1_ASM1672742v1_genomic,GCF_016727425.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.51,PRJNA231221,Klebsiella pneumoniae,strong,76,675462
SAMN35791035,SRR32280975,GCF_030480605.1_ASM3048060v1_genomic,GCF_030480605.1,False,False,False,,,,,,,,,,
SAMN31157674,SRR21812740,GCF_030661975.2_ASM3066197v2_genomic,GCF_030661975.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.51,PRJNA561493,Klebsiella pneumoniae,strong,167,172765
SAMN31157673,SRR21812741,GCF_029814425.1_ASM2981442v1_genomic,GCF_029814425.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.51,PRJNA561493,Klebsiella pneumoniae,strong,166,151441
SAMN31654605,SRR22226959,GCF_029623595.1_ASM2962359v1_genomic,GCF_029623595.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.3,PRJNA561493,Klebsiella pneumoniae,strong,939,145702
SAMN31157671,SRR21812743,GCF_029814315.1_ASM2981431v1_genomic,GCF_029814315.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.5,PRJNA561493,Klebsiella pneumoniae,strong,154,157172
SAMN07312484,SRR5884796,GCF_002635725.1_ASM263572v1_genomic,GCF_002635725.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.54,PRJNA231221,Klebsiella pneumoniae,strong,135,310659
SAMN35791036,SRR32280976,GCF_030486445.1_ASM3048644v1_genomic,GCF_030486445.1,False,False,False,,,,,,,,,,
SAMN16357454,SRR13674006,GCF_016903495.1_ASM1690349v1_genomic,GCF_016903495.1,False,True,True,False,PACBIO_SMRT || ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,1.11,PRJNA231221,Klebsiella pneumoniae,strong,62,440883
SAMN16357448,SRR13673973,GCF_016904295.1_ASM1690429v1_genomic,GCF_016904295.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.17,PRJNA231221,Klebsiella pneumoniae,strong,59,443599
SAMN16357461,SRR13674233,GCF_016904095.1_ASM1690409v1_genomic,GCF_016904095.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.12,PRJNA231221,Klebsiella pneumoniae,strong,155,106451
SAMN35791034,SRR32280977,GCF_030480585.1_ASM3048058v1_genomic,GCF_030480585.1,False,False,False,,,,,,,,,,
SAMN07312488,SRR5884857,GCF_002587165.1_ASM258716v1_genomic,GCF_002587165.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.18,PRJNA231221,Klebsiella pneumoniae,strong,214,180581
SAMN07609113,SRR6958751,GCF_002852995.3_ASM285299v3_genomic,GCF_002852995.3,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.29,PRJNA353728,Klebsiella pneumoniae,strong,83,334750
SAMN11056343,SRR8984901,GCF_012273075.1_ASM1227307v1_genomic,GCF_012273075.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella variicola,100.0,0.14,PRJNA231221,Klebsiella variicola subsp. variicola,strong,83,350517
SAMN16357468,SRR13668390,GCF_016903155.1_ASM1690315v1_genomic,GCF_016903155.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.51,PRJNA231221,Klebsiella pneumoniae,strong,180,167899
SAMN08624641,SRR6952551,GCF_003038035.2_ASM303803v2_genomic,GCF_003038035.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.2,PRJNA353728,Klebsiella pneumoniae,strong,143,191010
SAMN10163190,SRR8179066,GCF_003812085.1_ASM381208v1_genomic,GCF_003812085.1,False,True,True,False,PACBIO_SMRT || ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,99.98,0.71,PRJNA231221,Klebsiella pneumoniae,strong,186,200370
SAMN15329758,SRR12068826,GCF_014162935.2_ASM1416293v2_genomic,GCF_014162935.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.1,PRJNA641130,Klebsiella pneumoniae,strong,73,414124
SAMN16357447,SRR13673970,GCF_016903195.1_ASM1690319v1_genomic,GCF_016903195.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.56,PRJNA231221,Klebsiella pneumoniae,strong,189,369790
SAMN16357460,SRR13674231,GCF_016903455.1_ASM1690345v1_genomic,GCF_016903455.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.31,PRJNA231221,Klebsiella pneumoniae,strong,138,113185
SAMN17016751,SRR13355317,GCF_016510335.1_ASM1651033v1_genomic,GCF_016510335.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella quasipneumoniae,100.0,0.04,PRJNA683049,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,121,305865
SAMN07609117,SRR6958781,GCF_002852975.3_ASM285297v3_genomic,GCF_002852975.3,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.49,PRJNA353728,Klebsiella pneumoniae,strong,156,171101
SAMN15061191,SRR11885009,GCF_013366575.2_ASM1336657v2_genomic,GCF_013366575.2,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.07,PRJNA636185,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,53,746730
SAMN17016748,SRR13355321,GCF_016066295.1_ASM1606629v1_genomic,GCF_016066295.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.15,PRJNA683049,Klebsiella pneumoniae,strong,94,297180
SAMN07312483,SRR5884793,GCF_002591075.1_ASM259107v1_genomic,GCF_002591075.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.28,PRJNA231221,Klebsiella pneumoniae,strong,159,298279
SAMN07609131,SRR6958817,GCF_002852675.2_ASM285267v2_genomic,GCF_002852675.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.16,PRJNA353728,Klebsiella pneumoniae,strong,127,193060
SAMN16357453,SRR13674003,GCF_016903255.1_ASM1690325v1_genomic,GCF_016903255.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.7,PRJNA231221,Klebsiella pneumoniae,strong,127,326039
SAMN11056345,SRR8984905,GCF_008693405.1_ASM869340v1_genomic,GCF_008693405.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.3,PRJNA231221,Klebsiella pneumoniae,strong,129,492003
SAMN37684971,SRR26280620,GCF_032759475.1_ASM3275947v1_genomic,GCF_032759475.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.14,PRJNA1023934,Klebsiella pneumoniae,strong,323,217140
SAMN16357451,SRR13673978,GCF_016903955.1_ASM1690395v1_genomic,GCF_016903955.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.13,PRJNA231221,Klebsiella pneumoniae,strong,93,359445
SAMN15329712,SRR12070037,GCF_013377655.2_ASM1337765v2_genomic,GCF_013377655.2,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.06,PRJNA641131,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,36,2943181
SAMN48790591,SRR35788635,GCF_050847265.1_Toby_K_quasipneumoniae_TMH.W1_genomic,GCF_050847265.1,False,False,False,,,,,,,,,,
SAMN07312491,SRR5884866,GCF_002636215.1_ASM263621v1_genomic,GCF_002636215.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,2.04,PRJNA231221,Klebsiella pneumoniae,strong,166,267332
SAMN07291531,SRR6985677,GCF_003073675.1_ASM307367v1_genomic,GCF_003073675.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.07,PRJNA316321,Klebsiella pneumoniae,strong,150,203766
SAMN07291519,SRR6985668,GCF_003074015.1_ASM307401v1_genomic,GCF_003074015.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.23,PRJNA316321,Klebsiella pneumoniae,strong,120,243495
SAMN08932863,SRR7012051,GCF_003261955.3_ASM326195v3_genomic,GCF_003261955.3,False,True,True,False,ILLUMINA || ILLUMINA,Klebsiella pneumoniae,100.0,0.21,PRJNA353728,Klebsiella pneumoniae,strong,154,203899
SAMN16357459,SRR13674229,GCF_016903755.1_ASM1690375v1_genomic,GCF_016903755.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.45,PRJNA231221,Klebsiella pneumoniae,strong,168,85708
SAMN15437788,SRR12518019,GCF_022369815.1_ASM2236981v1_genomic,GCF_022369815.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.32,PRJNA643814,Klebsiella pneumoniae,strong,103,251034
SAMN17016746,SRR13355319,GCF_016066695.1_ASM1606669v1_genomic,GCF_016066695.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella quasipneumoniae,100.0,0.55,PRJNA683049,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,122,285417
SAMN16357463,SRR13674237,GCF_016903895.1_ASM1690389v1_genomic,GCF_016903895.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.44,PRJNA231221,Klebsiella pneumoniae,strong,156,167957
SAMN14453493,SRR14532093,GCF_012029975.2_ASM1202997v2_genomic,GCF_012029975.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.76,PRJNA395086,Klebsiella pneumoniae,strong,126,170319
SAMN07312486,SRR5884801,GCF_002636375.1_ASM263637v1_genomic,GCF_002636375.1,False,True,True,False,PACBIO_SMRT || PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.84,PRJNA231221,Klebsiella pneumoniae,strong,139,194300
SAMN16357471,SRR13668426,GCF_016903875.1_ASM1690387v1_genomic,GCF_016903875.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.61,PRJNA231221,Klebsiella pneumoniae,strong,107,301083
SAMN04158282,SRR2724081,GCF_002113865.1_ASM211386v1_genomic,GCF_002113865.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.11,PRJNA295003,Klebsiella pneumoniae,strong,163,324632
SAMN16357467,SRR13668388,GCF_016903735.1_ASM1690373v1_genomic,GCF_016903735.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.42,PRJNA231221,Klebsiella pneumoniae,strong,116,263953
SAMN11618737,SRR9861757,GCF_010586985.1_ASM1058698v1_genomic,GCF_010586985.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.1,PRJNA542320,Klebsiella pneumoniae,strong,302,134484
SAMN03455930,SRR3217430,GCF_001663295.1_ASM166329v1_genomic,GCF_001663295.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.5,PRJNA279611,Klebsiella pneumoniae,strong,117,204405
SAMN03455970,SRR3228444,GCF_001648215.1_ASM164821v1_genomic,GCF_001648215.1,False,True,True,False,PACBIO_SMRT || ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.87,PRJNA279650,Klebsiella pneumoniae,strong,66,318552
SAMN03455977,SRR3465532,GCF_001936035.1_ASM193603v1_genomic,GCF_001936035.1,False,True,True,False,PACBIO_SMRT || PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.11,PRJNA279657,Klebsiella pneumoniae,strong,39,613002
SAMN03455975,SRR3465557,GCF_001663435.1_ASM166343v1_genomic,GCF_001663435.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.45,PRJNA279655,Klebsiella pneumoniae,strong,109,431684
SAMN03455976,SRR3465562,GCF_001663455.1_ASM166345v1_genomic,GCF_001663455.1,False,True,True,False,PACBIO_SMRT || PACBIO_SMRT || PACBIO_SMRT || ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.22,PRJNA279656,Klebsiella pneumoniae,strong,99,307252
SAMN03455990,SRR6675860,GCF_002918585.2_ASM291858v2_genomic,GCF_002918585.2,False,True,True,False,PACBIO_SMRT || PACBIO_SMRT || ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.1,PRJNA430813,Klebsiella pneumoniae,strong,114,220206
SAMN03455989,SRR8778550,GCF_004322955.1_ASM432295v1_genomic,GCF_004322955.1,False,True,True,False,PACBIO_SMRT || PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA279669,Klebsiella pneumoniae,strong,132,314548
SAMN10163226,SRR8180469,GCF_003812105.1_ASM381210v1_genomic,GCF_003812105.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.61,PRJNA231221,Klebsiella pneumoniae,strong,108,225098
SAMN16357462,SRR13674235,GCF_016904635.1_ASM1690463v1_genomic,GCF_016904635.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.12,PRJNA231221,Klebsiella pneumoniae,strong,125,191731
SAMN13968567,SRR10998795,GCF_023612215.1_ASM2361221v1_genomic,GCF_023612215.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.08,PRJNA604394,Klebsiella pneumoniae,strong,124,327451
SAMN16357464,SRR13674429,GCF_016904035.1_ASM1690403v1_genomic,GCF_016904035.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.69,PRJNA231221,Klebsiella pneumoniae,strong,144,167285
SAMN11056342,SRR8991235,GCF_008693465.1_ASM869346v1_genomic,GCF_008693465.1,False,True,True,False,PACBIO_SMRT || ILLUMINA || PACBIO_SMRT,Klebsiella variicola,100.0,0.37,PRJNA231221,Klebsiella variicola subsp. variicola,strong,103,412237
SAMN16357450,SRR13673976,GCF_016903795.1_ASM1690379v1_genomic,GCF_016903795.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.1,PRJNA231221,Klebsiella pneumoniae,strong,66,300565
SAMN10910564,SRR13362014,GCF_004295605.1_ASM429560v1_genomic,GCF_004295605.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA521748,Klebsiella pneumoniae,strong,92,274531
SAMN16357465,SRR13674404,GCF_016903295.1_ASM1690329v1_genomic,GCF_016903295.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,5.64,PRJNA231221,Klebsiella pneumoniae,strong,208,149198
SAMN16357449,SRR13673975,GCF_016903775.1_ASM1690377v1_genomic,GCF_016903775.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.37,PRJNA231221,Klebsiella pneumoniae,strong,93,349837
SAMN08624691,SRR6955422,GCF_003037185.2_ASM303718v2_genomic,GCF_003037185.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.8,PRJNA353728,Klebsiella pneumoniae,strong,95,314586
SAMN16357466,SRR13668104,GCF_016903235.1_ASM1690323v1_genomic,GCF_016903235.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,2.89,PRJNA231221,Klebsiella pneumoniae,strong,319,77975
SAMN08624622,SRR6958805,GCF_003037005.2_ASM303700v2_genomic,GCF_003037005.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.25,PRJNA353728,Klebsiella pneumoniae,strong,179,176133
SAMN14082726,SRR11248994,GCF_017161485.1_ASM1716148v1_genomic,GCF_017161485.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.32,PRJNA593981,Klebsiella pneumoniae,strong,120,435194
SAMN08624675,SRR6958772,GCF_003036645.2_ASM303664v2_genomic,GCF_003036645.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.22,PRJNA353728,Klebsiella pneumoniae,strong,100,307792
SAMN29934015,SRR20649763,GCF_026247925.1_ASM2624792v1_genomic,GCF_026247925.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.5,PRJNA590644,Klebsiella pneumoniae,strong,168,203844
SAMN07609144,SRR6946352,GCF_002852365.2_ASM285236v2_genomic,GCF_002852365.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.24,PRJNA353728,Klebsiella pneumoniae,strong,176,192958
SAMN07609114,SRR6474043,GCF_002852945.3_ASM285294v3_genomic,GCF_002852945.3,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA353728,Klebsiella pneumoniae,strong,162,270784
SAMN04868740,SRR8607467,GCF_001701845.2_ASM170184v2_genomic,GCF_001701845.2,True,True,True,False,OXFORD_NANOPORE || OXFORD_NANOPORE || ILLUMINA || OXFORD_NANOPORE || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.07,PRJNA307517,Klebsiella pneumoniae,strong,130,220890
SAMN29934020,SRR20649758,GCF_026247945.1_ASM2624794v1_genomic,GCF_026247945.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.06,PRJNA590644,Klebsiella pneumoniae,strong,146,256642
SAMN41039775,SRR28778048,GCF_040256755.1_ASM4025675v1_genomic,GCF_040256755.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.16,PRJNA1103093,Klebsiella pneumoniae,strong,211,149168
SAMN19073635,SRR29730946,GCF_018454365.1_ASM1845436v1_genomic,GCF_018454365.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,1.83,PRJNA728250,Klebsiella pneumoniae,strong,171,181621
SAMN17016749,SRR13355320,GCF_016066025.1_ASM1606602v1_genomic,GCF_016066025.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.36,PRJNA683049,Klebsiella pneumoniae,strong,128,328382
SAMN21399028,SRR16069088,GCF_020080145.1_ASM2008014v1_genomic,GCF_020080145.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.09,PRJNA757181,Klebsiella pneumoniae,strong,177,401615
SAMN14082702,SRR11249000,GCF_017161505.1_ASM1716150v1_genomic,GCF_017161505.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.37,PRJNA593981,Klebsiella pneumoniae,strong,128,435194
SAMN07312489,SRR5884860,GCF_002386225.2_ASM238622v2_genomic,GCF_002386225.2,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,2.03,PRJNA231221,Klebsiella pneumoniae,strong,161,135548
SAMN07609146,SRR6959180,GCF_002852325.2_ASM285232v2_genomic,GCF_002852325.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA353728,Klebsiella pneumoniae,strong,83,371215
SAMN06437491,SRR5385492,GCF_002156785.1_ASM215678v1_genomic,GCF_002156785.1,False,True,True,False,ILLUMINA || ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA376414,Klebsiella pneumoniae,strong,146,191733
SAMN16357470,SRR13668412,GCF_016904275.1_ASM1690427v1_genomic,GCF_016904275.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.18,PRJNA231221,Klebsiella pneumoniae,strong,180,161672
SAMN08624626,SRR6958849,GCF_003038135.2_ASM303813v2_genomic,GCF_003038135.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.2,PRJNA353728,Klebsiella pneumoniae,strong,137,203899
SAMN07609123,SRR6958852,GCF_002852785.2_ASM285278v2_genomic,GCF_002852785.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.24,PRJNA353728,Klebsiella pneumoniae,strong,170,193060
SAMN39455295,SRR35757975,GCF_048964095.2_ASM4896409v2_genomic,GCF_048964095.2,False,False,False,,,,,,,,,,
SAMN36470479,SRR25301677,GCF_030519675.2_ASM3051967v2_genomic,GCF_030519675.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.4,PRJNA561493,Klebsiella pneumoniae,strong,163,226187
