study_accession	gap_samples	gap_fields	fulltext_source	paywalled	per_sample_fills	mech_reason	supp_present	has_per_sample_table	table_fields	accession_keyed	table_reference	action	evidence_quote	pmcid	doi	save_as
PRJNA415530	96	host,isolation_source	pdf	True	0	no_supp	False	no		no		SKIP	The clinical polymyxin-susceptible XDR K. pneumoniae ST258 (closely related to the NJST258_2 clade) isolate, 20_GR_12, was sourced through Hygeia General Hospital, Athens, Greece as previously described.	PMC6376851	10.1093/jac/dky458	PRJNA415530.xlsx
PRJEB50277	96	isolation_source	abstract	True	0	NO_PMCID	False	no		no		SKIP	A total of 504 CRE collected over a 9-month period in 15 hospitals were studied.		10.1016/j.ijid.2022.04.034	PRJEB50277.xlsx
PRJEB35890	96	isolation_source	europepmc_fulltext	False	0	no_supp	False	no	collection_date	no		SKIP	Samples with place and year of isolation are presented on the y-axis.	PMC7262493	10.2807/1560-7917.es.2020.25.20.2000627	PRJEB35890.xlsx
PRJEB39942	95	host	europepmc_fulltext	False	190	direct	False	yes	isolation_source,collection_date	yes	Table S1 (Excel file)	OA_PARTIAL	Individual accession numbers for raw sequence data are available in Table S1 (available in the online version of this article)... The metadata are also available as an Excel file (Table S1).	PMC8190614	10.1099/mgen.0.000509	PRJEB39942.xlsx
PRJNA1026096	88	isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA1026096.xlsx
PRJNA231221	88	collection_date,isolation_source	europepmc_fulltext	False	0	manifest_only	False	yes	isolation_source,host,collection_date	yes	Supplementary Data 1	OA_INVESTIGATE	Supplementary Data 1 lists all FDA-ARGOS genomes with accessions and statistics used in this manuscript.	PMC6658474	10.1038/s41467-019-11306-6	PRJNA231221.xlsx
PRJNA605147	84	host	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,host,collection_date	unclear	table S1	OA_INVESTIGATE	resulting in 827 high-quality genomes (table S1; n = 495 from livestock farms, n = 332 from WwTWs)	PMC8034854	10.1126/sciadv.abe3868	PRJNA605147.xlsx
PRJEB45369	84	host	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB45369.xlsx
PRJNA342893	80	isolation_source	abstract	True	0	NO_PMCID	False	no		no		SKIP	Among 430 CRE isolates from the 249 subjects, 307(71.3%) were CPE, of which 154(50.2%) were blaKPC-positive, 97(31.6%) blaNDM-positive, and 42 (13.7%) blaOXA-positive.		10.1093/cid/cix113	PRJNA342893.xlsx
PRJEB56668	73	host	europepmc_fulltext	False	73	direct	False	yes	isolation_source,collection_date	yes	Supplementary Table S1	OA_PARTIAL	Klebsiella spp. isolates were detected in all batches of salami and five of six batches of cheese, and were isolated along approximately the whole sampling period (Fig. 1, Supplementary Table S1).	PMC10326032	10.1038/s41598-023-37821-7	PRJEB56668.xlsx
PRJNA1050414	72	isolation_source	europepmc_fulltext	False	0	unanchored	False	likely	isolation_source,collection_date	yes	data S1	OA_INVESTIGATE	498 nonduplicated CRKP isolates (clinical sample set A) (data S1) were collected from hospitalized patients across eight tertiary hospitals in China and subjected to short-read sequencing.	PMC11784837	10.1126/sciadv.ado9097	PRJNA1050414.xlsx
PRJNA1061342	71	isolation_source	abstract	True	0	NO_PMCID	False	no		no		SKIP	We conducted a multicenter molecular epidemiological survey using isolates obtained from 28 provinces and municipalities across China between 2011 and 2021.		10.1016/j.drup.2024.101083	PRJNA1061342.xlsx
PRJEB50346	70	collection_date	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB50346.xlsx
PRJNA259658	69	isolation_source	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source,collection_date	yes	Data Set S1	OA_INVESTIGATE	Comprehensive table with details about the 97 clinical isolates and six type strains sequenced in this study.	PMC5156309	10.1128/mbio.02093-16	PRJNA259658.xlsx
PRJDB4948	69	isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJDB4948.xlsx
PRJNA903550	67	isolation_source	europepmc_fulltext	False	37	direct	False	likely		unclear	Supplementary Table S1, S2, S3	OA_PARTIAL	for each isolate, the detailed results from molecular analysis are provided in Supplementary Table S1 and S2	PMC9808315	10.2807/1560-7917.es.2022.27.50.2200896	PRJNA903550.xlsx
PRJEB78367	64	isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	Supplementary Table 1 provides a summary of genomes per country.	PMC12753507	10.3389/fpubh.2025.1716498	PRJEB78367.xlsx
PRJEB51676	63	host	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source	yes	Supplementary Table 1	OA_INVESTIGATE	Distribution for all isolates according to source and ward where they were detected can be found in Supplementary Table 1; Supplementary Text 1.	PMC9218594	10.3389/fmicb.2022.897161	PRJEB51676.xlsx
PRJEB66360	60	host	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,collection_date	yes	Table 1	OA_INVESTIGATE	Ten wild-type clinical isolates of K. pneumoniae cultured from diagnostic samples of different patients admitted to the Reina Sofía University Hospital (Córdoba, Spain) were evaluated (Table 1).	PMC10714954	10.1128/spectrum.02238-23	PRJEB66360.xlsx
PRJEB59403	59	host	abstract	True	0	NO_PMCID	False	no		no		SKIP	Carbapenemase genes were detected in 243 isolates, most of which belonged to genera/species Citrobacter spp. (n = 70), Klebsiella spp. (n = 57), Enterobacter spp. (n = 52) and E. coli (n = 42).		10.1016/j.scitotenv.2023.164179	PRJEB59403.xlsx
PRJNA592157	58	isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	Isolates originated from blood, urine, pulmonary aspirates, sputum, and wounds and were each collected from different patients, for an initial collection of 70 unique isolates.	PMC7395672	10.1093/ofid/ofaa266	PRJNA592157.xlsx
PRJNA329105	57	isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA329105.xlsx
PRJEB50837	52	host	europepmc_fulltext	False	156	direct	False	yes	isolation_source,host,collection_date	yes	Source Data file	OA_PARTIAL	the source data (Source Data file) provided with this paper lists accession numbers for each genome analysed in this study, alongside with the isolate collection metadata generated in this study.	PMC9744880	10.1038/s41467-022-34970-7	PRJEB50837.xlsx
PRJNA237670	51	isolation_source	pdf	True	0	no_supp	False	likely	isolation_source,collection_date	yes	Dataset S1	FETCH_SUPP	These clinical isolates were cultured from blood, urine, sputum, or skin of infected individuals or from a rectal swab over a time period encompassing 2003–2012 (Dataset S1).	PMC3977278	10.1073/pnas.1321364111	PRJNA237670.xlsx
PRJEB51225	51	host	europepmc_fulltext	False	153	direct	False	yes	isolation_source,collection_date	yes	Supplementary Table S1	OA_PARTIAL	Individual accession numbers for the sequenced isolates are detailed in Table S1.	PMC10569728	10.1099/mgen.0.001104	PRJEB51225.xlsx
