ncbi_accession	paired_gcf_accession	ncbi_assembly_level	ncbi_assembly_status	ncbi_sequencing_tech	ncbi_assembly_method	ncbi_refseq_category	ncbi_genome_notes	ncbi_genome_size	ncbi_n_scaffolds	ncbi_scaffold_n50	ncbi_scaffold_l50	ncbi_n_contigs	ncbi_contig_n50	ncbi_contig_l50	ncbi_genome_coverage	ncbi_gc_percent	ncbi_n_chromosomes	ncbi_completeness	ncbi_contamination	ncbi_taxonomy_check	ncbi_ani_match_status	lookup_accession
GCF_001902215.1	GCA_001902215.1	Complete Genome	current	PacBio RS II; Illumina MiSeq	PacBio SMRT Portal v. Nov-2016; Pilon			5773763	5	5452922	1	5	5452922	1		57.0	5	96.85	0.21	OK	derived_species_match	GCF_001902215
GCF_001705385.1	GCA_001705385.1	Complete Genome	current	PacBio	ETHZ_pipeline v. 10.07.2015			5803735	4	5452045	1	4	5452045	1		57.0	4	99.07	0.31	OK	derived_species_match	GCF_001705385
GCF_000968155.1	GCA_000968155.1	Complete Genome	current					5655684	3	5438894	1	3	5438894	1		57.0	3	97.81	0.45	OK	species_match	GCF_000968155
GCF_000364385.3	GCA_000364385.3	Complete Genome	current	PacBio; Illumina	readStepper-assisted revision of previous Newbler assembly v. MAY-2015			5781501	5	5435746	1	5	5435746	1	85.0	57.0	5	98.93	1.35	OK	derived_species_match	GCF_000364385
GCF_001701835.2	GCA_001701835.2	Complete Genome	current	Illumina MiSeq/ ONT MinION	Unicycler v. 0.3.1			5843511	6	5426917	1	6	5426917	1	101.0	57.0	6	98.9	0.48	OK	derived_species_match	GCF_001701835
GCF_001908515.1	GCA_001908515.1	Complete Genome	current	PacBio	HGAP v. unspecified			5752260	7	5424949	1	7	5424949	1	170.0	57.0	7	98.55	1.95	OK	derived_species_match	GCF_001908515
GCF_001902355.1	GCA_001902355.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0			5778578	3	5423372	1	3	5423372	1	153.0	57.0	3	98.85	1.82	OK	derived_species_match	GCF_001902355
GCF_001307175.1	GCA_001307175.1	Complete Genome	current					5696051	3	5416282	1	3	5416282	1		57.0	3	98.6	1.29	OK	derived_species_match	GCF_001307175
GCF_001708245.1	GCA_001708245.1	Complete Genome	current	PacBio	HGAP v. 3			5412960	1	5412960	1	1	5412960	1	149.59	57.5	1	98.35	0.22	OK	species_match	GCF_001708245
GCF_001455995.1	GCA_001455995.1	Complete Genome	current	Pacific Biosciences RSII	HGAP 2.2.0			5980203	7	5402900	1	7	5402900	1	108.0	56.5	7	98.29	1.42	OK	derived_species_match	GCF_001455995
GCF_001022235.1	GCA_001022235.1	Complete Genome	current	PacBio	HGAP3 v. 2.2.0			5620516	5	5402147	1	5	5402147	1	90.0	57.0	5	98.78	0.19	OK	derived_species_match	GCF_001022235
GCF_001855315.1	GCA_001855315.1	Complete Genome	current	PacBio	HGAP v. 1.0			5718854	5	5400658	1	5	5400658	1	100.0	57.0	5	98.55	1.72	OK	species_match	GCF_001855315
GCF_001701845.2	GCA_001701845.2	Complete Genome	current	Illumina MiSeq/ ONT MinION	Unicycler v. 0.3.1			5674561	5	5395894	1	5	5395894	1	115.0	57.0	5	98.98	0.28	OK	derived_species_match	GCF_001701845
GCF_001675125.1	GCA_001675125.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.3			5681468	4	5393897	1	4	5393897	1	152.0	57.0	4	98.79	0.19	OK	derived_species_match	GCF_001675125
GCF_001870165.1	GCA_001870165.1	Complete Genome	current	PacBio	HGAP v. unspecified			5597109	4	5387681	1	4	5387681	1	92.0	57.5	4	98.59	0.86	OK	derived_species_match	GCF_001870165
GCF_001885255.2	GCA_001885255.2	Complete Genome	current	PacBio RSII	SMRT Analysis Software v. 2.3.0			5920942	7	5381436	1	7	5381436	1	112.0	56.5	7	98.42	1.21	OK	derived_species_match	GCF_001885255
GCF_001708225.1	GCA_001708225.1	Complete Genome	current	PacBio	HGAP v. 3			5587396	2	5374626	1	2	5374626	1	138.19	57.5	2	98.88	0.33	OK	derived_species_match	GCF_001708225
GCF_001908625.1	GCA_001908625.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0			5907691	6	5374118	1	6	5374118	1	128.0	56.5	6	98.42	1.21	OK	derived_species_match	GCF_001908625
GCF_001908595.1	GCA_001908595.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0			5916317	6	5373056	1	6	5373056	1	140.0	56.5	6	98.42	1.21	OK	derived_species_match	GCF_001908595
GCF_001908655.1	GCA_001908655.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0			5913496	6	5373056	1	6	5373056	1	134.0	56.5	6	98.42	1.21	OK	derived_species_match	GCF_001908655
GCF_001663435.1	GCA_001663435.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.2			5536135	2	5365209	1	2	5365209	1	159.0	57.0	2	98.29	0.84	OK	derived_species_match	GCF_001663435
GCF_001648215.1	GCA_001648215.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.3			5566588	4	5353110	1	4	5353110	1	200.0	57.0	4	98.55	1.47	OK	derived_species_match	GCF_001648215
GCF_001663295.1	GCA_001663295.1	Complete Genome	current	PacBio RSII	HGAP v. 2			5779669	4	5351509	1	4	5351509	1	120.0	57.0	4	98.81	0.98	OK	derived_species_match	GCF_001663295
GCF_001663195.1	GCA_001663195.1	Complete Genome	current	PacBio	HGAP v. HGAP3			5420718	2	5344467	1	2	5344467	1	180.0	57.5	2	97.64	0.73	OK	species_match	GCF_001663195
GCF_001185665.2	GCA_001185665.3	Complete Genome	current	Illumina; Oxford Nanopore	Unicycler v. v0.4.3			5969148	6	5343186	1	6	5343186	1	189.0	57.0	6	99.27	1.86	OK	derived_species_match	GCF_001185665
GCF_001709275.1	GCA_001709275.1	Complete Genome	current	PacBio	HGAP v. v. 3			5805603	5	5341571	1	5	5341571	1	139.0	57.0	5	98.49	1.47	OK	derived_species_match	GCF_001709275
GCF_001663455.1	GCA_001663455.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.2			5730336	4	5336571	1	4	5336571	1	91.0	57.0	4	98.29	0.86	OK	derived_species_match	GCF_001663455
GCF_001022035.1	GCA_001022035.1	Complete Genome	current	PacBio	HGAP3 v. 2.2.0			5552491	4	5328319	1	4	5328319	1	49.0	57.5	4	98.81	0.39	OK	derived_species_match	GCF_001022035
GCF_001902255.1	GCA_001902255.1	Complete Genome	current	PacBio	HGAP v. unspecified			5594981	4	5327855	1	4	5327855	1	129.0	57.0	4	98.94	0.19	OK	derived_species_match	GCF_001902255
GCF_001456135.1	GCA_001456135.1	Complete Genome	current	PacBio	HGAP v. 2.3.0			5874698	6	5319154	1	6	5319154	1	48.0	57.0	6	98.49	0.84	OK	derived_species_match	GCF_001456135
GCF_000764615.1	GCA_000764615.1	Complete Genome	current	Illumina; Pacific Biosciences	Hgap v. 3			5990738	5	5317001	1	5	5317001	1	60.0	56.5	5	98.07	2.62	OK	species_match	GCF_000764615
GCF_000814305.1	GCA_000814305.1	Complete Genome	current	Pacbio RS	HGAP v. 3			5649912	5	5313576	1	5	5313576	1	8.73	57.0	5	99.07	0.19	OK	derived_species_match	GCF_000814305
GCF_001741545.1	GCA_001741545.1	Complete Genome	current	PacBio	HGAP3 v. May-2015			5798553	5	5313304	1	5	5313304	1	50.0	57.0	5	98.29	1.53	OK	derived_species_match	GCF_001741545
GCF_001721725.1	GCA_001721725.1	Complete Genome	current	PacBio	HGAP3 v. May-2015			5312744	1	5312744	1	1	5312744	1	50.0	57.5	1	98.85	0.83	OK	derived_species_match	GCF_001721725
GCF_001741665.1	GCA_001741665.1	Complete Genome	current	PacBio	HGAP3 v. May-2015			5880491	7	5312206	1	7	5312206	1	50.0	57.0	7	98.55	1.57	OK	derived_species_match	GCF_001741665
GCF_001456095.3	GCA_001456095.3	Complete Genome	current	Pacific Biosciences	SMRT pipeline v. January 2015			5650490	5	5309013	1	5	5309013	1	75.0	57.0	5	98.44	0.68	OK	derived_species_match	GCF_001456095
GCF_001456055.3	GCA_001456055.3	Complete Genome	current	Pacific Biosciences	SMRT pipeline v. January 2015			5680634	5	5307114	1	5	5307114	1	75.0	57.0	5	98.44	0.98	OK	derived_species_match	GCF_001456055
GCF_000739495.1	GCA_000739495.1	Complete Genome	current	PacBio	HGAP v. 2			5510332	3	5297511	1	3	5297511	1	150.0	57.5	3	99.07	1.24	OK	derived_species_match	GCF_000739495
GCF_001902415.1	GCA_001902415.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0			5584283	9	5294741	1	9	5294741	1	117.0	57.0	9	98.9	0.19	OK	derived_species_match	GCF_001902415
GCF_001718115.2	GCA_001718115.2	Complete Genome	current	Oxford Nanopore PromethION; Illumina MiSeq	unicycler v. 0.4.7			5766661	9	5284160	1	9	5284160	1	100.0	56.5	9	98.68	0.89	OK	derived_species_match	GCF_001718115
GCF_001482345.1	GCA_001482345.1	Complete Genome	current	PacBio	SMRT Analysis v. 2.3.0			5406866	3	5278493	1	3	5278493	1	140.0	57.0	3	98.26	1.2	OK	derived_species_match	GCF_001482345
GCF_001022175.1	GCA_001022175.1	Complete Genome	current	PacBio	HGAP3 v. 2.3.0			5810009	6	5262013	1	6	5262013	1	98.0	57.0	6	98.47	0.84	OK	derived_species_match	GCF_001022175
GCF_001887995.2	GCA_001887995.2	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.6			5461882	4	5239924	1	4	5239924	1	200.0	57.5	4	98.46	1.59	OK	derived_species_match	GCF_001887995
GCF_001709295.1	GCA_001709295.1	Complete Genome	current	PacBio	HGAP v. v. 3			5483848	4	5236925	1	4	5236925	1	137.0	57.0	4	98.66	0.75	OK	derived_species_match	GCF_001709295
GCF_001646625.1	GCA_001646625.1	Complete Genome	current	Illumina Hiseq 4000	RS_HGAP Assembly 3 in SMRT Analysis v. 2.3.0			5495481	3	5220857	1	3	5220857	1	134.0	57.0	3	98.29	0.68	OK	derived_species_match	GCF_001646625
GCF_001676825.1	GCA_001676825.1	Complete Genome	current	Illumina HiSeq	Celera Assembler v. 8.3			5495471	3	5220846	1	3	5220846	1	130.0	57.0	3	98.29	0.68	OK	derived_species_match	GCF_001676825
GCF_001704235.1	GCA_001704235.1	Complete Genome	current	PacBio	HGAP v. 3			5558458	3	5184828	1	3	5184828	1	143.0	57.5	3	97.3	1.43	OK	derived_species_match	GCF_001704235
GCF_001701425.2	GCA_001701425.2	Complete Genome	current	Illumina MiSeq/ ONT MinION	Unicycler v. 0.3.1			5760711	6	5181675	1	6	5181675	1	215.0	57.0	6	98.03	1.33	OK	derived_species_match	GCF_001701425
GCF_001902335.1	GCA_001902335.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0.			5851286	7	5159815	1	7	5159815	1	147.0	56.5	7	97.65	0.99	OK	derived_species_match	GCF_001902335
GCF_001699105.2	GCA_001699105.2	Complete Genome	current	Illumina HiSeq; Oxford Nanopore MiniION	Unicycler v. 0.4.8			5445524	3	5120204	1	3	5120204	1	200.0	57.5	3	98.89	1.83	OK	derived_species_match	GCF_001699105
GCF_000775955.1	GCA_000775955.1	Complete Genome	current	Illumina	idba v. 1.1.1; SSPACE v. 3.0			5118878	1	5118878	1	1	5118878	1	200.0	57.5	1	98.89	0.87	OK	derived_species_match	GCF_000775955
GCF_000775395.1	GCA_000775395.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.0			5858308	4	5515525	1	4	5515525	1		57.0	4	98.94	0.21	OK	subspecies_match	GCF_000775395
GCF_001316565.3	GCA_001316565.3	Complete Genome	current	PacBio	HGAP v. V3			5846356	3	5498599	1	3	5498599	1	206.0	57.0	3	98.28	0.99	OK	subspecies_match	GCF_001316565
GCF_001529935.1	GCA_001529935.1	Complete Genome	current	PacBio RS II	Newbler v. 2.3; Celera Assembler v. 8.3			5690826	2	5461919	1	2	5461919	1	124.0	57.0	2	98.46	0.61	OK	species_match	GCF_001529935
GCF_001611055.1	GCA_001611055.1	Complete Genome	current	Illumina	SPAdes v. 3.1			5439720	1	5439720	1	1	5439720	1	112.0	57.0	1	98.37	0.85	OK	subspecies_match	GCF_001611055
GCF_001521895.1	GCA_001521895.1	Complete Genome	current	PacBio RS II system	SMRTAnalysis v. 2.3.0 HGAP2			5535187	3	5387996	1	3	5387996	1	180.0	57.0	3	98.89	0.97	OK	species_match	GCF_001521895
GCF_000742755.1	GCA_000742755.1	Complete Genome	current	PacBio RSII	HGAP SMRT Portal v. 2.2.0			5374834	1	5374834	1	1	5374834	1	258.0	57.5	1	98.52	0.71	OK	species_match	GCF_000742755
GCF_001611095.1	GCA_001611095.1	Complete Genome	current	Illumina	SPAdes v. 3.1			5355459	1	5355459	1	1	5355459	1	131.0	57.5	1	98.4	0.71	OK	subspecies_match	GCF_001611095
GCF_001746535.1	GCA_001746535.1	Complete Genome	current	Illumina	SPAdes v. 3.1			5344576	1	5344576	1	1	5344576	1	128.0	57.5	1	98.12	1.13	OK	subspecies_match	GCF_001746535
GCF_000784985.1	GCA_000784985.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.0			5484149	4	5306618	1	4	5306618	1		57.5	4	98.94	0.19	OK	subspecies_match	GCF_000784985
GCF_000784945.1	GCA_000784945.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.0			5520596	3	5298647	1	3	5298647	1		57.0	3	98.72	0.73	OK	subspecies_match	GCF_000784945
GCF_000785005.1	GCA_000785005.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.0			5473580	4	5228295	1	4	5228295	1		57.5	4	97.44	0.5	OK	subspecies_match	GCF_000785005
GCF_001530015.1	GCA_001530015.1	Complete Genome	current	PacBio RS II	Newbler v. 2.3; Celera Assembler v. 8.3			5450593	2	5226330	1	2	5226330	1	195.0	57.0	2	97.77	0.71	OK	species_match	GCF_001530015
GCF_000016305.1	GCA_000016305.1	Complete Genome	current					5694894	6	5315120	1	6	5315120	1		57.0	6	98.88	0.23	OK	derived_species_match	GCF_000016305
GCF_000220485.1	GCA_000220485.1	Complete Genome	current					5462423	2	5259571	1	2	5259571	1		57.5	2	98.76	0.19	OK	derived_species_match	GCF_000220485
GCF_000714675.1	GCA_000714675.1	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			5734564	4	5396164	1	4	5396164	1	173.0	57.0	4	99.03	0.19	OK	derived_species_match	GCF_000714675
GCF_000281435.2	GCA_000281435.2	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			5767822	4	5395263	1	4	5395263	1	160.0	57.0	4	99.07	0.19	OK	derived_species_match	GCF_000281435
GCF_000281535.2	GCA_000281535.2	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			5766615	4	5394056	1	4	5394056	1	96.0	57.0	4	99.07	0.19	OK	derived_species_match	GCF_000281535
GCF_000417225.2	GCA_000417225.2	Complete Genome	current	PacBio RS	HGAP v. 3			5710688	4	5393855	1	4	5393855	1	10.02	57.0	4	99.07	0.19	OK	derived_species_match	GCF_000417225
GCF_000294365.1	GCA_000294365.1	Complete Genome	current					5386705	1	5386705	1	1	5386705	1		57.5	1	97.12	0.22	OK	species_match	GCF_000294365
GCF_000733255.1	GCA_000733255.1	Complete Genome	current	PacBio	SMRT Pipe v. v2.0.1			5812304	5	5348284	1	5	5348284	1	333.0	57.0	5	98.86	1.47	OK	derived_species_match	GCF_000733255
GCF_000814805.1	GCA_000814805.1	Complete Genome	current	454 GS Junior; Illumina Miseq; Sanger ABI 3731	CLC genomic workbench v. 5.5			5341039	1	5341039	1	1	5341039	1		57.0	1	98.55	0.73	OK	species_match	GCF_000814805
GCF_000813205.1	GCA_000813205.1	Complete Genome	current	454 GS Junior; ABI3730; Illulmina Miseq	Newbler v. 2.7			5329385	1	5329385	1	1	5329385	1		57.5	1	98.52	0.52	OK	species_match	GCF_000813205
GCF_000417265.2	GCA_000417265.2	Complete Genome	current	PacBio RS	HGAP v. 3			5523776	4	5322270	1	4	5322270	1	17.32	57.5	4	98.94	0.19	OK	derived_species_match	GCF_000417265
GCF_000717515.1	GCA_000717515.1	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			5436785	3	5309305	1	3	5309305	1	170.0	57.5	3	98.68	0.19	OK	derived_species_match	GCF_000717515
GCF_000406765.2	GCA_000406765.2	Complete Genome	current	PacBio RS	HGAP v. 3			5547643	5	5308211	1	5	5308211	1	15.35	57.5	5	98.94	0.19	OK	derived_species_match	GCF_000406765
GCF_000512165.1	GCA_000512165.1	Complete Genome	current					5739888	7	5307003	1	7	5307003	1		57.0	7	98.74	0.78	OK	derived_species_match	GCF_000512165
GCF_000597905.1	GCA_000597905.1	Complete Genome	current					5417216	4	5293301	1	4	5293301	1		57.5	4	98.55	0.19	OK	derived_species_match	GCF_000597905
GCF_000009885.1	GCA_000009885.1	Complete Genome	current					5472672	2	5248520	1	2	5248520	1		57.5	2	98.58	0.2	OK	derived_species_match	GCF_000009885
GCF_000695935.1	GCA_000695935.1	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			6132443	6	5241638	1	6	5241638	1	116.0	56.5	6	98.45	3.31	OK	derived_species_match	GCF_000695935
GCF_000465975.2	GCA_000465975.2	Complete Genome	current	PacBio; Illumina	HGAP v. Apr-2015			5375667	2	5180925	1	2	5180925	1	53.0	57.5	2	98.46	0.54	OK	derived_species_match	GCF_000465975
GCF_000474015.1	GCA_000474015.1	Complete Genome	current	Illumina; Sanger	ABySS v. V			5166857	1	5166857	1	1	5166857	1	200.0	57.5	1	98.7	0.26	OK	derived_species_match	GCF_000474015
GCF_001596075.2	GCA_001596075.2	Complete Genome	current	PacBio	HGAP v. May 2015			5513862	3	5284734	1	3	5284734	1	380.0	57.5	3	99.23	0.35	OK	derived_species_match	GCF_001596075
GCF_001278905.1	GCA_001278905.1	Complete Genome	current	Illumina	Newbler v. 2.7			5090052	1	5090052	1	1	5090052	1	43.0	58.0	1	99.31	0.33	OK	derived_species_match	GCF_001278905
GCF_001280925.1	GCA_001280925.1	Complete Genome	current	Illumina	Newbler v. 2.7			5088873	1	5088873	1	1	5088873	1	43.0	58.0	1	99.31	0.33	OK	derived_species_match	GCF_001280925
GCF_000019565.1	GCA_000019565.1	Complete Genome	current					5920257	3	5641239	1	3	5641239	1		57.0	3	99.37	0.34	OK	species_match	GCF_000019565
GCF_000812205.2	GCA_000812205.2	Complete Genome	current	PacBio	HGAP in smrtanalysis v. 2.1.1			5718434	3	5501013	1	3	5501013	1		57.0	3	99.37	0.41	OK	species_match	GCF_000812205
GCF_000025465.1	GCA_000025465.1	Complete Genome	current					5458505	1	5458505	1	1	5458505	1		57.5	1	99.37	0.31	OK	derived_species_match	GCF_000025465
GCF_001463165.1	GCA_001463165.1	Chromosome	current	PacBio	HGAP v. MAY-2015			5491870	1	5491870	1	1	5491770	1	25.0	57.5	1	98.91	0.9	OK	derived_species_match	GCF_001463165
GCF_001316945.3	GCA_001316945.3	Chromosome	current	PacBio	HGAP v. V3			5953925	5	5497952	1	5	5497852	1	206.0	57.0	5	98.16	1.75	OK	subspecies_match	GCF_001316945
GCF_002269255.1	GCA_002269255.1	Complete Genome	current	Illumina NextSeq; Oxford Nanopore MinION	Unicycler v. 0.4.0; SPAdes v. 3.10.0			5946706	4	5540188	1	4	5540188	1	88.0	56.5	4	97.92	0.97	OK	below_threshold_mismatch	GCF_002269255
GCF_002761315.1	GCA_002761315.1	Complete Genome	current	PacBio	HGAP v. 2.0			5633290	1	5633290	1	1	5633290	1	100.0	57.0	1	96.79	0.21	OK	species_match	GCF_002761315
GCF_002202195.1	GCA_002202195.1	Complete Genome	current	PacBio RSII	canu v. 1.3			6054276	5	5606368	1	5	5606368	1	128.0	56.5	5	98.76	1.99	OK	derived_species_match	GCF_002202195
GCF_002156725.1	GCA_002156725.1	Complete Genome	current	PacBio	HGAP v. v2			5896654	4	5594550	1	4	5594550	1	121.0	57.0	4	98.78	0.21	OK	derived_species_match	GCF_002156725
GCF_002156745.1	GCA_002156745.1	Complete Genome	current	PacBio	HGAP v. v2			5965284	6	5591645	1	6	5591645	1	201.0	56.5	6	98.81	0.71	OK	derived_species_match	GCF_002156745
GCF_002752775.1	GCA_002752775.1	Complete Genome	current	Illumina HiSeq and ONT	Unicycler v. 0.4.0			5676465	7	5583461	1	7	5583461	1	138.0	57.0	7	98.27	1.35	OK	derived_species_match	GCF_002752775
GCF_002197225.1	GCA_002197225.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5995730	5	5514199	1	5	5514199	1	90.0	57.0	5	98.92	0.69	OK	derived_species_match	GCF_002197225
GCF_002587165.1	GCA_002587165.1	Complete Genome	current	PacBio; Illumina	SMRT v. 2.3.0, HGAP v. 3, SPAdes v. 3.6.0			5880984	5	5484708	1	5	5484708	1	587.359	57.0	5	98.81	0.38	OK	derived_species_match	GCF_002587165
GCF_002811305.2	GCA_002811305.2	Complete Genome	current	Illumina HiSeq; Oxford Nanopore MiniION	Unicycler v. 0.4.7			5777320	5	5480603	1	5	5480603	1	200.0	57.0	5	98.78	0.76	OK	derived_species_match	GCF_002811305
GCF_001913175.1	GCA_001913175.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0			5627728	6	5478335	1	6	5478335	1	308.0	57.0	6	98.42	0.67	OK	derived_species_match	GCF_001913175
GCF_002164835.4	GCA_002164835.4	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.4			5670650	4	5477478	1	4	5477478	1	200.0	57.5	4	98.52	0.38	OK	derived_species_match	GCF_002164835
GCF_002278055.1	GCA_002278055.1	Complete Genome	current	PacBio	SOAPdenovo v. 1.0			5475860	1	5475860	1	1	5475860	1	165.0	57.5	1	98.51	0.21	OK	derived_species_match	GCF_002278055
GCF_001952915.1	GCA_001952915.1	Complete Genome	current	Illumina; PacBio	SPAdes v. 3.5.0; HGAP Assembly v. 3			6063895	6	5470889	1	6	5470889	1	300.0	57.0	6	98.13	0.35	OK	derived_species_match	GCF_001952915
GCF_002300675.1	GCA_002300675.2	Complete Genome	current	IonTorrent; Oxford Nanopore MiniION	Canu v. 1.7; Unicycler v. 0.4.6			5617024	7	5462803	1	7	5462803	1	69.57	57.0	7	98.18	0.69	OK	species_match	GCF_002300675
GCF_002269295.1	GCA_002269295.1	Complete Genome	current	PacBio	SOAPdenovo v. 1.0			5456357	1	5456357	1	1	5456357	1	73.0	57.5	1	99.07	0.21	OK	derived_species_match	GCF_002269295
GCF_002257765.2	GCA_002257765.2	Complete Genome	current	Illumina HiSeq; Oxford Nanopore MiniION	Unicycler v. 0.4.7			5624884	4	5444983	1	4	5444983	1	200.0	57.5	4	98.42	0.38	OK	derived_species_match	GCF_002257765
GCF_002180315.1	GCA_002180315.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5989257	5	5439290	1	5	5439290	1	117.0	57.0	5	98.91	1.04	OK	derived_species_match	GCF_002180315
GCF_001922465.1	GCA_001922465.1	Complete Genome	current	PacBio RSII	HGAP v. 2.3			5779484	4	5435743	1	4	5435743	1	109.0	57.0	4	98.9	1.35	OK	derived_species_match	GCF_001922465
GCF_002202275.1	GCA_002202275.1	Complete Genome	current	PacBio RSII	HGAP v. 2.3			5658318	3	5432669	1	3	5432669	1	220.0	57.0	3	98.39	0.39	OK	derived_species_match	GCF_002202275
GCF_002258105.2	GCA_002258105.2	Complete Genome	current	Illumina HiSeq; Oxford Nanopore MiniION	Unicycler v. 0.4.7			5632612	4	5430852	1	4	5430852	1	200.0	57.0	4	98.2	1.15	OK	derived_species_match	GCF_002258105
GCF_002787755.1	GCA_002787755.1	Complete Genome	current	PacBio	RS HGAP v. 3			5707921	4	5429958	1	4	5429958	1	507.0	57.0	4	98.14	1.12	OK	derived_species_match	GCF_002787755
GCF_002164855.2	GCA_002164855.2	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.6			5610557	5	5421726	1	5	5421726	1	200.0	57.5	5	98.29	0.21	OK	derived_species_match	GCF_002164855
GCF_002786755.1	GCA_002786755.1	Complete Genome	current	PacBio	RS HGAP v. 3			5720338	4	5420542	1	4	5420542	1	259.0	57.0	4	98.2	1.12	OK	derived_species_match	GCF_002786755
GCF_002180295.1	GCA_002180295.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5835823	6	5418909	1	6	5418909	1	90.0	57.0	6	98.89	0.47	OK	derived_species_match	GCF_002180295
GCF_002056475.1	GCA_002056475.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5708390	5	5407749	1	5	5407749	1	210.0	57.0	5	99.07	0.19	OK	derived_species_match	GCF_002056475
GCF_002192375.1	GCA_002192375.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5708112	5	5406723	1	5	5406723	1	84.0	57.0	5	98.29	1.45	OK	derived_species_match	GCF_002192375
GCF_002180075.1	GCA_002180075.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5774316	5	5402261	1	5	5402261	1	177.0	57.0	5	99.07	0.19	OK	derived_species_match	GCF_002180075
