ncbi_accession	paired_gcf_accession	ncbi_assembly_level	ncbi_assembly_status	ncbi_sequencing_tech	ncbi_assembly_method	ncbi_refseq_category	ncbi_genome_notes	ncbi_genome_size	ncbi_n_scaffolds	ncbi_scaffold_n50	ncbi_scaffold_l50	ncbi_n_contigs	ncbi_contig_n50	ncbi_contig_l50	ncbi_genome_coverage	ncbi_gc_percent	ncbi_n_chromosomes	ncbi_completeness	ncbi_contamination	ncbi_taxonomy_check	ncbi_ani_match_status	lookup_accession
GCA_001874875.1	GCF_001874875.1	Contig	current	PacBio	HGAP v. 3			5628665	14	4501036	1	14	4501036	1	227	57.0		97.5	1.6	OK	derived_species_match	GCA_001874875
GCA_001875025.1	GCF_001875025.1	Contig	current	PacBio	HGAP v. 3			5886119	6	4469872	1	6	4469872	1	233	57.0		98.55	0.21	OK	derived_species_match	GCA_001875025
GCA_001875055.2	GCF_001875055.2	Contig	current	pacbio	hgap v. 3			5741326	8	4425950	1	8	4425950	1	75	57.0		98.8	0.19	OK	derived_species_match	GCA_001875055
GCA_001875105.1	GCF_001875105.1	Contig	current	PacBio	HGAP v. 3			5784278	9	4350088	1	9	4350088	1	263	56.5		98.29	1.16	OK	derived_species_match	GCA_001875105
GCA_001874865.1	GCF_001874865.1	Contig	current	PacBio	HGAP v. 3			6017882	15	4200019	1	15	4200019	1	192	56.5		98.26	1.84	OK	species_match	GCA_001874865
GCA_001875075.1	GCF_001875075.1	Contig	current	PacBio	HGAP v. 3			5653598	12	3308808	1	12	3308808	1	69	57.0		98.67	0.51	OK	derived_species_match	GCA_001875075
GCA_001875045.2	GCF_001875045.2	Contig	current	pacbio	hgap v. 3			5753666	10	3232614	1	10	3232614	1	56	57.0		97.03	0.22	OK	derived_species_match	GCA_001875045
GCA_001874695.1	GCF_001874695.1	Contig	current	PacBio	HGAP v. 3			5565288	9	3023137	1	9	3023137	1	87	57.0		98.3	1.54	OK	derived_species_match	GCA_001874695
GCA_001875125.1	GCF_001875125.1	Contig	current	PacBio	HGAP v. 3			6102611	25	1119408	3	25	1119408	3	180	56.5		98.81	1.79	OK	derived_species_match	GCA_001875125
GCA_001033525.1	GCF_001033525.1	Scaffold	current	Illumina	allpaths v. R48559			5462074	7	4258389	1	18	576247	4	138	57.5		98.07	0.53	OK	derived_species_match	GCA_001033525
GCA_001033725.1	GCF_001033725.1	Scaffold	current	Illumina	allpaths v. R48559			5494505	6	5319103	1	26	556993	4	138	57.5		98.56	1.11	OK	derived_species_match	GCA_001033725
GCA_001034165.1	GCF_001034165.1	Scaffold	current	Illumina	allpaths v. R48559			5719424	14	3337552	1	26	553252	4	138	57.0		98.68	0.19	OK	derived_species_match	GCA_001034165
GCA_001034295.1	GCF_001034295.1	Scaffold	current	Illumina	allpaths v. R48559			5598904	16	3828760	1	32	545192	4	152	57.0		98.94	0.36	OK	derived_species_match	GCA_001034295
GCA_001034055.1	GCF_001034055.1	Scaffold	current	Illumina	allpaths v. R48559			5806231	8	4622145	1	30	472648	4	135	57.0		98.57	2.46	OK	derived_species_match	GCA_001034055
GCA_001033675.1	GCF_001033675.1	Scaffold	current	Illumina	allpaths v. R48559			5511560	10	3705882	1	19	435869	4	133	57.0		98.81	1.92	OK	derived_species_match	GCA_001033675
GCA_001720705.1	GCF_001720705.1	Contig	current	Illumina MiSeq	SPAdes v. 3.7.1			5701390	119	303613	6	119	303613	6	70	57.0		98.65	1.1	OK	derived_species_match	GCA_001720705
GCA_001720865.1	GCF_001720865.1	Contig	current	Illumina MiSeq	SPAdes v. 3.7.1			5718215	93	292676	7	93	292676	7	70	56.5		98.98	1.74	OK	derived_species_match	GCA_001720865
GCA_001720765.1	GCF_001720765.1	Contig	current	Illumina MiSeq	SPAdes v. 3.7.1			5551793	63	253708	7	63	253708	7	70	57.0		98.31	0.22	OK	derived_species_match	GCA_001720765
GCA_001720815.1	GCF_001720815.1	Contig	current	Illumina MiSeq	SPAdes v. 3.7.1			5660703	77	238970	8	77	238970	8	70	57.0		98.27	1.03	OK	derived_species_match	GCA_001720815
GCA_001720745.1	GCF_001720745.1	Contig	current	Illumina MiSeq	SPAdes v. 3.7.1			5660430	89	224940	8	89	224940	8	70	57.0		98.24	1.03	OK	derived_species_match	GCA_001720745
GCA_002153215.1	GCF_002153215.1	Scaffold	current	Illumina	allpaths v. R48559			5928359	28	5425558	1	88	209463	11	88	57.0		99.03	0.19	OK	derived_species_match	GCA_002153215
GCA_001720845.1	GCF_001720845.1	Contig	current	Illumina MiSeq	SPAdes v. 3.7.1			5490193	132	203628	8	132	203628	8	70	57.5		98.69	0.74	OK	derived_species_match	GCA_001720845
GCA_002087215.1	GCF_002087215.1	Contig	current	Illumina HiSeq; minION	SPAdes v. 3.1.1; Canu v. 1.3; miniasm v. 0.2-r124-dirty			5691912	112	158898	12	112	158898	12	42.65	57.0	1.0	98.55	1.16	OK	subspecies_match	GCA_002087215
GCA_000474885.1	GCF_000474885.1	Contig	current	PacBio	HGAP v. 2.0.1			5794564	5	5412842	1	5	5412842	1	105	57.0		99.04	0.19	OK	derived_species_match	GCA_000474885
GCA_000474865.1	GCF_000474865.1	Contig	current	PacBio	HGAP v. 2.0.1			5738068	6	5403737	1	6	5403737	1	142	57.0		99.07	0.19	OK	derived_species_match	GCA_000474865
GCA_000709225.1	GCF_000709225.1	Contig	current	PacBio RS	HGAP v. 2.1			5541575	4	5321843	1	4	5321843	1	13	57.5		98.6	0.19	OK	derived_species_match	GCA_000709225
GCA_000474905.1	GCF_000474905.1	Contig	current	PacBio	HGAP v. 2.0.1			5751366	6	5302855	1	6	5302855	1	135	57.0		97.91	0.19	OK	derived_species_match	GCA_000474905
GCA_000567225.2	GCF_000567225.2	Contig	current	Illumina	allpaths v. R48559			5399523	5	4974003	1	5	4974003	1	175	57.0		98.11	1.68	OK	derived_species_match	GCA_000567225
GCA_000567765.2	GCF_000567765.2	Contig	current	PacBio	HGAP v. 3			5740715	9	4846078	1	9	4846078	1	263	57.0		98.68	0.21	OK	derived_species_match	GCA_000567765
GCA_000694475.2	GCF_000694475.2	Contig	current	PacBio	HGAP v. 3			5714481	8	4816800	1	8	4816800	1	200	57.0		99.07	0.53	OK	derived_species_match	GCA_000694475
GCA_000567685.1	GCF_000567685.1	Scaffold	current	Illumina	allpaths v. R47768			5447116	1	5447116	1	17	604465	2	134	57.5		98.7	0.83	OK	derived_species_match	GCA_000567685
GCA_000409065.1	GCF_000409065.1	Contig	current	Illumina PE 2x100	Newbler v. 2.3			5555255	167	99235	19	167	99235	19	133	57.0		99.07	0.19	OK	derived_species_match	GCA_000409065
GCA_000409085.1	GCF_000409085.1	Contig	current	Illumina PE 2x100	Newbler v. 2.3			5620362	194	99169	20	194	99169	20	165	57.0		99.04	0.19	OK	derived_species_match	GCA_000409085
GCA_000409105.1	GCF_000409105.1	Contig	current	Illumina PE 2x100	Newbler v. 2.3			5621477	202	98006	21	202	98006	21	120	57.0		99.07	0.19	OK	derived_species_match	GCA_000409105
GCA_000409025.1	GCF_000409025.1	Contig	current	Illumina PE 2x100	Newbler v. 2.3			5355272	151	98004	20	151	98004	20	294	57.5		98.91	0.19	OK	derived_species_match	GCA_000409025
GCA_000417365.1	GCF_000417365.1	Contig	current	Illumina PE 2x100	Newbler v. 2.3			5390028	144	98001	18	144	98001	18	134	57.5		98.91	0.19	OK	derived_species_match	GCA_000417365
GCA_000408965.1	GCF_000408965.1	Contig	current	Illumina PE 2x100	Newbler v. 2.3			5502006	187	95429	19	187	95429	19	119	57.0		98.91	0.19	OK	derived_species_match	GCA_000408965
GCA_000409005.1	GCF_000409005.1	Contig	current	Illumina PE 2x100	Newbler v. 2.3			5620790	210	95425	20	210	95425	20	89	57.0		98.98	0.19	OK	derived_species_match	GCA_000409005
GCA_001033915.1	GCF_001033915.1	Scaffold	current	Illumina	allpaths v. R48559			5617133	14	5367682	1	32	528086	3	136	57.5		98.5	0.34	OK	derived_species_match	GCA_001033915
GCA_001033805.1	GCF_001033805.1	Scaffold	current	Illumina	allpaths v. R48559			5786479	23	1253450	2	74	192306	11	138	57.0		98.56	0.45	OK	species_match	GCA_001033805
GCA_001875745.1	GCF_001875745.1	Contig	current	PacBio	HGAP v. 3			5516831	1	5516831	1	1	5516831	1	221	57.5		99.66	0.59	OK	derived_species_match	GCA_001875745
GCA_001030125.1	GCF_001030125.1	Scaffold	current	Illumina	allpaths v. R48559			4980026	6	2713780	1	15	704708	3	136	55.0		94.21	1.55	OK	species_match	GCA_001030125
GCA_000692195.1	GCF_000692195.1	Scaffold	current	Illumina	allpaths v. R48559			5309279	8	3031633	1	32	394724	5	138	55.0		95.44	4.35	OK	species_match	GCA_000692195
GCA_000783895.2	GCF_000783895.2	Contig	current	PacBio; Illumina	Celera v. 8.1			6477703	5	6071464	1	5	6071464	1	327	56.0		99.42	0.85	OK	species_match	GCA_000783895
GCA_000417085.2	GCF_000417085.2	Complete Genome	current	PacBio RS	HGAP v. 3		contaminated	5663117	5	5329725	1	5	5329725	1	3.93	57.0	5.0			OK	derived_species_match	GCA_000417085
GCA_002072655.1	GCF_002072655.1	Complete Genome	current	PacBio RSII	HGAP v. 2.3		unverified source organism	6461325	2	6350620	1	2	6350620	1	108	55.5	2.0	98.88	1.45	Failed	mismatch	GCA_002072655
GCA_001022195.1	GCF_001022195.1	Complete Genome	current	PacBio	HGAP3 v. 2.2.0		unverified source organism; genome length too large	7227285	12	6257473	1	12	6257473	1	57	55.5	12.0			Failed	mismatch	GCA_001022195
GCA_000714655.1	GCF_000714655.1	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2		unverified source organism	6684898	4	6152190	1	4	6152190	1	136	55.5	4.0	99.44	3.28	Failed	mismatch	GCA_000714655
GCA_002269255.1	GCF_002269255.1	Complete Genome	current	Illumina NextSeq; Oxford Nanopore MinION	Unicycler v. 0.4.0; SPAdes v. 3.10.0			5946706	4	5540188	1	4	5540188	1	88	56.5	4.0	97.92	0.97	OK	below_threshold_mismatch	GCA_002269255
GCA_002202195.1	GCF_002202195.1	Complete Genome	current	PacBio RSII	canu v. 1.3			6054276	5	5606368	1	5	5606368	1	128	56.5	5.0	98.76	1.99	OK	derived_species_match	GCA_002202195
GCA_002752775.1	GCF_002752775.1	Complete Genome	current	Illumina HiSeq and ONT	Unicycler v. 0.4.0			5676465	7	5583461	1	7	5583461	1	138	57.0	7.0	98.27	1.35	OK	derived_species_match	GCA_002752775
GCA_002812665.1	GCF_002812665.1	Complete Genome	current	PacBio; Illumina HiSeq	Celera Assembler v. 8.1			6067344	6	5537943	1	6	5537943	1	90	57.0	6.0	98.52	0.21	OK	derived_species_match	GCA_002812665
GCA_002197225.1	GCF_002197225.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5995730	5	5514199	1	5	5514199	1	90	57.0	5.0	98.92	0.69	OK	derived_species_match	GCA_002197225
GCA_002813595.1	GCF_002813595.1	Complete Genome	current	Illumina MiniSeq; Illumina MiSeq; Nanopore Technologies MinION R9.X	SPAdes v. v3.11.1; Unicycler v. v0.4.4-beta			5716697	2	5485114	1	2	5485114	1	159.3	57.0	2.0	98.69	0.35	OK	species_match	GCA_002813595
GCA_002587165.1	GCF_002587165.1	Complete Genome	current	PacBio; Illumina	SMRT v. 2.3.0, HGAP v. 3, SPAdes v. 3.6.0			5880984	5	5484708	1	5	5484708	1	587.359	57.0	5.0	98.81	0.38	OK	derived_species_match	GCA_002587165
GCA_002811305.2	GCF_002811305.2	Complete Genome	current	Illumina HiSeq; Oxford Nanopore MiniION	Unicycler v. 0.4.7			5777320	5	5480603	1	5	5480603	1	200	57.0	5.0	98.78	0.76	OK	derived_species_match	GCA_002811305
GCA_002164835.4	GCF_002164835.4	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.4			5670650	4	5477478	1	4	5477478	1	200	57.5	4.0	98.52	0.38	OK	derived_species_match	GCA_002164835
GCA_002812385.1	GCF_002812385.1	Complete Genome	current	PacBio	Canu v. v1.5			5743591	3	5449340	1	3	5449340	1	163	57.0	3.0	98.81	0.28	OK	derived_species_match	GCA_002812385
GCA_002257765.2	GCF_002257765.2	Complete Genome	current	Illumina HiSeq; Oxford Nanopore MiniION	Unicycler v. 0.4.7			5624884	4	5444983	1	4	5444983	1	200	57.5	4.0	98.42	0.38	OK	derived_species_match	GCA_002257765
GCA_002811325.3	GCF_002811325.3	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.4			5641307	5	5444981	1	5	5444981	1	200	57.5	5.0	98.29	0.38	OK	derived_species_match	GCA_002811325
GCA_002180315.1	GCF_002180315.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5989257	5	5439290	1	5	5439290	1	117	57.0	5.0	98.91	1.04	OK	derived_species_match	GCA_002180315
GCA_002202275.1	GCF_002202275.1	Complete Genome	current	PacBio RSII	HGAP v. 2.3			5658318	3	5432669	1	3	5432669	1	220	57.0	3.0	98.39	0.39	OK	derived_species_match	GCA_002202275
GCA_002258105.2	GCF_002258105.2	Complete Genome	current	Illumina HiSeq; Oxford Nanopore MiniION	Unicycler v. 0.4.7			5632612	4	5430852	1	4	5430852	1	200	57.0	4.0	98.2	1.15	OK	derived_species_match	GCA_002258105
GCA_002164855.2	GCF_002164855.2	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.6			5610557	5	5421726	1	5	5421726	1	200	57.5	5.0	98.29	0.21	OK	derived_species_match	GCA_002164855
GCA_002180295.1	GCF_002180295.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5835823	6	5418909	1	6	5418909	1	90	57.0	6.0	98.89	0.47	OK	derived_species_match	GCA_002180295
GCA_002812365.1	GCF_002812365.1	Complete Genome	current	PacBio	Canu v. v1.5			5633657	3	5414861	1	3	5414861	1	193	57.0	3.0	98.0	0.28	OK	derived_species_match	GCA_002812365
GCA_002192375.1	GCF_002192375.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5708112	5	5406723	1	5	5406723	1	84	57.0	5.0	98.29	1.45	OK	derived_species_match	GCA_002192375
GCA_002180075.1	GCF_002180075.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5774316	5	5402261	1	5	5402261	1	177	57.0	5.0	99.07	0.19	OK	derived_species_match	GCA_002180075
GCA_002587885.1	GCF_002587885.1	Complete Genome	current	PacBio; Illumina	SMRT v. 2.3.0, HGAP v. 3, SPAdes v. 3.6.0			5769651	4	5392753	1	4	5392753	1	475.368	57.0	4.0	98.94	1.34	OK	derived_species_match	GCA_002587885
GCA_002192315.1	GCF_002192315.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5598174	4	5388754	1	4	5388754	1	82	57.5	4.0	98.59	0.86	OK	derived_species_match	GCA_002192315
GCA_002833425.1	GCF_002833425.1	Complete Genome	current	Illumina MiSeq and Oxford Nanopore	SPAdes hybrid assembly v. 3.10.1			5741903	3	5388622	1	3	5388622	1	31	57.0	3.0	98.62	0.81	OK	derived_species_match	GCA_002833425
GCA_002833445.1	GCF_002833445.1	Complete Genome	current	Illumina MiSeq and Oxford Nanopore	SPAdes hybrid assembly v. 3.10.1			5745430	3	5388466	1	3	5388466	1	61	57.0	3.0	98.62	0.81	OK	derived_species_match	GCA_002833445
GCA_002833465.1	GCF_002833465.1	Complete Genome	current	Illumina MiSeq and Oxford Nanopore	SPAdes hybrid assembly v. 3.10.1			5751187	3	5383248	1	3	5383248	1	71	57.0	3.0	98.62	0.81	OK	derived_species_match	GCA_002833465
GCA_002156785.1	GCF_002156785.1	Complete Genome	current	PacBio	HGAP v. v2			5973075	4	5383018	1	4	5383018	1	232	56.5	4.0	96.93	1.55	OK	derived_species_match	GCA_002156785
GCA_002180155.1	GCF_002180155.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5859680	6	5382888	1	6	5382888	1	167	57.0	6.0	99.04	0.19	OK	derived_species_match	GCA_002180155
GCA_002192335.1	GCF_002192335.1	Complete Genome	current	PacBio RSII	HGAP v. 2.3			5849839	6	5380979	1	6	5380979	1	169	57.0	6.0	99.04	0.19	OK	derived_species_match	GCA_002192335
GCA_002211905.1	GCF_002211905.1	Complete Genome	current	PacBio	other v. HGAP 3			5816577	4	5377031	1	4	5377031	1	77.48	57.0	4.0	98.21	1.83	OK	species_match	GCA_002211905
