study_accession	gap_samples	gap_fields	fulltext_source	paywalled	per_sample_fills	mech_reason	supp_present	has_per_sample_table	table_fields	accession_keyed	table_reference	action	evidence_quote	pmcid	doi	save_as
PRJEB8265	91	collection_date	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source,host,collection_date	yes	Supplementary Data 1	OA_INVESTIGATE	ENA accession numbers for isolates linked to metadata are available in the Supplementary Data 1.	PMC11489765	10.1038/s41467-024-53391-2	PRJEB8265.xlsx
PRJNA1026096	88	isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA1026096.xlsx
PRJNA231221	88	collection_date,isolation_source	europepmc_fulltext	False	0	manifest_only	False	yes	isolation_source,host,collection_date	yes	Supplementary Data 1	OA_INVESTIGATE	Supplementary Data 1 lists all FDA-ARGOS genomes with accessions and statistics used in this manuscript.	PMC6658474	10.1038/s41467-019-11306-6	PRJNA231221.xlsx
PRJEB45369	84	host	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB45369.xlsx
PRJEB42526	83	collection_date	europepmc_fulltext	False	12	direct	True	likely	host,isolation_source	unclear	Supplementary File S1	SUPP_PRESENT	Human K. pneumoniae isolates generally carried a larger number of resistance genes compared to animal isolates (Supplementary File S1).	PMC8772961	10.3390/antibiotics11010042	PRJEB42526.xlsx
PRJNA342893	80	isolation_source	local_pdf	True	0	NO_PMCID	False	no		no		SKIP	Of the 206 whole-genome sequences analyzed, 112 (54.4%) were bla KPC-positive (all KPC-2), and 94 (45.6%) were bla NDM-positive (Supplementary Table 4).		10.1093/cid/cix113	PRJNA342893.xlsx
PRJNA1050414	72	isolation_source	europepmc_fulltext	False	0	unanchored	False	likely	isolation_source,collection_date	yes	data S1	OA_INVESTIGATE	498 nonduplicated CRKP isolates (clinical sample set A) (data S1) were collected from hospitalized patients across eight tertiary hospitals in China and subjected to short-read sequencing.	PMC11784837	10.1126/sciadv.ado9097	PRJNA1050414.xlsx
PRJNA1061342	71	isolation_source	local_pdf	True	0	NO_PMCID	False	likely	isolation_source,host,collection_date	yes	Table S2	FETCH_SUPP	The phylogenetic analysis included 2,026 K. pneumoniae genomes from this study and 1,360 K. pneumoniae genomes obtained from RefSeq globally as of June 30, 2022... Fig. 2 and Table S2		10.1016/j.drup.2024.101083	PRJNA1061342.xlsx
PRJEB50346	70	collection_date	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB50346.xlsx
PRJNA259658	69	isolation_source	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source,collection_date	yes	Data Set S1	OA_INVESTIGATE	Comprehensive table with details about the 97 clinical isolates and six type strains sequenced in this study.	PMC5156309	10.1128/mbio.02093-16	PRJNA259658.xlsx
PRJDB4948	69	isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJDB4948.xlsx
PRJNA903550	67	isolation_source	europepmc_fulltext	False	0	abstained_other	False	likely		unclear	Supplementary Table S1, S2, S3	OA_INVESTIGATE	for each isolate, the detailed results from molecular analysis are provided in Supplementary Table S1 and S2	PMC9808315	10.2807/1560-7917.es.2022.27.50.2200896	PRJNA903550.xlsx
PRJEB78367	64	isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	Supplementary Table 1 provides a summary of genomes per country.	PMC12753507	10.3389/fpubh.2025.1716498	PRJEB78367.xlsx
PRJEB59403	59	host	local_pdf	True	0	NO_PMCID	False	likely	isolation_source,collection_date	unclear	Supplementary Table S4	FETCH_SUPP	Labelling of the isolates is shown as isolate number, sampling period as (W)inter/(S)ummer, sampling location and the identified carbapenemase gene (for details see Supplementary Table S4).		10.1016/j.scitotenv.2023.164179	PRJEB59403.xlsx
PRJNA592157	58	isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	Isolates originated from blood, urine, pulmonary aspirates, sputum, and wounds and were each collected from different patients, for an initial collection of 70 unique isolates.	PMC7395672	10.1093/ofid/ofaa266	PRJNA592157.xlsx
PRJNA329105	57	isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA329105.xlsx
PRJNA237670	51	isolation_source	pdf	True	0	no_supp	False	likely	isolation_source,collection_date	yes	Dataset S1	FETCH_SUPP	These clinical isolates were cultured from blood, urine, sputum, or skin of infected individuals or from a rectal swab over a time period encompassing 2003–2012 (Dataset S1).	PMC3977278	10.1073/pnas.1321364111	PRJNA237670.xlsx
