study_accession	chosen_title	chosen_pmid	chosen_pmcid	chosen_doi	paper_title	paper_link	ena_taxon_samples	adj_same_paper	adj_same_paper_reason	adj_verdict	adj_justification_quote	adj_reasoning	adj_rule_gap
PRJNA278886	Diverse Vectors and Mechanisms Spread New Delhi Metallo-β-Lactamases among Carbapenem-Resistant <i>Enterobacteriaceae</i> in the Greater Boston Area.	30530605	PMC6355588	10.1128/aac.02040-18	Activity of imipenem/relebactam and comparators against KPC-producing Klebsiella pneumoniae and imipenem-resistant Pseudomonas aeruginosa	https://pubmed.ncbi.nlm.nih.gov/38157139/	284	False	Paper A is a PacBio/Illumina study of NDM-producing Enterobacteriaceae from Greater Boston (BWH surveillance), depositing to BioProject PRJNA278886. Paper B is an imipenem/relebactam susceptibility study of KPC-K. pneumoniae and P. aeruginosa from Andalusia, Spain, depositing to PRJNA1048341 and PRJNA1048411. Different cohorts, species focus, locations, authors, sample counts, and accessions — entirely distinct works.	found_correct	The Illumina sequencing data have been deposited to the NCBI Sequence Read Archive under BioProject number PRJNA278886. Complete genome and plasmid sequences are available in GenBank (Table 1).	The ENA project PRJNA278886 is the Brigham & Women's Hospital Boston antimicrobial surveillance project (284 samples, carbapenemase/beta-lactamase clinical isolates). Paper A explicitly deposits its data under this exact BioProject and matches the project on every axis: Boston-area prospective genomic CRE surveillance, carbapenemase/NDM characterization, clinical isolates, BWH. Paper A is therefore the primary study that generated and deposited these genomes. Paper B deposits to different BioProjects (PRJNA1048341/PRJNA1048411), studies a Spanish PIRASOA collection, and never references PRJNA278886 — it neither describes nor reuses this project's data.	
PRJNA544438	Clinical and molecular characteristics of carbapenem non-susceptible Escherichia coli: A nationwide survey from Oman.	33036018	PMC7546912	10.1371/journal.pone.0239924	Activity of polymyxin B combinations against genetically well-characterised Klebsiella pneumoniae producing NDM-1 and OXA-48-like carbapenemases	https://www.sciencedirect.com/science/article/pii/S0924857923002467	237	False	Different works: Paper A is a genomic-epidemiology study of 35 carbapenem-non-susceptible Escherichia coli from Oman (titles, organism, cohort all E. coli); Paper B is a polymyxin B combination-efficacy study of Klebsiella pneumoniae producing NDM-1/OXA-48-like. Different organisms, titles, aims, and cohorts — not a preprint/published pair or duplicate IDs.	found_correct	Raw reads data generated in this study were deposited in SRA as project PRJNA544438 (accession no. SAMN11840190-SAMN11840224).	PRJNA544438 is an umbrella BioProject titled 'Extensively drug-resistant Klebsiella pneumoniae and E. coli from Oman in 2015' (237 samples). Paper A explicitly states it generated and deposited its genomes under this exact accession (the E. coli subset SAMN11840190-SAMN11840224), making it a primary genome-generating study for this project. Paper B concerns the Klebsiella pneumoniae portion; its title describes phenotypic polymyxin-combination testing of 'genetically well-characterised' strains, implying the genomic characterization (and deposition) was done elsewhere — i.e., it likely reuses rather than generates these genomes. With no Paper B text to confirm deposition, only Paper A is verifiably the depositing primary study, so it describes this project.	Umbrella BioProjects spanning two organisms (here Klebsiella + E. coli) can have separate primary papers per organism subset; a finder keyed on the project's lead organism (Klebsiella) may surface an organism-matching reuse paper while the actual depositing paper covers the other organism and explicitly cites the accession.
PRJEB22252	Stunted microbiota and opportunistic pathogen colonization in caesarean-section birth.	31534227	PMC6894937	10.1038/s41586-019-1560-1	Unpublished; Bioproject title: Baby_Biome_Study_gastrointestinal_bacterial_genomes	https://www.nature.com/articles/s41467-021-26041-0	237	False	Paper A is the Nature 2019 study 'Stunted microbiota and opportunistic pathogen colonization in caesarean-section birth' (PMC6894937), a metagenomic + targeted opportunistic-pathogen culturing study of the Baby Biome Study. Paper B is a separate Nature Communications 2021 article (s41467-021-26041-0) — different journal, year, and scope. They share the BBS cohort but are distinct works, not a preprint/published pair of one another.	curated_correct	We undertook targeted large-scale culturing of 836 opportunistic pathogen strains in the faecal samples of 177 babies (70 vaginal and 107 C-section babies, total 741 isolates) and 38 mothers (95 isolates) using selective media	The ENA project PRJEB22252 ('Baby_Biome_Study_gastrointestinal_bacterial_genomes', 237 taxon samples) describes a deliberately broad resource: 'To get a broad and comprehensive coverage of the gut microbiota, we cultivated bacterial species from human faecal samples on different selective agar media and broth' to 'improve the taxonomic classification resolution of metagenomic analysis.' Paper A's culturing was the opposite — explicitly TARGETED to six opportunistic pathogen species (Enterococcus, Clostridium, Enterobacter, Klebsiella, Escherichia) to validate metagenomic carriage, not a comprehensive species collection. That scope mismatch shows Paper A is a related BBS study, not the primary deposit description for this comprehensive genome collection. The bioproject's own linked publication is Paper B (the Nat Commun 2021 resource paper, identical bioproject title), making it the describing study; its full text was not provided so it cannot be quoted, but the curated linkage plus Paper A's clearly narrower scope point to curated_correct.	Finder matched on the prominent same-cohort Nature paper (Baby Biome Study) by cohort/keyword overlap, missing that the bioproject's genome-collection deposit is described by a separate same-cohort resource paper; same-cohort papers with different scopes (targeted pathogen culturing vs comprehensive genome collection) are conflated.
PRJNA765801	Plasmid dynamics driving carbapenemase gene dissemination in healthcare environments: a nationwide analysis of closed Enterobacterales genomes.	41152242	PMC12569050	10.1038/s41467-025-64515-7	Whole genome sequencing reveals hidden transmission of carbapenemase-producing Enterobacterales	https://www.nature.com/articles/s41467-022-30637-5#data-availability	213	False	Paper A (PMC12569050, 'Plasmid dynamics driving carbapenemase gene dissemination...') is a later, comprehensive plasmid-focused study of 1088 isolates / 1115 closed plasmids covering ALL carbapenemase types (KPC, NDM, OXA, IMP). Paper B (Nat Commun 2022, s41467-022-30637-5, 'Whole genome sequencing reveals hidden transmission of CPE') is the earlier retrospective transmission cohort study, which Paper A repeatedly cites as 'previous work from our group' (reference 11). Different titles, different scope, different publication years, one citing the other — not the same work and not a preprint/published pair.	curated_correct	Previous work from our group established that plasmid-mediated transmission accounted for half of CPE dissemination at the population level11.	The ENA project PRJNA765801 is blaNDM-specific, has only 213 taxon samples, and its accession number (765xxx range ≈ 2021 registration) matches a study published in 2022 — i.e. Paper B. Paper A's own text shows it is a SEPARATE, larger, later study: it reconstructs genomes for 'all 1047 clinical and surveillance CPE isolates' across ALL major carbapenemase classes (1088 isolates, 1115 plasmids), not a blaNDM-only 213-sample set. Crucially, Paper A states 'Previous work from our group established that plasmid-mediated transmission accounted for half of CPE dissemination at the population level11' — establishing that the earlier study (ref 11 = Paper B) already performed the plasmid-resolved (hybrid-assembly) transmission analysis whose deposited blaNDM hybrid genomes (Illumina+ONT, matching the ENA description) constitute this 2021-era project. Paper A reuses/extends that cohort. Therefore Paper B is the primary describing/depositing study; the curated link is correct and the finder's Paper A merely builds on the data.	Finder over-weights the most detailed/recent full-text match (Paper A) and ignores objective deposit signals — BioProject accession registration era (765xxx ≈ 2021 vs the candidate paper's 2026 date) and scope/sample-count mismatch (project: blaNDM, 213 samples vs paper: all-carbapenemase, 1088 isolates) — which would have flagged the candidate as a later reusing study rather than the original depositor.
PRJEB58018	International spread or local outbreak? Epidemiologic analyses of transmission patterns of NDM-1-producing &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; based on genomic surveillance data, Germany, January 2022 to February 2023.	41508890	PMC12862290	10.2807/1560-7917.es.2026.31.1.2500378	Increase in NDM-1 and NDM-1/OXA-48-producing Klebsiella pneumoniae in Germany associated with the war in Ukraine, 2022	https://pmc.ncbi.nlm.nih.gov/articles/PMC9808319/	201	False	Different works by the same group. Paper B (PMC9808319, 2022) is the initial rapid-communication describing 200 sequenced isolates from Jan–Sep 2022 (ST147 88/200, ST307 28/200, ST395 27/200, ST23 13). Paper A (PMC12862290) is a later, expanded epidemiologic study covering Jan 2022–Feb 2023 with 476 sequenced cases / 424 in major ST and 61 clusters — a different cohort, period, sample count and analysis. Paper A even cites the earlier increase report as reference [5], confirming they are distinct.	curated_correct	Between January and September 2022, the NRC received 330 non-duplicate NDM-1- and NDM-1/OXA-48-producing K. pneumoniae isolates. Of these, 200 isolates, comprising 66 NDM-1/OXA-48-producing and 134 NDM-1-producing K. pneumoniae, were subjected to Illumina (Illumina, San Diego, United States) whole genome sequencing.	ENA PRJEB58018 (201 taxon samples; title/description: WGS of 200 isolates, ST147/307/395/23, NDM-1 in Germany linked to Ukraine) matches Paper B exactly: 200 isolates sequenced, identical predominant STs (ST147 44%, ST307 14%, ST395 14%, ST23), NDM-1 and NDM-1/OXA-48, Germany 2022. Paper B is the primary study that generated and deposited these genomes. Paper A analyses a larger, later cohort (476 sequenced cases through Feb 2023) and reuses/extends the surveillance data rather than describing the 200-isolate deposition; its sample counts do not match the project's 200/201. Therefore Paper B describes THIS project.	Finder favored the more comprehensive, later epidemiologic paper (Paper A, 476 cases) over the original smaller deposition study (Paper B, 200 isolates) whose sample count matches the ENA project exactly — a weakness when a follow-up surveillance study reuses an earlier deposited cohort.
PRJDB12075	Genomic epidemiology and temperature dependency of hypermucoviscous <i>Klebsiella pneumoniae</i> in Japan.	35622495	PMC9465067	10.1099/mgen.0.000827	Disinfectant Susceptibility of Third-Generation-Cephalosporin/Carbapenem-Resistant Gram-Negative Bacteria Isolated from the Oral Cavity of Residents of Long-Term-Care Facilities	https://journals.asm.org/doi/10.1128/aem.01712-22	184	False	Entirely different works: Paper A is a Klebsiella pneumoniae hypermucoviscosity/temperature genomic-epidemiology study (236 Kp isolates from Kansai/Chugoku, 2006–2017; 156 analysed); Paper B is a disinfectant-susceptibility study of 127 oral/rectal Gram-negative ARB from long-term-care-facility residents. Different titles, authors, cohorts, organisms, methods, sample counts, and distinct PMC/DOI. Not a preprint–publication pair.	curated_correct	The whole-genome sequence FASTQ files were deposited in DDBJ under BioProject nos. PRJDB12075, DRX309353–DRX309536 and DRX317549–DRX317564.	Paper A makes a primary deposit statement for PRJDB12075, and its run range DRX309353–DRX309536 is exactly 184 entries, matching ENA's 184 taxon samples (the extra DRX317549–DRX317564 are the 16 ESBL/carbapenemase isolates given additional MinION long-read runs for hybrid assembly). So Paper A is the study that generated and deposited the genomes in this project; the generic ENA title 'Gram-negative bacteria' simply reflects the umbrella submitter (Klebsiella is Gram-negative). Paper B, by contrast, only reuses/cites the data: its data-availability line 'deposited in the NCBI database (BioProject accession no. PRJDB14068 and PRJDB12075) (2)' attaches a citation to reference 2 (Kajihara et al., a prior LTCF study), its own new sequencing (47 isolates) maps to the separate PRJDB14068, and its 127-isolate multi-species LTCF cohort does not match the 184 samples. Hence Paper A (the PMC-identified, hand-curated entry) describes the project; Paper B merely references the accession.	Finder over-weights a matching accession string and a superficially matching ENA title ('Gram-negative bacteria' ≈ Paper B's multi-species theme) without distinguishing a primary deposit statement from a citing/reuse mention, and without checking that deposited run-range counts (184) reconcile with ENA sample counts.
PRJNA395086	Genomic Features Associated with the Degree of Phenotypic Resistance to Carbapenems in Carbapenem-Resistant Klebsiella pneumoniae.	34519526	PMC8547452	10.1128/msystems.00194-21	Aminoglycoside-resistance gene signatures are predictive of aminoglycoside MICs for carbapenem-resistant Klebsiella pneumoniae	https://academic.oup.com/jac/article/77/2/356/6403927	166	False	Different works: Paper A is a carbapenem-MIC genomic study (Bulman et al., mBio/Spectrum 2021) on 166 CR-Kp isolates; Paper B is a separate aminoglycoside-MIC prediction paper in JAC (2022). Distinct titles, drug focus, and journals — likely the same group reusing the same isolate collection, but not the same article or a preprint/published pair.	found_correct	Sequencing reads and assembled genomes have been submitted to GenBank under BioProject PRJNA395086.	Paper A explicitly states its 166 clinical K. pneumoniae isolates were deposited under BioProject PRJNA395086, exactly matching the ENA project (166 taxon samples) and its CR-Kp description. Paper A is the primary study that generated and deposited these genomes ('We performed genomic characterization of 166 clinical K. pneumoniae isolates'). Paper B provides no text; it is a separate aminoglycoside-focused study by the same group that most plausibly reuses this same isolate collection rather than originating the deposit. With no Paper B evidence of being the depositing study, Paper A is the work that describes this project.	Paper B was supplied with no text, so a same-cohort sibling study that merely reuses the deposited genomes cannot be distinguished from the primary depositor; finder lacks a signal to down-rank text-less reuse papers.
PRJNA626430	Pervasive transmission of a carbapenem resistance plasmid in the gut microbiota of hospitalized patients.	33782584	PMC7610705	10.1038/s41564-021-00879-y	The distribution of fitness effects of plasmid pOXA-48 in clinical enterobacteria	https://pmc.ncbi.nlm.nih.gov/articles/PMC10433420/	159	False	Different works: Paper A (León-Sampedro et al.) is the R-GNOSIS transmission study that sequenced 250 pOXA-48-carrying isolates; Paper B is a later CRISPR-curing fitness-effects study with different authors, methods, and findings that explicitly cites Paper A as ref [1] and reuses its sequences. Not a preprint/version pair.	found_correct	In total, we determined the sequences of 250 isolates by short read methods and two of these genomes and six pOXA-48 plasmids were also sequenced by long-read methods to allow hybrid assembly	PRJNA626430 (title 'Carbapenem resistance plasmid pOXA-48-carrying clones from a hospital setting', 250 clones) matches Paper A, which generated and deposited the whole-genome sequences of the 250 pOXA-48-carrying enterobacteria from the R-GNOSIS R. y Cajal collection (Illumina HiSeq4000 + PacBio closed references, GenBank MT441554/MT989343-49). Paper B is a downstream reuse study: it states 'The remaining R-GNOSIS sequences can be found in León-Sampedro et al. [1]' and 'we used the Illumina data generated previously [1] (BioProject PRJNA626430)', selecting a subset of the 225-strain collection for CRISPR curing — it cites and reuses the data rather than being the primary depositing study. Note Paper B did deposit a few new closed assemblies into PRJNA626430, but the project as a whole (the 250/225-isolate genome set) is the product of Paper A. Hence the found paper (A) correctly describes the project.	Reuse papers can secondarily deposit a handful of genomes into the original BioProject (Paper B added closed assemblies to PRJNA626430), which can falsely signal them as the primary study; the finder should weigh which paper generated the bulk cohort, not merely which accession appears in a data-availability statement.
PRJNA564992	Comparison of phenotypic antimicrobial susceptibility testing results and WGS-derived genotypic resistance profiles for a cohort of ESBL-producing Escherichia coli collected from Canadian hospitals: CANWARD 2007-18.	34378044		10.1093/jac/dkab268	ESBL-positive Escherichia coli and Klebsiella pneumoniae isolates from across Canada: CANWARD surveillance study, 2007–18; partly published	https://academic.oup.com/jac/article/76/11/2815/6347675	142	False	Different works from the same CANWARD ESBL effort. Paper A (dkab268) is a genotype-vs-phenotype prediction study restricted to E. coli (671 collected, 636 genomes) and never mentions K. pneumoniae. Paper B (JAC 76(11):2815) is a separate surveillance-characterization paper covering BOTH E. coli AND K. pneumoniae. Distinct scope, distinct focus, distinct page/DOI — companion papers, not one article or a preprint/version pair.	curated_correct	ESBL-positive Escherichia coli and Klebsiella pneumoniae isolates from across Canada: CANWARD surveillance study, 2007–18	The ENA project PRJNA564992 is titled 'Characterization of ESBL-producing Escherichia coli and Klebsiella pneumoniae collected from Canadian Hospitals' and explicitly spans BOTH species across 2007-2018. Paper B's title matches this scope near-verbatim (both species, CANWARD, 2007–18), identifying it as the primary surveillance study that generated/deposited the full collection. Paper A is narrower: its abstract states '671 E. coli were collected and phenotypically confirmed as ESBL producers... resulting in 636 high-quality genomes,' covers only E. coli, and never addresses K. pneumoniae — so it cannot describe a project that explicitly includes K. pneumoniae. Paper A is a companion E. coli-only prediction sub-study, while Paper B (curated) is the project's primary descriptor.	Finder latched onto a shared cohort label (CANWARD 2007-18) and matching E. coli abstract, but did not check the paper's species coverage against the project's stated scope — picking a single-species companion paper over the broader two-species study that the project (E. coli + K. pneumoniae) actually describes.
PRJNA246471	Nested Russian Doll-Like Genetic Mobility Drives Rapid Dissemination of the Carbapenem Resistance Gene blaKPC.	27067320	PMC4879409	10.1128/aac.00464-16	Klebsiella pneumoniae Carbapenemase (KPC)-Producing K. pneumoniae at a Single Institution: Insights into Endemicity from Whole-Genome Sequencing	https://journals.asm.org/doi/10.1128/aac.00464-16 ; https://journals.asm.org/doi/full/10.1128/aac.04292-14?rfr_dat=cr_pub++0pubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org	135	False	Different works: Paper A is 'Nested Russian Doll-Like Genetic Mobility Drives Rapid Dissemination of blaKPC' (PMC4879409), a 281-isolate Enterobacteriaceae outbreak genomics study. Paper B's title is a separate KPC K. pneumoniae endemicity paper, but its supplied body text is an unrelated glutamate dehydrogenase enzymology abstract. Different titles, cohorts, and content — not the same article and not a preprint/published pair.	found_correct	Sequence data obtained in this study have been deposited at the National Center for Biotechnology Information under BioProject no. PRJNA246471.	Paper A explicitly deposits its sequence data under the exact project accession PRJNA246471, and its content matches the ENA project (KPC-producing Gammaproteobacteria, blaKPC plasmid tracking, multispecies Enterobacteriaceae from a single hospital). It is the primary study that generated and deposited these genomes. Paper B's provided text is a mismatched glutamate dehydrogenase biochemistry abstract that has nothing to do with this project, and its (separate) titled study is not shown to deposit or describe PRJNA246471. Thus only Paper A describes this project.	Paper B's metadata title (a plausible-sounding KPC K. pneumoniae paper) was paired with a completely unrelated abstract body — the finder should detect title/body mismatch rather than trusting the title, but here it correctly is not selected.
PRJEB19322	Genomic investigation of a suspected &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; outbreak in a neonatal care unit in sub-Saharan Africa.	34793293	PMC8743538	10.1099/mgen.0.000703	Distribution of capsule and O types in Klebsiella pneumoniae causing neonatal sepsis in Africa and South Asia: meta-analysis of genome-predicted serotype prevalence and potential vaccine coverage; Published on Pathogenwatch	https://www.medrxiv.org/content/10.1101/2025.06.28.25330253v1.full; https://pathogen.watch/collection/klebnet-neonatal-sepsis	92	False	Paper A is a 2021/2022 outbreak investigation of K. pneumoniae in a Malawian neonatal unit (n=86 sequenced genomes, ST340/ST14/ST372 focus). Paper B is a 2025 medRxiv/Pathogenwatch meta-analysis of capsule/O-type serotype prevalence and vaccine coverage across Africa and South Asia. Different titles, authors, scope, cohorts and findings — not the same work nor a preprint/published pair.	found_correct	The Klebsiella pneumoniae genome sequences completed using an Illumina platform from this study are deposited in GenBank under project no. PRJNA641987 ... and the European Nucleotide Archive under project no. PRJEB19322	Paper A is the primary study that generated and deposited the genomes under PRJEB19322 — it explicitly states the sequences from 'this study' were deposited in ENA under PRJEB19322, matches the ENA project (Malawi/QECH ESKAPE/Klebsiella, single hospital, 92 samples ~ 86 sequenced + failed), and describes the wet-lab sequencing (Illumina HiSeq X-Ten at Wellcome Sanger). Paper B is a downstream meta-analysis aggregating genome-predicted serotypes across many collections via Pathogenwatch and merely reuses/cites such data, not the depositor of this project. Thus only Paper A describes this project.	Meta-analysis/aggregator papers (e.g. Pathogenwatch collections, serotype prevalence meta-analyses) that pool many existing genome collections are easily mismatched to a specific deposited project they merely reuse; finder should down-weight aggregate/secondary-analysis papers lacking any deposition statement for the specific accession.
