Strain ID,Species,Specimen,Date collected,Province,"Short-read
sequencer",DDBJ_short_accession,"Long-read
sequencer",DDBJ_long_accession,Sequence type,"Carbapenemase
genotype"
C024,Escherichia coli,Urine,22/1/2016,Sakon Nakhon,HiSeq,DRX115317,-,-,ST410,NDM-1
C025,Klebsiella pneumoniae,Sputum,30/11/2015,Sakon Nakhon,HiSeq,DRX115318,-,-,ST340,OXA-181
C026,Klebsiella pneumoniae,Urine,29/11/2015,Sakon Nakhon,HiSeq,DRX115319,-,-,ST340,OXA-181
C027,Klebsiella pneumoniae,Sputum,24/11/2015,Sakon Nakhon,HiSeq,DRX115320,-,-,ST340,OXA-181
C028,Klebsiella pneumoniae,Sputum,15/1/2016,Sakon Nakhon,HiSeq,DRX115321,-,-,ST147,NDM-1 OXA-181
C029,Klebsiella pneumoniae,Sputum,2/1/2016,Sakon Nakhon,HiSeq,DRX115322,-,-,ST147,NDM-1 OXA-181
C031,Klebsiella pneumoniae,Sputum,28/12/2015,Sakon Nakhon,HiSeq,DRX115323,-,-,ST340,OXA-181
C032,Escherichia coli,Urine,29/1/2016,Sakon Nakhon,HiSeq,DRX115324,-,-,ST361,NDM-5
C033,Klebsiella pneumoniae,Sputum,29/12/2015,Sakon Nakhon,HiSeq,DRX115325,-,-,ST340,OXA-181
C034,Klebsiella pneumoniae,Wound,14/1/2016,Sakon Nakhon,HiSeq,DRX115326,-,-,ST334,NDM-1
C035,Klebsiella pneumoniae,Sputum,21/11/2015,Sakon Nakhon,HiSeq,DRX115327,-,-,ST340,OXA-181
C036,Klebsiella pneumoniae,Sputum,3/1/2016,Sakon Nakhon,HiSeq,DRX115328,-,-,ST340,OXA-181
C037,Klebsiella pneumoniae,Sputum,6/1/2016,Sakon Nakhon,HiSeq,DRX115329,-,-,ST147,NDM-1 OXA-181
C038,Klebsiella pneumoniae,Pleural fluid,7/1/2016,Sakon Nakhon,HiSeq,DRX187451,-,-,ST340,OXA-181
C042,Escherichia coli,Urine,6/3/2015,Udon Thani,HiSeq,DRX115332,-,-,ST46,NDM-5
C043,Klebsiella pneumoniae,Sputum,13/3/2015,Udon Thani,HiSeq,DRX115333,-,-,ST336,NDM-1
C044,Escherichia coli,Urine,21/3/2015,Udon Thani,HiSeq,DRX115334,-,-,ST354,NDM-1
C045,Klebsiella pneumoniae,Blood,22/3/2015,Udon Thani,HiSeq,DRX115335,PacBio,DRX187460,ST231,NDM-1
C046,Klebsiella pneumoniae,Blood,23/3/2015,Udon Thani,HiSeq,DRX115336,-,-,ST273,NDM-1
C047,Klebsiella pneumoniae,Blood,19/4/2015,Udon Thani,HiSeq,DRX115337,-,-,ST231,NDM-1
C048,Klebsiella pneumoniae,Sputum,21/4/2015,Udon Thani,HiSeq,DRX115338,GridION,DRX187481,ST231,NDM-1
C049,Escherichia coli,Urine,29/4/2015,Udon Thani,HiSeq,DRX115339,-,-,ST354,NDM-1
C052,Escherichia coli,Urine,25/8/2015,Udon Thani,HiSeq,DRX115340,-,-,ST361,NDM-5
C053,Escherichia coli,Urine,23/8/2015,Udon Thani,-,-,PacBio,DRX187461,ST361,NDM-5
C055,Klebsiella pneumoniae,Sputum,5/9/2015,Udon Thani,HiSeq,DRX115343,-,-,ST120,NDM-1
C056,Klebsiella pneumoniae,Sputum,11/9/2015,Udon Thani,HiSeq,DRX115344,-,-,ST147,NDM-1
C057,Klebsiella pneumoniae,Pleural fluid,11/9/2015,Udon Thani,-,-,PacBio,DRX187462,ST48,NDM-1
C058,Klebsiella pneumoniae,Urine,19/9/2015,Udon Thani,HiSeq,DRX115346,-,-,ST101,NDM-1
C059,Escherichia coli,Blood,24/6/2015,Udon Thani,HiSeq,DRX115347,-,-,ST10,NDM-1
C060,Escherichia coli,Blood,29/11/2015,Udon Thani,HiSeq,DRX115348,-,-,ST361,NDM-5
C062,Escherichia coli,Urine,5/1/2016,Udon Thani,HiSeq,DRX115349,-,-,ST361,NDM-5
C063,Klebsiella pneumoniae,Urine,19/1/2016,Udon Thani,-,-,PacBio,DRX187463,ST1089,NDM-5
C064,Escherichia coli,Blood,28/1/2016,Udon Thani,HiSeq,DRX115351,-,-,ST3910,NDM-1
C068,Escherichia coli,Urine,16/3/2016,Sakon Nakhon,HiSeq,DRX115354,-,-,ST361,NDM-5
C069,Klebsiella pneumoniae,Sputum,4/3/2016,Sakon Nakhon,HiSeq,DRX115355,-,-,ST147,NDM-1
C070,Klebsiella pneumoniae,Sputum,2/3/2016,Sakon Nakhon,-,-,PacBio,DRX187464,ST147,NDM-1
C071,Klebsiella pneumoniae,Sputum,1/3/2016,Sakon Nakhon,HiSeq,DRX115357,-,-,ST147,NDM-1
C072,Klebsiella pneumoniae,Sputum,29/3/2016,Sakon Nakhon,-,-,PacBio,DRX187465,ST147,OXA-181
C073,Klebsiella pneumoniae,Sputum,15/2/2016,Sakon Nakhon,HiSeq,DRX115359,-,-,ST16,NDM-1 OXA-232
C074,Klebsiella pneumoniae,Urine,24/2/2016,Sakon Nakhon,HiSeq,DRX115360,PacBio,DRX187466,ST147,NDM-1 OXA-181
C075,Klebsiella pneumoniae,Sputum,14/2/2016,Sakon Nakhon,HiSeq,DRX115361,-,-,ST147,NDM-1
C077,Escherichia coli,Bedsore,4/2/2016,Sakon Nakhon,HiSeq,DRX115363,-,-,ST4219,NDM-1
C078,Klebsiella pneumoniae,Urine,21/2/2016,Sakon Nakhon,HiSeq,DRX115364,-,-,ST231,NDM-1
C079,Escherichia coli,Urine,20/2/2016,Sakon Nakhon,HiSeq,DRX115365,-,-,ST361,NDM-5
C080,Klebsiella pneumoniae,Urine,21/2/2016,Sakon Nakhon,HiSeq,DRX115366,-,-,ST147,NDM-1
C081,Klebsiella pneumoniae,Sputum,23/2/2016,Sakon Nakhon,HiSeq,DRX115367,-,-,ST340,OXA-181
C082,Klebsiella pneumoniae,Sputum,13/4/2016,Sakon Nakhon,HiSeq,DRX115368,-,-,ST340,OXA-181
C083,Klebsiella pneumoniae,Urine,11/4/2016,Sakon Nakhon,HiSeq,DRX115369,-,-,ST147,NDM-1
C084,Klebsiella pneumoniae,Blood,16/4/2016,Sakon Nakhon,-,-,PacBio,DRX187467,ST340,OXA-181
C085,Klebsiella pneumoniae,Sputum,17/4/2016,Sakon Nakhon,HiSeq,DRX115371,-,-,ST334,NDM-1
C086,Klebsiella pneumoniae,Sputum,7/4/2016,Sakon Nakhon,HiSeq,DRX115372,-,-,ST340,OXA-181
C090,Klebsiella pneumoniae,Sputum,15/4/2016,Nakhon Phanom,HiSeq,DRX187452,-,-,ST101,NDM-1
C092,Klebsiella pneumoniae,Urine,15/3/2016,Nakhon Phanom,HiSeq,DRX187453,-,-,ST340,NDM-1
C094,Escherichia coli,Urine,19/4/2016,Surin,HiSeq,DRX115374,-,-,ST1193,NDM-1
C095,Klebsiella pneumoniae,Sputum,2/4/2016,Surin,HiSeq,DRX115375,-,-,ST2673,NDM-1
C097,Klebsiella pneumoniae,Sputum,6/4/2016,Surin,HiSeq,DRX115377,-,-,ST736,NDM-1
C098,Escherichia coli,Pus,16/5/2016,Surin,HiSeq,DRX115378,-,-,ST48,NDM-1
C099,Klebsiella pneumoniae,Sputum,16/5/2016,Surin,HiSeq,DRX115379,-,-,ST11,NDM-1
C100,Escherichia coli,Sputum,16/5/2016,Surin,HiSeq,DRX115380,-,-,ST410,NDM-1
C101,Klebsiella pneumoniae,Pus,25/5/2016,Surin,HiSeq,DRX115381,-,-,ST147,NDM-1
C102,Klebsiella pneumoniae,Urine,3/6/2016,Surin,HiSeq,DRX115382,-,-,ST1740,IMP-14
C103,Klebsiella pneumoniae,Sputum,4/6/2016,Surin,-,-,PacBio,DRX115383,ST15,NDM-1
C105,Escherichia coli,Blood,29/5/2016,Surin,HiSeq,DRX115386,-,-,ST1236,NDM-1
C106,Klebsiella pneumoniae,Urine,28/5/2016,Nakhon Phanom,HiSeq,DRX115387,-,-,ST677,NDM-1
C107,Klebsiella pneumoniae,Sputum,18/5/2016,Nakhon Phanom,HiSeq,DRX115388,-,-,ST147,NDM-1
C110,Klebsiella pneumoniae,Sputum,4/5/2016,Sakon Nakhon,HiSeq,DRX115389,-,-,ST1859,NDM-1 OXA-181
C111,Klebsiella pneumoniae,Urine,3/5/2016,Sakon Nakhon,HiSeq,DRX115390,-,-,ST147,NDM-1
C112,Escherichia coli,Urine,3/5/2016,Sakon Nakhon,HiSeq,DRX187454,-,-,ST361,NDM-5
C113,Klebsiella pneumoniae,Sputum,4/5/2016,Sakon Nakhon,HiSeq,DRX115391,-,-,ST340,OXA-181
C114,Klebsiella pneumoniae,Sputum,21/4/2016,Sakon Nakhon,HiSeq,DRX115392,-,-,ST340,OXA-181
C115,Klebsiella pneumoniae,Sputum,7/6/2016,Sakon Nakhon,HiSeq,DRX115393,-,-,ST340,OXA-181
C116,Klebsiella pneumoniae,Sputum,3/6/2016,Sakon Nakhon,HiSeq,DRX115394,-,-,ST340,OXA-181
C117,Klebsiella pneumoniae,Sputum,21/5/2016,Sakon Nakhon,HiSeq,DRX115395,-,-,ST147,OXA-181
C119,Klebsiella pneumoniae,Sputum,8/5/2016,Sakon Nakhon,HiSeq,DRX115397,-,-,ST340,OXA-181
C120,Klebsiella pneumoniae,Urine,16/5/2016,Sakon Nakhon,HiSeq,DRX115398,-,-,ST340,OXA-181
C121,Klebsiella pneumoniae,Sputum,6/6/2016,Sakon Nakhon,HiSeq,DRX115399,-,-,ST340,OXA-181
C122,Klebsiella pneumoniae,Sputum,5/6/2016,Sakon Nakhon,HiSeq,DRX115400,-,-,ST147,OXA-181
C123,Klebsiella pneumoniae,Sputum,22/4/2016,Sakon Nakhon,HiSeq,DRX115401,-,-,ST147,OXA-181
C124,Klebsiella pneumoniae,Urine,26/4/2016,Sakon Nakhon,HiSeq,DRX115402,-,-,ST147,NDM-1
C125,Escherichia coli,Urine,25/4/2016,Sakon Nakhon,HiSeq,DRX115403,-,-,ST410,NDM-5
C126,Klebsiella pneumoniae,Urine,24/4/2016,Sakon Nakhon,HiSeq,DRX115404,-,-,ST16,NDM-1 OXA-232
C127,Klebsiella pneumoniae,Sputum,14/5/2016,Sakon Nakhon,HiSeq,DRX115405,GridION,DRX187482,ST1859,NDM-1
C128,Klebsiella pneumoniae,Sputum,25/4/2016,Sakon Nakhon,HiSeq,DRX115406,-,-,ST540,NDM-1
C129,Escherichia coli,Pus from foot,19/7/2016,Nakhon Phanom,HiSeq,DRX115407,-,-,ST2659,NDM-5
C130,Klebsiella pneumoniae,Sputum,15/7/2016,Nakhon Phanom,HiSeq,DRX115408,-,-,ST147,NDM-1
C134,Klebsiella pneumoniae,Sputum,17/7/2016,Nakhon Phanom,HiSeq,DRX115411,-,-,ST656,NDM-1
C135,Klebsiella pneumoniae,Urine,25/6/2016,Surin,HiSeq,DRX187455,-,-,ST2673,NDM-1
C136,Klebsiella pneumoniae,Blood,27/6/2016,Surin,HiSeq,DRX115412,-,-,ST11,NDM-1
C137,Klebsiella pneumoniae,Sputum,1/7/2016,Surin,HiSeq,DRX115413,-,-,ST39,NDM-1
C138,Klebsiella pneumoniae,Sputum,3/7/2016,Surin,HiSeq,DRX115414,-,-,ST16,NDM-1 OXA-232
C139,Klebsiella pneumoniae,Sputum,3/7/2016,Surin,HiSeq,DRX115415,-,-,ST17,NDM-1
C140,Escherichia coli,Urine,7/7/2016,Surin,HiSeq,DRX115416,-,-,ST410,NDM-5
C141,Klebsiella pneumoniae,Urine,2/8/2016,Surin,HiSeq,DRX115417,-,-,ST101,NDM-1
C142,Escherichia coli,Urine,4/8/2016,Surin,HiSeq,DRX115418,-,-,ST410,NDM-5
C143,Klebsiella pneumoniae,Sputum,7/8/2016,Surin,HiSeq,DRX115419,-,-,ST231,OXA-232
C145,Klebsiella pneumoniae,Urine,4/8/2016,Surin,HiSeq,DRX115420,-,-,ST11,NDM-1
C146,Klebsiella pneumoniae,Sputum,6/8/2016,Surin,HiSeq,DRX115421,-,-,ST11,NDM-1
C147,Escherichia coli,Urine,6/8/2016,Surin,HiSeq,DRX115422,-,-,ST167,NDM-5
C148,Klebsiella pneumoniae,Sputum,2/8/2016,Surin,HiSeq,DRX115423,-,-,ST534,NDM-1
C149,Escherichia coli,Sputum,10/8/2016,Surin,HiSeq,DRX115424,-,-,ST2144,NDM-1
C153,Escherichia coli,Urine,12/8/2016,Tak,HiSeq,DRX141043,-,-,ST448,NDM-7
C154,Escherichia coli,Urine,16/8/2016,Tak,HiSeq,DRX141044,-,-,ST167,NDM-5
C156,Escherichia coli,Sputum,4/2/2015,Surat Thani,HiSeq,DRX141046,-,-,ST448,NDM-4
C157,Escherichia coli,Pus from foot,12/2/2015,Surat Thani,HiSeq,DRX141047,-,-,ST410,OXA-181
C158,Escherichia coli,Pus from foot,18/2/2015,Surat Thani,HiSeq,DRX141048,-,-,ST1193,NDM-1
C159,Klebsiella pneumoniae,Urine,20/2/2015,Surat Thani,HiSeq,DRX141049,-,-,ST11,NDM-1
C160,Klebsiella pneumoniae,Sputum,10/3/2015,Surat Thani,HiSeq,DRX141050,-,-,ST11,NDM-1
C161,Escherichia coli,Urine,27/5/2015,Surat Thani,HiSeq,DRX141051,-,-,ST410,OXA-181
C163,Escherichia coli,Wound,30/5/2015,Surat Thani,HiSeq,DRX141052,-,-,ST410,NDM-1 OXA-181
C164,Klebsiella pneumoniae,Blood,1/6/2015,Surat Thani,HiSeq,DRX141053,-,-,ST16,NDM-1
C166,Klebsiella pneumoniae,Pleural fluid,2/6/2015,Surat Thani,HiSeq,DRX141056,-,-,ST16,NDM-1
C167,Klebsiella pneumoniae,Blood,10/6/2015,Surat Thani,HiSeq,DRX141057,-,-,ST16,OXA-181
C169,Klebsiella pneumoniae,Ascitic fluid,17/7/2015,Surat Thani,HiSeq,DRX141060,-,-,ST11,NDM-1
C170,Klebsiella pneumoniae,Urine,28/1/2015,Surat Thani,HiSeq,DRX141061,-,-,ST11,NDM-1
C171,Escherichia coli,Blood,27/1/2015,Surat Thani,HiSeq,DRX141062,-,-,ST448,NDM-4
C172,Escherichia coli,Urine,4/8/2015,Surat Thani,HiSeq,DRX141063,-,-,ST448,NDM-4
C176,Escherichia coli,Pus from foot,5/8/2015,Surat Thani,HiSeq,DRX141066,-,-,ST1340,OXA-181
C177,Klebsiella pneumoniae,Sputum,6/8/2015,Surat Thani,HiSeq,DRX141067,-,-,ST147,NDM-1
C178,Klebsiella pneumoniae,Urine,16/8/2015,Surat Thani,HiSeq,DRX141068,-,-,ST147,NDM-1
C182,Klebsiella pneumoniae,Urine,14/11/2015,Surat Thani,HiSeq,DRX141075,-,-,ST477,NDM-1
C183,Klebsiella pneumoniae,Sputum,16/11/2015,Surat Thani,HiSeq,DRX141076,-,-,ST477,NDM-1
C184,Klebsiella pneumoniae,Blood,27/12/2015,Surat Thani,HiSeq,DRX141077,-,-,ST11,NDM-1
C186,Klebsiella pneumoniae,Urine,7/1/2016,Surat Thani,HiSeq,DRX141080,-,-,ST101,NDM-1
C187,Klebsiella pneumoniae,Urine,13/1/2016,Surat Thani,HiSeq,DRX141081,-,-,ST101,NDM-1
C188,Escherichia coli,Urine,18/1/2016,Surat Thani,HiSeq,DRX141082,-,-,ST410,OXA-181
C189,Klebsiella pneumoniae,Sputum,22/1/2016,Surat Thani,HiSeq,DRX141083,-,-,ST277,NDM-1
C193,Klebsiella pneumoniae,Ascitic fluid,11/2/2016,Surat Thani,HiSeq,DRX141087,-,-,ST221,NDM-1
C195,Klebsiella pneumoniae,Blood,27/12/2015,Surat Thani,HiSeq,DRX141088,-,-,ST101,NDM-1
C201,Klebsiella pneumoniae,Sputum,12/2/2016,Surat Thani,HiSeq,DRX141090,-,-,ST2133,NDM-1
C202,Klebsiella pneumoniae,Sputum,15/2/2016,Surat Thani,HiSeq,DRX141091,-,-,ST336,OXA-181
C203,Klebsiella pneumoniae,Sputum,17/2/2016,Surat Thani,HiSeq,DRX141092,-,-,ST15,NDM-1
C204,Klebsiella pneumoniae,Sputum,19/2/2016,Surat Thani,HiSeq,DRX141093,-,-,ST336,OXA-181
C205,Klebsiella pneumoniae,Sputum,22/2/2016,Surat Thani,HiSeq,DRX141094,-,-,ST336,OXA-181
C210,Klebsiella pneumoniae,Sputum,7/3/2016,Surat Thani,HiSeq,DRX141096,-,-,ST16,NDM-1 OXA-232
C213,Klebsiella pneumoniae,Sputum,12/3/2016,Surat Thani,HiSeq,DRX141099,-,-,ST336,OXA-181
C214,Escherichia coli,Pus,24/3/2016,Surat Thani,HiSeq,DRX141100,-,-,ST410,OXA-181
C219,Klebsiella pneumoniae,Blood,7/4/2016,Surat Thani,HiSeq,DRX141101,-,-,ST336,OXA-181
C222,Klebsiella pneumoniae,Pus,1/5/2016,Surat Thani,HiSeq,DRX141102,-,-,ST16,NDM-1 OXA-232
C225,Klebsiella pneumoniae,Sputum,30/6/2016,Surat Thani,HiSeq,DRX141105,-,-,ST16,NDM-1 OXA-232
C228,Klebsiella pneumoniae,Blood,8/7/2016,Surat Thani,HiSeq,DRX141107,-,-,ST16,NDM-1 OXA-232
C229,Klebsiella pneumoniae,Blood,17/7/2016,Surat Thani,HiSeq,DRX141108,-,-,ST16,NDM-1 OXA-232
C230,Klebsiella pneumoniae,Urine,1/7/2016,Surat Thani,HiSeq,DRX141109,-,-,ST16,NDM-1 OXA-232
C233,Klebsiella pneumoniae,Urine,19/7/2016,Surat Thani,HiSeq,DRX141112,-,-,ST16,NDM-1 OXA-232
C234,Klebsiella pneumoniae,Urine,17/6/2016,Surat Thani,HiSeq,DRX141113,-,-,ST16,NDM-1 OXA-232
C235,Escherichia coli,Urine,20/7/2016,Surat Thani,HiSeq,DRX141114,-,-,ST405,NDM-1
C236,Klebsiella pneumoniae,Urine,27/6/2016,Surat Thani,HiSeq,DRX141115,-,-,ST16,NDM-1 OXA-232
C239,Klebsiella pneumoniae,Sputum,2/7/2016,Surat Thani,HiSeq,DRX141119,-,-,ST16,NDM-1 OXA-232
C240,Klebsiella pneumoniae,Sputum,2/7/2016,Surat Thani,HiSeq,DRX141120,-,-,ST16,OXA-232
C242,Klebsiella pneumoniae,Sputum,9/7/2016,Surat Thani,HiSeq,DRX141122,-,-,ST16,NDM-1 OXA-232
C244,Klebsiella pneumoniae,Sputum,13/7/2016,Surat Thani,HiSeq,DRX141124,-,-,ST16,NDM-1
C245,Klebsiella pneumoniae,Sputum,25/7/2016,Surat Thani,HiSeq,DRX141125,-,-,ST231,OXA-232
C246,Klebsiella pneumoniae,Sputum,27/7/2016,Surat Thani,HiSeq,DRX141126,-,-,ST16,NDM-1 OXA-232
C247,Klebsiella pneumoniae,Sputum,29/6/2016,Surat Thani,HiSeq,DRX141127,-,-,ST16,NDM-1 OXA-232
C250,Klebsiella pneumoniae,Pus,16/7/2016,Surat Thani,HiSeq,DRX141129,-,-,ST16,NDM-1 OXA-232
C251,Klebsiella pneumoniae,Urine,1/8/2016,Surat Thani,HiSeq,DRX141130,-,-,ST16,NDM-1 OXA-232
C252,Klebsiella pneumoniae,Urine,1/8/2016,Surat Thani,HiSeq,DRX141131,-,-,ST16,NDM-1 OXA-232
C254,Klebsiella pneumoniae,Urine,13/8/2016,Surat Thani,HiSeq,DRX141133,-,-,ST101,NDM-1
C257,Klebsiella pneumoniae,Urine,30/7/2016,Surat Thani,HiSeq,DRX141136,-,-,ST101,NDM-1
C258,Klebsiella pneumoniae,Urine,31/7/2016,Surat Thani,HiSeq,DRX141137,-,-,ST101,NDM-1
C260,Escherichia coli,Pus,13/8/2016,Surat Thani,HiSeq,DRX141139,-,-,ST410,NDM-1
C262,Klebsiella pneumoniae,Pus,23/8/2016,Surat Thani,HiSeq,DRX141140,-,-,ST16,NDM-1 OXA-232
C263,Klebsiella pneumoniae,Sputum,12/8/2016,Surat Thani,HiSeq,DRX141141,-,-,ST16,NDM-1 OXA-232
C264,Klebsiella pneumoniae,Sputum,26/8/2016,Surat Thani,HiSeq,DRX141142,-,-,ST11,OXA-232
C267,Klebsiella pneumoniae,Blood,29/8/2016,Surat Thani,HiSeq,DRX141145,-,-,ST16,NDM-1 OXA-232
C268,Klebsiella pneumoniae,Urine,29/8/2016,Surat Thani,HiSeq,DRX141146,-,-,ST16,NDM-1 OXA-232
C277,Klebsiella pneumoniae,Blood,19/2/2016,Udon Thani,HiSeq,DRX141147,-,-,ST231,NDM-1
C278,Escherichia coli,Urine,23/3/2016,Udon Thani,HiSeq,DRX141148,GridION,DRX187483,ST131,NDM-5
C280,Escherichia coli,Blood,31/3/2016,Udon Thani,HiSeq,DRX141149,-,-,ST131,NDM-1
C281,Escherichia coli,Urine,7/4/2016,Udon Thani,HiSeq,DRX141150,GridION,DRX187484,ST405,NDM-5
C282,Escherichia coli,Urine,6/4/2016,Udon Thani,HiSeq,DRX141151,-,-,ST405,NDM-5
C284,Klebsiella pneumoniae,Urine,2/5/2016,Udon Thani,HiSeq,DRX141153,-,-,ST14,NDM-1 OXA-232
C285,Escherichia coli,Blood,21/5/2016,Udon Thani,HiSeq,DRX141154,-,-,ST410,NDM-1
C286,Klebsiella pneumoniae,Pus from sternum,31/5/2016,Udon Thani,HiSeq,DRX141155,-,-,ST48,NDM-1
C287,Klebsiella pneumoniae,Blood,22/6/2016,Udon Thani,HiSeq,DRX141156,-,-,ST48,NDM-1
C288,Escherichia coli,Blood,26/6/2016,Udon Thani,HiSeq,DRX141157,-,-,ST410,NDM-5
C290,Escherichia coli,Urine,26/6/2016,Udon Thani,HiSeq,DRX141160,GridION,DRX187485,ST405,NDM-5
C291,Escherichia coli,Urine,30/6/2016,Udon Thani,HiSeq,DRX141161,-,-,ST2011,NDM-1
C292,Escherichia coli,Blood,8/7/2016,Udon Thani,HiSeq,DRX141162,-,-,ST167,NDM-5
C293,Escherichia coli,Pleural fluid,8/7/2016,Udon Thani,HiSeq,DRX141163,-,-,ST361,NDM-5
C294,Klebsiella pneumoniae,Urine,18/7/2016,Udon Thani,HiSeq,DRX141164,-,-,ST273,NDM-1
C295,Escherichia coli,Urine,29/7/2016,Udon Thani,HiSeq,DRX141165,-,-,ST405,NDM-5
C297,Escherichia coli,Blood,6/8/2016,Udon Thani,HiSeq,DRX141167,-,-,ST410,NDM-5
C298,Escherichia coli,Blood,3/8/2016,Udon Thani,HiSeq,DRX141168,-,-,ST410,NDM-5
C300,Escherichia coli,Urine,18/9/2016,Chumphon,HiSeq,DRX141170,-,-,ST410,NDM-5
C302,Escherichia coli,Urine,8/10/2016,Surin,HiSeq,DRX141171,-,-,ST410,NDM-1
C303,Escherichia coli,Urine,3/10/2016,Surin,HiSeq,DRX141172,-,-,ST410,NDM-1
C304,Escherichia coli,Urine,13/10/2016,Surin,HiSeq,DRX141173,-,-,ST10210,NDM-5
C305,Escherichia coli,Blood,12/10/2016,Surin,HiSeq,DRX141174,-,-,ST410,NDM-5
C306,Klebsiella pneumoniae,Sputum,13/10/2016,Surin,HiSeq,DRX141175,-,-,ST231,OXA-232
C307,Klebsiella pneumoniae,Sputum,27/8/2016,Sakon Nakhon,HiSeq,DRX141176,-,-,ST340,OXA-181
C308,Klebsiella pneumoniae,Sputum,29/8/2016,Sakon Nakhon,HiSeq,DRX141177,-,-,ST147,NDM-1
C309,Klebsiella pneumoniae,Sputum,29/8/2016,Sakon Nakhon,HiSeq,DRX141178,-,-,ST11,OXA-181
C311,Klebsiella pneumoniae,Sputum,21/8/2016,Sakon Nakhon,HiSeq,DRX141180,-,-,ST11,OXA-181
C312,Klebsiella pneumoniae,Sputum,28/6/2016,Sakon Nakhon,HiSeq,DRX141181,-,-,ST147,NDM-1
C313,Klebsiella pneumoniae,Urine,7/7/2016,Sakon Nakhon,HiSeq,DRX141182,-,-,ST340,OXA-181
C314,Klebsiella pneumoniae,Sputum,19/8/2016,Sakon Nakhon,HiSeq,DRX141183,-,-,ST11,OXA-181
C315,Klebsiella pneumoniae,Sputum,31/7/2016,Sakon Nakhon,HiSeq,DRX141184,-,-,ST340,OXA-181
C316,Klebsiella pneumoniae,Sputum,2/7/2016,Sakon Nakhon,HiSeq,DRX141185,-,-,ST340,OXA-181
C317,Klebsiella pneumoniae,Sputum,18/8/2016,Sakon Nakhon,HiSeq,DRX141186,-,-,ST147,NDM-1
C318,Klebsiella pneumoniae,Sputum,20/8/2016,Sakon Nakhon,HiSeq,DRX141187,-,-,ST340,OXA-181
C320,Klebsiella pneumoniae,Urine,1/7/2016,Sakon Nakhon,HiSeq,DRX141189,-,-,ST340,OXA-181
C321,Klebsiella pneumoniae,Sputum,15/6/2016,Sakon Nakhon,HiSeq,DRX141190,-,-,ST340,OXA-181
C322,Klebsiella pneumoniae,Sputum,4/7/2016,Sakon Nakhon,HiSeq,DRX141191,-,-,ST340,OXA-181
C323,Klebsiella pneumoniae,Sputum,18/6/2016,Sakon Nakhon,HiSeq,DRX141192,-,-,ST147,NDM-1
C324,Klebsiella pneumoniae,Sputum,30/8/2016,Sakon Nakhon,HiSeq,DRX141193,-,-,ST11,OXA-181
C325,Klebsiella pneumoniae,Sputum,29/8/2016,Sakon Nakhon,HiSeq,DRX141194,-,-,ST336,OXA-181
