reference,strain,SampleAcc,LaneAcc,SupplierName,StudyAccession,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,SUPPLIER_SAMPLE_NAME,DATE,Strain,main_ST,neonate,major_wards
Musicha et al,16228_1#15,ERS669086,ERR971961,8407,ERP009326,Klebsiella pneumoniae,strong,47,358949,880320,5374896,yes (5015),ambiguous_bases,ST1425-1LV,0,0,6,7,-,0,-,0,-,0,-,0,-,0,-,wzi108,KL118,aadA2^,-,-,-,-,mphA,catII.2*,-,sul1;sul2,tet(D),-,dfrA12,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST1425-1LV,2,6,1,1,1,7,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8407,1998,NA,other,n,unknown
Musicha et al,16228_1#18,ERS669090,ERR971964,776,ERP009326,Klebsiella pneumoniae,strong,70,384848,1652811,5719931,yes (5254),ambiguous_bases,ST664,0,0,6,10,-,0,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IIa.v1;strA.v1;strB.v1,-,-,-,-,-,floR.v2*,-,sul1;sul2,tet(A).v2;tet(D),-,dfrA5,SCO-1,-,-,-,-,SHV-11.v1^,35Q,-,-,-,TEM-206?-0%,-,ST664,52,1,20,2,1,1,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7776,1998,NA,other,n,unknown
Musicha et al,16228_1#19,ERS669099,ERR971965,D32265,ERP009326,Klebsiella pneumoniae,strong,30,342703,1337411,5379430,yes (4208),ambiguous_bases,ST45,1,0,5,6,ybt 10; ICEKp4,78,-,0,-,0,-,0,-,0,-,wzi101,KL24,strA.v1*;strB.v1*,-,-,-,-,-,catII.2*,-,sul2,-,-,dfrA14.v2*,TEM-1D.v1^,-,-,-,-,SHV-1,-,-,-,-,-,-,ST45,2,1,1,6,7,1,12,3,12,4,11,3,21,18,3,10,16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D32265,2005,NA,ST45,n,unknown
Musicha et al,16228_1#21,ERS669103,ERR971967,A44754,ERP009326,Klebsiella pneumoniae,strong,69,357732,582979,5491510,yes (11481),ambiguous_bases,ST161-1LV,0,0,6,9,-,0,-,0,-,0,-,0,-,0,-,wzi202,KL127 (KL155),aac(3)-IIa.v1;strA.v1;strB.v1,-,-,-,-,mphA,catA1*,-,sul2,-,-,dfrA5,SCO-1;TEM-1D.v1^,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST161-1LV,2,1,2,1,394*,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A44754,2007,NA,other,n,unknown
Musicha et al,16228_1#26,ERS669116,ERR971972,D47091,ERP009326,Klebsiella pneumoniae,strong,110,237328,1239745,5738423,yes (8388),ambiguous_bases,ST4228-1LV,0,1,8,19,-,0,-,0,-,0,-,0,-,0,-,wzi74,KL103,aac(3)-IId^;aac(6')-Ib-cr.v2;aadA2^;aadA^;strA.v1^;strB.v1,-,-,-,-,mphA,CatB4.v1?;catA1*;catII.2*,-,sul1^;sul2,tet(A).v1;tet(B).v2*,-,dfrA12;dfrA15.v2,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST4228-1LV,2,1,1,1,394*,161,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D47091,2008,NA,other,n,unknown
Musicha et al,16228_1#28,ERS669120,ERR971974,C28,ERP009326,Klebsiella pneumoniae,strong,55,370889,858574,5546990,yes (3806),ambiguous_bases,ST101-1LV,1,1,6,8,ybt 6; ICEKp5,63,-,0,-,0,-,0,-,0,-,wzi29,KL106,aac(3)-IId^;strA.v1*;strB.v1*,-,-,qnrB1.v1,-,-,-,-,sul2,-,-,dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,-,-,ST101-1LV,2,6,1,5,24*,1,6,22,22,6,24,16,53,51,9,17,5,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C28,2009,NA,other,n,unknown
Musicha et al,16228_1#29,ERS669123,ERR971975,C21,ERP009326,Klebsiella pneumoniae,strong,121,139068,289183,5554961,yes (5095),ambiguous_bases,ST3119,0,1,7,13,-,0,-,0,-,0,-,0,-,0,-,wzi458,KL?,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1?;catA1*?,-,sul2,-,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,-,-,-,-,-,tet(A).v1*-3%,-,ST3119,2,1,1,6,10,4,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C21,2009,NA,other,n,unknown
Musicha et al,16228_1#2,ERS669070,ERR971948,D36068,ERP009326,Klebsiella pneumoniae,strong,69,360830,1107217,5717347,yes (3656),ambiguous_bases,ST664,0,0,6,11,-,0,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IIa.v1;strA.v1;strB.v1,-,-,-,-,-,floR.v2*,-,sul1;sul2,tet(A).v2;tet(D),-,dfrA5,SCO-1;TEM-1D.v1^,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST664,52,1,20,2,1,1,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D36068,2006,NA,other,n,unknown
Musicha et al,16228_1#30,ERS669124,ERR971976,A28,ERP009326,Klebsiella pneumoniae,strong,36,429016,800318,5536257,yes (5073),ambiguous_bases,ST14-1LV,0,1,6,8,-,0,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IId^;strA.v1^;strB.v1,-,-,-,-,-,catII.2*,-,sul2,-,-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14-1LV,1,6,1,1,394*,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A28,2009,NA,other,n,unknown
Musicha et al,16228_1#31,ERS669126,ERR971977,C18,ERP009326,Klebsiella pneumoniae,strong,127,228115,535828,5671080,yes (3818),ambiguous_bases,ST39,0,1,7,8,-,0,-,0,-,0,-,0,-,0,-,wzi83,KL23,aac(3)-IId^,-,-,-,-,-,catA1^;catII.2*,-,sul2,tet(D),-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,-,-,-,-,-,-,SHV-187*?-42%;SHV-49?-0%;SHV-85*?-0%,ST39,2,1,2,4,9,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C18,2009,NA,ST39,n,unknown
Musicha et al,16228_1#32,ERS669127,ERR971978,C24b,ERP009326,Klebsiella pneumoniae,strong,66,338467,540374,5663163,yes (6189),ambiguous_bases,ST107,1,1,7,10,ybt 10; ICEKp4,89-3LV,-,0,-,0,-,0,-,0,-,wzi235,KL10,aac(3)-IId^;strA.v1;strB.v1,-,-,-,-,mphA,catII.2*,-,sul2,-,-,dfrA14.v2*;dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST107,2,1,2,17,27,1,39,3,12,4*,3,3,35*,101*,3,10,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C24b,2009,NA,other,n,unknown
Musicha et al,16228_1#34,ERS669131,ERR971980,1007011,ERP009326,Klebsiella pneumoniae,strong,75,247449,711751,5669749,yes (4450),ambiguous_bases,ST15,0,1,9,17,-,0,-,0,-,0,-,0,-,0,-,wzi151,KL48,aac(3)-IId^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^;strA.v1^;strB.v1,-,-,-,-,mphA,CatB4.v1;catA1^;catII.2*,-,sul1;sul2,tet(B).v2*,-,dfrA12,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST15,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1007011,2010,NA,ST15,n,unknown
Musicha et al,16228_1#36,ERS669134,ERR971982,1023547,ERP009326,Klebsiella pneumoniae,strong,95,330737,803872,5813138,yes (10054),ambiguous_bases,ST14,0,1,8,12,-,0,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IId^;aadA*,-,-,-,-,ereA2,CatB4.v1?;catII.2*,arr-2,sul1;sul2,-,-,dfrA5,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,OXA-9.v1*-42%;aac(3)-IIa.v1?-0%;aac(6')-Ib'.v1?-0%,-,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1023547,2011,NA,ST14,n,unknown
Musicha et al,16228_1#38,ERS669141,ERR971984,BKQ2KD,ERP009326,Klebsiella pneumoniae,strong,75,204883,594620,5539695,yes (4952),ambiguous_bases,ST307,0,1,8,12,-,0,-,0,-,0,-,0,-,0,-,wzi173,"KL102 (KL149,KL155)",aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA16*;strA.v1*;strB.v1*,-,-,-,-,-,catII.2*,arr-3,sul1;sul2,-,-,dfrA27,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83I;ParC-80I,-,-,ST307,4,1,2,52,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQ2KD,2012,NA,ST307,n,CHATINKHA NURSERY
Musicha et al,16228_1#39,ERS669143,ERR971985,D50395,ERP009326,Klebsiella pneumoniae,strong,84,247706,1021727,5616469,yes (6670),ambiguous_bases,ST198,0,1,7,11,-,0,-,0,-,0,-,0,-,0,-,wzi85,KL30,aac(3)-IId^;strA.v1^;strB.v1,-,-,-,-,-,catA1^;catII.2*,-,sul2*,tet(A).v1,-,dfrA30*;dfrA8,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-77^,35Q,-,-,-,-,-,ST198,25,33,1,26,7,1,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D50395,2009,NA,other,n,unknown
Musicha et al,16228_1#3,ERS669071,ERR971949,D41222,ERP009326,Klebsiella pneumoniae,strong,80,294511,573001,5686157,yes (5237),ambiguous_bases,ST478,0,1,6,6,-,0,-,0,-,0,-,0,-,0,-,wzi86,KL125,aac(3)-IId^,-,-,-,-,-,catII.2*,-,sul2,-,-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1,-,-,-,-,-,-,ST478,14,1,2,1,95,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D41222,2019,NA,other,n,unknown
Musicha et al,16228_1#40,ERS669145,ERR971986,D25466,ERP009326,Klebsiella pneumoniae,strong,56,318246,711183,5548538,yes (3907),ambiguous_bases,ST15,0,1,8,11,-,0,-,0,-,0,-,0,-,0,-,wzi24,"KL24 (KL54,KL55)",aac(3)-IId^;aac(6')-Ib'.v1*;aadA*;strB.v1,-,-,-,-,-,catII.2*,-,sul2,tet(D),-,dfrA14.v2*,OXA-9.v1;TEM-1D.v1^,-,SHV-12,-,-,-,238S;240K;35Q,-,-,GyrA-83F;GyrA-87A;ParC-80I,strA.v1*-30%,-,ST15,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D25466,2004,NA,ST15,n,unknown
Musicha et al,16228_1#47,ERS669056,ERR971993,A4,ERP009326,Klebsiella pneumoniae,strong,73,253789,685169,5739948,yes (5962),ambiguous_bases,ST307,0,1,9,18,-,0,-,0,-,0,-,0,-,0,-,wzi173,"KL102 (KL149,KL155)",aac(3)-IId^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^;strA.v1^;strB.v1,-,-,-,-,mphA,CatB4.v1?;catII.2*,-,sul1;sul2,tet(B).v2*;tet(D),-,dfrA12;dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83I;ParC-80I,-,-,ST307,4,1,2,52,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A4,NA,NA,ST307,n,unknown
Musicha et al,16228_1#4,ERS669072,ERR971950,BHD3XR,ERP009326,Klebsiella variicola subsp. variicola,strong,26,708913,1050286,5455292,yes (6282),ambiguous_bases,ST1023-1LV,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi20,KL20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LEN-13*,-,-,-,-,-,-,ST1023-1LV,16,97,21,38,47,22,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BHD3XR,2014,NA,other,n,unknown
Musicha et al,16228_1#50,ERS669078,ERR971996,C32,ERP009326,Klebsiella pneumoniae,strong,86,368203,736117,5512052,yes (12043),ambiguous_bases,ST101-1LV,0,1,6,6,-,0,-,0,-,0,-,0,-,0,-,wzi137,KL17,aac(3)-IId^,-,-,-,-,-,catII.2*,-,sul2,-,-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,-,-,ST101-1LV,2,6,1,5,24*,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C32,2009,NA,other,n,unknown
Musicha et al,16228_1#51,ERS669080,ERR971997,3208,ERP009326,Klebsiella pneumoniae,strong,67,289266,900036,5745021,yes (6483),ambiguous_bases,ST48,4,0,6,8,ybt 10; ICEKp4,386-1LV,-,0,iuc 1,1-1LV,-,0,-,0,rmpA2_3-47%,wzi62,KL62,aac(3)-IIa.v1;strA.v1*;strB.v1*,-,-,-,-,-,catII.2*,-,sul2,tet(D),-,dfrA14.v2*,TEM-1D.v1^,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST48,2,5,2,2,7,1,10,16,12,4,3,3,35*,50,3,10,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1*,1,1,-,-,-,-,-,-,-,-,3208,1997,NA,ST48,n,unknown
Musicha et al,16228_1#52,ERS669082,ERR971998,D5105,ERP009326,Klebsiella pneumoniae,strong,166,149809,504243,5956644,yes (3389),ambiguous_bases,ST73,4,0,7,10,ybt 5; ICEKp6 (truncated),10-1LV,-,0,iuc 1,1-1LV,-,0,-,0,rmpA2_8*,wzi133,KL25,aac(3)-IIa.v1;aadA4.v1*;aph3-Ia.v1^;strA.v1^;strB.v1,-,-,-,-,-,catA1^,-,sul2*,tet(D),-,dfrA21*,TEM-1D.v1^,-,-,-,-,SHV-1^,-,-,-,GyrA-87N,-,-,ST73,2,3,4,1,12,6,19,10,8,10,7,18,4,288*-36%,7,8,5,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1*,1,1,-,-,-,-,-,-,-,-,D5105,2000,NA,other,n,unknown
Musicha et al,16228_1#53,ERS669088,ERR971999,D37100,ERP009326,Klebsiella pneumoniae,strong,86,220575,443885,5372427,yes (5473),ambiguous_bases,ST297,0,0,5,6,-,0,-,0,-,0,-,0,-,0,-,wzi10,KL10,strA.v1*;strB.v1*,-,-,-,-,-,catII.2*,-,sul2,tet(D),-,dfrA14.v2*,-,-,-,-,-,SHV-133*,-,-,-,-,-,-,ST297,31,1,1,37,3,27,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D37100,2006,NA,other,n,unknown
Musicha et al,16228_1#54,ERS669091,ERR972000,D4743,ERP009326,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,32,408125,729718,5359651,yes (3910),ambiguous_bases,ST2558,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi525,KL?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OKP-B-6^,-,-,-,-,-,-,ST2558,42,22,18,22,167,13,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D4743,2000,NA,other,n,unknown
Musicha et al,16228_1#55,ERS669092,ERR972001,D25884,ERP009326,Klebsiella pneumoniae,strong,120,133451,374291,5822050,yes (8358),ambiguous_bases,ST3132,0,0,1,2,-,0,-,0,-,0,-,0,-,0,-,wzi267,KL24 (KL142),strA.v1;strB.v1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST3132,2,1,1,37,10,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D25884,2004,NA,other,n,unknown
