study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA986550	False	37610214	PMC10597399	10.1128/msphere.00288-23	europepmc_accession	medium	False	1	23.0	1.0	False	False	False	1	Urine-mediated suppression of <i>Klebsiella pneumoniae</i> mucoidy is counteracted by spontaneous Wzc variants altering capsule chain length.
PRJNA287968	False	29507063	PMC5923139	10.1128/aac.02178-17	europepmc_accession	medium		1	22.0	1.0	True	False	False	5	Spread of Plasmid-Encoded NDM-1 and GES-5 Carbapenemases among Extensively Drug-Resistant and Pandrug-Resistant Clinical Enterobacteriaceae in Durban, South Africa.
PRJNA648857	False	34339281	PMC8448114	10.1128/aac.00574-21	europepmc_accession	high	True	1	32.0	1.4545	False	False	False	1	Evolutionary Trajectories toward Ceftazidime-Avibactam Resistance in Klebsiella pneumoniae Clinical Isolates.
PRJEB38818	False	39052705	PMC11272044	10.1093/infdis/jiae019	europepmc_accession,published_version	high	True	2	22.0	1.0	False	False	False	1	Integrated Analysis of Patient Networks and Plasmid Genomes to Investigate a Regional, Multispecies Outbreak of Carbapenemase-Producing Enterobacterales Carrying Both blaIMP and mcr-9 Genes.
PRJNA640134	True					low		0			False	False	False	0	
PRJNA1132711	False	39452216	PMC11504970	10.3390/antibiotics13100950	europepmc_accession	high	True	1	22.0	1.0	False	False	False	1	Genomic Characterization of 16S rRNA Methyltransferase-Producing <i>Enterobacterales</i> Reveals the Emergence of <i>Klebsiella pneumoniae</i> ST6260 Harboring <i>rmtF</i>, <i>rmtB</i>, <i>bla</i><sub>NDM-5</sub>, <i>bla</i><sub>OXA-232</sub> and <i>bla</i><sub>SFO-1</sub> Genes in a Cancer Hospital in Bulgaria.
PRJNA356346	True					high		0			False	False	False	2	
PRJNA922195	True					low		0			False	False	False	0	
PRJNA375812	False	28961916	PMC5890713	10.1093/jac/dkx234	europepmc_accession	high		1	22.0	1.0	False	False	False	3	Structural modification of LPS in colistin-resistant, KPC-producing Klebsiella pneumoniae.
PRJNA795199	True					low		0			False	False	False	0	
PRJNA508510	True					high		0			False	False	False	1	
PRJNA429779	False				web_search	high		1	22.0	1.0	False	False	False	2	Emergence of Klebsiella pneumoniae producing NDM-1 carbapenemase in Saint Petersburg, Russia
PRJNA725227	False	34060902	PMC8284452	10.1128/aac.00360-21	europepmc_accession	high	True	1	21.0	1.0	False	False	False	1	Genomic Epidemiology of Carbapenemase-Producing <i>Enterobacterales</i> at a Hospital System in Toronto, Ontario, Canada, 2007 to 2018.
PRJNA823356	True					low		0			False	False	False	0	
PRJNA1136145	False	42319941	PMC13281820	10.1126/sciadv.aee0675	europepmc_accession	high	False	1	21.0	1.0	False	False	False	1	Metabolic cross-talk promotes persistence of &lt;i&gt;Enterococcus&lt;/i&gt; in a model of polymicrobial catheter-associated urinary tract infection.
PRJNA919159	False	37944808		10.3168/jds.2023-23721	web_search	high		1	21.0	1.0	False	False	False	1	Comparative genomic analyses of Klebsiella pneumoniae K57 capsule serotypes isolated from bovine mastitis in China.
PRJNA813961	False	37620875	PMC10464262	10.1186/s12941-023-00601-2	europepmc_accession	high	True	1	21.0	1.0	False	False	False	1	Dissemination of the high-risk cloneST147 carbapenem-resistant klebsiella pneumoniae from a local tertiary care hospital in the Republic of Korea.
PRJNA887042	False	36305334	PMC9615416	10.2807/1560-7917.es.2022.27.43.2200795	europepmc_accession	high	False	1	21.0	1.0	False	False	False	1	Nosocomial outbreak by NDM-1-producing <i>Klebsiella pneumoniae</i> highly resistant to cefiderocol, Florence, Italy, August 2021 to June 2022.
PRJNA341404	False	27777984	PMC5071533	10.1128/msphere.00261-16	europepmc_accession	high	True	1	21.0	1.0	False	False	False	1	Molecular Epidemiology of Colonizing and Infecting Isolates of <i>Klebsiella pneumoniae</i>.
PRJNA701285	True					high		0			False	False	False	0	
PRJNA528347	False	31860437	PMC7067041	10.1099/mgen.0.000321	web_search	high	False	1	107.0	5.0952	False	False	False	1	Genomic analysis of carbapenemase-producing <i>Enterobacteriaceae</i> in Queensland reveals widespread transmission of <i>bla</i><sub>IMP-4</sub> on an IncHI2 plasmid.
PRJNA757582	False	35590022	PMC9120164	10.1038/s41598-022-12471-3	web_search	high	False	1	21.0	1.0	False	False	False	1	Genome-wide identification of carbapenem-resistant Gram-negative bacterial (CR-GNB) isolates retrieved from hospitalized patients in Bihar, India.
PRJNA739639	True					low		0			False	False	False	0	
PRJEB24612	True					low		0			False	False	False	0	
PRJEB30858	False	31746994	PMC7744980	10.1093/cid/ciz1130	europepmc_accession	high	True	1	21.0	1.0	False	False	False	2	A Multispecies Cluster of GES-5 Carbapenemase-Producing Enterobacterales Linked by a Geographically Disseminated Plasmid.
PRJNA1023834	False			10.1016/j.nmni.2024.101387	web_search	high	False	1	21.0	1.0	False	False	False	4	Multidrug-resistant Klebsiella pneumoniae and Klebsiella variicola isolated from patients in Portuguese hospitals: Genomic and phenotypic characterization
PRJNA786742	False	35138924	PMC8925887	10.1128/jcm.02098-21	europepmc_accession,europepmc_title,ncbi_bioproject	high	True	3	1307.0	62.2381	False	False	False	1	Multicenter Evaluation of the Acuitas AMR Gene Panel for Detection of an Extended Panel of Antimicrobial Resistance Genes among Bacterial Isolates.
PRJNA908117	False	37676032	PMC10581156	10.1128/spectrum.00549-23	europepmc_accession	medium	False	1	20.0	1.0	False	False	False	2	Phylogenetic lineages and antimicrobial resistance determinants of clinical &lt;i&gt;Klebsiella oxytoca&lt;/i&gt; spanning local to global scales.
PRJEB60418	False	37428073	PMC10434174	10.1128/spectrum.01386-23	europepmc_accession	high	True	1	20.0	1.0	False	False	False	1	From Farm to Fork: Persistence of Clinically Relevant Multidrug-Resistant and Copper-Tolerant Klebsiella pneumoniae Long after Colistin Withdrawal in Poultry Production.
PRJEB44870	False	34208220	PMC8230887	10.3390/antibiotics10060706	europepmc_accession	high	True	1	87.0	4.35	False	False	False	1	Antibiotic Susceptibility, Virulome, and Clinical Outcomes in European Infants with Bloodstream Infections Caused by Enterobacterales.
PRJEB34549	False	33868187	PMC8044893	10.3389/fmicb.2021.613529	europepmc_accession	high	True	1	39.0	1.95	False	False	False	1	Analysis of Selection Methods to Develop Novel Phage Therapy Cocktails Against Antimicrobial Resistant Clinical Isolates of Bacteria.
PRJNA596368	False	33150358	PMC7816166	10.1093/jac/dkaa450	europepmc_accession	high	True	1	20.0	1.0	False	False	False	1	Distinct evolution of colistin resistance associated with experimental resistance evolution models in Klebsiella pneumoniae.
PRJEB34353	False	31921015	PMC6929489	10.3389/fmicb.2019.02817	europepmc_accession	high	True	1	20.0	1.0	False	False	False	1	IS<i>26</i>-Mediated Transfer of <i>bla</i> <sub>NDM-1</sub> as the Main Route of Resistance Transmission During a Polyclonal, Multispecies Outbreak in a German Hospital.
PRJNA528846	False	38143864	PMC10748404	10.3389/fmicb.2023.1291540	europepmc_accession	medium	True	1	20.0	1.0	False	False	False	1	Distinct evolution of ST11 KL64 <i>Klebsiella pneumoniae</i> in Taiwan.
PRJNA915250	False	37646415	PMC10483422	10.1099/mgen.0.001098	europepmc_accession	high	True	1	19.0	1.0	False	False	False	1	Enhancing capacity for national genomics surveillance of antimicrobial resistance in public health laboratories in Kenya.
PRJNA1016138	False	38687060	PMC11237748	10.1128/spectrum.03595-23	web_search	high	False	1	19.0	1.0	False	False	False	2	Could traces of fluoroquinolones in food induce ciprofloxacin resistance in &lt;i&gt;Escherichia coli&lt;/i&gt; and &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt;? An &lt;i&gt;in vivo&lt;/i&gt; study in &lt;i&gt;Galleria mellonella&lt;/i&gt; with important implications for maximum residue limits in food.
PRJNA1104021	False	39382274	PMC11539232	10.1128/aac.00924-24	europepmc_accession,europepmc_title	high	True	2	57.0	3.0	False	False	False	2	Assessment of the activity and mechanisms of resistance to cefiderocol and combinations of β-lactams and the novel β-lactamase inhibitors avibactam, taniborbactam, zidebactam, nacubactam, xeruborbactam, and ANT3310 in emerging double-carbapenemase-producing Enterobacterales.
PRJNA801425	False	35876475	PMC9328930	10.3201/eid2808.212542	web_search	high	False	1	1215.0	63.9474	False	False	False	3	Dominant Carbapenemase-Encoding Plasmids in Clinical Enterobacterales Isolates and Hypervirulent Klebsiella pneumoniae, Singapore.
PRJNA430457	False	30875398	PMC6436753	10.1371/journal.ppat.1007218	europepmc_accession	high	True	1	17.0	0.8947	False	False	False	1	Host adaptation and convergent evolution increases antibiotic resistance without loss of virulence in a major human pathogen.
PRJNA994967	False	38231533	PMC10865842	10.1128/mbio.02867-23	europepmc_accession	medium	False	1	19.0	1.0	False	False	False	1	Differentiation of hypervirulent and classical &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; with acquired drug resistance.
PRJEB1730	True					high		0			False	False	True	1	
PRJNA672836	False	34310625	PMC8312963	10.1371/journal.pone.0254805	europepmc_accession	high	True	1	19.0	1.0	False	False	False	1	High-risk clones of extended-spectrum β-lactamase-producing Klebsiella pneumoniae isolated from the University Hospital Establishment of Oran, Algeria (2011-2012).
PRJNA956822	False	37660028	PMC10474722	10.1186/s12866-023-02974-y	europepmc_accession	high	False	1	18.0	0.9474	False	False	False	1	Exploring multidrug-resistant Klebsiella pneumoniae antimicrobial resistance mechanisms through whole genome sequencing analysis.
PRJNA1099381	False			10.1016/j.idnow.2024.105026	web_search	high		1	19.0	1.0	False	False	False	2	Loss of OmpK35 and Glycine-aspartic acid Duplication in ompK36 Negatively Affect the in vitro Synergy of Meropenem in Combination with Piperacillin/tazobactam or Imipenem Against OXA-48-like Carbapenemase-producing Klebsiella pneumoniae
PRJNA430813	False	29437920	PMC5801463	10.1128/mbio.02011-17	ncbi_bioproject	high	False	1	19.0	1.0	False	False	False	1	Genomic Analysis of Hospital Plumbing Reveals Diverse Reservoir of Bacterial Plasmids Conferring Carbapenem Resistance.
PRJNA606985	False	33781999	PMC8315908	10.1128/aac.00130-21	europepmc_accession	high	True	1	288.0	16.0	False	False	False	2	Molecular Epidemiology of Third-Generation-Cephalosporin-Resistant <i>Enterobacteriaceae</i> in Southeast Queensland, Australia.
PRJEB12817	False	29470491	PMC5823397	10.1371/journal.pone.0191958	europepmc_accession,europepmc_title	high	True	2	18.0	1.0	False	False	False	1	Emergence of Klebsiella pneumoniae subspecies pneumoniae as a cause of septicaemia in pigs in England.
PRJNA529495	False	32598522		10.1096/fj.201902735r	web_search	high		1	18.0	1.0	False	False	False	2	Fine capsule variation affects bacteriophage susceptibility in Klebsiella pneumoniae ST258.
PRJEB3980	False	25681128	PMC4498295	10.1093/jac/dkv021	europepmc_accession	high	True	1	18.0	1.0	False	False	False	1	Colonization with Enterobacteriaceae producing ESBLs in children attending pre-school childcare facilities in the Lao People's Democratic Republic.
PRJEB67696	False			10.51585/gjm.2024.1.0030	web_search	high		1	19.0	1.0556	False	False	False	1	WGS analysis of hypervirulent and MDR Klebsiella pneumoniae from Vietnam reveales an inverse relationship between resistome and virulome
PRJNA590288	True					high		0			False	False	False	1	
PRJNA351911	True					low		0			False	False	True	1	
PRJNA1136496	False	39494554	PMC11533117	10.1099/mgen.0.001314	europepmc_accession,published_version	high	True	2	18.0	1.0	False	False	False	5	Longitudinal genomic surveillance of a UK intensive care unit shows a lack of patient colonisation by multi-drug-resistant Gram-negative bacterial pathogens.
PRJEB10820	False	27312200	PMC4911584	10.1038/srep28063	europepmc_accession,ncbi_bioproject	high	True	2	18.0	1.0	False	False	False	1	Comparison of six commercial kits to extract bacterial chromosome and plasmid DNA for MiSeq sequencing.
PRJNA557813	False	32091354	PMC7045839	10.3201/eid2603.191230	europepmc_accession	high	True	1	18.0	1.0	False	False	False	2	Acquisition of Plasmid with Carbapenem-Resistance Gene bla<sub>KPC2</sub> in Hypervirulent Klebsiella pneumoniae, Singapore.
PRJEB48744	False	38642781		10.1016/j.mimet.2024.106938	ncbi_bioproject	high		1	64.0	3.5556	False	False	False	1	Rapid detection of plasmid-mediated AmpC-producers by eazyplex® SuperBug AmpC assay compared to whole-genome sequencing.
PRJEB71325	False	38601740	PMC11004228	10.3389/fcimb.2024.1372704	europepmc_accession,ncbi_bioproject	high	True	2	18.0	1.0	False	False	False	2	&lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; exhibiting a phenotypic hyper-splitting phenomenon including the formation of small colony variants.
PRJEB25682	True					low	False	1	18.0	1.0	False	False	False	2	
PRJNA530687	False			10.7883/yoken.JJID.2023.009	published_version,web_search	high		2	18.0	1.0	False	False	False	11	Extensively Drug-Resistant Klebsiella pneumoniae Associated with Complicated Urinary Tract Infection in Northern India
PRJNA917066	False	37689686	PMC10492301	10.1186/s12941-023-00632-9	europepmc_accession,ncbi_bioproject	high	True	2	17.0	1.0	False	False	False	1	Genomic characterization of colistin-resistant Klebsiella pneumoniae isolated from intensive care unit patients in Egypt.
PRJNA1031934	False	38063385	PMC10782962	10.1128/spectrum.03079-23	europepmc_accession	high	False	1	17.0	1.0	False	False	False	1	Nitroxoline resistance is associated with significant fitness loss and diminishes &lt;i&gt;in vivo&lt;/i&gt; virulence of &lt;i&gt;Escherichia coli&lt;/i&gt;.
PRJNA833742	True					low		0			False	False	False	0	
PRJNA522420	False	34207702	PMC8226487	10.3390/antibiotics10060691	europepmc_accession,ncbi_bioproject	high	True	2	9.0	0.5294	False	False	False	1	Emergence of Hybrid Resistance and Virulence Plasmids Harboring New Delhi Metallo-β-Lactamase in <i>Klebsiella pneumoniae</i> in Russia.
PRJNA751707	False	35281438	PMC8907832	10.3389/fcimb.2022.719421	europepmc_accession	high	True	1	17.0	1.0	False	False	False	1	Predictors and Outcomes of Healthcare-Associated Infections Caused by Carbapenem-Nonsusceptible Enterobacterales: A Parallel Matched Case-Control Study.
PRJNA827103	True					low		0			False	False	False	0	
PRJEB67440	True					low	False	1			False	False	False	2	
PRJNA296699	True					low		0			False	False	False	0	
PRJNA524761	False	31171609	PMC6554614	10.1128/mra.00518-19	europepmc_accession	high	True	1	4.0	0.2353	False	False	False	1	Draft Genome Sequences of Novel Sequence Type 3559 Carbapenem-Resistant Klebsiella pneumoniae Isolates Recovered from the Environment.
PRJNA635420	True					high		0			False	False	False	1	
PRJEB41835	False	34060914	PMC8269217	10.1128/msystems.00244-21	europepmc_accession	high	True	1	18.0	1.0588	False	False	False	1	Evolution of VIM-1-Producing Klebsiella pneumoniae Isolates from a Hospital Outbreak Reveals the Genetic Bases of the Loss of the Urease-Positive Identification Character.
PRJNA391054	False	30866820	PMC6417137	10.1186/s12866-019-1431-9	europepmc_accession	high	True	1	17.0	1.0	False	False	False	1	Epidemiology of paediatric gastrointestinal colonisation by extended spectrum cephalosporin-resistant Escherichia coli and Klebsiella pneumoniae isolates in north-west Cambodia.
PRJNA701733	True					high		0			False	False	False	1	
PRJNA800400	False	35124031		10.1016/j.scitotenv.2022.153632	europepmc_title	high		1	16.0	1.0	False	False	False	1	Genomically diverse carbapenem resistant Enterobacteriaceae from wild birds provide insight into global patterns of spatiotemporal dissemination.
PRJNA962867	False	37505800	PMC10433420	10.1099/mic.0.001369	europepmc_accession,europepmc_title,published_version	high	True	3	31.0	1.9375	False	False	False	1	The distribution of fitness effects of plasmid pOXA-48 in clinical enterobacteria.
PRJEB18733	False	29274461		10.1016/j.cmi.2017.12.007	web_search	high		1	16.0	1.0	False	False	False	3	Identification of a KPC-9-producing Klebsiella pneumoniae ST258 cluster among KPC-2-producing isolates of an ongoing outbreak in Northwestern Greece: a retrospective study.
PRJNA550014	False	31960024	PMC7069471	10.1093/jac/dkz526	europepmc_accession,europepmc_title	high	True	2	154.0	9.625	False	False	False	1	Genomic dynamics of species and mobile genetic elements in a prolonged blaIMP-4-associated carbapenemase outbreak in an Australian hospital.
PRJNA951736	False	37760735	PMC10525843	10.3390/antibiotics12091439	europepmc_accession	high	True	1	16.0	1.0	False	False	False	1	Polyclonal Multidrug ESBL-Producing <i>Klebsiella pneumoniae</i> and Emergence of Susceptible Hypervirulent <i>Klebsiella pneumoniae</i> ST23 Isolates in Mozambique.
PRJNA777533	False	35324422	PMC9176267	10.1099/jmm.0.001496	europepmc_accession	high	True	1	16.0	1.0	False	False	False	1	Contribution of the efflux pump AcrAB-TolC to the tolerance of chlorhexidine and other biocides in <i>Klebsiella</i> spp.
PRJNA560785	False			10.1101/827915	web_search	high	False	1	16.0	1.0	False	False	False	3	Real-time sampling of travelers shows intestinal colonization by multidrug-resistant bacteria to be a dynamic process with multiple transient acquisitions (bioRxiv preprint)
PRJNA949542	True					low		0			False	False	False	0	
PRJNA1057737	True					high		0			False	False	False	10	
PRJEB52158	False			10.3389/fmicb.2025.1603736	web_search	medium	False	1	16.0	1.0	False	False	False	1	Genomic characterization of Vibrio cholerae isolated from clinical and environmental sources during the 2022–2023 cholera outbreak in Kenya
PRJNA857878	True					high		0			False	False	False	2	
PRJNA1076266	False	39225481	PMC11465807	10.1128/mra.00274-24	europepmc_accession	high	False	1	70.0	4.375	False	False	False	1	Genome sequences of 70 multidrug-resistant Gram-negative isolates in high-risk neonates in the Northeast of Mexico.
PRJNA1027607	True					low		0			False	False	False	0	
PRJNA716986	False	37903806	PMC10616195	10.1038/s41598-023-42838-z	europepmc_accession,ncbi_bioproject	medium	False	2	20.0	1.25	True	False	False	12	Antimicrobial resistance and whole genome sequencing of novel sequence types of Enterococcus faecalis, Enterococcus faecium, and Enterococcus durans isolated from livestock.
PRJNA865026	False	38193666	PMC10846045	10.1128/spectrum.02503-23	europepmc_accession,europepmc_title	high	True	2	21.0	1.4	False	False	False	1	Molecular characterization of carbapenemase-producing Enterobacterales in a tertiary hospital in Lima, Peru.
PRJEB8770	False	30840764	PMC6938978	10.1093/cid/ciz174	europepmc_accession	medium	False	1	15.0	1.0	False	False	False	2	A One Health Study of the Genetic Relatedness of Klebsiella pneumoniae and Their Mobile Elements in the East of England.
PRJEB45397	False	37467722	PMC10394256	10.1016/j.xcrm.2023.101124	europepmc_accession	high	True	1			True	False	False	4	Bacterial clade-specific analysis identifies distinct epithelial responses in inflammatory bowel disease.
PRJEB70314	False	41699265	PMC12909941	10.1038/s44259-026-00186-8	europepmc_accession	medium	True	1	12.0	0.8	False	False	False	2	Phage-meropenem synergy against OXA-48-producing Klebsiella pneumoniae clinical isolates.
PRJNA692086	False	35993711	PMC9603328	10.1128/spectrum.00842-22	europepmc_accession	low	True	1	15.0	1.0	False	False	False	2	Emergence of a Novel NDM-5-Producing Sequence Type 4523 Klebsiella pneumoniae Strain Causing Bloodstream Infection in China.
PRJNA451051	True					low		0			False	False	True	1	
PRJEB35018	False	32421705	PMC7233586	10.1371/journal.pone.0233313	europepmc_accession,europepmc_title	high	True	2	15.0	1.0	False	False	False	1	Within-patient plasmid dynamics in Klebsiella pneumoniae during an outbreak of a carbapenemase-producing Klebsiella pneumoniae.
PRJNA869900	False	36154170	PMC9578389	10.1128/aac.00918-22	europepmc_accession	high	True	1	15.0	1.0	False	False	False	2	<i>In Vitro</i> Mechanisms of Resistance Development to Imipenem-Relebactam in KPC-Producing Klebsiella pneumoniae.
PRJNA1101444	False	39002702		10.1016/j.ijantimicag.2024.107271	web_search	high		1	15.0	1.0	False	False	False	2	KPC-85, a carbapenemase-producing and ceftazidime-avibactam-resistant KPC-3 variant found in Klebsiella pneumoniae ST512 in the Netherlands.
PRJNA1000742	False	38433246	PMC10909888	10.1038/s41598-024-55705-2	europepmc_accession,ncbi_bioproject	high	True	2	15.0	1.0	False	False	False	3	Occurrence and mechanisms of tigecycline resistance in carbapenem- and colistin-resistant Klebsiella pneumoniae in Thailand.
PRJEB27707	False	31525542		10.1016/j.jgar.2019.09.007	web_search	high		1	24.0	1.6	False	False	False	1	High proportion of carbapenemase-producing Escherichia coli and Klebsiella pneumoniae among extended-spectrum β-lactamase-producers in Nigerian hospitals.
PRJNA391004	False	30006589	PMC6045662	10.1038/s41467-018-05114-7	europepmc_accession	medium	True	1	15.0	1.0	False	False	False	1	Population genomics of hypervirulent Klebsiella pneumoniae clonal-group 23 reveals early emergence and rapid global dissemination.
PRJNA952961	False	38448399	PMC10918111	10.1038/s41467-024-46147-5	europepmc_accession	high	True	1	15.0	1.0	False	False	False	1	Capsules and their traits shape phage susceptibility and plasmid conjugation efficiency.
PRJEB23845	False	30718869	PMC6785715	10.1038/s41587-018-0009-7	europepmc_secondary	high	True	1	737.0	49.1333	False	False	False	11	A human gut bacterial genome and culture collection for improved metagenomic analyses.
PRJNA984017	False	40109291	PMC11913740	10.1016/j.eng.2024.02.010	europepmc_accession	high	True	1	15.0	1.0	False	False	False	2	The Triple Combination of Meropenem, Avibactam, and a Metallo-β-Lactamase Inhibitor Optimizes Antibacterial Coverage Against Different β-Lactamase Producers.
PRJNA590644	False	36414199		10.1016/j.cmi.2022.11.011	ncbi_bioproject	high		1	15.0	1.0	False	False	False	1	Deciphering variable resistance to novel carbapenem-based β-lactamase inhibitor combinations in a multi-clonal outbreak caused by Klebsiella pneumoniae carbapenemase (KPC)-producing Klebsiella pneumoniae resistant to ceftazidime/avibactam.
PRJNA523709	True					high		0			False	False	True	1	
PRJDB4867	True					high		0			False	False	False	1	
PRJNA762527	False	35086435	PMC8896207	10.1080/22221751.2022.2036078	europepmc_accession	high	False	1	14.0	1.0	False	False	False	11	Emergence of colistin-resistant hypervirulent <i>Klebsiella pneumoniae</i> (CoR-HvKp) in China.
PRJNA1070647	True					low		0			False	True	False	0	
PRJNA830444	False	36169644	PMC9676029	10.1099/mgen.0.000892	europepmc_accession	high	True	1	14.0	1.0	False	False	False	1	IS<i>26</i>-mediated plasmid reshuffling results in convergence of toxin-antitoxin systems but loss of resistance genes in XDR <i>Klebsiella pneumoniae</i> from a chronic infection.
PRJNA803478	False	37115189	PMC10210951	10.1099/mgen.0.000988	europepmc_accession	medium	True	1	14.0	1.0	False	False	False	4	Evolutionary investigations of the biosynthetic diversity in the skin microbiome using <i>lsa</i>BGC.
PRJNA438157	True					low		0			False	False	False	0	
PRJNA720499	True					high		0			False	False	False	1	
PRJNA741866	False	35073754	PMC8787482	10.1128/mbio.02631-21	europepmc_accession,europepmc_title	high	True	2	14.0	1.0	False	False	False	2	Interbacterial Transfer of Carbapenem Resistance and Large Antibiotic Resistance Islands by Natural Transformation in Pathogenic Acinetobacter.
PRJNA800729	True					high		0			False	False	True	9	
PRJNA523429	True					low	False	1	14.0	1.0	False	False	False	1	
PRJNA797874	False	36043878	PMC9602566	10.1128/spectrum.00376-22	europepmc_accession	high	True	1	14.0	1.0	False	False	False	2	Comparative Analysis of Clinical and Genomic Characteristics of Hypervirulent Klebsiella pneumoniae from Hospital and Community Settings: Experience from a Tertiary Healthcare Center in India.
PRJNA749142	False	37072773	PMC10114455	10.1186/s13756-023-01233-z	web_search	high	False	1	14.0	1.0	False	False	False	2	Genome profiling of uropathogenic E. coli from strictly defined community-acquired UTI in paediatric patients: a multicentric study.
PRJNA729785	False	36312975	PMC9614223	10.3389/fmicb.2022.1001169	europepmc_accession	high	True	1	14.0	1.0	False	False	False	13	Clinical and genomic characterization of hypervirulent <i>Klebsiella pneumoniae</i> (hvKp) infections <i>via</i> passive surveillance in Southern California, 2020-2022.
PRJNA407760	False	29760959	PMC5944420	10.1556/1886.2018.00002	europepmc_accession,europepmc_secondary,europepmc_title,ncbi_bioproject	high	True	4	14.0	1.0	False	False	False	1	Molecular Epidemiology of Multidrug-Resistant Bacteria Isolated from Libyan and Syrian Patients with War Injuries in Two Bundeswehr Hospitals in Germany.
PRJEB43543	True					low		0			False	False	False	3	
