study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA503964	False	32669470	PMC7364214	10.1128/msphere.00428-20	europepmc_accession	high	True	1	128.0	1.0	False	False	False	2	Horizontal Plasmid Transfer among Klebsiella pneumoniae Isolates Is the Key Factor for Dissemination of Extended-Spectrum β-Lactamases among Children in Tanzania.
PRJEB49326	True					high		0			False	False	False	1	
PRJEB18814	False	30840764	PMC6938978	10.1093/cid/ciz174	europepmc_accession	medium	False	1	124.0	1.0	False	False	False	3	A One Health Study of the Genetic Relatedness of Klebsiella pneumoniae and Their Mobile Elements in the East of England.
PRJNA611540	False	32917755	PMC7688209	10.1128/aem.01715-20	europepmc_accession,europepmc_title	high	True	2	123.0	1.0	False	False	False	1	Risk Factors Associated with Carbapenemase-Producing <i>Enterobacterales</i> (CPE) Positivity in the Hospital Wastewater Environment.
PRJNA674942	False	34001509	PMC8284465	10.1128/aac.02584-20	europepmc_accession	high	True	1	122.0	1.0	False	False	False	1	Epidemiology and Transmission of Carbapenemase-Producing <i>Enterobacteriaceae</i> in a Health Care Network of an Acute-Care Hospital and Its Affiliated Intermediate- and Long-Term-Care Facilities in Singapore.
PRJEB49683	False	33776956	PMC7994358	10.3389/fmicb.2021.620002	ncbi_bioproject	medium	False	1	121.0	1.0	False	False	False	2	AMRmap: An Interactive Web Platform for Analysis of Antimicrobial Resistance Surveillance Data in Russia.
PRJEB20234	False	28935481		10.1016/j.ajic.2017.07.022	web_search	high		1	146.0	1.2586	False	False	False	1	Stalking a lethal superbug by whole-genome sequencing and phylogenetics: Influence on unraveling a major hospital outbreak of carbapenem-resistant Klebsiella pneumoniae.
PRJEB55414	False	37310221	PMC10434048	10.1128/spectrum.04716-22	europepmc_accession,europepmc_secondary	high	True	2	114.0	1.0	False	False	False	1	Widespread Detection of Yersiniabactin Gene Cluster and Its Encoding Integrative Conjugative Elements (ICE<i>Kp</i>) among Nonoutbreak OXA-48-Producing <i>Klebsiella pneumoniae</i> Clinical Isolates from Spain and the Netherlands.
PRJNA267549	False	26230489	PMC4521703	10.1371/journal.pgen.1005413	europepmc_secondary,ncbi_bioproject	high	False	2	1229.0	10.7807	False	False	False	11	A Year of Infection in the Intensive Care Unit: Prospective Whole Genome Sequencing of Bacterial Clinical Isolates Reveals Cryptic Transmissions and Novel Microbiota.
PRJNA686978	False	37251303	PMC10214462	10.1093/jacamr/dlad061	europepmc_accession	low	True	1	114.0	1.0	False	False	False	2	Multicentre genetic diversity study of carbapenem-resistant Enterobacterales: predominance of untypeable pUVA-like <i>bla</i><sub>KPC</sub> bearing plasmids.
PRJNA857533	False	36599823	PMC9813266	10.1038/s41467-022-35713-4	europepmc_accession,ncbi_bioproject	medium	False	2	113.0	1.0	False	False	False	3	An ISO-certified genomics workflow for identification and surveillance of antimicrobial resistance.
PRJNA473122	False	30563902	PMC6299229	10.1128/mbio.02481-18	europepmc_accession	high	True	1	112.0	1.0	False	False	False	1	Population Structure, Antibiotic Resistance, and Uropathogenicity of Klebsiella variicola.
PRJEB20809	False	42089880	PMC13148723	10.1099/mgen.0.001654	europepmc_accession	high	True	1	111.0	1.0	False	False	False	2	Whole-genome sequencing to investigate the prevalence and transmission of multidrug-resistant Gram-negative pathogens in an adult intensive care unit in the UK.
PRJEB40861	True					high		0			False	False	False	1	
PRJEB18621	False	29744043	PMC5930415	10.1186/s13756-018-0352-y	europepmc_secondary,ncbi_bioproject	high	True	2	107.0	1.0	False	False	False	1	Genome-based analysis of Carbapenemase-producing <i>Klebsiella pneumoniae</i> isolates from German hospital patients, 2008-2014.
PRJNA532924	False	33416461	PMC8115898	10.1099/mgen.0.000500	europepmc_accession	low	True	1	106.0	1.0	False	False	False	3	Identifying novel β-lactamase substrate activity through <i>in silico</i> prediction of antimicrobial resistance.
PRJEB8666	False	34341020	PMC8330565	10.1136/bmjgh-2021-005659	europepmc_secondary	medium	True	1	106.0	1.0	True	False	False	4	The genomic epidemiology of multi-drug resistant invasive non-typhoidal <i>Salmonella</i> in selected sub-Saharan African countries.
PRJNA814829	False	35978294	PMC9386987	10.1186/s12879-022-07678-8	europepmc_accession	high	True	1	431.0	4.1048	False	False	False	5	Molecular characterization of multidrug-resistant ESKAPEE pathogens from clinical samples in Chonburi, Thailand (2017-2018).
PRJNA646855	False			10.1111/1462-2920.16047	web_search	medium	False	1			True	False	False	2	Transmission of Klebsiella strains and plasmids within and between grey-headed flying fox colonies
PRJNA675776	False	35224624	PMC9047677	10.1093/jac/dkac041	europepmc_accession	high	True	1	105.0	1.0	False	False	False	1	Comparative phylogenomics of ESBL-, AmpC- and carbapenemase-producing Klebsiella pneumoniae originating from companion animals and humans.
PRJNA1076808	False	39587617	PMC11587635	10.1186/s13073-024-01412-6	europepmc_accession,europepmc_title,published_version	high	True	3	356.0	3.4231	False	False	False	7	Genomic surveillance of multidrug-resistant organisms based on long-read sequencing.
PRJNA606666	False	33995300	PMC8120268	10.3389/fmicb.2021.640408	europepmc_accession	medium	True	1	104.0	1.0	True	False	False	2	Genotypic Characterization of Clinical <i>Klebsiella</i> spp. Isolates Collected From Patients With Suspected Community-Onset Sepsis, Sweden.
PRJEB36370	False	32135203		10.1016/j.ijantimicag.2020.105931	europepmc_title	high		1	103.0	1.0	False	False	False	1	Investigation of possible clonal transmission of carbapenemase-producing Klebsiella pneumoniae complex member isolates in Denmark using core genome MLST and National Patient Registry Data.
PRJNA878595	False	37953085		10.1016/j.jmii.2023.10.014	web_search	high		1	103.0	1.0	False	False	False	1	Multicenter comparative genomic study of Klebsiella oxytoca complex reveals a highly antibiotic-resistant subspecies of Klebsiellamichiganensis.
PRJNA656934	False	37310284	PMC10353355	10.1128/aac.00030-23	europepmc_accession	medium	True	1	100.0	0.9709	False	False	False	2	Genomic Epidemiology of Carbapenem-Resistant <i>Klebsiella</i> in Qatar: Emergence and Dissemination of Hypervirulent Klebsiella pneumoniae Sequence Type 383 Strains.
PRJNA1052100	False	38751093	PMC11215549	10.1093/jac/dkae123	europepmc_accession,europepmc_title	high	False	2	103.0	1.0098	False	False	False	1	Genomic diversity and antimicrobial resistance in clinical Klebsiella pneumoniae isolates from tertiary hospitals in Southern Ghana.
PRJNA269675	True					low		0			True	False	False	7	
PRJDB16680	True					low		0			False	False	False	0	
PRJNA553678	False	32295890	PMC7315026	10.1128/jcm.00273-20	europepmc_accession	high	True	1	101.0	1.0	False	False	False	3	Species Identification and Antibiotic Resistance Prediction by Analysis of Whole-Genome Sequence Data by Use of ARESdb: an Analysis of Isolates from the Unyvero Lower Respiratory Tract Infection Trial.
PRJNA717739	False	37141116	PMC10272860	10.1099/mgen.0.000967	europepmc_accession	high	True	1	100.0	1.0	False	False	False	4	A panel of diverse <i>Klebsiella pneumoniae</i> clinical isolates for research and development.
PRJEB50545	False	41499459	PMC12779062	10.1371/journal.pone.0337346	europepmc_accession	high	False	1			True	False	False	4	Extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae from human carriage, the human-polluted environment, and food: Molecular epidemiology of two prospective cohorts in five European metropolitan areas.
PRJNA508760	False	30939107	PMC6521586	10.1099/mgen.0.000263	europepmc_accession,europepmc_title	high	True	2	100.0	1.0	False	False	False	1	Rapid phenotypic evolution in multidrug-resistant Klebsiella pneumoniae hospital outbreak strains.
