study_accession	sample_accession	field	ena_value	filled_value	source
PRJNA187305	SAMN02141968	country		USA	whole_field
PRJNA187315	SAMN02141986	country		USA	whole_field
PRJNA193165	SAMN02141992	country		USA	whole_field
PRJNA187285	SAMN02142026	country		USA	whole_field
PRJNA187287	SAMN02142029	country		USA	whole_field
PRJNA302185	SAMN04448494	country		USA	whole_field
PRJNA302185	SAMN04448495	country		USA	whole_field
PRJNA302185	SAMN04448497	country		USA	whole_field
PRJNA302185	SAMN04448501	country		USA	whole_field
PRJNA302185	SAMN04448502	country		USA	whole_field
PRJNA302185	SAMN04448505	country		USA	whole_field
PRJNA302185	SAMN04448508	country		USA	whole_field
PRJNA1003529	SAMN36911246	country		Brazil	whole_field
PRJNA1001661	SAMN36814833	country		Germany	whole_field
PRJNA1003529	SAMN36911249	country		Brazil	whole_field
PRJNA1077593	SAMN39976604	country		Turkey	whole_field
PRJNA1088746	SAMN40496051	country		Nigeria	whole_field
PRJNA825843	SAMN42765596	country		USA	whole_field
PRJNA949453	SAMN33944297	country		Belgium	whole_field
PRJNA1003529	SAMN36911244	country		Brazil	whole_field
PRJNA1001661	SAMN36814836	country		Germany	whole_field
PRJNA949453	SAMN33944301	country		Belgium	whole_field
PRJNA1001661	SAMN36814840	country		Germany	whole_field
PRJNA1003529	SAMN36911248	country		Brazil	whole_field
PRJNA1003529	SAMN36911247	country		Brazil	whole_field
PRJNA1001661	SAMN36814832	country		Germany	whole_field
PRJNA949453	SAMN33944302	country		Belgium	whole_field
PRJNA1001661	SAMN36814839	country		Germany	whole_field
PRJNA1003529	SAMN36911250	country		Brazil	whole_field
PRJNA1001661	SAMN36814835	country		Germany	whole_field
PRJNA983061	SAMN35719110	country		Japan	whole_field
PRJNA1100498	SAMN40970350	country		Italy	whole_field
PRJNA983061	SAMN35719109	country		Japan	whole_field
PRJNA949453	SAMN33944298	country		Belgium	whole_field
PRJNA825843	SAMN42765597	country		USA	whole_field
PRJNA774508	SAMN36815650	country		Italy	whole_field
PRJNA1064853	SAMN39441276	country		Netherlands	whole_field
PRJNA1066419	SAMN39487900	country		India	whole_field
PRJNA1001661	SAMN36814837	country		Germany	whole_field
PRJNA949453	SAMN33944299	country		Belgium	whole_field
PRJNA1001661	SAMN36814838	country		Germany	whole_field
PRJNA983061	SAMN35719108	country		Japan	whole_field
PRJNA949453	SAMN33944300	country		Belgium	whole_field
PRJNA1064853	SAMN39441282	country		Netherlands	whole_field
PRJNA825843	SAMN42765598	country		USA	whole_field
PRJNA1003529	SAMN36911245	country		Brazil	whole_field
PRJNA1001661	SAMN36814834	country		Germany	whole_field
PRJNA983061	SAMN35719121	country		Japan	whole_field
PRJEB19657	SAMEA103972959	country		Vietnam	whole_field
PRJEB19657	SAMEA103972960	country		Vietnam	whole_field
PRJEB19657	SAMEA103972964	country		Vietnam	whole_field
PRJEB19657	SAMEA103972975	country		Vietnam	whole_field
PRJEB19657	SAMEA103972978	country		Vietnam	whole_field
PRJEB21566	SAMEA104147973	country		Bangladesh	whole_field
PRJEB22119	SAMEA104283095	country		Netherlands	whole_field
PRJEB2801	SAMEA1569413	country		Vietnam	whole_field
PRJEB4649	SAMEA2201701	country		Uruguay	whole_field
PRJEB8303	SAMEA3217958	country		Malawi	whole_field
PRJEB9644	SAMEA3464924	country		Ghana	whole_field
PRJEB12361	SAMEA3725491	country		Tanzania	whole_field
PRJEB12361	SAMEA3725492	country		Tanzania	whole_field
PRJEB12361	SAMEA3725493	country		Tanzania	whole_field
PRJEB14232	SAMEA4021183	country		United Kingdom	whole_field
PRJEB12513	SAMEA4043139	country		United Kingdom	whole_field
PRJEB12513	SAMEA4043267	country		United Kingdom	whole_field
PRJEB12887	SAMEA4061945	country		Vietnam	whole_field
PRJEB26677	SAMEA4672812	country		Malawi	whole_field
PRJEB26677	SAMEA4672948	country		Malawi	whole_field
PRJEB28522	SAMEA5043336	country		Malawi	whole_field
PRJEB28522	SAMEA5043560	country		Malawi	whole_field
PRJEB28522	SAMEA5043571	country		Malawi	whole_field
PRJEB28522	SAMEA5043604	country		Malawi	whole_field
PRJEB28522	SAMEA5043632	country		Malawi	whole_field
PRJEB29743	SAMEA5376703	country		Vietnam	whole_field
PRJEB12513	SAMEA5422311	country		United Kingdom	whole_field
PRJEB32059	SAMEA5621762	country		Norway	whole_field
PRJEB32059	SAMEA5621972	country		Norway	whole_field
PRJEB34232	SAMEA5976486	country		Ethiopia	whole_field
PRJEB32700	SAMEA6081938	country		Sweden	whole_field
PRJEB32700	SAMEA6081939	country		Sweden	whole_field
PRJEB32700	SAMEA6081940	country		Sweden	whole_field
PRJEB32700	SAMEA6081941	country		Sweden	whole_field
PRJEB39709	SAMEA7330005	country		Kenya	whole_field
PRJEB39709	SAMEA7330038	country		Kenya	whole_field
PRJEB39709	SAMEA7330039	country		Kenya	whole_field
PRJEB39709	SAMEA7330438	country		Kenya	whole_field
PRJEB41279	SAMEA7563987	country		Vietnam	whole_field
PRJEB41279	SAMEA7563989	country		Vietnam	whole_field
PRJEB45009	SAMEA8755900	country		Denmark	whole_field
PRJNA302185	SAMN04448496	country		USA	whole_field
PRJNA609701	SAMN14258342	country		Canada	whole_field
PRJEB71714	SAMEA115874540	country		Tanzania	whole_field
PRJNA871216	SAMN29983822	country		USA	whole_field
PRJNA871216	SAMN29983824	country		USA	whole_field
PRJNA917297	SAMN32535231	country		Brazil	whole_field
PRJEB58069	SAMEA112192756	collection_date		2021-07-16	whole_field
PRJEB58069	SAMEA112192755	collection_date		2021-07-16	whole_field
PRJEB58069	SAMEA112192754	collection_date		2021-07-16	whole_field
PRJEB19677	SAMEA103900120	collection_date		2012-01-01	whole_field
PRJEB19677	SAMEA103900119	collection_date		2012-01-01	whole_field
PRJEB19677	SAMEA103900123	collection_date		2012-01-01	whole_field
PRJEB19677	SAMEA103900124	collection_date		2012-01-01	whole_field
PRJEB19677	SAMEA103900125	collection_date		2012-01-01	whole_field
PRJEB19677	SAMEA103900118	collection_date		2012-01-01	whole_field
PRJEB19677	SAMEA103900121	collection_date		2012-01-01	whole_field
PRJEB19677	SAMEA103900122	collection_date		2012-01-01	whole_field
PRJEB26677	SAMEA4672915	collection_date		2017-12-11	whole_field
PRJEB26677	SAMEA4672935	collection_date		2017-12-11	whole_field
PRJEB26677	SAMEA4672895	collection_date		2017-12-11	whole_field
PRJEB26677	SAMEA4672921	collection_date		2017-12-11	whole_field
PRJEB49171	SAMEA11356547	collection_date		2018-03-31	whole_field
PRJEB49171	SAMEA11356702	collection_date		2018-03-31	whole_field
PRJEB48690	SAMEA13609699	collection_date		2020-01-01	whole_field
PRJEB48690	SAMEA13609698	collection_date		2020-01-01	whole_field
PRJEB48690	SAMEA13609701	collection_date		2020-01-01	whole_field
PRJEB48690	SAMEA13609702	collection_date		2020-01-01	whole_field
PRJEB48690	SAMEA13609703	collection_date		2020-01-01	whole_field
PRJEB48690	SAMEA13609700	collection_date		2020-01-01	whole_field
PRJNA592166	SAMN13413444	collection_date		2019-07-02	whole_field
PRJNA695302	SAMN17611225	collection_date		1973-07-02	whole_field
PRJNA746575	SAMN20218088	collection_date		2021-01-15	whole_field
PRJNA746575	SAMN20218087	collection_date		2021-01-15	whole_field
PRJNA746575	SAMN20218086	collection_date		2021-01-15	whole_field
PRJEB8575	SAMEA3256066	collection_date		2012-12-31	whole_field
PRJNA73843	SAMN01057614	collection_date		2011-07-02	whole_field
PRJNA343442,PRJNA175243	SAMN01731171	collection_date		2010-07-02	whole_field
PRJNA1001661	SAMN36814833	collection_date		2021-07-02	whole_field
PRJNA1001661	SAMN36814836	collection_date		2021-07-02	whole_field
PRJNA1001661	SAMN36814840	collection_date		2021-07-02	whole_field
PRJNA1001661	SAMN36814832	collection_date		2021-07-02	whole_field
PRJNA1001661	SAMN36814839	collection_date		2021-07-02	whole_field
PRJNA1001661	SAMN36814835	collection_date		2021-07-02	whole_field
PRJNA1100498	SAMN40970350	collection_date		2022-07-02	whole_field
PRJNA774508	SAMN36815650	collection_date		2020-12-31	whole_field
PRJNA1001661	SAMN36814837	collection_date		2021-07-02	whole_field
PRJNA1001661	SAMN36814838	collection_date		2021-07-02	whole_field
PRJNA1001661	SAMN36814834	collection_date		2021-07-02	whole_field
PRJEB58069	SAMEA112192757	collection_date		2021-07-16	whole_field
PRJEB58069	SAMEA112192759	collection_date		2021-07-16	whole_field
PRJEB58069	SAMEA112192760	collection_date		2021-07-16	whole_field
PRJEB58069	SAMEA112192761	collection_date		2021-07-16	whole_field
PRJEB58069	SAMEA112192762	collection_date		2021-07-16	whole_field
PRJEB58069	SAMEA112192763	collection_date		2021-07-16	whole_field
PRJEB12361	SAMEA3725491	collection_date		2015-08-15	whole_field
PRJEB12361	SAMEA3725492	collection_date		2015-08-15	whole_field
PRJEB12361	SAMEA3725493	collection_date		2015-08-15	whole_field
PRJEB26677	SAMEA4672812	collection_date		2017-12-11	whole_field
PRJEB26677	SAMEA4672948	collection_date		2017-12-11	whole_field
PRJEB28522	SAMEA5043336	collection_date		2017-12-31	whole_field
PRJEB28522	SAMEA5043560	collection_date		2017-12-31	whole_field
PRJEB28522	SAMEA5043571	collection_date		2017-12-31	whole_field
PRJEB28522	SAMEA5043604	collection_date		2017-12-31	whole_field
PRJEB28522	SAMEA5043632	collection_date		2017-12-31	whole_field
PRJEB71714	SAMEA115874540	collection_date		2020-12-31	whole_field
PRJNA917297	SAMN32535231	collection_date		2021-09-30	whole_field
PRJDB6797	SAMD00113231	isolation_source		abscess	whole_field
PRJDB7330	SAMD00135337	isolation_source		urine	whole_field
PRJDB7330	SAMD00135341	isolation_source		urine	whole_field
PRJDB7545	SAMD00144880	isolation_source		feces	whole_field
PRJDB7330	SAMD00135336	isolation_source		urine	whole_field
PRJDB7330	SAMD00135339	isolation_source		urine	whole_field
PRJDB7330	SAMD00135340	isolation_source		urine	whole_field
PRJDB8047	SAMD00163748	isolation_source		ascites	whole_field
PRJDB7545	SAMD00144881	isolation_source		feces	whole_field
PRJDB9461	SAMD00212276	isolation_source		blood	whole_field
PRJDB9461	SAMD00212278	isolation_source		blood	whole_field
PRJDB9227	SAMD00201313	isolation_source		chicken meat	whole_field
PRJDB9461	SAMD00212274	isolation_source		blood	whole_field
PRJDB9461	SAMD00212275	isolation_source		blood	whole_field
PRJDB9461	SAMD00212279	isolation_source		blood	whole_field
PRJDB9461	SAMD00212277	isolation_source		blood	whole_field
PRJDB10686	SAMD00253847	isolation_source		leaf soil	whole_field
PRJDB14068	SAMD00520768	isolation_source		rectal swab	whole_field
PRJDB14068	SAMD00520753	isolation_source		rectal swab	whole_field
PRJDB14068	SAMD00520775	isolation_source		rectal swab	whole_field
PRJEB55904	SAMEA111347396	isolation_source		blood culture	whole_field
PRJEB19677	SAMEA103900120	isolation_source		faeces	whole_field
PRJEB19677	SAMEA103900119	isolation_source		faeces	whole_field
PRJEB19677	SAMEA103900123	isolation_source		faeces	whole_field
PRJEB19677	SAMEA103900124	isolation_source		faeces	whole_field
PRJEB19677	SAMEA103900125	isolation_source		faeces	whole_field
PRJEB19677	SAMEA103900118	isolation_source		faeces	whole_field
PRJEB19677	SAMEA103900121	isolation_source		faeces	whole_field
PRJEB19677	SAMEA103900122	isolation_source		faeces	whole_field
PRJEB25904	SAMEA1062168	isolation_source		skin swab	whole_field
PRJEB25904	SAMEA1062167	isolation_source		skin swab	whole_field
PRJEB25904	SAMEA1062336	isolation_source		skin swab	whole_field
PRJEB25904	SAMEA1062166	isolation_source		skin swab	whole_field
PRJEB25904	SAMEA1062334	isolation_source		skin swab	whole_field
PRJEB25904	SAMEA1062335	isolation_source		skin swab	whole_field
PRJEB25904	SAMEA1062345	isolation_source		skin swab	whole_field
PRJEB29745	SAMEA5131872	isolation_source		surface water	whole_field
PRJEB29745	SAMEA5131870	isolation_source		surface water	whole_field
PRJEB29745	SAMEA5131871	isolation_source		surface water	whole_field
PRJEB29745	SAMEA5131873	isolation_source		surface water	whole_field
PRJEB29745	SAMEA5131874	isolation_source		surface water	whole_field
PRJEB29745	SAMEA5131875	isolation_source		surface water	whole_field
PRJEB26677	SAMEA4672915	isolation_source		faeces	whole_field
PRJEB26677	SAMEA4672935	isolation_source		faeces	whole_field
PRJEB33296	SAMEA5752172	isolation_source		urine	whole_field
PRJEB26677	SAMEA4672895	isolation_source		faeces	whole_field
PRJEB26677	SAMEA4672921	isolation_source		faeces	whole_field
PRJEB26512	SAMEA6160281	isolation_source		faeces	whole_field
PRJEB36448	SAMEA6506341	isolation_source		sewer fatberg (fat, oil and grease deposit)	whole_field
PRJEB36448	SAMEA6506344	isolation_source		sewer fatberg (fat, oil and grease deposit)	whole_field
PRJEB38442	SAMEA6863335	isolation_source		wastewater	whole_field
PRJEB38442	SAMEA6863351	isolation_source		wastewater	whole_field
PRJEB43975	SAMEA8457514	isolation_source		dried milk powder	whole_field
PRJEB45009	SAMEA8755920	isolation_source		rectal swab	whole_field
PRJEB45009	SAMEA8755933	isolation_source		rectal swab	whole_field
PRJEB45084	SAMEA8796403	isolation_source		blood	whole_field
PRJEB45084	SAMEA8796407	isolation_source		blood	whole_field
PRJEB45009	SAMEA8755915	isolation_source		rectal swab	whole_field
PRJEB45084	SAMEA8796404	isolation_source		blood	whole_field
PRJEB45084	SAMEA8796406	isolation_source		blood	whole_field
PRJEB45084	SAMEA8796405	isolation_source		blood	whole_field
PRJEB50384	SAMEA12561091	isolation_source		wastewater	whole_field
PRJEB49171	SAMEA11356547	isolation_source		broiler chicken faeces	whole_field
PRJEB49171	SAMEA11356702	isolation_source		broiler chicken faeces	whole_field
PRJEB50384	SAMEA12561089	isolation_source		wastewater	whole_field
PRJEB50384	SAMEA12561090	isolation_source		wastewater	whole_field
PRJEB52722	SAMEA14369721	isolation_source		blood	whole_field
PRJEB52722	SAMEA14369722	isolation_source		blood	whole_field
PRJNA547184	SAMN12024174	isolation_source		plant root	whole_field
PRJNA611005	SAMN14330249	isolation_source		intestinal tract	whole_field
PRJNA614986	SAMN14443832	isolation_source		bovine rumen	whole_field
PRJNA589639	SAMN13286549	isolation_source		plantain plant tissue (necrotic soft rot)	whole_field
PRJNA589638	SAMN13286538	isolation_source		plantain	whole_field
PRJNA657522	SAMN15831314	isolation_source		spleen	whole_field
PRJNA657522	SAMN15831312	isolation_source		spleen	whole_field
PRJNA641130	SAMN15329758	isolation_source		International Space Station	whole_field
PRJNA641131	SAMN15329712	isolation_source		International Space Station	whole_field
PRJNA641131	SAMN15329711	isolation_source		International Space Station	whole_field
PRJNA641131	SAMN15329710	isolation_source		International Space Station	whole_field
PRJNA664939	SAMN16278040	isolation_source		wastewater	whole_field
PRJNA657522	SAMN15831315	isolation_source		spleen	whole_field
PRJNA657522	SAMN15831313	isolation_source		spleen	whole_field
PRJNA657522	SAMN15831311	isolation_source		spleen	whole_field
PRJNA699239	SAMN17768967	isolation_source		rhizosphere	whole_field
PRJNA687411	SAMN17524437	isolation_source		cecal contents	whole_field
PRJNA664939	SAMN16278270	isolation_source		wastewater	whole_field
PRJNA759343	SAMN21163724	isolation_source		feces	whole_field
PRJNA770882	SAMN22243475	isolation_source		respiratory	whole_field
PRJNA715072	SAMN20720545	isolation_source		stool	whole_field
PRJNA793783	SAMN24583986	isolation_source		feces	whole_field
PRJNA793783	SAMN24583984	isolation_source		feces	whole_field
PRJNA793783	SAMN24583985	isolation_source		feces	whole_field
PRJNA841267	SAMN28579378	isolation_source		urine	whole_field
PRJNA656363	SAMN29005771	isolation_source		urine	whole_field
PRJEB50384	SAMEA12561088	isolation_source		wastewater	whole_field
PRJNA664939	SAMN16278273	isolation_source		wastewater	whole_field
PRJNA656363	SAMN29005765	isolation_source		urine	whole_field
PRJNA884103	SAMN31229780	isolation_source		blood	whole_field
PRJNA851948	SAMN29257229	isolation_source		aquaculture farm	whole_field
PRJNA717148	SAMN18487814	isolation_source		swine feces	whole_field
PRJNA864766	SAMN30170578	isolation_source		wastewater	whole_field
PRJNA911203	SAMN32490773	isolation_source		gut	whole_field
PRJNA911203	SAMN32490770	isolation_source		gut	whole_field
PRJNA864766	SAMN30170577	isolation_source		wastewater	whole_field
PRJNA941224	SAMN33593349	isolation_source		meat	whole_field
PRJNA892272	SAMN31373496	isolation_source		wastewater	whole_field
PRJNA911203	SAMN32490775	isolation_source		gut	whole_field
PRJNA911203	SAMN32490767	isolation_source		gut	whole_field
PRJNA941224	SAMN33593347	isolation_source		meat	whole_field
PRJNA911203	SAMN32490776	isolation_source		gut	whole_field
PRJNA911203	SAMN32490772	isolation_source		gut	whole_field
PRJNA911203	SAMN32490771	isolation_source		gut	whole_field
PRJNA941224	SAMN33593351	isolation_source		meat	whole_field
PRJNA941224	SAMN33593350	isolation_source		meat	whole_field
PRJNA941224	SAMN33593348	isolation_source		meat	whole_field
PRJNA265261	SAMN03159330	isolation_source		switchgrass root	whole_field
PRJNA494608	SAMN10174811	isolation_source		stool	whole_field
PRJNA505478	SAMN10422810	isolation_source		rectal swab	whole_field
PRJNA529243	SAMN11260909	isolation_source		stool	whole_field
PRJNA529243	SAMN11260903	isolation_source		stool	whole_field
PRJNA529243	SAMN11260912	isolation_source		stool	whole_field
PRJNA529243	SAMN11260915	isolation_source		stool	whole_field
PRJNA553808	SAMN12251522	isolation_source		respiratory tract	whole_field
PRJDB5295	SAMD00066597	isolation_source		sputum	whole_field
PRJDB7066	SAMD00127157	isolation_source		clinical specimen	whole_field
PRJDB7066	SAMD00127160	isolation_source		clinical specimen	whole_field
PRJEB22207	SAMEA104219966	isolation_source		faeces	whole_field
PRJEB24657	SAMEA104551382	isolation_source		blood	whole_field
PRJEB24657	SAMEA104551383	isolation_source		blood	whole_field
PRJEB24657	SAMEA104551384	isolation_source		blood	whole_field
PRJEB6416	SAMEA2555317	isolation_source		rectal swab	whole_field
PRJEB7689	SAMEA3178240	isolation_source		sputum	whole_field
PRJEB7689	SAMEA3178292	isolation_source		sputum	whole_field
PRJEB7689	SAMEA3178312	isolation_source		sputum	whole_field
PRJEB7689	SAMEA3178401	isolation_source		sputum	whole_field
PRJEB8302	SAMEA3217956	isolation_source		feces	whole_field
PRJEB8302	SAMEA3217957	isolation_source		feces	whole_field
PRJEB8302	SAMEA3217984	isolation_source		feces	whole_field
PRJEB8104	SAMEA3319269	isolation_source		urine	whole_field
PRJEB8104	SAMEA3319303	isolation_source		urine	whole_field
PRJEB9173	SAMEA3359030	isolation_source		respiratory specimen	whole_field
PRJEB8104	SAMEA3594240	isolation_source		urine	whole_field
PRJEB18589	SAMEA44002918	isolation_source		feces	whole_field
PRJNA161277	SAMN00990761	isolation_source		food	whole_field
PRJNA343442,PRJNA175243	SAMN01731171	isolation_source		blood	whole_field
PRJNA195754	SAMN02440965	isolation_source		plant biomass-degrading environment	whole_field
PRJNA213341	SAMN02744777	isolation_source		plant biomass-degrading system	whole_field
PRJNA263062	SAMN03097705	isolation_source		plant root	whole_field
PRJNA265347	SAMN03159289	isolation_source		switchgrass root	whole_field
PRJNA265243	SAMN03159295	isolation_source		plant root	whole_field
PRJNA265240	SAMN03159308	isolation_source		switchgrass root	whole_field
PRJNA265267	SAMN03159311	isolation_source		plant root endophyte (switchgrass)	whole_field
PRJNA265242	SAMN03159325	isolation_source		plant root (switchgrass root endophyte)	whole_field
PRJNA265245	SAMN03159326	isolation_source		plant root endosphere	whole_field
PRJNA265258	SAMN03159331	isolation_source		plant root (switchgrass root endophyte)	whole_field
PRJNA265257	SAMN03159347	isolation_source		plant root	whole_field
PRJNA265256	SAMN03159351	isolation_source		plant root (switchgrass)	whole_field
PRJNA265263	SAMN03159356	isolation_source		plant root	whole_field
PRJNA265254	SAMN03159364	isolation_source		switchgrass root	whole_field
PRJNA265244	SAMN03159373	isolation_source		plant root (switchgrass root endophyte)	whole_field
PRJNA265236	SAMN03159374	isolation_source		switchgrass root	whole_field
PRJNA265232	SAMN03159381	isolation_source		switchgrass root	whole_field
PRJNA265260	SAMN03159387	isolation_source		plant root (root endophyte of switchgrass)	whole_field
PRJNA265234	SAMN03159388	isolation_source		plant root (switchgrass root endophyte)	whole_field
PRJNA265241	SAMN03159392	isolation_source		plant root	whole_field
PRJNA265268	SAMN03159393	isolation_source		plant root	whole_field
PRJNA265264	SAMN03159397	isolation_source		plant root	whole_field
PRJNA265247	SAMN03159400	isolation_source		plant root (switchgrass root endophyte)	whole_field
PRJNA265265	SAMN03159401	isolation_source		plant root (switchgrass root endophyte)	whole_field
PRJNA265231	SAMN03159410	isolation_source		plant root	whole_field
PRJNA265255	SAMN03159418	isolation_source		plant root	whole_field
PRJNA265262	SAMN03159426	isolation_source		plant root	whole_field
PRJNA265237	SAMN03159441	isolation_source		switchgrass root	whole_field
PRJNA265259	SAMN03159451	isolation_source		plant root	whole_field
PRJNA265266	SAMN03159458	isolation_source		plant root	whole_field
PRJNA265233	SAMN03159472	isolation_source		switchgrass root	whole_field
PRJNA265246	SAMN03159478	isolation_source		switchgrass root	whole_field
PRJNA265275	SAMN03159480	isolation_source		plant root (switchgrass root endosphere)	whole_field
PRJNA265248	SAMN03159500	isolation_source		switchgrass root (plant root endophyte)	whole_field
PRJNA265235	SAMN03159501	isolation_source		plant root	whole_field
PRJNA265269	SAMN03159513	isolation_source		switchgrass root (plant root endophyte)	whole_field
PRJNA279611	SAMN03455930	isolation_source		rectal swab	whole_field
PRJNA279619	SAMN03455939	isolation_source		rectal swab	whole_field
