study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJEB55525	False	39290515	PMC11405340	10.3389/fmicb.2024.1432240	europepmc_accession	high	True	1	6.0	1.0	False	False	False	1	Transmission dynamics of ESBL/AmpC and carbapenemase-producing Enterobacterales between companion animals and humans.
PRJNA1044302	False	38951769	PMC11218385	10.1186/s12866-024-03387-1	europepmc_accession	high	True	1	6.0	1.0	False	False	False	1	fENko-Kae01 is a flagellum-specific jumbo phage infecting Klebsiella aerogenes.
PRJNA992249	True					low		0			False	False	False	0	
PRJNA1039570	False	39162444	PMC11385959	10.1128/mra.00110-24	europepmc_accession	high	True	1	6.0	1.0	False	False	False	1	Draft genome sequences of <i>Klebsiella</i> spp. isolated from produce and agricultural water in South Korea.
PRJEB45084	False	34946161	PMC8704702	10.3390/microorganisms9122560	europepmc_accession,europepmc_secondary,europepmc_title	high	True	3	9.0	1.5	False	False	False	2	Hybrid Assembly Provides Improved Resolution of Plasmids, Antimicrobial Resistance Genes, and Virulence Factors in <i>Escherichia coli</i> and <i>Klebsiella pneumoniae</i> Clinical Isolates.
PRJEB34874	False	31921017	PMC6920100	10.3389/fmicb.2019.02824	europepmc_accession	high	True	1	6.0	1.0	False	False	False	2	Dissemination and Comparison of Genetic Determinants of <i>mcr</i>-Mediated Colistin Resistance in Enterobacteriaceae <i>via</i> Retailed Raw Meat Products.
PRJNA861272	True					low	False	1	6.0	1.0	True	False	False	5	
PRJNA949453	False	37711686	PMC10498386	10.3389/fmicb.2023.1208014	europepmc_accession	high	True	1	6.0	1.0	False	False	False	1	Doxycycline PEP can induce doxycycline resistance in <i>Klebsiella pneumoniae</i> in a <i>Galleria mellonella</i> model of PEP.
PRJEB56148	False	34297981		10.1016/j.jamda.2021.06.030	ncbi_bioproject	high		1	6.0	1.0	False	False	False	1	Molecular Epidemiology and Risk Factors for Extended-Spectrum β-Lactamase-Producing Enterobacterales in Long-Term Care Residents.
PRJNA1106484	False	41221019	PMC12599533	10.1093/ofid/ofaf622	europepmc_accession	medium		1	5.0	1.0	False	False	False	2	Community-associated Carbapenem-Resistant Organism Case Investigations in New York City.
PRJEB71832	False	39324817	PMC11539204	10.1128/aac.00985-24	europepmc_accession,ncbi_bioproject	high		2	65.0	13.0	False	False	False	1	Colonization with resistant bacteria in hospital employees: an epidemiological surveillance and typing study.
PRJEB29928	False	36934086	PMC10024524	10.1038/s41467-023-37200-w	europepmc_accession	high	False	1	5.0	1.0	False	False	False	1	Integrative omics identifies conserved and pathogen-specific responses of sepsis-causing bacteria.
PRJEB23294	False	35680894	PMC9184624	10.1038/s41467-022-30889-1	europepmc_accession	low	True	1	5.0	1.0	False	False	False	4	Evolutionary action of mutations reveals antimicrobial resistance genes in Escherichia coli.
PRJNA1058428	False	38376188	PMC10989021	10.1128/aac.01507-23	europepmc_accession	high		1	5.0	1.0	False	False	False	1	A multi-species outbreak of VIM-producing carbapenem-resistant bacteria in a burn unit and subsequent investigation of rapid development of cefiderocol resistance.
PRJNA1123194	True					low		0			False	False	False	0	
PRJEB26081	True					low		0			False	False	False	0	
PRJNA1063361	False	39627871	PMC11616336	10.1186/s13099-024-00667-z	europepmc_accession,ncbi_bioproject	high	True	2	5.0	1.0	False	False	False	1	Efficacy of colistin-based combinations against pandrug-resistant whole-genome-sequenced Klebsiella pneumoniae isolated from hospitalized patients in Egypt: an in vitro/vivo comparative study.
PRJEB23879	True					low		0			False	False	False	0	
PRJEB59337	False	37125187		10.3389/fmicb.2023.1154620	europepmc_title	high	True	1	5.0	1.0	False	False	False	2	Highly sensitive quantitative phase microscopy and deep learning aided with whole genome sequencing for rapid detection of infection and antimicrobial resistance.
PRJDB7330	True					low		0			False	False	False	0	
PRJEB61660	False	37370278	PMC10294845	10.3390/antibiotics12060959	europepmc_accession	high	True	1	87.0	17.4	False	False	False	1	Screening of <i>Klebsiella pneumoniae</i> Isolates for Carbapenemase and Hypervirulence-Associated Genes by Combining the Eazyplex<sup>®</sup> Superbug CRE and hvKp Assays.
PRJNA1049776	False	38391571	PMC10885879	10.3390/antibiotics13020185	europepmc_accession	medium	True	1	5.0	1.0	False	False	False	1	Diverse Role of &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;CTX-M&lt;/sub&gt; and Porins in Mediating Ertapenem Resistance among Carbapenem-Resistant Enterobacterales.
PRJEB41009	False	33820769	PMC8316093	10.1128/aac.00147-21	europepmc_accession	high		1	5.0	1.0	False	False	False	2	Distinguishing <i>bla</i><sub>KPC</sub> Gene-Containing IncF Plasmids from Epidemiologically Related and Unrelated <i>Enterobacteriaceae</i> Based on Short- and Long-Read Sequence Data.
PRJEB39204	False	35442183	PMC9453065	10.1099/mgen.0.000675	europepmc_accession	high	True	1	55.0	11.0	False	False	False	1	Hospital outbreak of carbapenem-resistant Enterobacterales associated with a &lt;i&gt;bla&lt;/i&gt;&lt;sub&gt;OXA-48&lt;/sub&gt; plasmid carried mostly by &lt;i&gt;Escherichia coli&lt;/i&gt; ST399.
PRJNA1019652	False	38844513	PMC11156905	10.1038/s42003-024-06398-w	europepmc_accession,ncbi_bioproject	high	True	2	5.0	1.0	False	False	False	1	Prevalence of ST1049-KL5 carbapenem-resistant Klebsiella pneumoniae with a bla<sub>KPC-2</sub> and bla<sub>NDM-1</sub> co-carrying hypertransmissible IncM1 plasmid.
PRJNA1134078	True					low		0			False	False	False	0	
PRJEB58617	True					low		0			False	False	False	0	
PRJEB43637	True					low		0			False	False	False	0	
PRJEB34513	False	32048983	PMC7067211	10.1099/mgen.0.000335	europepmc_accession	high	True	1	10.0	2.0	False	False	False	1	Discordant bioinformatic predictions of antimicrobial resistance from whole-genome sequencing data of bacterial isolates: an inter-laboratory study.
PRJEB19657	True					low		0			False	False	False	0	
PRJEB54871	True					low		0			False	False	False	0	
PRJEB43940	True					low		0			False	False	False	0	
PRJNA824074	True					low		0			False	False	False	0	
PRJEB28522	False	36065064	PMC9519460	10.1038/s41564-022-01216-7	europepmc_accession	high	False	1	425.0	85.0	True	False	False	9	Colonization dynamics of extended-spectrum beta-lactamase-producing Enterobacterales in the gut of Malawian adults.
PRJEB50384	False	36961505	PMC10132066	10.1099/mgen.0.000946	europepmc_accession	high	True	1	5.0	1.0	False	False	False	1	Global scenario of the RmtE pan-aminoglycoside-resistance mechanism: emergence of the &lt;i&gt;rmtE4&lt;/i&gt; gene in South America associated with a hospital-related IncL plasmid.
PRJNA628576	False	32849463	PMC7422695	10.3389/fmicb.2020.01883	europepmc_accession	high	True	1	5.0	1.0	False	False	False	1	Analytical Performance Validation of Next-Generation Sequencing Based Clinical Microbiology Assays Using a K-mer Analysis Workflow.
PRJNA1023934	False	39052750	PMC11272070	10.1093/infdis/jiae003	europepmc_accession	high		1	5.0	1.0	False	False	False	1	In Vivo Evolution of a Klebsiella pneumoniae Capsule Defect With wcaJ Mutation Promotes Complement-Mediated Opsonophagocytosis During Recurrent Infection.
PRJNA636185	True					low		0			False	False	False	0	
PRJNA565663	False	40401949	PMC12160551	10.1128/mra.00009-25	europepmc_accession	medium	True	1	1.0	0.2	False	False	False	2	Genome sequences of &lt;i&gt;Acinetobacter&lt;/i&gt; phage At2 and its host &lt;i&gt;Acinetobacter tandoii&lt;/i&gt; W4-4-4.
PRJNA992043	False	37877547	PMC10617348	10.3201/eid2911.230921	europepmc_accession	high	True	1	5.0	1.0	False	False	False	1	Genotypic Evolution of Klebsiella pneumoniae Sequence Type 512 during Ceftazidime/Avibactam, Meropenem/Vaborbactam, and Cefiderocol Treatment, Italy.
PRJNA588474	False	33635888	PMC7909683	10.1371/journal.pone.0247058	europepmc_accession	medium	True	1	5.0	1.0	False	False	False	1	Polyphasic characterization of carbapenem-resistant Klebsiella pneumoniae clinical isolates suggests vertical transmission of the blaKPC-3 gene.
PRJNA523427	True					low		0			False	False	False	0	
PRJNA716285	True					low		0			False	False	False	0	
PRJNA485367	True					low		0	5.0	1.0	False	False	False	0	
PRJNA942324	False	38411998	PMC10986569	10.1128/spectrum.03305-23	europepmc_accession	medium	False	1	5.0	1.0	False	False	False	1	In-depth characterization of multidrug-resistant NDM-1 and KPC-3 co-producing &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; bloodstream isolates from Italian hospital patients.
PRJNA664089	False	34223138	PMC8215431	10.1093/jacamr/dlab079	europepmc_accession,ncbi_bioproject	high	True	2	5.0	1.0	False	False	False	1	Selective digestive decontamination with oral colistin plus gentamicin for persistent bacteraemia caused by non-carbapenemase-producing carbapenem-resistant <i>Klebsiella pneumoniae</i> in a neutropenic patient.
PRJNA762607	False	35924928	PMC9487465	10.1128/aac.00162-22	europepmc_accession	medium		1			True	False	False	2	Pharmacodynamics of Piperacillin-Tazobactam/Amikacin Combination versus Meropenem against Extended-Spectrum β-Lactamase-Producing Escherichia coli in a Hollow Fiber Infection Model.
PRJNA941224	True					high		0			False	False	False	1	
PRJNA853524	True					low		0			False	False	False	0	
PRJNA838568	False	38543556	PMC10974654	10.3390/microorganisms12030505	europepmc_accession	high	True	1	13.0	2.6	False	False	False	1	Genomic Characterization of Multidrug-Resistant Pathogenic Enteric Bacteria from Healthy Children in Osun State, Nigeria.
PRJNA593981	True					low		0			False	False	False	0	
PRJNA489399	False	31617838	PMC6861864	10.1099/mgen.0.000307	europepmc_accession	low	True	1	5.0	1.0	False	False	False	1	Quantitative real-time PCR assay for the rapid identification of the intrinsically multidrug-resistant bacterial pathogen <i>Stenotrophomonas maltophilia</i>.
