study_accession	paper_short_title	field	proposed_value	applies_whole_project	paper_coverage_fraction	ena_taxon_samples	evidence_quote
PRJEB58216	greek_cpe	host	Homo sapiens	True		209	All consecutive K. pneumoniae isolates recovered from patients with bloodstream infection (the first isolate per patient)
PRJEB63361	cpe_south_africa	host	Homo sapiens	True		413	isolated from adult patients (59%)... neonatal (57%) and paediatric (38%) isolates
PRJEB64895	greek_cpe	host	Homo sapiens	True		142	the Greek National Reference Laboratory invited the hospitals to submit up to 10 consecutive K. pneumoniae isolates resistant to any carbapenem... from individual patients accompanied by epidemiological and microbiological data
PRJEB6891	melb_surveillance	host	Homo sapiens	True		490	Hospital_acquired_Klebsiella_pneumoniae_and_the_role_of_colonization_and_transmission__Australia_
PRJEB74083		host	Homo sapiens	True		106	These isolates originated from clinical samples collected from 17 public hospitals between 28 April 2022 and 29 November 2023
PRJNA1028672	CRKP_China	host	Homo sapiens	True		546	Carbapenem-resistant Klebsiella pneumoniae (CRKP) represents a critical public health threat due to its high mortality and multidrug resistance
PRJNA1054115	Albany_bloodstream_usa	host	Homo sapiens	True		137	Bacterial isolates from bloodstream infections in unique pediatric and adult patients were grown from clinical blood cultures submitted to the Department of Pathology and Laboratory Medicine at DHMC.
PRJNA1087366		host	Homo sapiens	True		135	Hospitalized infants <60 days of age with an episode of clinically suspected sepsis
PRJNA1133624		host	human	True		209	clinical samples, mainly from the A Coruna University Hospital Complex (CHUAC, Galicia, Spain)
PRJNA246471	virginia_cpe	host	Homo sapiens	True		135	204 patients infected/colonized with blaKPC-positive Enterobacteriaceae during the prospective sampling period
PRJNA271899	cpe_surveillance_five_us_hospitals	host	Homo sapiens	True		730	we collected additional samples from symptomatic patients at Beth Israel Deaconess Medical Center (BIDMC), Brigham and Women's Hospital (BWH), and Massachusetts General Hospital (MGH) in Boston, MA, and the University of California Irvine (UCI) Medical Center in Orange, CA
PRJNA278886		host	Homo sapiens	True		284	clinical isolates with WGS and assess their mobilization potential . The results can support national surveillance of clinically identified pathogens and provide invaluable information to infection control in hospital
PRJNA341927	CG 258	host	human	True		244	Klebsiella pneumoniae in Israeli post-acute care hospitals
PRJNA351909	melb_surveillance	host	Homo sapiens	True		58	Klebsiella pneumoniae isolates from carriage screening and infection cases in an Australian hospital
PRJNA395086	aminoglycoside_resistance	host	Homo sapiens	True		166	Sequencing of clinical strains of Klebsiella pneumoniae
PRJNA398288	cephalosporin Autralia, NZ and Singapore	host	Homo sapiens	True		36	isolated from patients with bloodstream infections
PRJNA415194	Long term accute care	host	Homo sapiens	True		459	patients colonized and infected with CRKP in high-transmission facilities
PRJNA475751	pittsburgh_edshat	host	Homo sapiens	True		948	enhance outbreak detection in hospitals and thereby reduce hospital-associated infections.
PRJNA549322	NYC_CRE	host	Homo sapiens	False		284	patients with CRE bacteremia from 2016 to 2018 at 8 academic medical centers in NY/NJ
PRJNA557275	columbia_irvine_polymyxin_resistance	host	Homo sapiens	True		340	We included 88 patients with PR K. pneumoniae from 2011-2018 and collected demographic, antimicrobial exposure, and infection data.
PRJNA564424	Manchester_TRACE	host	Homo sapiens	True		537	isolates cultured from patients in the Central Manchester University Hospitals NHS Foundation Trust (CMFT; now part of the Manchester University NHS Foundation Trust)
PRJNA564992	canada_esbl	host	Homo sapiens	True		142	collected from patients associated with Canadian hospitals
PRJNA565795	melb_superbugs	host	Homo sapiens	True		0	MDRO isolates from four defined species were included from patient samples (clinical or screening samples) collected routinely from hospital inpatients
PRJNA603790	transmission_cluster_detection_chicago	host	Homo sapiens	True		462	Study of Klebsiella pneumoniae transmission in a long-term acute care hospital
PRJNA604975	oxfordshire_bsi_surveillance	host	Homo sapiens	True		910	Blood cultures processed by the laboratory were taken as part of routine clinical workup... This work uses data provided by patients and collected by the UK's National Health Service as part of their care and support.
PRJNA626430	OXA fitness effect	host	Homo sapiens	True		159	recovered from patients in a large hospital in Madrid, Spain
PRJNA641987	subsaharan_neonatal_outbreak	host	Homo sapiens	True		16	K. pneumoniae bloodstream isolates reported from neonates admitted to the ward...K. pneumoniae bloodstream isolates reported from other paediatric wards in the same hospital
PRJNA646358	Cietnamise ICUs	host	Homo sapiens	True		141	patients (≥15 years old) hospitalized in the adult ICU at the HTD
PRJNA648389	texan_esbl	host	Homo sapiens	True		126	we characterized 126 index and 27 recurrent 3GC-R K. pneumoniae bacteraemia isolates collected from 2016 to 2022 at our institution... cancer patients at our institution
PRJNA686897	chigago_cpe_ndm	host	Homo sapiens	True		452	across Chicago-area hospitals
PRJNA765801	CPK Enterobacteriales	host	Homo sapiens	True		213	blaNDM Carbapenemase-producing Enterobacterales (CPE) isolates in Singapore from 2010-2015
PRJNA767944	CPK transmission	host	Homo sapiens	True		173	A total of 173 CP-Kpn isolates were collected from 136 patients from December 2016 to April 2017 at Huashan Hospital
PRJNA777643	Bactobolize	host	Homo sapiens	True		392	Whole genome sequencing of clinical Klebsiella pneumoniae isolates from an Australian hospital
PRJNA787062	ethiopian_klebsiella	host	Homo sapiens	True		192	sepsis patients in Ethiopian referral hospitals
PRJNA789336	CPK bloodstream	host	Homo sapiens	True		258	One hundred eighty-seven patients were recruited.
PRJNA789565	michigan_matched_colonising_infecting	host	Homo sapiens	True		330	Deposited sequences are those of Klebsiella strains isolated from patient rectal swabs or clinical cultures.
