study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB30913	observational	False	129	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	blood	True	human	True		False
PRJNA503964	observational	False	128	1.0	False	europepmc_fulltext	True	26345	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	pcr_gene_presence	gradeable	newborn_young_child	gradeable	Tanzania	True	stool	True	human	True	2011-01-30	True
PRJEB49326	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB18814	observational	False	249	2.0081	False	europepmc_fulltext	True	26486	False	claude-sonnet-4-6	mixed	partial	surveillance	gradeable		not_gradeable		not_gradeable	adult	partial	United Kingdom	True		False	human	False		False
PRJNA611540	observational	False	123	1.0	False	europepmc_fulltext	True	30740	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True	hospital wastewater	False	wastewater	False	2017-08-31	True
PRJNA674942	observational	False	102	0.8361	False	europepmc_fulltext	True	39928	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Singapore	True	rectal swab	True	human	True		False
PRJEB49683	observational	False			False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJEB20234	observational	False	116	1.0	False	local_pdf	True	30452	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Germany	True		False	human	True		False
PRJEB55414	observational	False	114	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJNA267549	observational	False			False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True		False	human	True	2012-12-31	True
PRJNA686978	observational	False	114	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA857533	observational	False			False	europepmc_fulltext	True	46855	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False	human	True		False
PRJNA473122	observational	False	112	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True	2016-12-31	True
PRJEB20809	observational	False	111	1.0	False	europepmc_fulltext	True	47190	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	United Kingdom	True	stool	False	human	True		False
PRJEB40861	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False		False		False
PRJEB18621	observational	False	107	1.0	False	europepmc_fulltext	True	44639	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Germany	True		False	human	True		False
PRJNA532924	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Canada	True		False	human	True		False
PRJEB8666	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	blood	True	human	True		False
PRJNA814829	observational	False	102	0.9714	False	europepmc_fulltext	True	36550	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Thailand	True		False	human	True	2017-12-31	True
PRJNA646855	observational	False	39	0.3714	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True	faeces	False	Pteropus poliocephalus	False	2018-02-09	True
PRJNA675776	observational	False	105	1.0	False	europepmc_fulltext	True	31633	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	France	True		False	companion animals	False		False
PRJNA1076808	observational	False	112	1.0769	False	europepmc_fulltext	True	46382	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False	human	True	2023-07-16	True
PRJNA606666	observational	False	105	1.0096	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Sweden	True		False	human	True	2012-01-30	True
PRJEB36370	observational	False	103	1.0	False	local_pdf	True	42305	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Denmark	True		False	human	True		False
PRJNA878595	observational	False	103	1.0	False	local_pdf	True	34225	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	China	True		False	human	True	2020-12-31	True
PRJNA656934	observational	False	100	0.9709	False	pdf	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Qatar	True		False	human	True		False
PRJNA1052100	observational	False	103	1.0098	False	europepmc_fulltext	True	32515	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Ghana	True	urine	False	human	True		False
PRJNA269675	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJDB16680	experimental_evolution	True			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA553678	observational	False	86	0.8515	False	europepmc_fulltext	True	33479	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True	lower respiratory tract specimen	True	human	True		False
PRJNA717739	observational	False	100	1.0	False	europepmc_fulltext	True	31047	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False	urine	False	human	True		False
PRJEB50545	observational	False	171	1.71	False	europepmc_fulltext	True	23954	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False		False	human	False	2018-10-01	True
PRJNA508760	observational	False	100	1.0	False	europepmc_fulltext	True	36445	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	China	True		False	human	False	2016-12-31	True
