study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJNA1133668	CRE_NYC	437.0	test	20260612	434	868	315	1	False	"{""Klebsiella aerogenes"": 4, ""Klebsiella michiganensis"": 7, ""Klebsiella ornithinolytica"": 1, ""Klebsiella oxytoca"": 5, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 289, ""Klebsiella quasipneumoniae"": 3, ""Klebsiella variicola"": 5}"	ok
PRJEB19226	capsule_depolymerase_study	422.0	test	20260612	422	422	185	1	False	"{""Klebsiella pneumoniae"": 175, ""Klebsiella quasipneumoniae"": 9, ""Klebsiella variicola"": 1}"	ok
PRJEB56146	Norway population study	391.0	test	20260612	389	389	155	1	False	"{""Klebsiella michiganensis"": 1, ""Klebsiella oxytoca"": 3, ""Klebsiella pneumoniae"": 146, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 1, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 3, ""Klebsiella quasivariicola"": 1}"	ok
PRJEB37504	MDR NMD	347.0	test	20260612	347	347	347	1	False	"{""Klebsiella pneumoniae"": 347}"	ok
PRJNA778230	French West One health	331.0	test	20260612	331	331	331	1	False	"{""Klebsiella pneumoniae"": 196, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 44, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 41, ""Klebsiella variicola subsp. variicola"": 50}"	ok
PRJNA288601	cdc_surveillance	322.0	test	20260612	51951	52644	12456	1	False	"{""Klebsiella"": 5, ""Klebsiella aerogenes"": 435, ""Klebsiella grimontii"": 10, ""Klebsiella huaxiensis"": 2, ""Klebsiella michiganensis"": 173, ""Klebsiella ornithinolytica"": 112, ""Klebsiella oxytoca"": 390, ""Klebsiella pasteurii"": 12, ""Klebsiella planticola"": 43, ""Klebsiella pneumoniae"": 10888, ""Klebsiella pneumoniae subsp. pneumoniae HS11286"": 1, ""Klebsiella quasipneumoniae"": 116, ""Klebsiella quasivariicola"": 1, ""Klebsiella sp."": 3, ""Klebsiella sp. 2021KU-00212"": 1, ""Klebsiella sp. 2022SY-00092"": 1, ""Klebsiella sp. 2023BV-00119"": 1, ""Klebsiella sp. 2023BV-00138"": 1, ""Klebsiella sp. 2023SY-00106"": 1, ""Klebsiella sp. 2024DD-00119"": 1, ""Klebsiella sp. 2025DD-00017"": 1, ""Klebsiella sp. 2025SY-00244"": 1, ""Klebsiella sp. BDA134-6"": 1, ""Klebsiella sp. DY2415"": 1, ""Klebsiella sp. MPUS7"": 4, ""Klebsiella sp. PCX"": 1, ""Klebsiella sp. X13"": 4, ""Klebsiella spallanzanii"": 1, ""Klebsiella variicola"": 245}"	ok
PRJEB43870	norwegian_poultry_carriage	319.0	test	20260612	203	229	203	1	False	"{""Klebsiella pneumoniae"": 203}"	ok
PRJEB57159	norwegian_poultry_carriage	319.0	test	20260612	42	51	42	1	False	"{""Klebsiella pneumoniae"": 42}"	ok
PRJNA922900	norwegian_poultry_carriage	319.0	test	20260612	111	137	111	1	False	"{""Klebsiella pneumoniae"": 108, ""Klebsiella variicola subsp. variicola"": 3}"	ok
PRJEB53835	finnish_benin_vaccine_trial	300.0	test	20260612	7889	7889	372	1	False	"{""Klebsiella pneumoniae"": 372}"	ok
PRJEB2111	klebsiella_global_diversity	288.0	test	20260612	348	348	348	1	False	"{""Klebsiella pneumoniae"": 284, ""Klebsiella pneumoniae;Klebsiella quasipneumoniae"": 9, ""Klebsiella pneumoniae;Klebsiella variicola"": 10, ""Klebsiella pneumoniae;Klebsiella variicola;Klebsiella quasipneumoniae"": 4, ""Klebsiella quasipneumoniae"": 22, ""Klebsiella variicola"": 19}"	ok
PRJNA543274	Swiss_kleb	272.0	test	20260612	261	272	261	1	False	"{""Klebsiella aerogenes"": 1, ""Klebsiella grimontii"": 30, ""Klebsiella michiganensis"": 50, ""Klebsiella ornithinolytica"": 1, ""Klebsiella oxytoca"": 36, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 114, ""Klebsiella quasipneumoniae"": 5, ""Klebsiella variicola"": 23}"	ok
PRJEB38540	thailand_pig_farms	253.0	test	20260612	253	255	253	1	False	"{""Klebsiella pneumoniae"": 173, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 34, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 33, ""Klebsiella variicola"": 13}"	ok
PRJNA514908	China colonisation	241.0	test	20260612	0	0	0	0	False	{}	ok
PRJNA810752	Melbourne_patient_samples	217.0	test	20260612	217	217	217	1	False	"{""Klebsiella pneumoniae"": 186, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 3, ""Klebsiella variicola subsp. variicola"": 28}"	ok
PRJNA339843	new_abx_amr_consortium	206.0	test	20260612	224	225	207	1	False	"{""Klebsiella aerogenes"": 3, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 202, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 1}"	ok
PRJNA532291	Thailand_CRE	200.0	test	20260612	198	198	187	1	False	"{""Klebsiella pneumoniae"": 94, ""Klebsiella pneumoniae subsp. pneumoniae"": 93}"	ok
PRJNA433394	new_abx_amr_consortium	187.0	test	20260612	200	202	187	1	False	"{""Klebsiella pneumoniae"": 1, ""Klebsiella pneumoniae subsp. pneumoniae"": 184, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 1, ""Klebsiella variicola"": 1}"	ok
PRJNA594602	Bovine mastitis	180.0	test	20260612	180	180	180	1	False	"{""Klebsiella pneumoniae"": 180}"	ok
PRJNA306133	uk_klebsiella	176.0	test	20260612	417	417	176	1	False	"{""Klebsiella pneumoniae"": 176}"	ok
PRJNA252957	CG 258 2	167.0	test	20260612	167	167	167	1	False	"{""Klebsiella pneumoniae"": 167}"	ok
PRJNA633565	cpe_glove_and_gown	166.0	test	20260612	176	176	176	1	False	"{""Klebsiella pneumoniae"": 171, ""Klebsiella quasipneumoniae"": 1, ""Klebsiella variicola"": 4}"	ok
PRJNA547865	blakpc_singapore	157.0	test	20260612	157	157	157	1	False	"{""Klebsiella pneumoniae"": 106, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 14, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 37}"	ok
PRJNA825705	auto_amr	155.0	test	20260612	181	362	155	1	False	"{""Klebsiella pneumoniae"": 154, ""Klebsiella quasipneumoniae"": 1}"	ok
PRJNA839691	new_chinese_neuro_icu	143.0	test	20260612	146	146	146	1	False	"{""Klebsiella pneumoniae"": 146}"	ok
PRJEB29739	ghru_nigeria	139.0	test	20260612	2331	2331	778	1	False	"{""Klebsiella aerogenes"": 14, ""Klebsiella michiganensis"": 1, ""Klebsiella oxytoca"": 3, ""Klebsiella pneumoniae"": 696, ""Klebsiella quasipneumoniae"": 50, ""Klebsiella quasivariicola"": 2, ""Klebsiella variicola"": 12}"	ok
PRJEB34643	european_food_products	131.0	test	20260612	205	205	205	1	False	"{""Klebsiella pneumoniae subsp. pneumoniae"": 160, ""Klebsiella pneumoniae subsp. pneumoniae CIP 52.145 = B5055"": 1, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 3, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 5, ""Klebsiella quasivariicola"": 1, ""Klebsiella variicola subsp. variicola"": 35}"	ok
PRJEB37711	One day in Denmark	111.0	test	20260612	2006	2006	155	1	False	"{""Klebsiella aerogenes"": 9, ""Klebsiella ornithinolytica"": 2, ""Klebsiella oxytoca"": 26, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 94, ""Klebsiella sp. 1D-1084"": 1, ""Klebsiella sp. 1D-1159"": 1, ""Klebsiella sp. 1D-1264"": 1, ""Klebsiella sp. 1D-1275"": 1, ""Klebsiella sp. 1D-1399"": 1, ""Klebsiella sp. 1D-182"": 1, ""Klebsiella sp. 1D-196"": 1, ""Klebsiella sp. 1D-203"": 1, ""Klebsiella sp. 1D-558"": 1, ""Klebsiella sp. 1D-673"": 1, ""Klebsiella sp. 1D-933"": 1, ""Klebsiella sp. 1D-976"": 1, ""Klebsiella sp. 1D-995"": 1, ""Klebsiella variicola"": 10}"	ok
PRJEB1272	blaoxa48_spain	105.0	test	20260612	153	153	153	1	False	"{""Klebsiella pneumoniae"": 153}"	ok
PRJEB1963	oxfordshire_amr_prediction	69.0	test	20260612	143	143	69	1	False	"{""Klebsiella pneumoniae"": 69}"	ok
PRJNA658369	cpe_crackle2		test	20260612	2540	2659	1663	1	False	"{""Klebsiella aerogenes"": 31, ""Klebsiella ornithinolytica"": 8, ""Klebsiella oxytoca"": 16, ""Klebsiella pneumoniae"": 1570, ""Klebsiella quasipneumoniae"": 1, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 8, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 8, ""Klebsiella sp. ARLG-4739"": 1, ""Klebsiella variicola"": 8, ""Klebsiella variicola subsp. variicola"": 12}"	ok
PRJEB37378	uganda_and_malawi_amr	6508.0	train	20260612	6168	6508	1603	1	False	"{""Klebsiella aerogenes"": 1, ""Klebsiella pneumoniae"": 1602}"	ok
PRJEB28400	icu_hannoi	3153.0	train	20260612	1950	1950	745	1	False	"{""Klebsiella pneumoniae"": 745}"	ok
PRJEB19322	neonatal_klebsiella	1930.0	train	20260612	419	419	92	1	False	"{""Klebsiella pneumoniae"": 92}"	ok
PRJEB33565	neonatal_klebsiella	1930.0	train	20260612	916	916	403	1	False	"{""Klebsiella aerogenes"": 3, ""Klebsiella michiganensis"": 117, ""Klebsiella ornithinolytica"": 2, ""Klebsiella oxytoca"": 5, ""Klebsiella pneumoniae"": 258, ""Klebsiella quasipneumoniae"": 13, ""Klebsiella variicola"": 5}"	ok
PRJEB46513	neonatal_klebsiella	1930.0	train	20260612	478	478	455	1	False	"{""Klebsiella pneumoniae"": 451, ""Klebsiella quasipneumoniae"": 3, ""Klebsiella variicola"": 1}"	ok
PRJEB42462	Klebsiella_pneumoniae_longitudinal_study	1147.0	train	20260612	1302	1302	1302	1	False	"{""Klebsiella pneumoniae"": 1302}"	ok
PRJEB27256	Norway_k_pnuemoniae	868.0	train	20260612	1063	1258	1063	1	False	"{""Klebsiella pneumoniae"": 1063}"	ok
PRJEB22252	baby_biomes_uk	805.0	train	20260612	805	805	237	1	False	"{""Klebsiella aerogenes"": 7, ""Klebsiella grimontii"": 72, ""Klebsiella michiganensis"": 59, ""Klebsiella ornithinolytica"": 2, ""Klebsiella oxytoca"": 18, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 64, ""Klebsiella quasipneumoniae"": 6, ""Klebsiella variicola"": 8}"	ok
PRJDB5929	thailand_cpe	747.0	train	20260612	965	1158	707	1	False	"{""Klebsiella aerogenes"": 1, ""Klebsiella oxytoca"": 1, ""Klebsiella pneumoniae"": 705}"	ok
PRJNA845975	bangladesh_child_heatlh_research_foundation	599.0	train	20260612	567	567	567	1	False	"{""Klebsiella aerogenes"": 1, ""Klebsiella pneumoniae"": 479, ""Klebsiella quasipneumoniae"": 87}"	ok
PRJNA1028672	CRKP_China	542.0	train	20260612	558	563	546	1	False	"{""Klebsiella pneumoniae"": 546}"	ok
PRJEB48990	MDR KP Wales	539.0	train	20260612	540	540	540	1	False	"{""Klebsiella aerogenes"": 33, ""Klebsiella grimontii"": 5, ""Klebsiella michiganensis"": 27, ""Klebsiella oxytoca"": 17, ""Klebsiella pasteurii"": 1, ""Klebsiella planticola"": 2, ""Klebsiella pneumoniae"": 421, ""Klebsiella quasipneumoniae"": 11, ""Klebsiella variicola"": 23}"	ok
PRJEB38289	portuguese_klebsiella	509.0	train	20260612	508	604	508	1	False	"{""Klebsiella pneumoniae"": 508}"	ok
PRJEB35685	Netherlands CPK	479.0	train	20260612	891	891	412	1	False	"{""Klebsiella aerogenes"": 4, ""Klebsiella ornithinolytica"": 1, ""Klebsiella oxytoca"": 18, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 388}"	ok
PRJNA634885	Dutch plasmids	479.0	train	20260612	144	144	144	1	False	"{""Klebsiella pneumoniae"": 143, ""Klebsiella variicola"": 1}"	ok
PRJEB29143	word diagnostics	457.0	train	20260612	498	498	498	1	False	"{""Klebsiella africana"": 1, ""Klebsiella pneumoniae subsp. pneumoniae CIP 52.145 = B5055"": 348, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 10, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 77, ""Klebsiella quasivariicola"": 2, ""Klebsiella variicola"": 53, ""Klebsiella variicola subsp. tropica"": 7}"	ok
PRJNA415194	Long term accute care	453.0	train	20260612	459	459	459	1	False	"{""Klebsiella pneumoniae"": 459}"	ok
PRJNA603790	transmission_cluster_detection_chicago	435.0	train	20260612	462	462	462	1	False	"{""Klebsiella pneumoniae"": 462}"	ok
PRJEB63361	cpe_south_africa	412.0	train	20260612	413	413	413	1	False	"{""Klebsiella pneumoniae"": 413}"	ok
PRJNA777643	Bactobolize	392.0	train	20260612	392	392	392	1	False	"{""Klebsiella africana"": 2, ""Klebsiella pneumoniae"": 305, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 7, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 14, ""Klebsiella variicola subsp. variicola"": 64}"	ok
PRJEB5065	mdr_surveillance_uk_ireland	379.0	train	20260612	1298	1298	381	1	False	"{""Klebsiella aerogenes"": 11, ""Klebsiella grimontii"": 2, ""Klebsiella michiganensis"": 10, ""Klebsiella ornithinolytica"": 1, ""Klebsiella oxytoca"": 31, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 302, ""Klebsiella quasipneumoniae"": 7, ""Klebsiella sp."": 2, ""Klebsiella variicola"": 14}"	ok
PRJEB20799		356.0	train	20260612	100	100	44	1	False	"{""Klebsiella pneumoniae"": 44}"	ok
PRJEB6891	melb_surveillance	348.0	train	20260612	622	647	490	1	False	"{""Klebsiella aerogenes"": 7, ""Klebsiella oxytoca"": 35, ""Klebsiella planticola"": 4, ""Klebsiella pneumoniae"": 351, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 2, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 15, ""Klebsiella variicola"": 76}"	ok
PRJEB19229	irish_cpe_surveillance	330.0	train	20260612	97	97	96	1	False	"{""Klebsiella pneumoniae"": 96}"	ok
PRJEB19435	irish_cpe_surveillance	330.0	train	20260612	65	65	0	1	False	{}	ok
PRJEB22264	irish_cpe_surveillance	330.0	train	20260612	17	17	0	1	False	{}	ok
PRJEB24082	irish_cpe_surveillance	330.0	train	20260612	200	200	200	1	False	"{""Klebsiella pneumoniae"": 200}"	ok
PRJEB24083	irish_cpe_surveillance	330.0	train	20260612	106	106	0	1	False	{}	ok
PRJEB24084	irish_cpe_surveillance	330.0	train	20260612	95	95	0	1	False	{}	ok
PRJEB24085	irish_cpe_surveillance	330.0	train	20260612	104	104	104	1	False	"{""Klebsiella oxytoca"": 102, ""Klebsiella variicola"": 2}"	ok
PRJEB24086	irish_cpe_surveillance	330.0	train	20260612	15	15	3	1	False	"{""Klebsiella ornithinolytica"": 3}"	ok
PRJEB24087	irish_cpe_surveillance	330.0	train	20260612	144	144	0	1	False	{}	ok
PRJEB28054		326.0	train	20260612	326	326	326	1	False	"{""Klebsiella pneumoniae"": 326}"	ok
PRJNA398288	cephalosporin Autralia, NZ and Singapore	294.0	train	20260612	294	294	36	1	False	"{""Klebsiella pneumoniae"": 36}"	ok
PRJEB39867	Germany_ESBL	286.0	train	20260612	286	286	286	1	False	"{""Klebsiella pneumoniae"": 286}"	ok
PRJNA544438	polymixin B KP	275.0	train	20260612	272	275	237	1	False	"{""Klebsiella pneumoniae"": 237}"	ok
PRJNA604910	ratcliffe_hospital_sink_drains	264.0	train	20260612	464	464	264	1	False	"{""Klebsiella oxytoca"": 167, ""Klebsiella pneumoniae"": 97}"	ok
PRJEB22903		261.0	train	20260612	271	281	271	1	False	"{""Klebsiella pneumoniae"": 232, ""Klebsiella quasipneumoniae"": 36, ""Klebsiella variicola"": 3}"	ok
PRJNA789336	CPK bloodstream	258.0	train	20260612	258	258	258	1	False	"{""Klebsiella oxytoca"": 1, ""Klebsiella pneumoniae"": 240, ""Klebsiella quasipneumoniae"": 2, ""Klebsiella variicola"": 15}"	ok
PRJNA341927	CG 258	244.0	train	20260612	244	244	244	1	False	"{""Klebsiella pneumoniae"": 244}"	ok
PRJEB6574	pakistan_klebsiella	227.0	train	20260612	221	227	221	1	False	"{""Klebsiella pneumoniae"": 5, ""Klebsiella pneumoniae subsp. pneumoniae"": 158, ""Klebsiella quasipneumoniae"": 2, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 56}"	ok
PRJEB24970	MDR neonates	224.0	train	20260612	224	224	224	1	False	"{""Klebsiella pneumoniae"": 224}"	ok
PRJEB58216	greek_cpe	209.0	train	20260612	209	217	209	1	False	"{""Klebsiella pneumoniae"": 209}"	ok
PRJNA325243	vetinary_fda	204.0	train	20260612	1559	1570	630	1	False	"{""Klebsiella aerogenes"": 6, ""Klebsiella grimontii"": 1, ""Klebsiella oxytoca"": 8, ""Klebsiella pneumoniae"": 485, ""Klebsiella pneumoniae subsp. ozaenae"": 1, ""Klebsiella quasipneumoniae"": 77, ""Klebsiella variicola"": 52}"	ok
PRJEB58018	Germany-Ukrain-NDM_OXA	201.0	train	20260612	201	201	201	1	False	"{""Klebsiella pneumoniae"": 201}"	ok
PRJEB30134	long_read_CPE	200.0	train	20260612	760	845	201	1	False	"{""Klebsiella aerogenes"": 1, ""Klebsiella ornithinolytica"": 1, ""Klebsiella oxytoca"": 26, ""Klebsiella pneumoniae"": 168, ""Klebsiella variicola"": 5}"	ok
PRJEB21277	Irish point prevelence	192.0	train	20260612	480	480	193	1	False	"{""Klebsiella aerogenes"": 1, ""Klebsiella michiganensis"": 4, ""Klebsiella ornithinolytica"": 1, ""Klebsiella oxytoca"": 12, ""Klebsiella pneumoniae"": 154, ""Klebsiella quasipneumoniae"": 11, ""Klebsiella variicola"": 10}"	ok
PRJNA565795	melb_superbugs	190.0	train	20260612	0	0	0	0	False	{}	ok
PRJNA1048341		177.0	train	20260612	177	177	177	1	False	"{""Klebsiella pneumoniae"": 177}"	ok
PRJNA787062	ethiopian_klebsiella	177.0	train	20260612	346	346	192	1	False	"{""Klebsiella ornithinolytica"": 2, ""Klebsiella oxytoca"": 13, ""Klebsiella pneumoniae"": 103, ""Klebsiella variicola"": 74}"	ok
PRJNA767944	CPK transmission	173.0	train	20260612	173	173	173	1	False	"{""Klebsiella pneumoniae"": 173}"	ok
PRJDB12116	japanese_surveillance	168.0	train	20260612	154	154	154	1	False	"{""Klebsiella michiganensis"": 2, ""Klebsiella pneumoniae"": 106, ""Klebsiella quasipneumoniae"": 14, ""Klebsiella variicola"": 32}"	ok
PRJDB14656	japanese_surveillance	168.0	train	20260612	234	234	234	1	False	"{""Klebsiella pneumoniae"": 194, ""Klebsiella quasipneumoniae"": 21, ""Klebsiella variicola"": 19}"	ok
PRJDB17849	japanese_surveillance	168.0	train	20260612	0	0	0	0	False	{}	ok
PRJEB12699		160.0	train	20260612	162	162	143	1	False	"{""Klebsiella pneumoniae"": 143}"	ok
PRJNA982859	Wastewater_USA_isolates	159.0	train	20260612	314	314	183	1	False	"{""Klebsiella aerogenes"": 4, ""Klebsiella grimontii"": 11, ""Klebsiella michiganensis"": 43, ""Klebsiella ornithinolytica"": 5, ""Klebsiella oxytoca"": 26, ""Klebsiella planticola"": 10, ""Klebsiella pneumoniae"": 3, ""Klebsiella quasipneumoniae"": 3, ""Klebsiella sp."": 75, ""Klebsiella sp. KS_25"": 1, ""Klebsiella sp. KS_26"": 1, ""Klebsiella sp. KS_27"": 1}"	ok
PRJEB22890	superiore_di_sanita	157.0	train	20260612	157	157	157	1	False	"{""Klebsiella pneumoniae"": 156, ""Klebsiella variicola"": 1}"	ok
PRJNA278886		156.0	train	20260612	3110	3131	284	1	False	"{""Klebsiella aerogenes"": 34, ""Klebsiella michiganensis"": 11, ""Klebsiella ornithinolytica"": 3, ""Klebsiella oxytoca"": 9, ""Klebsiella pneumoniae"": 219, ""Klebsiella quasipneumoniae"": 1, ""Klebsiella sp. BDA134-6"": 1, ""Klebsiella variicola"": 6}"	ok
PRJNA626430	OXA fitness effect	156.0	train	20260612	249	255	159	1	False	"{""Klebsiella aerogenes"": 4, ""Klebsiella oxytoca"": 6, ""Klebsiella planticola"": 2, ""Klebsiella pneumoniae"": 139, ""Klebsiella quasipneumoniae"": 2, ""Klebsiella variicola"": 6}"	ok
PRJEB21605	Klebsiella_pneumoniae_pan_Asian_genomic_surveillance_network_pilot_	148.0	train	20260612	149	150	149	1	False	"{""Klebsiella pneumoniae"": 149}"	ok
PRJNA1052047	human_and_bovine_culture_collection	148.0	train	20260612	148	148	148	1	False	"{""Klebsiella pneumoniae"": 128, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 4, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 4, ""Klebsiella variicola subsp. variicola"": 12}"	ok
PRJNA1133624		143.0	train	20260612	730	750	209	1	False	"{""Klebsiella aerogenes"": 24, ""Klebsiella michiganensis"": 2, ""Klebsiella oxytoca"": 8, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 173, ""Klebsiella variicola"": 1}"	ok
PRJNA549322	NYC_CRE	143.0	train	20260612	1422	1461	284	1	False	"{""Klebsiella aerogenes"": 2, ""Klebsiella michiganensis"": 2, ""Klebsiella oxytoca"": 1, ""Klebsiella pneumoniae"": 277, ""Klebsiella quasipneumoniae subsp. quasipneumoniae"": 1, ""Klebsiella variicola subsp. variicola"": 1}"	ok
PRJEB64895	greek_cpe	141.0	train	20260612	142	142	142	1	False	"{""Klebsiella pneumoniae"": 142}"	ok
PRJNA804332	kenyan_neonate	138.0	train	20260612	160	160	138	1	False	"{""Klebsiella oxytoca"": 3, ""Klebsiella pneumoniae"": 135}"	ok
PRJNA1054115	Albany_bloodstream_usa	137.0	train	20260612	137	149	137	1	False	"{""Klebsiella pneumoniae"": 137}"	ok
PRJNA1087366		135.0	train	20260612	309	309	135	1	False	"{""Klebsiella pneumoniae"": 135}"	ok
PRJNA246471	virginia_cpe	129.0	train	20260612	285	285	135	1	False	"{""Klebsiella aerogenes"": 4, ""Klebsiella michiganensis"": 1, ""Klebsiella ornithinolytica"": 1, ""Klebsiella oxytoca"": 34, ""Klebsiella planticola"": 1, ""Klebsiella pneumoniae"": 94}"	ok
PRJNA648389	texan_esbl	126.0	train	20260612	126	126	126	1	False	"{""Klebsiella pneumoniae"": 126}"	ok
PRJEB58136		112.0	train	20260612	140	144	140	1	False	"{""Klebsiella aerogenes"": 1, ""Klebsiella pneumoniae"": 121, ""Klebsiella quasipneumoniae"": 6, ""Klebsiella quasipneumoniae subsp. similipneumoniae"": 11, ""Klebsiella variicola subsp. variicola"": 1}"	ok
PRJNA820335	Clinical CR-hvKP ST11 strains collection	110.0	train	20260612	110	110	110	1	False	"{""Klebsiella pneumoniae"": 110}"	ok
PRJEB74083		106.0	train	20260612	106	106	106	1	False	"{""Klebsiella pneumoniae"": 106}"	ok
