study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA341927	False	28486697		10.1093/jac/dkx135	ncbi_bioproject	high		1	244.0	1.0	False	False	False	1	Evolution and dissemination of the Klebsiella pneumoniae clonal group 258 throughout Israeli post-acute care hospitals, 2008-13.
PRJNA544438	False	33036018	PMC7546912	10.1371/journal.pone.0239924	europepmc_accession	medium	True	1	35.0	0.1477	True	False	False	4	Clinical and molecular characteristics of carbapenem non-susceptible Escherichia coli: A nationwide survey from Oman.
PRJEB22252	True					high		0			False	False	True	3	
PRJDB14656	False	39298254	PMC11571079	10.1099/mgen.0.001295	europepmc_accession	medium	True	1	168.0	0.7179	False	False	False	1	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity through holistic gene content analysis.
PRJEB24970	False	31793878	PMC6977969	10.7554/elife.50468	europepmc_accession	high	False	1	224.0	1.0	False	False	False	1	Transmission dynamics and control of multidrug-resistant &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; in neonates in a developing country.
PRJEB6574	True					low		0	221.0	1.0	False	False	False	0	
PRJEB36486	False	36065064	PMC9519460	10.1038/s41564-022-01216-7	europepmc_accession	high	False	1	221.0	1.0	False	False	False	7	Colonization dynamics of extended-spectrum beta-lactamase-producing Enterobacterales in the gut of Malawian adults.
PRJNA765801	False	41152242	PMC12569050	10.1038/s41467-025-64515-7	europepmc_accession	medium	False	1	213.0	1.0	True	False	False	2	Plasmid dynamics driving carbapenemase gene dissemination in healthcare environments: a nationwide analysis of closed Enterobacterales genomes.
PRJEB58216	False	37642647	PMC10483420	10.1099/mgen.0.001082	europepmc_accession	high	True	1	209.0	1.0	False	False	False	2	Three <i>Klebsiella pneumoniae</i> lineages causing bloodstream infections variably dominated within a Greek hospital over a 15 year period.
PRJNA1133624	False	40130831	PMC12077086	10.1128/jcm.01105-24	europepmc_accession	medium	False	1	209.0	1.0	False	False	False	1	Rapid prediction of carbapenemases in &lt;i&gt;Pseudomonas aeruginosa&lt;/i&gt; by imipenem/relebactam and MALDI-TOF MS.
PRJEB30134	False	37405394	PMC10438816	10.1099/mgen.0.001048	europepmc_accession	medium	True	1	165.0	0.8209	True	False	False	3	Long-read sequencing reveals genomic diversity and associated plasmid movement of carbapenemase-producing bacteria in a UK hospital over 6 years.
PRJEB58018	False	41508890	PMC12862290	10.2807/1560-7917.es.2026.31.1.2500378	europepmc_accession	high	False	1	201.0	1.0	False	False	False	1	International spread or local outbreak? Epidemiologic analyses of transmission patterns of NDM-1-producing &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; based on genomic surveillance data, Germany, January 2022 to February 2023.
PRJEB24082	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	high	True	1	746.0	3.73	False	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJEB1563	True					high		0			False	False	True	1	
PRJEB21277	True					high		0			False	False	False	1	
PRJNA787062	False	35876577	PMC9380574	10.1128/aac.00534-22	europepmc_accession	high	True	1	192.0	1.0	True	False	False	5	Genomic Epidemiology of Carbapenemase-Producing and Colistin-Resistant <i>Enterobacteriaceae</i> among Sepsis Patients in Ethiopia: a Whole-Genome Analysis.
PRJDB12075	False	36515531	PMC9888285	10.1128/aem.01712-22	europepmc_accession	medium	True	1			True	False	False	5	Disinfectant Susceptibility of Third-Generation-Cephalosporin/Carbapenem-Resistant Gram-Negative Bacteria Isolated from the Oral Cavity of Residents of Long-Term-Care Facilities.
PRJNA982859	True					high		0			False	False	False	0	
PRJNA396774	True					low		0			False	False	True	4	
PRJNA1048341	False	38157139	PMC10917868	10.1007/s10096-023-04735-1	europepmc_accession	medium	True	1	177.0	1.0	False	False	False	1	Activity of imipenem/relebactam and comparators against KPC-producing Klebsiella pneumoniae and imipenem-resistant Pseudomonas aeruginosa.
PRJNA767944	True					low		0	173.0	1.0	False	False	False	0	
PRJNA395086	False	34519526	PMC8547452	10.1128/msystems.00194-21	europepmc_accession	high	True	1	166.0	1.0	False	False	False	3	Genomic Features Associated with the Degree of Phenotypic Resistance to Carbapenems in Carbapenem-Resistant Klebsiella pneumoniae.
PRJEB39293	False	35927336	PMC9417982	10.1038/s41564-022-01184-y	europepmc_accession	high	True	1	161.0	1.0	False	False	False	1	Antibiotic resistance genes in the gut microbiota of mothers and linked neonates with or without sepsis from low- and middle-income countries.
PRJNA626430	False	33782584	PMC7610705	10.1038/s41564-021-00879-y	europepmc_accession	high	True	1	250.0	1.5723	True	False	False	6	Pervasive transmission of a carbapenem resistance plasmid in the gut microbiota of hospitalized patients.
PRJEB22890	True					high		0			False	False	False	0	
PRJDB12116	False	39298254	PMC11571079	10.1099/mgen.0.001295	europepmc_accession	medium	True	1	168.0	1.0909	False	False	False	2	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity through holistic gene content analysis.
PRJNA835677	False	36820818	PMC9997749	10.1099/mgen.0.000960	europepmc_accession	high	True	1	150.0	1.0	False	False	False	1	Highly conserved composite transposon harbouring aerobactin <i>iuc3</i> in <i>Klebsiella pneumoniae</i> from pigs.
PRJEB21605	False	31948471	PMC6966826	10.1186/s13073-019-0706-y	europepmc_accession	medium	True	1	149.0	1.0	False	False	False	1	Genomic surveillance for hypervirulence and multi-drug resistance in invasive Klebsiella pneumoniae from South and Southeast Asia.
PRJNA1052047	False	38864639	PMC11256802	10.1128/mra.00132-24	europepmc_accession	high	True	1	148.0	1.0	False	False	False	1	Draft genome sequences of 148 <i>Klebsiella pneumoniae</i> species complex members from bovine and human hosts.
PRJNA634885	False	33033293	PMC7546619	10.1038/s41598-020-73440-2	europepmc_accession,europepmc_title	high	True	2	144.0	1.0	False	False	False	4	Plasmid diversity among genetically related Klebsiella pneumoniae bla<sub>KPC-2</sub> and bla<sub>KPC-3</sub> isolates collected in the Dutch national surveillance.
PRJEB12699	True					high		0	143.0	1.0	False	False	False	0	
PRJNA564992	True					low		1			True	False	False	1	
PRJEB64895	False	37997662	PMC10668257	10.2807/1560-7917.es.2023.28.47.2300571	europepmc_accession,europepmc_title	high	False	2	483.0	3.4014	False	False	False	1	Emergence and persistent spread of carbapenemase-producing <i>Klebsiella pneumoniae</i> high-risk clones in Greek hospitals, 2013 to 2022.
PRJNA646358	False	33502303	PMC8208697	10.1099/mgen.0.000514	europepmc_accession,ncbi_bioproject	high	True	2	141.0	1.0	False	False	False	1	Colonization with <i>Staphylococcus aureus</i> and <i>Klebsiella pneumoniae</i> causes infections in a Vietnamese intensive care unit.
PRJEB58136	False	39531180	PMC11652666	10.1007/s44197-024-00323-4	europepmc_accession	high	True	1	140.0	1.0	False	False	False	1	Limited Evidence of Spillover of Antimicrobial-Resistant Klebsiella pneumoniae from Animal/Environmental Reservoirs to Humans in Vellore, India.
PRJNA804332	False	36093198	PMC9452910	10.3389/fcimb.2022.892126	europepmc_accession,europepmc_title	high	True	2	138.0	1.0	False	False	False	1	Genomic transmission analysis of multidrug-resistant Gram-negative bacteria within a newborn unit of a Kenyan tertiary hospital: A four-month prospective colonization study.
PRJNA1054115	False	39138200	PMC11322185	10.1038/s41467-024-51374-x	europepmc_accession	high	False	1	136.0	0.9927	False	False	False	1	Clonal background and routes of plasmid transmission underlie antimicrobial resistance features of bloodstream Klebsiella pneumoniae.
PRJNA246471	False	27067320	PMC4879409	10.1128/aac.00464-16	europepmc_accession	high	True	1	135.0	1.0	True	False	False	9	Nested Russian Doll-Like Genetic Mobility Drives Rapid Dissemination of the Carbapenem Resistance Gene blaKPC.
PRJNA1087366	False	38729951	PMC11087563	10.1038/s41467-024-48296-z	europepmc_accession,europepmc_title	high	True	2	135.0	1.0	False	False	False	1	Assessment of three antibiotic combination regimens against Gram-negative bacteria causing neonatal sepsis in low- and middle-income countries.
PRJNA885285	False	37325250	PMC10265595	10.1093/jacamr/dlad067	europepmc_accession	high	True	1	130.0	1.0	False	False	False	1	Whole genome sequencing of multidrug resistant Enterobacterales identified in children and their household members within Siem Reap, Cambodia.
PRJNA648389	False	38407244	PMC10926705	10.1099/mgen.0.001201	europepmc_accession,published_version	medium	True	2			False	False	False	3	Identification of a novel CG307 sub-clade in third-generation-cephalosporin-resistant <i>Klebsiella pneumoniae</i> causing invasive infections in the USA.
PRJEB1800	False	25712531	PMC4364942	10.15252/emmm.201404767	ncbi_bioproject	high	False	1	121.0	1.0	False	False	False	3	A high-resolution genomic analysis of multidrug-resistant hospital outbreaks of Klebsiella pneumoniae.
PRJNA820335	True					low		0			False	False	False	0	
PRJNA978102	False	37633257	PMC10810715	10.1093/cid/ciad507	europepmc_accession	high	True	1	108.0	1.0	False	False	False	9	Clinical and Genomic Characterization of a Cohort of Patients With Klebsiella pneumoniae Bloodstream Infection.
PRJEB74083	False	38639094	PMC11027475	10.2807/1560-7917.es.2024.29.16.2400188	europepmc_accession	high	False	1	106.0	1.0	False	False	False	2	Emergence of OXA-48-producing <i>Klebsiella pneumoniae</i> in Lithuania, 2023: a multi-cluster, multi-hospital outbreak.
PRJEB24085	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	medium	True	1	746.0	7.1731	True	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJEB19229	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	medium	True	1	96.0	1.0	False	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJEB19322	False	34793293	PMC8743538	10.1099/mgen.0.000703	europepmc_accession	medium		1	100.0	1.087	False	False	False	1	Genomic investigation of a suspected &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; outbreak in a neonatal care unit in sub-Saharan Africa.
PRJEB42331	False	33961543	PMC8209719	10.1099/mgen.0.000512	europepmc_accession,europepmc_title	high	True	2	80.0	1.0	False	False	False	4	<i>bla</i><sub>OXA-48</sub>-like genome architecture among carbapenemase-producing <i>Escherichia coli</i> and <i>Klebsiella pneumoniae</i> in the Netherlands.
PRJNA351909	True					low		0			False	False	True	5	
PRJEB20799	True					low		0			False	False	False	0	
PRJNA398288	True					high		0			False	False	True	3	
PRJNA641987	False	34793293	PMC8743538	10.1099/mgen.0.000703	europepmc_accession,europepmc_title	high	True	2	100.0	6.25	False	False	False	1	Genomic investigation of a suspected &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; outbreak in a neonatal care unit in sub-Saharan Africa.
PRJEB24086	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	high	True	1	746.0	248.6667	False	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJEB24084	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	high	True	1	746.0		False	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJEB24083	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	high	True	1	746.0		False	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJEB22264	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	high	True	1	746.0		False	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJEB19435	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	medium	True	1	746.0		True	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJEB24087	False	36916881	PMC10132065	10.1099/mgen.0.000924	europepmc_accession	high	True	1	746.0		False	False	False	1	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.
PRJNA565795	False	35465046	PMC9019234	10.1016/j.lanwpc.2022.100446	europepmc_accession	high	True	1			False	False	False	8	Multi-site implementation of whole genome sequencing for hospital infection control: A prospective genomic epidemiological analysis.
PRJDB17849	False	39298254	PMC11571079	10.1099/mgen.0.001295	europepmc_accession	medium	True	1	168.0		False	False	False	1	Evaluation of <i>Klebsiella pneumoniae</i> pathogenicity through holistic gene content analysis.
