study_accession	tag	n_samples	paper	paper_title	study_type	study_type_excluded	study_setting	amr_study	country_base	country_filled	collection_date_base	collection_date_filled	isolation_source_base	isolation_source_filled	host_base	host_filled
PRJDB6565	tail25_49	44	https://pubmed.ncbi.nlm.nih.gov/36288954/	[Regional dissemination of carbapenem-resistant Enterobacteriaceae accompanying with enhanced resistance in Northern Osaka, Japan].	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
PRJDB6797	sub10	1			observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJDB6962	tail50_99	55	https://pmc.ncbi.nlm.nih.gov/articles/PMC6147131/	Complete Genome Sequence of a <i>bla</i><sub>KPC-2</sub>-Positive Klebsiella pneumoniae Strain Isolated from the Effluent of an Urban Sewage Treatment Plant in Japan.	observational	False	community	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJDB7066	sub10	2			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
PRJDB7087	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC7490380/	Understanding and predicting ciprofloxacin minimum inhibitory concentration in Escherichia coli with machine learning.	observational	False			0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB7330	sub10	5			observational	False	hospital	amr	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
PRJDB7545	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC10241881/	Bacteriophage therapy against pathological Klebsiella pneumoniae ameliorates the course of primary sclerosing cholangitis.	observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
PRJDB8047	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC6821933/	IMP-68, a Novel IMP-Type Metallo-β-Lactamase in Imipenem-Susceptible Klebsiella pneumoniae.	observational	False	hospital	amr	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJDB8311	tail50_99	50	https://pubmed.ncbi.nlm.nih.gov/31789374/	Comparison between IMP carbapenemase-producing Enterobacteriaceae and non-carbapenemase-producing Enterobacteriaceae: a multicentre prospective study of the clinical and molecular epidemiology of carbapenem-resistant Enterobacteriaceae.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB8975	tail25_49	49	https://pmc.ncbi.nlm.nih.gov/articles/PMC9431462/	Spread of Carbapenem-Resistant Klebsiella pneumoniae Clinical Isolates Producing NDM-Type Metallo-β-Lactamase in Myanmar.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB9036	tail25_49	34	https://doi.org/10.2147/IDR.S339543	Comprehensive Genomic Survey of Antimicrobial-Resistance Bacteria in the Sewage Tank Replacement with Hospital Relocation	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.11764705882352941	1.0
PRJDB9124	sub10	2			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB9227	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC7449151/	First Report of Foodborne Klebsiella pneumoniae Coharboring <i>bla</i><sub>VIM-1</sub>, <i>bla</i><sub>NDM-1</sub>, and <i>mcr-9</i>.	observational	False	community	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJDB9461	sub10	6	https://pubmed.ncbi.nlm.nih.gov/31256940/	Clinical characteristics of bacteremia caused by hypermucoviscous Klebsiella pneumoniae at a tertiary hospital.	observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	0.0	1.0	0.16666666666666666	1.0
PRJDB9509	sub10	7	https://pmc.ncbi.nlm.nih.gov/articles/PMC8612250/	Stepwise Evolution of a Klebsiella pneumoniae Clone within a Host Leading to Increased Multidrug Resistance.	observational	False	hospital	amr	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJDB9614	sub10	2	https://pubmed.ncbi.nlm.nih.gov/32929493/	Genomic features of plasmids coding for KPC-2, NDM-5 or OXA-48 carbapenemases in Enterobacteriaceae from Malawi.	observational	False		amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJDB9688	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC8534291/	Emergence of the Novel Aminoglycoside Acetyltransferase Variant <i>aac(6')-Ib-D179Y</i> and Acquisition of Colistin Heteroresistance in Carbapenem-Resistant <i>Klebsiella pneumoniae</i> Due to a Disrupting Mutation in the DNA Repair Enzyme MutS.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJEB10018	test	2283	https://pmc.ncbi.nlm.nih.gov/articles/PMC7244338/	Epidemic of carbapenem-resistant Klebsiella pneumoniae in Europe is driven by nosocomial spread.	observational	False	hospital	mixed	0.7520805957074025	0.7520805957074025	0.7520805957074025	0.7520805957074025	0.7503285151116952	0.7503285151116952	0.7520805957074025	0.7520805957074025
PRJEB10263	sub10	2			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB10820	tail10_24	18	https://pmc.ncbi.nlm.nih.gov/articles/PMC4911584/	Comparison of six commercial kits to extract bacterial chromosome and plasmid DNA for MiSeq sequencing.	other	False			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJEB11403	tail50_99	82	https://pmc.ncbi.nlm.nih.gov/articles/PMC5588602/	Whole genome sequencing of ESBL-producing Escherichia coli isolated from patients, farm waste and canals in Thailand.	observational	False			0.9390243902439024	0.9390243902439024	0.9390243902439024	0.9390243902439024	0.9390243902439024	0.9390243902439024	0.9390243902439024	0.9390243902439024
PRJEB11503	sub10	1			observational	False		surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB11876	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC5120500/	Comparative genomics of European avian pathogenic E. Coli (APEC).	observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB12145	sub10	8			observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJEB12361	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC5130978/	Predominance of CTX-M-15 among ESBL Producers from Environment and Fish Gut from the Shores of Lake Victoria in Mwanza, Tanzania.	observational	False	community	amr	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
PRJEB12513	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC6096937/	Genetic analysis of invasive Escherichia coli in Scotland reveals determinants of healthcare-associated versus community-acquired infections.	observational	False	hospital		0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB12699	train	141			observational	False	hospital	amr	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB1271	test	224	https://pmc.ncbi.nlm.nih.gov/articles/PMC6717969/	Contrasting patterns of longitudinal population dynamics and antimicrobial resistance mechanisms in two priority bacterial pathogens over 7 years in a single center.	observational	False	hospital	mixed	0.7366071428571429	1.0	0.7366071428571429	0.7366071428571429	0.0	0.71875	0.7366071428571429	1.0
PRJEB1272	test	153	https://pmc.ncbi.nlm.nih.gov/articles/PMC4790626/	Phylogeny, resistome and mobile genetic elements of emergent OXA-48 and OXA-245 Klebsiella pneumoniae clones circulating in Spain.	observational	False	hospital	amr	0.6862745098039216	1.0	0.6862745098039216	0.6862745098039216	0.6797385620915033	0.6797385620915033	0.6862745098039216	1.0
PRJEB12817	tail10_24	18	https://pmc.ncbi.nlm.nih.gov/articles/PMC5823397/	Emergence of Klebsiella pneumoniae subspecies pneumoniae as a cause of septicaemia in pigs in England.	observational	False	community	surveillance	1.0	1.0	1.0	1.0	0.5555555555555556	0.5555555555555556	1.0	1.0
PRJEB12887	sub10	1			observational	False	community		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB12888	tail100	318			observational	False	hospital	amr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB13304	sub10	3	https://pmc.ncbi.nlm.nih.gov/articles/PMC4906610/	Local transmission and global dissemination of New Delhi Metallo-Beta-Lactamase (NDM): a whole genome analysis.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJEB13482	sub10	1			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB14050	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC11300424/	Pathogen diversity and antimicrobial resistance transmission of Salmonella enterica serovars Typhi and Paratyphi A in Bangladesh, Nepal, and Malawi: a genomic epidemiological study.	observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB14100	tail25_49	25	https://pmc.ncbi.nlm.nih.gov/articles/PMC10234813/	Particular genomic and virulence traits associated with preterm infant-derived toxigenic Clostridium perfringens strains.	observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB14213	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC5038244/	mcr-1 in Multidrug-Resistant blaKPC-2-Producing Clinical Enterobacteriaceae Isolates in Singapore.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJEB14232	sub10	1	https://pubmed.ncbi.nlm.nih.gov/29698817/	Genomic sequence investigation Streptococcus pyogenes clusters in England (2010-2015).	observational	False			0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB14532	sub10	4	https://pmc.ncbi.nlm.nih.gov/articles/PMC4960868/	Streaming algorithms for identification of pathogens and antibiotic resistance potential from real-time MinION(TM) sequencing.	other	False		mixed	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.75
PRJEB14648	sub10	2			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB14854	tail25_49	31	https://pmc.ncbi.nlm.nih.gov/articles/PMC13148723/	Whole-genome sequencing to investigate the prevalence and transmission of multidrug-resistant Gram-negative pathogens in an adult intensive care unit in the UK.	observational	False	hospital	mixed	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB15226	train	288	https://pmc.ncbi.nlm.nih.gov/articles/PMC5121380/	Whole-Genome Multilocus Sequence Typing of Extended-Spectrum-Beta-Lactamase-Producing Enterobacteriaceae.	observational	False	hospital	amr	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
PRJEB15325	tail10_24	24	https://pubmed.ncbi.nlm.nih.gov/28181409/	Metabolic diversity of the emerging pathogenic lineages of Klebsiella pneumoniae.	observational	False	mixed	surveillance	0.20833333333333334	0.20833333333333334	0.125	0.125	0.125	0.125	0.041666666666666664	0.041666666666666664
PRJEB15430	sub10	1			observational	False	hospital	surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB1563	train	198	https://pmc.ncbi.nlm.nih.gov/articles/PMC5615107/	Molecular epidemiology of Klebsiella pneumoniae invasive infections over a decade at Kilifi County Hospital in Kenya.	observational	False	hospital	surveillance	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB1730	tail10_24	19			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB17615	train	342	https://pmc.ncbi.nlm.nih.gov/articles/PMC7264328/	Integrating whole-genome sequencing within the National Antimicrobial Resistance Surveillance Program in the Philippines.	observational	False	hospital	mixed	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB17631	sub10	2			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB17888	tail10_24	24	https://pubmed.ncbi.nlm.nih.gov/33137188/	Prevalence of phase variable epigenetic invertons among host-associated bacteria	other	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB1800	train	121	https://pmc.ncbi.nlm.nih.gov/articles/PMC4364942/	A high-resolution genomic analysis of multidrug-resistant hospital outbreaks of Klebsiella pneumoniae.	observational	False	hospital	surveillance	0.743801652892562	1.0	0.743801652892562	1.0	0.743801652892562	0.743801652892562	0.743801652892562	1.0
PRJEB18059	tail50_99	53	https://pmc.ncbi.nlm.nih.gov/articles/PMC5829066/	Whole Genome Sequence Analysis of CTX-M-15 Producing <i>Klebsiella</i> Isolates Allowed Dissecting a Polyclonal Outbreak Scenario.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.9811320754716981	0.9811320754716981	0.9622641509433962	0.9622641509433962
PRJEB18525	sub10	2			observational	False	hospital		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB18589	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC8763404/	The Mouse Gastrointestinal Bacteria Catalogue enables translation between the mouse and human gut microbiotas via functional mapping.	observational	False	community	surveillance	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB18621	tail100	107	https://pmc.ncbi.nlm.nih.gov/articles/PMC5930415/	Genome-based analysis of Carbapenemase-producing <i>Klebsiella pneumoniae</i> isolates from German hospital patients, 2008-2014.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.8504672897196262	0.8504672897196262	1.0	1.0
PRJEB18733	tail10_24	16	https://pubmed.ncbi.nlm.nih.gov/29274461/	Identification of a KPC-9-producing Klebsiella pneumoniae ST258 cluster among KPC-2-producing isolates of an ongoing outbreak in Northwestern Greece: a retrospective study.	observational	False	hospital	amr	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB18814	tail100	124	https://pmc.ncbi.nlm.nih.gov/articles/PMC6938978/	A One Health Study of the Genetic Relatedness of Klebsiella pneumoniae and Their Mobile Elements in the East of England.	observational	False	mixed	surveillance	0.967741935483871	0.967741935483871	0.967741935483871	0.967741935483871	0.967741935483871	0.967741935483871	0.8387096774193549	0.8387096774193549
PRJEB19226	test	184			observational	False			1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJEB19229	train	96	https://pmc.ncbi.nlm.nih.gov/articles/PMC10132065/	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.96875	0.96875
PRJEB19322	train	91	https://pmc.ncbi.nlm.nih.gov/articles/PMC8743538/	Genomic investigation of a suspected &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; outbreak in a neonatal care unit in sub-Saharan Africa.	observational	False	hospital	surveillance	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJEB19331	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC5376316/	First report of invasive liver abscess syndrome with endophthalmitis caused by a K2 serotype ST2398 hypervirulent <i>Klebsiella pneumoniae</i> in Germany, 2016.	observational	False	hospital	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJEB1963	test	69	https://pmc.ncbi.nlm.nih.gov/articles/PMC3772739/	Predicting antimicrobial susceptibilities for Escherichia coli and Klebsiella pneumoniae isolates using whole genomic sequence data.	observational	False	hospital	mixed	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
PRJEB19657	sub10	5			observational	False	community	surveillance	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB19677	sub10	8	https://pmc.ncbi.nlm.nih.gov/articles/PMC8343889/	Premature neonatal gut microbial community patterns supporting an epithelial TLR-mediated pathway for necrotizing enterocolitis.	observational	False	hospital		1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
PRJEB19777	tail10_24	10	https://pmc.ncbi.nlm.nih.gov/articles/PMC5487458/	Insights into a Novel <i>bla</i><sub>KPC-2</sub><b>-</b>Encoding IncP-6 Plasmid Reveal Carbapenem-Resistance Circulation in Several <i>Enterobacteriaceae</i> Species from Wastewater and a Hospital Source in Spain.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJEB19808	tail25_49	30	https://pubmed.ncbi.nlm.nih.gov/29097338/	Expansion of KPC-producing Klebsiella pneumoniae with various mgrB mutations giving rise to colistin resistance: the role of ISL3 on plasmids.	observational	False	hospital	amr	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB19918	tail50_99	63	https://pmc.ncbi.nlm.nih.gov/articles/PMC8410606/	Defining nosocomial transmission of <i>Escherichia coli</i> and antimicrobial resistance genes: a genomic surveillance study.	observational	False	hospital		1.0	1.0	1.0	1.0	1.0	1.0	0.5396825396825397	1.0
PRJEB20135	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC9426603/	Genetic and Structural Variation in the O-Antigen of Salmonella enterica Serovar Typhimurium Isolates Causing Bloodstream Infections in the Democratic Republic of the Congo.	observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB20234	tail100	116	https://pubmed.ncbi.nlm.nih.gov/28935481/	Stalking a lethal superbug by whole-genome sequencing and phylogenetics: Influence on unraveling a major hospital outbreak of carbapenem-resistant Klebsiella pneumoniae.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJEB20357	tail10_24	23	https://pmc.ncbi.nlm.nih.gov/articles/PMC9155631/	Bacterial genotypic and patient risk factors for adverse outcomes in Escherichia coli bloodstream infections: a prospective molecular epidemiological study.	observational	False			0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB20557	sub10	1			other	False		surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJEB20782	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC5923095/	Resistome Analysis of a Carbapenemase (OXA-48)-Producing and Colistin-Resistant Klebsiella pneumoniae Strain.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJEB20799	train	46			observational	False	hospital	amr	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
PRJEB20809	tail100	111	https://pmc.ncbi.nlm.nih.gov/articles/PMC13148723/	Whole-genome sequencing to investigate the prevalence and transmission of multidrug-resistant Gram-negative pathogens in an adult intensive care unit in the UK.	observational	False	hospital	amr	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJEB20875	tail25_49	38	https://pmc.ncbi.nlm.nih.gov/articles/PMC6171784/	Predictors of the extended-spectrum-beta lactamases producing Enterobacteriaceae neonatal sepsis at a tertiary hospital, Tanzania.	observational	False	hospital	amr	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
PRJEB20897	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC9256687/	Vibrio cholerae O139 genomes provide a clue to why it may have failed to usher in the eighth cholera pandemic.	observational	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
