study_accession	attribute	model_value	sheet_value	verdict	correct_value	justification_quote	reasoning	rule_gap
PRJNA857686	amr_study	surveillance	amr	model_correct	surveillance	Fastq files for HAI bacteria sequenced at the Nevada State Public Health Lab	The only available evidence (the EBI study description) frames the sampling as sequencing of healthcare-associated-infection bacteria at a state public health lab — a non-AMR sampling rule with no stated requirement that each isolate be resistant; per the rubric, MDRO/infection-control sequencing and the unsupported 'AMR' label do not establish per-isolate AMR selection.	The description does not explicitly state the per-isolate selection gate; clarify whether a state-public-health-lab HAI sequencing project lacking any explicit resistance-selection statement should default to surveillance rather than being treated as not_gradeable.
PRJEB30134	amr_study	surveillance	amr	sheet_correct	amr	we collected all carbapenemase-producing Gram-negative bacteria isolated in the diagnostic microbiology laboratory at Cambridge University Hospitals NHS Foundation Trust (CUH) between 2014 and 2020	The project's single, explicit inclusion rule is that every isolate had to be a carbapenemase producer (a pre-defined resistance genotype, PCR-confirmed per Fig.1b, plus reduced carbapenem susceptibility on AST) — that is the per-isolate AMR-selection gate the rubric defines as amr, applied uniformly across both clinical and screening specimens, not a resistance trait characterised afterwards.	The rubric's MDRO/infection-control screening carve-out (which deems screening-derived isolates surveillance) collides with resistance-selective screening such as CPE selective media, where only carbapenemase producers are ever recovered. Clarify that when the screen is itself an AMR-selective method AND the project's universal inclusion criterion is a resistance phenotype/genotype, the study is amr even if most isolates arrived via screening swabs; reserve the surveillance carve-out for screens that recover all carriers/flora regardless of resistance.
PRJEB58018	amr_study	amr	surveillance	model_correct	amr	200 isolates, comprising 66 NDM-1/OXA-48-producing and 134 NDM-1-producing K. pneumoniae, were subjected to Illumina (Illumina, San Diego, United States) whole genome sequencing	Every sequenced isolate had to be NDM-1- or NDM-1/OXA-48-producing — i.e. positive for a pre-defined carbapenemase resistance gene — which is exactly the rubric's amr criterion (positive detection of a pre-defined antibiotic-resistance gene as the per-isolate selection gate); the subset of 200 from 330 was still drawn entirely from that NDM-positive pool.	Clarify that a national-reference-centre carbapenemase collection (all isolates selected by carbapenemase-gene positivity) counts as amr even when some isolates originate from screening/stool specimens — the resistance-gene positivity, not the specimen-collection method, is the sampling gate, distinguishing it from the surveillance 'MDRO screening frame' case.
PRJNA787062	amr_study	amr	surveillance	model_correct	amr	the study aimed to determine the genomic epidemiology of ESBL, AmpC and carbapenemase producing and colistin resistance Enterobacteriaceae	The deposited set is defined by resistance phenotype/genotype — only ESBL-, AmpC-, carbapenemase-producing or colistin-resistant Enterobacteriaceae entered the project — so each sequenced isolate had to meet an AMR attribute, matching the rubric's 'amr' definition.	Study-aim phrasing like 'genomic epidemiology of [resistant organisms]' is read here as a per-isolate AMR-selection gate, but it could also describe a surveillance frame in which all clinical isolates were collected and resistance characterised afterward; the rubric should clarify whether enumerating resistance categories as the study's target organism is sufficient to call 'amr' absent an explicit per-isolate selection statement.
PRJNA396774	amr_study	mixed	surveillance	model_correct	mixed	A project consisting of both ESBL and Non-ESBL Klebsiella pneumoniae strains.	The deposited set deliberately pairs AMR-selected ESBL-producing isolates with Non-ESBL isolates, which is exactly the rubric's 'mixed' design (AMR-selected cases plus non-AMR isolates), not a single non-AMR surveillance sampling rule.	Clarify how to classify a set described as 'both ESBL and Non-ESBL' when it is unclear whether the Non-ESBL strains are a deliberately constructed susceptible-comparison arm (mixed) versus all isolates collected under one frame with ESBL status merely characterised afterwards (surveillance); the phrase 'consisting of both' here reads as a deliberate two-category design.
PRJEB58136	amr_study	mixed	surveillance	model_correct	mixed	The selection of isolates for sequencing based on antimicrobial susceptibility profile may introduce bias.	"The authors explicitly state sequencing selection was gated on AST profile (so not pure non-AMR surveillance), yet the deposited 146 include 71 livestock isolates that were ""highly susceptible to the tested antimicrobials"" and predicted susceptible to last-resort drugs — so the set holds both AMR-selected (resistant clinical/sewage) and non-AMR (susceptible livestock) isolates, which is mixed, not all-resistant amr."	The rubric frames 'mixed' around AMR cases plus deliberately-added susceptible matched controls; it should clarify that a contrast design selecting isolates 'based on susceptibility profile' across niches (resistant human/effluent vs. largely-susceptible livestock comparison group) also qualifies as mixed even when the susceptible arm is a source-defined comparison group rather than per-case matched controls.
PRJNA1087366	amr_study	surveillance	amr	model_correct	surveillance	For all analyses, the patient's first clinical isolate from blood or CSF was selected.	The sampling gate was a non-AMR rule (first clinical blood/CSF isolate per patient, deduplicated by genetic profile, species with ≥20 isolates); resistance was characterized afterwards, which the rubric explicitly states does not make it amr, and the project's AMR focus does not by itself imply AMR-based selection.	
PRJEB1800	amr_study	surveillance	amr	model_correct	surveillance	We selected a random subset of 90 K. pneumoniae (using a random integer generator) from a collection of 135 K. pneumoniae that were isolated and stored in Patan Hospital between May and December 2012.	Isolates entered the deposited set by random selection from all clinical K. pneumoniae across mixed specimen types (blood, urine, catheter tips, respiratory, pus, other), not by a per-isolate resistant phenotype/genotype gate; resistance was characterised afterwards, which the rubric says does not make it amr.	
PRJNA604975	study_setting	mixed	hospital	model_correct	mixed	The microbiology laboratory serves all four hospitals and all community healthcare facilities within Oxfordshire	Isolates were collected via a lab serving both hospital and community healthcare facilities, and the study explicitly partitions BSIs into healthcare-associated (e.g. 510/882, 59% HA) and community-associated cases, so the project specifically includes both hospital and community sources, which the rubric defines as 'mixed'.	Clarify how BSI studies that span both healthcare-associated and community-associated cases should be graded: the rubric's 'all blood cultures -> hospital' default conflicts with the 'mixed' rule when a lab serves both hospital and community facilities. Specify whether the collection setting or the HA/CA acquisition classification governs the hospital/community/mixed call.
PRJNA325243	study_setting	hospital	community	sheet_correct	community	from various animal hosts that presented to veterinary hospitals in the U.S.	The rubric assigns non-human host to community, and these isolates come from animal patients (canine, equine, feline, etc.); the hospital-precedence rule covers hospital-environment/wastewater isolates, not animal clinical isolates sampled at veterinary diagnostic labs, so 'veterinary hospital' does not convert a non-human host study to hospital.	The rubric's hospital precedence ('hospital source wins over non-human -> community') does not address veterinary/animal-clinical settings. Clarify explicitly that 'hospital' means human inpatient care, and that animal hosts presenting to veterinary hospitals or veterinary diagnostic laboratories remain 'community' (the precedence applies only to human-hospital environment/wastewater isolates, not to non-human clinical isolates collected at animal clinics).
PRJNA564424	study_setting	mixed	hospital	model_correct	mixed	8 (1%) isolates from English outpatient/primary care settings	The study deliberately sampled both hospital inpatient isolates (~99%) and outpatient/primary care isolates (community per the rubric, as category (iv) in Methods: 'any KPC-E isolates from outpatient/primary care settings'), so it 'specifically includes some of both hospital and community sources' = mixed.	Clarify the interaction between the 'mixed' definition (study includes some of both) and the gradeable >90% threshold: when one setting (here community) is a small but deliberately-sampled minority (1%), specify whether that triggers 'mixed' or whether the project should default to the >90% dominant value (hospital). State an explicit proportion cutoff or rule that any deliberate inclusion of a second setting makes it mixed.
PRJEB29143	study_setting	community	mixed	model_correct	community	Klebsiella pneumoniae strains from healthy carriers	The rubric explicitly classes carriage surveys as community, and the study title describes the isolates as coming from healthy carriers, with no evidence of any hospital/inpatient sources to justify 'mixed'.	
PRJEB35685	study_setting	hospital	mixed	undetermined			No paper text is available, and the grader's quote ('national laboratory surveillance') cannot be located or verified in any provided source; neither 'hospital' nor 'mixed' can be substantiated from the materials given.	National laboratory surveillance schemes can aggregate isolates from both inpatient and community/clinic sources; the rubric should specify whether 'national surveillance' defaults to hospital (clinical referral) or must be treated as mixed/not_gradeable absent explicit source breakdown.
PRJEB36486	study_setting	hospital	mixed	undetermined			No paper text was provided, so neither the grader's 'hospital' quote nor the sheet's 'mixed' claim can be verified against the source; per instructions I must judge only from supplied paper text, which is absent.	
PRJDB12075	study_setting	community	hospital	model_correct	community	both sets of isolates were obtained from the same 178 residents in LTCFs	Isolates are oral and rectal carriage swabs from residents of long-term-care facilities, not acute-hospital inpatients; per the rubric this is a human carriage survey outside the hospital, i.e. community.	The rubric lists hospital, clinics, and general community but does not explicitly place long-term-care facilities / nursing homes. Clarify that residential LTCF/nursing-home carriage sampling is 'community' (not 'hospital'), even when ethics oversight is via a university hospital.
PRJNA1048341	study_setting	hospital	mixed	model_correct	hospital	The selected isolates came from 18 hospitals located in the eight provinces of Andalusia.	All isolates derive from 18 hospitals via a healthcare-associated-infection surveillance program; the clinical, colonization, and (hospital-)environmental sub-sources are all hospital-based, so the whole-project value is hospital per the rubric (hospital environment wins over the non-human rule).	Clarify that 'mixed' requires both hospital AND genuine community/outpatient settings, not merely a mix of specimen categories (clinical vs colonization vs environmental) that are all hospital-sourced; explicitly note that hospital-based colonization/carriage screening counts as hospital.
PRJNA885285	study_setting	community	mixed	model_correct	community	Faecal samples were collected from community participants of Siem Reap, Cambodia in a cross-sectional study from August to November 2019.	All 290 faecal samples were carriage specimens collected from household participants in the community (children approached 14–28 days after discharge); the 'hospital arm' denotes recent-hospitalization exposure history, not a hospital collection setting, so per the rubric this is a community carriage survey, not mixed.	Clarify that a study 'arm' labelled hospital-associated based on participants' prior hospitalization history (a risk-factor classification) does NOT constitute a hospital sampling source; setting is judged by where/how isolates were actually collected, so such risk-factor stratification should not trigger 'mixed'.
