verdict	study_accession	attribute	current_sheet_value	proposed_value	justification_quote	reasoning	rule_gap	paper_link
model_correct	PRJNA396774	amr_study	surveillance	mixed	A project consisting of both ESBL and Non-ESBL Klebsiella pneumoniae strains.	The deposited set deliberately pairs AMR-selected ESBL-producing isolates with Non-ESBL isolates, which is exactly the rubric's 'mixed' design (AMR-selected cases plus non-AMR isolates), not a single non-AMR surveillance sampling rule.	Clarify how to classify a set described as 'both ESBL and Non-ESBL' when it is unclear whether the Non-ESBL strains are a deliberately constructed susceptible-comparison arm (mixed) versus all isolates collected under one frame with ESBL status merely characterised afterwards (surveillance); the phrase 'consisting of both' here reads as a deliberate two-category design.	https://www.nature.com/articles/s41598-017-18972-w
model_correct	PRJNA557275	amr_study	amr	mixed	Whole-genome sequencing was performed on 388 isolates, including 164 PR isolates.	Of the 388 sequenced/deposited isolates only 164 met the AMR (polymyxin-resistant) attribute; the remaining ~224 are non-PR serial isolates from the same patients, so the set contains both AMR-selected and non-AMR isolates, which is 'mixed', not 'amr'.	Clarify that longitudinal/serial polymyxin-susceptible isolates collected from AMR-positive patients (to study de novo emergence) count as the non-AMR component for 'mixed', the same as deliberately-added matched susceptible controls.	https://pmc.ncbi.nlm.nih.gov/articles/PMC7201408/
model_correct	PRJNA787062	amr_study	surveillance	amr	the study aimed to determine the genomic epidemiology of ESBL, AmpC and carbapenemase producing and colistin resistance Enterobacteriaceae	The deposited set is defined by resistance phenotype/genotype — only ESBL-, AmpC-, carbapenemase-producing or colistin-resistant Enterobacteriaceae entered the project — so each sequenced isolate had to meet an AMR attribute, matching the rubric's 'amr' definition.	Study-aim phrasing like 'genomic epidemiology of [resistant organisms]' is read here as a per-isolate AMR-selection gate, but it could also describe a surveillance frame in which all clinical isolates were collected and resistance characterised afterward; the rubric should clarify whether enumerating resistance categories as the study's target organism is sufficient to call 'amr' absent an explicit per-isolate selection statement.	https://www.tandfonline.com/doi/full/10.1080/22221751.2024.2440494; https://pmc.ncbi.nlm.nih.gov/articles/PMC9380574/
model_correct	PRJNA857686	amr_study	amr	surveillance	Fastq files for HAI bacteria sequenced at the Nevada State Public Health Lab	The only available evidence (the EBI study description) frames the sampling as sequencing of healthcare-associated-infection bacteria at a state public health lab — a non-AMR sampling rule with no stated requirement that each isolate be resistant; per the rubric, MDRO/infection-control sequencing and the unsupported 'AMR' label do not establish per-isolate AMR selection.	The description does not explicitly state the per-isolate selection gate; clarify whether a state-public-health-lab HAI sequencing project lacking any explicit resistance-selection statement should default to surveillance rather than being treated as not_gradeable.	
model_correct	PRJDB12075	study_setting	hospital	community	both sets of isolates were obtained from the same 178 residents in LTCFs	Isolates are oral and rectal carriage swabs from residents of long-term-care facilities, not acute-hospital inpatients; per the rubric this is a human carriage survey outside the hospital, i.e. community.	The rubric lists hospital, clinics, and general community but does not explicitly place long-term-care facilities / nursing homes. Clarify that residential LTCF/nursing-home carriage sampling is 'community' (not 'hospital'), even when ethics oversight is via a university hospital.	https://journals.asm.org/doi/10.1128/aem.01712-22
model_correct	PRJEB29143	study_setting	mixed	community	Klebsiella pneumoniae strains from healthy carriers	The rubric explicitly classes carriage surveys as community, and the study title describes the isolates as coming from healthy carriers, with no evidence of any hospital/inpatient sources to justify 'mixed'.		https://pubmed.ncbi.nlm.nih.gov/32404021/ | https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2018.03000/full
model_correct	PRJNA1048341	study_setting	mixed	hospital	The selected isolates came from 18 hospitals located in the eight provinces of Andalusia.	All isolates derive from 18 hospitals via a healthcare-associated-infection surveillance program; the clinical, colonization, and (hospital-)environmental sub-sources are all hospital-based, so the whole-project value is hospital per the rubric (hospital environment wins over the non-human rule).	Clarify that 'mixed' requires both hospital AND genuine community/outpatient settings, not merely a mix of specimen categories (clinical vs colonization vs environmental) that are all hospital-sourced; explicitly note that hospital-based colonization/carriage screening counts as hospital.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10917868/#Sec11
model_correct	PRJNA564424	study_setting	hospital	mixed	8 (1%) isolates from English outpatient/primary care settings	The study deliberately sampled both hospital inpatient isolates (~99%) and outpatient/primary care isolates (community per the rubric, as category (iv) in Methods: 'any KPC-E isolates from outpatient/primary care settings'), so it 'specifically includes some of both hospital and community sources' = mixed.	Clarify the interaction between the 'mixed' definition (study includes some of both) and the gradeable >90% threshold: when one setting (here community) is a small but deliberately-sampled minority (1%), specify whether that triggers 'mixed' or whether the project should default to the >90% dominant value (hospital). State an explicit proportion cutoff or rule that any deliberate inclusion of a second setting makes it mixed.	https://pubmed.ncbi.nlm.nih.gov/32094139/
model_correct	PRJNA604975	study_setting	hospital	mixed	The microbiology laboratory serves all four hospitals and all community healthcare facilities within Oxfordshire	Isolates were collected via a lab serving both hospital and community healthcare facilities, and the study explicitly partitions BSIs into healthcare-associated (e.g. 510/882, 59% HA) and community-associated cases, so the project specifically includes both hospital and community sources, which the rubric defines as 'mixed'.	Clarify how BSI studies that span both healthcare-associated and community-associated cases should be graded: the rubric's 'all blood cultures -> hospital' default conflicts with the 'mixed' rule when a lab serves both hospital and community facilities. Specify whether the collection setting or the HA/CA acquisition classification governs the hospital/community/mixed call.	https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-021-00947-2#availability-of-data-and-materials
model_correct	PRJNA885285	study_setting	mixed	community	Faecal samples were collected from community participants of Siem Reap, Cambodia in a cross-sectional study from August to November 2019.	All 290 faecal samples were carriage specimens collected from household participants in the community (children approached 14–28 days after discharge); the 'hospital arm' denotes recent-hospitalization exposure history, not a hospital collection setting, so per the rubric this is a community carriage survey, not mixed.	Clarify that a study 'arm' labelled hospital-associated based on participants' prior hospitalization history (a risk-factor classification) does NOT constitute a hospital sampling source; setting is judged by where/how isolates were actually collected, so such risk-factor stratification should not trigger 'mixed'.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10265595/
sheet_correct	PRJEB30134	amr_study	amr	amr	we collected all carbapenemase-producing Gram-negative bacteria isolated in the diagnostic microbiology laboratory at Cambridge University Hospitals NHS Foundation Trust (CUH) between 2014 and 2020	The project's single, explicit inclusion rule is that every isolate had to be a carbapenemase producer (a pre-defined resistance genotype, PCR-confirmed per Fig.1b, plus reduced carbapenem susceptibility on AST) — that is the per-isolate AMR-selection gate the rubric defines as amr, applied uniformly across both clinical and screening specimens, not a resistance trait characterised afterwards.	The rubric's MDRO/infection-control screening carve-out (which deems screening-derived isolates surveillance) collides with resistance-selective screening such as CPE selective media, where only carbapenemase producers are ever recovered. Clarify that when the screen is itself an AMR-selective method AND the project's universal inclusion criterion is a resistance phenotype/genotype, the study is amr even if most isolates arrived via screening swabs; reserve the surveillance carve-out for screens that recover all carriers/flora regardless of resistance.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10438816/
sheet_correct	PRJEB39943	amr_study	amr	amr	All of the included 310 isolates were in the category R or I for at least one carbapenem as per inclusion criteria.	Every sequenced/deposited isolate had to be carbapenem non-susceptible (R or I) to enter the set, which is an AMR selection gate; the susceptible 'S' comparators belonged to the parent EuSCAPE/CCRE collection design and were not included here, which the rubric says to disregard.	Clarify explicitly that comparator susceptible isolates collected by a parent survey but excluded from the deposited/analysed set do not make the project 'mixed' — only comparators actually sequenced under this accession count.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10668257/
sheet_correct	PRJNA325243	study_setting	community	community	from various animal hosts that presented to veterinary hospitals in the U.S.	The rubric assigns non-human host to community, and these isolates come from animal patients (canine, equine, feline, etc.); the hospital-precedence rule covers hospital-environment/wastewater isolates, not animal clinical isolates sampled at veterinary diagnostic labs, so 'veterinary hospital' does not convert a non-human host study to hospital.	The rubric's hospital precedence ('hospital source wins over non-human -> community') does not address veterinary/animal-clinical settings. Clarify explicitly that 'hospital' means human inpatient care, and that animal hosts presenting to veterinary hospitals or veterinary diagnostic laboratories remain 'community' (the precedence applies only to human-hospital environment/wastewater isolates, not to non-human clinical isolates collected at animal clinics).	https://link.springer.com/article/10.1186/s12917-025-04686-z
undetermined	PRJEB17615	amr_study	amr			The paper text provided describes isolates deposited under PRJEB29738 ('Raw sequence data generated were deposited in the European Nucleotide Archive under the project accession PRJEB29738'), NOT the disputed accession PRJEB17615; so the paper cannot establish what sampling rule governed the isolates actually deposited under PRJEB17615. Within the paper itself the selection is purely AMR-based (all 263 drawn from 'ESBL-positive, and/or cephalosporin resistant, and/or carbapenem-resistant' isolates, with no susceptible controls), which would read 'amr', while the grader's 'mixed' rests on an EBI study description ('retrospective susceptible and resistant isolates') that is absent from the paper — leaving the disputed accession unresolvable from the paper alone.	Clarify how to grade when the paper's stated deposit accession differs from the accession under adjudication, and how to treat an umbrella/parent ENA project (e.g. PRJEB17615, whose own description spans susceptible + resistant retrospective plus prospective novel-antibiogram isolates) versus a narrower taxon-specific child deposit (e.g. PRJEB29738, an AMR-only Klebsiella subset): specify whether the parent accession is graded on its own deposited contents/description or whether a child-accession paper may be used as evidence for it.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8634409/ and https://www.nature.com/articles/s41467-020-16322-5
undetermined	PRJNA603790	amr_study	amr			"No paper text is available; the only evidence is the EBI study title ""Study of Klebsiella pneumoniae transmission in a long-term acute care hospital,"" which describes a transmission study but does not state whether each isolate had to meet an AMR attribute (e.g. carbapenem resistance) to be sequenced or whether all patient/screening isolates were sequenced — so neither 'amr' nor 'surveillance' can be confirmed."	Clarify how to grade LTACH/hospital transmission studies when only a title is available: such studies commonly either (a) sequence all K. pneumoniae from colonized/infected patients via MDRO screening (surveillance) or (b) restrict to a resistant phenotype such as carbapenem-resistant K. pneumoniae (amr). The word 'transmission' alone should not default to surveillance, since CRKP transmission cohorts apply a per-isolate resistance gate.	https://www.sciencedirect.com/science/article/pii/S266652472200115X?via%3Dihub#sec1
undetermined	PRJNA789565	amr_study	mixed			No paper text was provided, so neither the grader's surveillance quote nor the sheet's 'AMR plus control' claim can be verified against the source; the dispute cannot be resolved from the evidence given.		https://www.nature.com/articles/s41467-022-31990-1
undetermined	PRJEB35685	study_setting	mixed			No paper text is available, and the grader's quote ('national laboratory surveillance') cannot be located or verified in any provided source; neither 'hospital' nor 'mixed' can be substantiated from the materials given.	National laboratory surveillance schemes can aggregate isolates from both inpatient and community/clinic sources; the rubric should specify whether 'national surveillance' defaults to hospital (clinical referral) or must be treated as mixed/not_gradeable absent explicit source breakdown.	https://www.sciencedirect.com/science/article/pii/S1198743X20300525#tbl1
undetermined	PRJEB36486	study_setting	mixed			No paper text was provided, so neither the grader's 'hospital' quote nor the sheet's 'mixed' claim can be verified against the source; per instructions I must judge only from supplied paper text, which is absent.		https://www.nature.com/articles/s41564-022-01216-7
