study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA564424	observational	False	537	1.0	False	pdf	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA855907	observational	False	83	0.1634	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	partial	mixed	partial	Canada	True		False	Homo sapiens	True		False
PRJEB38289	observational	False	509	1.002	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Portugal	True		False		False		False
PRJEB29143	observational	False			True	none	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	feces	True	Homo sapiens	True		False
PRJEB6891	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False	Homo sapiens	True		False
PRJNA603790	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA415194	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJEB46513	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Zambia	True		False	Homo sapiens	True		False
PRJNA686897	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJEB63361	observational	False	414	1.0024	True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	South Africa	True		False	Homo sapiens	True		False
PRJEB35685	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Netherlands	True		False	human	True		False
PRJEB33565	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False		False	Homo sapiens	True		False
PRJNA777643	observational	False	10	0.0255	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False	Homo sapiens	True		False
PRJEB5065	observational	False	250	0.6562	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False	blood	True	Homo sapiens	True		False
PRJEB50822	observational	False	377	1.0027	True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	Homo sapiens	True	2019-04-01	True
PRJEB17615	observational	False	214	0.5863	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	partial	mixed	gradeable	other	partial	ast_result	gradeable	mixed	partial	Philippines	True		False	Homo sapiens	True		False
PRJNA557275	observational	False	388	1.1412	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA789565	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJEB28054	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA996149	observational	False	320	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	China	True		False	Homo sapiens	True		False
PRJNA857686	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJEB15226	observational	False	40	0.1389	True	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False	Homo sapiens	True		False
PRJEB39867	observational	False	266	0.9301	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Germany	True		False	Homo sapiens	True		False
PRJNA549322	observational	False	93	0.3275	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	partial	USA	False	blood	False	Homo sapiens	True		False
PRJNA278886	observational	False			True	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJEB22903	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA604910	observational	False	264	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	hospital sink drain	True		False	2017-04-15	True
PRJNA789336	observational	False	187	0.7248	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Turkey	True	blood	True	Homo sapiens	True	2018-12-01	True
PRJNA341927	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Israel	True		False	Homo sapiens	True		False
PRJNA544438	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable	Oman	True		False		False	2015-07-01	True
PRJEB22252	observational	False			True	none	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False	faeces	True	Homo sapiens	True		False
PRJDB14656	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True	blood	True	human	True		False
PRJEB24970	observational	False	317	1.4152	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Cambodia	True		False		False	2014-03-01	True
PRJEB6574	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB36486	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Malawi	True	stool	True	Homo sapiens	True		False
PRJNA765801	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Singapore	True		False		False		False
PRJEB58216	observational	False	209	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Greece	True	blood	True	Homo sapiens	True		False
PRJNA1133624	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Spain	True		False	Homo sapiens	True		False
PRJEB30134	observational	False	57	0.2836	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	United Kingdom	True		False	Homo sapiens	True		False
PRJEB58018	observational	False	200	0.995	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Germany	True		False	Homo sapiens	True	2022-05-01	True
PRJEB24082	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB1563	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Kenya	True		False	Homo sapiens	True		False
PRJEB21277	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Ireland	True		False		False		False
PRJNA787062	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable	Ethiopia	True		False	Homo sapiens	True		False
PRJDB12075	observational	False	4	0.0217	False	europepmc_fulltext	True	claude-sonnet-4-6	community	partial	amr	partial	other	partial	ast_result	partial	adult	partial	Japan	True		False		False		False
PRJNA982859	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True	wastewater	True		False		False
PRJNA396774	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA1048341	observational	False	177	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False		False		False
PRJNA767944	observational	False	173	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	China	True		False	Homo sapiens	True	2017-02-01	True
PRJNA395086	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False	clinical	True	Homo sapiens	True		False
PRJEB39293	observational	False	161	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	mixed	gradeable		False	rectal swab	True	Homo sapiens	True	2016-11-01	True
PRJNA626430	observational	False			True	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True	rectal swab	True	Homo sapiens	True		False
PRJEB22890	observational	False	157	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Italy	True		False	Homo sapiens	True	2016-05-01	True
PRJDB12116	observational	False	4	0.026	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True		False	Homo sapiens	True		False
PRJNA835677	observational	False	150	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	pig	True		False
PRJEB21605	observational	False	149	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable		False	blood culture	True	Homo sapiens	True	2016-01-01	True
PRJNA1052047	observational	False	148	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Canada	True		False		False		False
PRJNA634885	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Netherlands	True		False	Homo sapiens	True		False
PRJEB12699	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Spain	True		False	Homo sapiens	True		False
PRJNA564992	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Canada	True		False	Homo sapiens	True	2012-07-01	True
PRJEB64895	observational	False	142	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Greece	True		False	Homo sapiens	True	2022-06-14	True
PRJNA646358	observational	False	141	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Vietnam	True		False	Homo sapiens	True	2015-06-01	True
PRJEB58136	observational	False	140	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	India	True		False		False		False
PRJNA804332	observational	False	138	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	Kenya	True		False		False	2019-03-01	True
PRJNA1054115	observational	False	137	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True		False	Homo sapiens	True		False
PRJNA246471	observational	False	129	0.9556	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJNA1087366	observational	False	135	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False		False	Homo sapiens	True		False
PRJNA885285	observational	False	130	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Cambodia	True	stool	True	Homo sapiens	True	2019-10-01	True
PRJNA648389	observational	False	126	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	USA	True	blood	True	Homo sapiens	True		False
PRJEB1800	observational	False	89	0.7355	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	partial		not_gradeable		not_gradeable	mixed	partial	Nepal	True		False	Homo sapiens	True		False
PRJNA820335	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA978102	observational	False	108	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True	blood	True	Homo sapiens	True	2021-12-01	True
PRJEB74083	observational	False	106	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Lithuania	True		False	Homo sapiens	True	2023-02-12	True
PRJEB24085	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB19229	observational	False	96	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB19322	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Malawi	True		False	Homo sapiens	True		False
PRJEB42331	observational	False	80	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Netherlands	True		False	Homo sapiens	True		False
PRJNA351909	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False	Homo sapiens	True		False
PRJEB20799	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Gambia	True		False	Homo sapiens	True		False
PRJNA398288	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False	blood	True	Homo sapiens	True		False
PRJNA641987	observational	False	86	5.375	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Malawi	True	blood	True	Homo sapiens	True		False
PRJEB24086	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJEB24084	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB24083	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB22264	observational	False	0		False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB19435	observational	False	0		False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB24087	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJNA565795	observational	False	189		False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Australia	True		False	Homo sapiens	True	2018-01-01	True
PRJDB17849	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True		False	Homo sapiens	True		False
