study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB8766	observational	False	44	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True		False	wastewater	True	2015-03-01	True
PRJDB6565	observational	False	95	2.1591	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Japan	True		False	human	True	2016-01-01	True
PRJNA847410	observational	False	41	0.9318	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	newborn_young_child	gradeable	China	True		False	human	True		False
PRJNA431029	observational	False	44	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Singapore	True	blood	True	human	True	2012-06-01	True
PRJNA529592	observational	False	136	3.0909	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True		False		False		False
PRJNA943144	observational	False	42	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	milk	True	cattle	True		False
PRJNA1092272	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	United Kingdom	True		False		False	2016-07-01	True
PRJEB3255	observational	False	42	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB59013	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True	2022-07-01	True
PRJEB60478	observational	False	76	1.8537	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA261540	observational	False	30	0.7317	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJEB36919	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA496461	observational	False	40	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJNA278293	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA1000963	observational	False	989	24.725	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Italy	True		False	human	True	2017-05-01	True
PRJNA682246	observational	False	0	0.0	True	abstract	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB25746	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Brazil	True		False	human	True		False
PRJNA646592	observational	False	39	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True	faeces	True	grey-headed flying fox	True	2018-02-10	True
PRJEB37523	observational	False	7	0.1795	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Ghana	True		False		False	2017-11-01	True
PRJDB17160	observational	False	46	1.1795	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Nepal	True		False	human	True	2019-01-01	True
PRJNA924056	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Australia	True		False	human	True		False
PRJEB60743	observational	False	38	1.0	True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Denmark	True		False	human	True	2022-08-09	True
PRJEB20875	observational	False	38	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Tanzania	True		False	human	True	2016-10-01	True
PRJNA597144	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False		False		False
PRJNA295003	observational	False	38	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	Norway	True		False	human	True		False
PRJEB6688	observational	False	48	1.2632	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA431724	observational	False	38	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Italy	True	rectal swab	True	human	True	2016-07-01	True
PRJNA1102315	observational	False	38	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	China	True		False	human	True	2022-08-15	True
PRJEB27508	observational	False	37	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Spain	True		False	human	True	2012-07-01	True
PRJNA868296	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJEB32863	observational	False	32	0.8649	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Slovenia	True		False	human	True		False
PRJNA730821	observational	False	37	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	The Gambia	True		False	human	True	2017-06-01	True
PRJEB67940	observational	False	36	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False		False		False
PRJNA884340	observational	False	36	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	USA	True		False		False		False
PRJNA768294	observational	False	36	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB56212	observational	False	37	1.0278	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Democratic Republic of Congo	True		False	human	True		False
PRJNA1045567	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA527021	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA497126	observational	False	34	0.9714	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Pakistan	True	hospital surface swab	True	hospital surface	True		False
PRJNA744405	observational	False	36	1.0286	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	China	True	bronchoalveolar lavage fluid	True	human	True	2019-01-01	True
PRJNA761884	observational	False	35	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	China	True		False		False		False
PRJNA1114318	observational	False	34	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	Fiji	True		False	human	True	2022-11-15	True
PRJEB42370	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Germany	True		False	human	True	2019-07-01	True
PRJNA842739	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJDB9036	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Japan	True	hospital sewage	True	wastewater	True		False
PRJNA739636	observational	False			False	none	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJEB25080	observational	False	33	0.9706	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True	bean sprouts	True	bean sprouts	True		False
PRJEB21292	observational	False	33	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Netherlands	True		False	human	True	2016-04-01	True
PRJNA979006	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA1055729	observational	False	33	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA631924	experimental_evolution	True			True	abstract	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA667445	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	United States	True		False	human	True	2018-01-01	True
PRJNA796569	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	China	True		False	human	True		False
PRJNA967113	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False		False		False
PRJNA858403	observational	False	32	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	newborn_young_child	gradeable	China	True		False	human	True	2020-07-15	True
PRJEB5132	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA589105	observational	False	33	1.0312	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	China	True		False	human	True	2017-12-01	True
PRJNA814816	observational	False	192	6.0	True	abstract	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB43549	observational	False	12	0.375	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	partial	pcr_gene_presence	partial	adult	partial	Germany	True		False	human	True	2018-07-01	True
PRJNA741123	observational	False	18	0.5806	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	partial	ast_result	partial		not_gradeable	USA	True		False		False	2018-07-01	True
PRJNA939143	observational	False	30	0.9677	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA857525	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False		False		False
PRJEB14854	observational	False	31	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	United Kingdom	True		False		False		False
PRJNA339159	observational	False	31	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJEB73547	experimental_evolution	True			True	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA563817	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA770840	observational	False	31	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Czech Republic	True		False	human	True	2019-06-01	True
PRJNA715470	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	companion animals	True		False
PRJEB19808	observational	False	29	0.9667	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Italy	True		False	human	True		False
PRJEB64632	observational	False	28	0.9333	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Ghana	True	surface water	True	water	True	2021-08-01	True
PRJNA551371	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	France	True	urine	True	human	True		False
PRJNA552385	experimental_evolution	True	30	1.0	True	abstract	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA658789	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	India	True		False	human	True		False
PRJEB76256	observational	False	30	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Norway	True		False		False		False
PRJNA799652	observational	False	191	6.3667	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	surveillance	partial		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA296771	observational	False	28	0.9333	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True		False	human	True		False
PRJEB8776	observational	False	30	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	feces	True		False	2014-12-01	True
PRJEB43550	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	partial	amr	gradeable	carbapenem	partial	pcr_gene_presence	partial	adult	partial	Germany	False		False	human	False	2020-07-01	True
PRJNA816413	observational	False	30	1.0345	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Germany	True		False	wastewater	True		False
PRJEB44852	observational	False	39	1.3448	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJNA508406	observational	False	27	0.931	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	South Korea	True		False	human	True		False
PRJNA707214	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Thailand	True		False		False		False
PRJNA925315	observational	False	29	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	hospital sink drain	True	hospital sink	True	2019-05-01	True
PRJNA1122997	observational	False	29	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Netherlands	True		False	human	True		False
PRJEB59858	observational	False	28	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Vietnam	True	blood	True	human	True	2017-10-01	True
PRJEB35248	observational	False	28	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJNA767190	observational	False	29	1.0357	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Japan	True		False	human	True		False
PRJNA984451	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	pcr_gene_presence	gradeable		not_gradeable	Japan	True		False		False		False
PRJEB44864	observational	False	30	1.0714	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False	human	True	2019-03-01	True
PRJDB14712	observational	False	28	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Japan	True	municipal wastewater influent	True	wastewater	True	2021-05-01	True
PRJEB32657	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Malawi	True		False		False	2019-06-01	True
PRJNA436373	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	human	True		False
PRJEB40571	observational	False	27	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable		partial	ast_result	gradeable	adult	gradeable		False	perianal swab	True	human	True		False
PRJNA850834	observational	False	27	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	newborn_young_child	gradeable	South Africa	True		False	human	True	2019-12-15	True
PRJNA351910	observational	False	27	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Singapore	True		False	human	True		False
PRJNA512284	observational	False	27	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA292904	observational	False	27	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA1071125	observational	False	27	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Egypt	True		False	human	True	2020-07-01	True
PRJDB5317	observational	False	27	1.0	True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Vietnam	True		False	human	True		False
PRJEB47075	observational	False	25	0.9615	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Switzerland	True		False	human	True		False
PRJNA718275	experimental_evolution	True			True	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJDB16665	experimental_evolution	True	26	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True		False		False		False
PRJNA754858	observational	False	26	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	Netherlands	True		False	human	True	2019-10-01	True
PRJNA488268	observational	False	26	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True		False
PRJNA292902	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
