study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA325243	observational	False	204	0.3238	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	partial		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False	2020-07-01	False
PRJNA845975	observational	False	599	1.0564	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Bangladesh	True	blood or cerebrospinal fluid	True	human	True		False
PRJEB29742	observational	False	425	0.7658	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Colombia	True		False	human	True		False
PRJNA1028672	observational	False	542	0.9927	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	China	True	sputum	False	human	True		False
PRJEB48990	observational	False	540	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True	blood	False	human	True		False
PRJNA564424	observational	False	537	1.0	False	pdf	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	United Kingdom	True		False	human	True		False
PRJNA855907	observational	False	83	0.1634	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	partial	mixed	gradeable	Canada	True		False	human	True		False
PRJEB38289	observational	False	509	1.002	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Portugal	True		False	human	False		False
PRJEB29143	observational	False	496	0.996	False	local_pdf	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable		False	stool	False	human	True	2016-01-01	True
PRJEB6891	observational	False	148	0.302	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Australia	True	rectal swab	False	human	True	2013-10-01	True
PRJNA603790	observational	False	435	0.9416	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True	rectal swab	True	human	True	2012-12-23	True
PRJNA415194	observational	False	453	0.9869	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	USA	True		False	human	True	2015-02-01	True
PRJEB46513	observational	False	411	0.9033	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Zambia	True	blood	True	human	True	2016-06-01	True
PRJNA686897	observational	False			False	local_pdf	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	USA	True	rectal swab	True	human	True		False
PRJEB63361	observational	False	413	1.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	South Africa	True		False	human	True		False
PRJEB35685	observational	False	412	1.0	False	local_pdf	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False	human	True		False
PRJEB33565	observational	False	401	0.995	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False	blood	True	human	True		False
PRJNA777643	observational	False	10	0.0255	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False	human	True		False
PRJEB5065	observational	False	250	0.6562	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	False	blood	True	human	True		False
PRJEB50822	observational	False	377	1.0027	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Spain	True	urine	False	human	True	2019-04-01	True
PRJEB17615	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable		not_gradeable	ast_result	gradeable		not_gradeable	Philippines	True		False	human	True		False
PRJNA557275	observational	False	388	1.1412	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	USA	True		False	human	True		False
PRJNA789565	observational	False	330	1.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True	rectal swab	False	human	True		False
PRJEB28054	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA996149	observational	False	320	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	China	True		False	human	True		False
PRJNA857686	observational	False	209	0.6677	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJEB15226	observational	False	40	0.1389	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False	human	True		False
PRJEB39867	observational	False	266	0.9301	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Germany	True	blood	False	human	True		False
PRJNA549322	observational	False	88	0.3099	False	pdf	True	claude-sonnet-4-6	hospital	partial	amr	gradeable	carbapenem	gradeable	ast_result	partial	adult	partial	USA	False	blood	False	human	True		False
PRJNA278886	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJEB22903	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA604910	observational	False	264	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	hospital sink drain aspirate	True	hospital sink drain	True	2017-04-15	True
PRJNA789336	observational	False	187	0.7248	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Turkey	True	blood	True	human	True	2018-12-01	True
PRJNA341927	observational	False	241	0.9877	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Israel	True	rectal swab	True	human	True		False
PRJNA544438	observational	False	0	0.0	True	local_pdf	True	claude-sonnet-4-6	hospital	partial	amr	gradeable	carbapenem	partial	ast_result	partial		not_gradeable	Oman	True		False	human	True	2015-06-01	True
PRJEB22252	observational	False	235	0.9916	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	United Kingdom	True	faeces	True	human	True		False
PRJDB14656	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True	blood	True	human	True		False
PRJEB24970	observational	False	317	1.4152	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Cambodia	True		False	human	False	2014-03-01	True
PRJEB6574	observational	False	288	1.3032	False	local_pdf	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB36486	observational	False	203	0.9186	False	local_pdf	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Malawi	True	stool	True	human	True		False
PRJNA765801	observational	False	213	1.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Singapore	True		False	human	True		False
PRJEB58216	observational	False	209	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Greece	True	blood	True	human	True		False
PRJNA1133624	observational	False	0	0.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Spain	True		False	human	True		False
PRJEB30134	observational	False	60	0.2985	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	partial	amr	gradeable	other	partial	ast_result	partial	mixed	partial	United Kingdom	True	rectal swab	False	human	True		False
PRJEB58018	observational	False	200	0.995	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Germany	True		False	human	True	2022-05-01	True
PRJEB24082	observational	False	200	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJEB1563	observational	False	198	1.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Kenya	True	blood or cerebrospinal fluid	True	human	True		False
PRJEB21277	observational	False	193	1.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJNA787062	observational	False	192	1.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Ethiopia	True	blood	True	human	True	2020-04-01	True
PRJDB12075	observational	False	4	0.0217	False	europepmc_fulltext	True	claude-sonnet-4-6	community	partial	amr	partial	other	partial	ast_result	partial	adult	partial	Japan	True	rectal swab	False	human	True		False
PRJNA982859	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True	wastewater	True	wastewater	True		False
PRJNA396774	observational	False	171	0.9661	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA1048341	observational	False	177	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA767944	observational	False	173	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	China	True	sputum	False	human	True	2017-02-01	True
PRJNA395086	observational	False	166	1.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	human	True		False
PRJEB39293	observational	False	161	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	mixed	gradeable		False	rectal swab	True	human	True	2016-11-01	True
PRJNA626430	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True	rectal swab	True	human	True		False
PRJEB22890	observational	False	157	1.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Italy	True	blood or cerebrospinal fluid	False	human	True	2016-05-01	True
PRJDB12116	observational	False	4	0.026	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True		False	human	True		False
PRJNA835677	observational	False	150	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Norway	True	caecum	False	pig	True	2019-07-01	False
PRJEB21605	observational	False	149	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable		False	blood	True	human	True	2016-01-01	True
PRJNA1052047	observational	False	148	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Canada	True		False		False		False
PRJNA634885	observational	False	84	0.5833	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Netherlands	False	rectal swab	False	human	True		False
PRJEB12699	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable		not_gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA564992	observational	False	141	0.993	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Canada	True		False	human	True		False
PRJEB64895	observational	False	142	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Greece	True		False	human	True	2022-06-13	True
PRJNA646358	observational	False	141	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Vietnam	True		False	human	True	2015-06-01	True
PRJEB58136	observational	False	140	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	India	True		False		False		False
PRJNA804332	observational	False	138	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Kenya	True		False	human	False	2019-03-01	True
PRJNA1054115	observational	False	137	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True	blood	True	human	True		False
PRJNA246471	observational	False	129	0.9556	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA1087366	observational	False	135	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False	blood	False	human	True		False
PRJNA885285	observational	False	130	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Cambodia	True	stool	True	human	True	2019-10-01	True
PRJNA648389	observational	False	126	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	USA	True	blood	True	human	True		False
PRJEB1800	observational	False	89	0.7355	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Nepal	True		False	human	True	2012-09-01	True
PRJNA820335	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA978102	observational	False	108	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True	blood	True	human	True	2021-12-01	True
PRJEB74083	observational	False	106	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Lithuania	True		False	human	True	2023-02-11	True
PRJEB24085	observational	False	87	0.8365	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJEB19229	observational	False	96	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJEB19322	observational	False	86	0.9348	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Malawi	True	blood	True	human	True		False
PRJEB42331	observational	False	307	3.8375	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Netherlands	True		False	human	True		False
PRJNA351909	observational	False	143	2.4655	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Australia	True	rectal swab	False	human	True	2013-10-01	True
PRJEB20799	observational	False	40	0.9091	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	The Gambia	True	blood	False	human	False	2016-11-15	True
PRJNA398288	observational	False	0	0.0	False	local_pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	partial		False	blood	True	human	True	2014-11-01	False
PRJNA641987	observational	False	86	5.375	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Malawi	True	blood	True	human	True		False
PRJEB24086	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJEB24084	observational	False	0		False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJEB24083	observational	False	0		False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJEB22264	observational	False	0		False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB19435	observational	False	0		False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB24087	observational	False	0		False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJNA565795	observational	False	189		False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Australia	True		False	human	True	2018-02-01	True
PRJDB17849	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True	blood	False	human	True		False
