study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJDB5929	observational	False	577	0.8161	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Thailand	True		False	Homo sapiens	True		False
PRJEB50614	observational	False	1072	1.6646	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	India	True		False	Homo sapiens	True		False
PRJNA325243	observational	False	204	0.3238	False	europepmc_fulltext	True	claude-opus-4-8	community	gradeable	surveillance	partial		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJNA845975	observational	False	599	1.0564	False	pdf	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Bangladesh	True		False	Homo sapiens	True		False
PRJEB29742	observational	False	425	0.7658	False	europepmc_fulltext	True	claude-opus-4-8	hospital	partial	amr	partial	carbapenem	partial	ast_result	partial		not_gradeable	Colombia	True		False	Homo sapiens	True		False
PRJNA1028672	observational	False			True	none	False	claude-opus-4-8		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	China	True		False	Homo sapiens	True		False
PRJEB48990	observational	False	540	1.0	False	europepmc_fulltext	True	claude-opus-4-8	mixed	gradeable	mixed	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True		False		False		False
PRJNA564424	observational	False	537	1.0	False	pdf	True	claude-opus-4-8	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA855907	observational	False	83	0.1634	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Canada	True		False	Homo sapiens	True		False
PRJEB38289	observational	False	509	1.002	False	europepmc_fulltext	True	claude-opus-4-8	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Portugal	True		False		False		False
PRJEB29143	observational	False			True	none	False	claude-opus-4-8	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	feces	True	Homo sapiens	True		False
PRJEB6891	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False	human	True		False
PRJNA603790	observational	False			False	none	False	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA415194	observational	False			True	abstract	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJEB46513	observational	False			False	none	False	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Zambia	True		False	Homo sapiens	True		False
PRJNA686897	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJEB63361	observational	False	414	1.0024	True	none	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable	mixed	gradeable	South Africa	True		False	Homo sapiens	True		False
PRJEB35685	observational	False			True	none	False	claude-opus-4-8		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Netherlands	True		False		False		False
PRJEB33565	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA777643	observational	False	10	0.0255	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False	Homo sapiens	True		False
PRJEB5065	observational	False	250	0.6562	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJEB50822	observational	False	377	1.0027	True	none	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Spain	True		False	human	True	2019-04-01	True
PRJEB17615	observational	False			False	europepmc_fulltext	True	claude-opus-4-8		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Philippines	True		False	human	True		False
PRJNA557275	observational	False	388	1.1412	True	abstract	False	claude-opus-4-8	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA789565	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJEB28054	observational	False			False	none	False	claude-opus-4-8		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA996149	observational	False	320	1.0	False	pdf	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	China	True		False	Homo sapiens	True		False
PRJNA857686	observational	False			False	none	False	claude-opus-4-8		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJEB15226	observational	False	40	0.1389	True	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable		not_gradeable		not_gradeable	Netherlands	True		False	Homo sapiens	True		False
PRJEB39867	observational	False	266	0.9301	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Germany	True		False	Homo sapiens	True		False
PRJNA549322	observational	False	93	0.3275	False	pdf	True	claude-opus-4-8	hospital	partial	amr	partial	carbapenem	partial	ast_result	partial	adult	partial		False		False		False		False
PRJNA278886	observational	False	0	0.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJEB22903	observational	False			False	none	False	claude-opus-4-8		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA604910	observational	False	264	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	hospital sink drain (p-trap aspirate)	True		False	2017-04-15	True
PRJNA789336	observational	False	187	0.7248	True	abstract	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Turkey	True	blood	True	Homo sapiens	True	2018-12-01	True
PRJNA341927	observational	False			False	none	False	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Israel	True		False	Homo sapiens	True		False
PRJNA544438	observational	False			False	none	False	claude-opus-4-8		not_gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable	Oman	True		False		False	2015-07-01	True
PRJEB22252	observational	False			True	none	False	claude-opus-4-8		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	faecal sample	True	Homo sapiens	True		False
PRJDB14656	observational	False	168	0.7179	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True	blood	True	Homo sapiens	True		False
PRJEB24970	observational	False	317	1.4152	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Cambodia	True		False		False	2014-02-01	True
PRJEB6574	observational	False			False	none	False	claude-opus-4-8		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB36486	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Malawi	True	stool	True	Homo sapiens	True		False
PRJNA765801	observational	False			False	none	False	claude-opus-4-8		not_gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Singapore	True		False		False		False
PRJEB58216	observational	False	209	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Greece	True	blood	True	Homo sapiens	True		False
PRJNA1133624	observational	False			False	none	False	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Spain	False		False	Homo sapiens	True		False
PRJEB30134	observational	False	60	0.2985	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable	mixed	partial	United Kingdom	True		False	Homo sapiens	True		False
PRJEB58018	observational	False	200	0.995	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Germany	True		False	Homo sapiens	True	2022-05-01	True
PRJEB24082	observational	False	243	1.215	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB1563	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Kenya	True		False	Homo sapiens	True		False
PRJEB21277	observational	False			True	none	False	claude-opus-4-8		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Ireland	True		False		False		False
PRJNA787062	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Ethiopia	True		False	Homo sapiens	True		False
PRJDB12075	observational	False	4	0.0217	False	europepmc_fulltext	True	claude-opus-4-8	community	partial	amr	partial	third_gen_cephalosporin	partial	ast_result	partial	adult	partial	Japan	True		False		False		False
PRJNA982859	observational	False	0	0.0	False	europepmc_fulltext	True	claude-opus-4-8		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	wastewater	True		False		False
PRJNA396774	observational	False			False	none	False	claude-opus-4-8		not_gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA1048341	observational	False	177	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False		False		False
PRJNA767944	observational	False	173	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	China	True		False	Homo sapiens	True	2017-02-15	True
PRJNA395086	observational	False			False	none	False	claude-opus-4-8		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJEB39293	observational	False	161	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	mixed	gradeable		False	rectal swab	True	Homo sapiens	True		False
PRJNA626430	observational	False			True	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True	gut microbiota	True	Homo sapiens	True		False
PRJEB22890	observational	False	157	1.0	True	abstract	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Italy	True		False	Homo sapiens	True	2016-05-15	True
PRJDB12116	observational	False	106	0.6883	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	partial		not_gradeable		not_gradeable		not_gradeable	Japan	True		False	Homo sapiens	True		False
PRJNA835677	observational	False	150	1.0	False	europepmc_fulltext	True	claude-opus-4-8	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	pig	True		False
PRJEB21605	observational	False	331	2.2215	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	blood	True	Homo sapiens	True		False
PRJNA1052047	observational	False	148	1.0	False	europepmc_fulltext	True	claude-opus-4-8	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Canada	True		False		False		False
PRJNA634885	observational	False			True	none	False	claude-opus-4-8		not_gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Netherlands	True		False		False		False
PRJEB12699	observational	False			False	none	False	claude-opus-4-8		not_gradeable		partial		not_gradeable		not_gradeable		not_gradeable	Spain	True		False	Homo sapiens	True		False
PRJNA564992	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable		not_gradeable		not_gradeable	Canada	True		False	Homo sapiens	True		False
PRJEB64895	observational	False	142	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Greece	True		False	Homo sapiens	True	2022-06-13	True
PRJNA646358	observational	False	141	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Vietnam	True		False	Homo sapiens	True	2015-06-13	True
PRJEB58136	observational	False	146	1.0429	False	europepmc_fulltext	True	claude-opus-4-8	mixed	gradeable	mixed	gradeable		not_gradeable	ast_result	gradeable		not_gradeable	India	True		False		False		False
PRJNA804332	observational	False	138	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Kenya	True		False		False	2019-03-01	True
PRJNA1054115	observational	False	137	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True		False	Homo sapiens	True		False
PRJNA246471	observational	False	135	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True		False	Homo sapiens	True		False
PRJNA1087366	observational	False	135	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False		False	Homo sapiens	True		False
PRJNA885285	observational	False	130	1.0	False	europepmc_fulltext	True	claude-opus-4-8	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Cambodia	True	feces	True	Homo sapiens	True	2019-10-01	True
PRJNA648389	observational	False	126	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	USA	True	blood	True	Homo sapiens	True		False
PRJEB1800	observational	False	90	0.7438	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Nepal	True		False	human	True	2012-09-01	True
PRJNA820335	observational	False			True	none	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	Homo sapiens	True		False
PRJNA978102	observational	False	108	1.0	False	pdf	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True	blood	True	Homo sapiens	True	2021-12-15	True
PRJEB74083	observational	False	106	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	partial	Lithuania	True		False	Homo sapiens	True	2023-02-12	True
PRJEB24085	observational	False	104	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False	human	True		False
PRJEB19229	observational	False	96	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB19322	observational	False			False	none	False	claude-opus-4-8	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Malawi	True		False	Homo sapiens	True		False
PRJEB42331	observational	False	307	3.8375	False	europepmc_fulltext	True	claude-opus-4-8		not_gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Netherlands	True		False	Homo sapiens	True		False
PRJNA351909	observational	False			False	none	False	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False	Homo sapiens	True		False
PRJEB20799	observational	False			False	none	False	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	partial	The Gambia	True		False	Homo sapiens	True		False
PRJNA398288	observational	False			False	none	False	claude-opus-4-8	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False	blood	True	Homo sapiens	True		False
PRJNA641987	observational	False	86	5.375	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Malawi	True	blood	True	Homo sapiens	True		False
PRJEB24086	observational	False	3	1.0	False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False		False		False
PRJEB24084	observational	False			False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False		False		False
PRJEB24083	observational	False			False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False		False		False
PRJEB22264	observational	False	0		False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False		False		False
PRJEB19435	observational	False	0		False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False	Homo sapiens	True		False
PRJEB24087	observational	False	0		False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Ireland	True		False		False		False
PRJNA565795	observational	False	189		False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Australia	True		False	Homo sapiens	True	2018-02-01	True
PRJDB17849	observational	False	168		False	europepmc_fulltext	True	claude-opus-4-8	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True		False	Homo sapiens	True		False
