study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB46126	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False		False	2019-08-01	True
PRJEB42167	experimental_evolution	True			True	abstract	False	claude-sonnet-4-6	mixed	partial	mixed	partial	carbapenem	partial	ast_result	partial		not_gradeable		False		False		False		False
PRJNA986550	experimental_evolution	True	20	0.8696	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA287968	observational	False	21	0.9545	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	South Africa	True		False	human	True	2013-01-01	True
PRJNA648857	observational	False	22	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Italy	True		False	human	True	2019-08-01	True
PRJEB38818	observational	False	21	0.9545	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	United Kingdom	True		False	human	True		False
PRJNA640134	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False		False		False
PRJNA1132711	observational	False	22	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Bulgaria	True		False	human	True		False
PRJNA356346	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA922195	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA375812	observational	False	22	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJNA795199	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA508510	other	False	0	0.0	False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA429779	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Russia	True		False		False		False
PRJNA725227	observational	False	41	1.9524	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Canada	True		False	human	True		False
PRJNA823356	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Brazil	True		False		False		False
PRJNA1136145	observational	False	21	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA919159	observational	False	21	1.0	True	abstract	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	China	True	milk	True	dairy cattle	True		False
PRJNA813961	observational	False	21	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	South Korea	True		False	human	True	2020-09-01	True
PRJNA887042	observational	False	21	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	Italy	True		False	human	True	2022-01-15	True
PRJNA341404	observational	False	21	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True	2014-09-14	True
PRJNA701285	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA528347	observational	False	20	0.9524	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	mixed	gradeable	Australia	True		False	human	True		False
PRJNA757582	observational	False	5	0.2381	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	partial	mixed	partial	India	True		False	human	True		False
PRJNA739639	observational	False			False	none	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJEB24612	experimental_evolution	True			False	none	False	claude-sonnet-4-6		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB30858	observational	False	21	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True		False		False		False
PRJNA1023834	observational	False			True	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable	Portugal	True		False	human	True		False
PRJNA786742	observational	False			False	pdf	True	claude-sonnet-4-6	hospital	partial	amr	partial	other	partial	ast_result	partial		not_gradeable	United States	True		False	human	True		False
PRJNA908117	observational	False	20	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True	blood	True	human	True		False
PRJEB60418	observational	False	20	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Portugal	True		False		False	2020-05-01	True
PRJEB44870	observational	False	18	0.9	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False	blood	True	human	True		False
PRJEB34549	observational	False	19	0.95	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True	urine	True	human	True		False
PRJNA596368	experimental_evolution	True	20	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Netherlands	True		False		False		False
PRJEB34353	observational	False	22	1.1	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Germany	True		False		False		False
PRJNA528846	observational	False	20	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Taiwan	True	blood	True	human	True		False
PRJNA915250	observational	False	20	1.0526	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Kenya	True		False	human	True	2021-10-01	True
PRJNA1016138	experimental_evolution	True	19	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Belgium	True	hemolymph	True	Galleria mellonella	True		False
PRJNA1104021	observational	False	30	1.5789	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA801425	observational	False	19	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Singapore	True		False	human	True		False
PRJNA430457	observational	False	17	0.8947	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Australia	True		False	human	True		False
PRJNA994967	observational	False	15	0.7895	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	other	gradeable	ast_result	partial		not_gradeable		False		False	human	True		False
PRJEB1730	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA672836	observational	False	19	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Algeria	True		False	human	True	2012-01-01	True
PRJNA956822	observational	False	18	0.9474	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	China	True		False	human	True	2022-02-01	True
PRJNA1099381	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False		False		False
PRJNA430813	observational	False	19	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	USA	True		False		False		False
PRJNA606985	observational	False	18	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Australia	True		False	human	True	2018-02-01	True
PRJEB12817	observational	False	18	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	England	True		False	pig	True		False
PRJNA529495	observational	False	18	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	Australia	True		False	human	True		False
PRJEB3980	observational	False	18	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Laos	True	stool	True	human	True	2011-05-01	True
PRJEB67696	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable	ast_result	gradeable		not_gradeable	Vietnam	True		False	human	True		False
PRJNA590288	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable	adult	gradeable		False		False	human	True		False
PRJNA351911	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False		False		False
PRJNA1136496	observational	False	17	0.9444	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	United Kingdom	True	stool	True	human	True	2021-09-01	True
PRJEB10820	other	False	18	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA557813	observational	False	18	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Singapore	True		False	human	True	2014-05-01	True
PRJEB48744	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJEB71325	observational	False	14	0.7778	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable		False		False	human	True	2022-10-01	True
PRJEB25682	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA530687	observational	False	18	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	India	True	urine	True	human	True		False
PRJNA917066	observational	False	17	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	mixed	gradeable	Egypt	True		False	human	True	2020-10-01	True
PRJNA1031934	experimental_evolution	True	17	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJNA833742	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA522420	observational	False	9	0.5294	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	partial	amr	partial	carbapenem	partial	pcr_gene_presence	partial	adult	partial	Russia	True		False	human	True		False
PRJNA751707	observational	False	46	2.7059	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Singapore	True		False	human	True		False
PRJNA827103	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB67440	observational	False			False	none	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False		False	companion animals	True	2018-01-01	True
PRJNA296699	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True	2015-07-01	True
PRJNA524761	observational	False	4	0.2353	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	partial	amr	gradeable	carbapenem	gradeable	ast_result	partial		not_gradeable	South Africa	False		False		False		False
PRJNA635420	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJEB41835	observational	False	18	1.0588	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	human	True	2006-10-01	True
PRJNA391054	observational	False	17	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Cambodia	True	faeces	True	human	True	2012-05-16	True
PRJNA701733	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Sweden	True		False		False		False
PRJNA800400	observational	False			True	abstract	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False	feces	True		False		False
PRJNA962867	experimental_evolution	True	16	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJEB18733	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Greece	True		False	human	True		False
PRJNA550014	observational	False	17	1.0625	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Australia	True		False		False		False
PRJNA951736	observational	False	16	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Mozambique	True		False	human	True	2017-11-01	True
PRJNA777533	experimental_evolution	True	16	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True		False		False		False
PRJNA560785	observational	False	16	1.0	False	pdf	True	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Lao People's Democratic Republic	True	stool	True	human	True	2015-09-29	True
PRJNA949542	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA1057737	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB52158	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA857878	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA1076266	observational	False	16	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Mexico	True		False	human	True	2022-01-01	True
PRJNA1027607	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA716986	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA865026	observational	False	15	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Peru	True		False	human	True	2018-07-01	True
PRJEB8770	observational	False	15	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	wastewater	True	wastewater	True	2015-03-01	True
PRJEB45397	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Australia	True	intestinal mucosal biopsy	True	human	True	2019-09-01	True
PRJEB70314	observational	False	1	0.0667	True	europepmc_fulltext	True	claude-sonnet-4-6	hospital	partial	amr	partial	carbapenem	partial	ast_result	partial		not_gradeable	Spain	False		False	human	False		False
PRJNA692086	observational	False	1	0.0667	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False	blood	True	human	True		False
PRJNA451051	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB35018	observational	False	15	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Netherlands	True		False	human	True	2017-11-25	True
PRJNA869900	experimental_evolution	True	15	1.0	False	pdf	True	claude-sonnet-4-6	hospital	partial	amr	gradeable	carbapenem	gradeable		partial		not_gradeable	Switzerland	False		False	human	False		False
PRJNA1101444	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	partial		not_gradeable	Netherlands	True		False	human	True		False
PRJNA1000742	observational	False	15	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Thailand	True		False	human	True		False
PRJEB27707	observational	False	15	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Nigeria	True		False	human	True	2017-04-01	True
PRJNA391004	observational	False	15	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	France	True		False	horse	True		False
PRJNA952961	experimental_evolution	True	15	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB23845	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable		False	feces	True	human	True		False
PRJNA984017	experimental_evolution	True	15	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		partial	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJNA590644	observational	False	15	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJNA523709	observational	False			True	none	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable	Tanzania	True		False	human	True		False
PRJDB4867	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False	human	True		False
PRJNA762527	observational	False	14	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	mixed	gradeable	China	True		False	human	True	2018-01-01	True
PRJNA1070647	observational	False			False	none	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False	food	True	food	True		False
PRJNA830444	observational	False	14	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True		False
PRJNA803478	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA438157	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA720499	observational	False			False	none	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA741866	experimental_evolution	True	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA800729	observational	False			False	none	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJNA523429	other	False			False	none	False	claude-sonnet-4-6		not_gradeable	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJNA797874	observational	False	14	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	India	True		False	human	True	2020-07-01	True
PRJNA749142	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	India	True	urine	True	human	True		False
PRJNA729785	observational	False	15	1.0714	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True	2021-06-01	True
PRJNA407760	observational	False	14	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Germany	True		False		False		False
PRJEB43543	observational	False	14	1.0	True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA1040414	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable		False	feces	True	human	True		False
PRJNA613441	observational	False	2	0.1538	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	adult	gradeable	Lebanon	True		False	human	True	2020-08-15	True
PRJNA744890	observational	False	5	0.3846	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	India	True		False	human	True	2019-08-01	True
