study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA781656	observational	False	92	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Australia	True		False	human	True	2018-08-01	True
PRJEB8265	observational	False	91	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Malawi	True		False	human	True		False
PRJEB36392	observational	False	91	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Norway	True		False	human	True	2009-11-01	True
PRJNA1004324	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA937403	observational	False	66	0.7416	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Colombia	True		False	human	True		False
PRJNA1026096	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False		False		False
PRJEB64702	observational	False	87	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Italy	True		False	human	True		False
PRJEB5495	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA488070	observational	False	88	1.0233	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	South Africa	True		False	human	True		False
PRJEB57245	observational	False	85	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Spain	True		False	human	True	2020-10-15	True
PRJNA237670	observational	False	85	1.0119	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJEB53419	observational	False	81	0.9643	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Israel	True		False	human	True	2018-10-01	True
PRJNA605147	observational	False	76	0.9048	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True		False		False	2017-06-01	True
PRJEB45369	observational	False			True	none	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	mixed	gradeable	Netherlands	True		False		False		False
PRJNA231221	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB42526	observational	False	82	0.988	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Saint Kitts and Nevis	True		False		False		False
PRJNA289272	observational	False	82	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False	2012-05-01	True
PRJEB11403	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Thailand	True		False		False		False
PRJEB26814	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Vietnam	True	blood	True	human	True		False
PRJDB16654	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True	respiratory specimen	True	human	True		False
PRJNA342893	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Singapore	True		False	human	True	2014-08-01	True
PRJNA663884	observational	False	80	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Austria	True	stool	True	human	True	2018-10-01	True
PRJEB34380	observational	False	80	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Brazil	True		False	human	True	2018-04-01	True
PRJEB49056	observational	False	82	1.025	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	France	True		False	human	True		False
PRJNA413040	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJNA1095184	observational	False			True	none	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	stool	True	human	True		False
PRJNA910977	observational	False	76	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Switzerland	True		False	human	True		False
PRJEB51224	observational	False	2973	39.1184	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable		False		False	human	True	2019-07-01	True
PRJNA389557	observational	False	40	0.5263	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	partial	amr	partial	carbapenem	partial	ast_result	partial	adult	partial	Thailand	True		False	human	True		False
PRJEB56668	observational	False	73	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False		False	2020-09-01	True
PRJNA259658	observational	False	73	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJNA1050414	observational	False	72	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	China	True		False	human	True		False
PRJNA561493	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA1061342	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable	China	True		False	human	True		False
PRJNA479772	observational	False	109	1.5352	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True	blood	True	human	True	2013-07-01	True
PRJNA599387	observational	False	73	1.0429	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Qatar	True		False	human	True	2018-07-01	True
PRJEB50346	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB7967	observational	False	69	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA355241	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True		False
PRJDB4948	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJNA778615	observational	False	68	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	United Kingdom	True		False	human	True	2019-08-28	True
PRJEB43945	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False	human	True		False
PRJNA595034	observational	False			True	none	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Hong Kong	True		False		False		False
PRJNA903550	observational	False	37	0.5522	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	partial	mixed	partial	Netherlands	True		False	human	True	2022-05-01	True
PRJNA990326	observational	False	66	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Peru	True		False		False		False
PRJEB26075	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False	respiratory	True	human	True		False
PRJNA980932	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Japan	True		False	human	True		False
PRJEB78367	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Tanzania	True		False	human	True	2021-01-01	True
PRJEB19918	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable	adult	gradeable	United Kingdom	True		False	human	True		False
PRJNA445400	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB51676	observational	False	63	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Spain	True		False		False		False
PRJNA738476	observational	False	63	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	France	True		False	human	True	2017-05-01	True
PRJNA253300	observational	False	55	0.8871	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	Nepal	True		False		False		False
PRJEB49334	observational	False	62	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Singapore	True	stool	True	human	True	2017-06-01	True
PRJEB46655	observational	False	61	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	South Africa	True	blood	True	human	True	2017-10-01	True
PRJNA826066	observational	False	60	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	United States	True	blood	True	human	True	2017-12-01	True
PRJNA736690	observational	False	60	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Canada	True		False	human	True		False
PRJEB66360	experimental_evolution	True	60	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	partial	mixed	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Spain	True		False		False		False
PRJEB59403	observational	False	57	0.9661	True	abstract	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Germany	True		False		False	2020-07-01	True
PRJEB30771	observational	False	59	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False	human	True		False
PRJNA799063	observational	False			True	none	False	claude-sonnet-4-6	community	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	United States	True	wastewater	True	wastewater	True		False
PRJEB51966	observational	False	59	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Malaysia	True		False	human	True	2016-12-01	True
PRJEB28660	observational	False	59	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Switzerland	True		False	human	True		False
PRJNA592157	observational	False	58	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Peru	True		False	human	True	2016-11-15	True
PRJNA796567	observational	False			False	pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Qatar	True	blood	True	human	True		False
PRJNA329105	observational	False			False	none	False	claude-sonnet-4-6		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA769451	observational	False	57	1.0179	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	China	True		False	human	True		False
PRJNA1135353	observational	False	55	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	retail food	True	retail food	True		False
PRJDB6962	observational	False	1	0.0182	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Japan	True	wastewater treatment plant effluent	True	wastewater	True		False
PRJEB59975	observational	False	54	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	Iran	True		False	human	True	2018-11-01	True
PRJNA918858	experimental_evolution	True	54	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True		False		False		False
PRJEB37933	observational	False	52	0.9811	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Germany	True		False	human	True	2019-10-01	True
PRJEB18059	observational	False	53	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Germany	True		False	human	True	2015-10-01	True
PRJNA970254	observational	False			False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True	urine	True	human	True		False
PRJEB50837	observational	False	51	0.9808	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJEB51225	observational	False	51	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	United Kingdom	True		False		False		False
PRJNA945449	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Cambodia	True	blood	True	human	True	2021-12-01	True
PRJNA925003	observational	False	49	0.9608	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	India	True		False	human	True		False
PRJNA701073	experimental_evolution	True	50	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Australia	True		False		False		False
PRJEB2655	observational	False	0	0.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA643814	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Italy	True		False	human	True	2019-02-01	True
PRJNA803387	experimental_evolution	True	50	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	Spain	True		False		False		False
PRJEB28115	observational	False			False	none	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Cambodia	True	blood	True	human	True		False
PRJDB8311	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Japan	True		False	human	True	2017-06-01	True
PRJNA415530	experimental_evolution	True	50	1.0	False	pdf	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
